date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	7.19	7.22	7.12	7.17	65841	EUR	
10/11/2010 00:00	7.17	7.19	7.11	7.12	35665	EUR	
11/11/2010 00:00	7.19	7.19	7.14	7.18	18808	EUR	
12/11/2010 00:00	7.19	7.2	7.12	7.19	38029	EUR	
15/11/2010 00:00	7.21	7.24	7.17	7.24	70992	EUR	
16/11/2010 00:00	7.24	7.29	7.2	7.27	121962	EUR	
17/11/2010 00:00	7.24	7.29	7.24	7.26	47112	EUR	
18/11/2010 00:00	7.28	7.3	7.24	7.29	58246	EUR	
19/11/2010 00:00	7.28	7.29	7.26	7.29	45151	EUR	
22/11/2010 00:00	7.28	7.3	7.19	7.19	86059	EUR	
23/11/2010 00:00	6.96	7.03	6.96	6.98	43270	EUR	
24/11/2010 00:00	7.03	7.05	7	7.05	39445	EUR	
25/11/2010 00:00	7.05	7.06	7.01	7.04	40507	EUR	
26/11/2010 00:00	7.05	7.05	6.93	6.96	54224	EUR	
29/11/2010 00:00	6.96	7.02	6.8	6.82	84394	EUR	
30/11/2010 00:00	6.8	6.93	6.8	6.85	50258	EUR	
01/12/2010 00:00	6.84	6.95	6.84	6.95	27170	EUR	
02/12/2010 00:00	6.96	7	6.95	7	51685	EUR	
03/12/2010 00:00	6.97	7	6.95	6.98	18841	EUR	
06/12/2010 00:00	6.98	6.98	6.91	6.91	26443	EUR	
07/12/2010 00:00	6.91	7.02	6.91	7.02	34982	EUR	
08/12/2010 00:00	7.01	7.02	6.96	7.02	36803	EUR	
09/12/2010 00:00	7.02	7.03	7	7.03	9237	EUR	
10/12/2010 00:00	6.99	7.03	6.98	7.03	18587	EUR	
13/12/2010 00:00	7	7.03	6.98	7.01	37420	EUR	
14/12/2010 00:00	7	7.07	7	7.06	49211	EUR	
15/12/2010 00:00	7.06	7.08	7.02	7.08	49623	EUR	
16/12/2010 00:00	7.06	7.22	7.02	7.22	106558	EUR	
17/12/2010 00:00	7.25	7.25	7.15	7.2	93344	EUR	
20/12/2010 00:00	7.2	7.2	7.16	7.18	59890	EUR	
21/12/2010 00:00	7.2	7.22	7.15	7.21	81806	EUR	
22/12/2010 00:00	7.21	7.22	7.17	7.21	60801	EUR	
23/12/2010 00:00	7.23	7.24	7.21	7.24	57582	EUR	
24/12/2010 00:00	7.24	7.25	7.21	7.24	27533	EUR	
27/12/2010 00:00	7.23	7.24	7.18	7.18	35410	EUR	
28/12/2010 00:00	7.25	7.25	7.18	7.21	34522	EUR	
29/12/2010 00:00	7.23	7.26	7.21	7.26	17112	EUR	
30/12/2010 00:00	7.24	7.26	7.23	7.26	17034	EUR	
31/12/2010 00:00	7.25	7.27	7.23	7.27	16176	EUR	
03/01/2011 00:00	7.24	7.27	7.23	7.23	35890	EUR	
04/01/2011 00:00	7.28	7.32	7.24	7.32	38414	EUR	
05/01/2011 00:00	7.32	7.32	7.27	7.28	23394	EUR	
06/01/2011 00:00	7.3	7.34	7.22	7.24	53550	EUR	
07/01/2011 00:00	7.23	7.35	7.23	7.31	51060	EUR	
10/01/2011 00:00	7.34	7.34	7.23	7.23	49218	EUR	
11/01/2011 00:00	7.26	7.31	7.26	7.31	26045	EUR	
12/01/2011 00:00	7.32	7.32	7.27	7.32	33893	EUR	
13/01/2011 00:00	7.31	7.33	7.24	7.24	36152	EUR	
14/01/2011 00:00	7.25	7.29	7.24	7.25	18388	EUR	
17/01/2011 00:00	7.26	7.3	7.24	7.25	33045	EUR	
18/01/2011 00:00	7.3	7.33	7.28	7.33	32826	EUR	
19/01/2011 00:00	7.33	7.33	7.29	7.3	15342	EUR	
20/01/2011 00:00	7.3	7.35	7.3	7.35	30471	EUR	
21/01/2011 00:00	7.35	7.39	7.3	7.38	39264	EUR	
24/01/2011 00:00	7.3	7.39	7.29	7.39	53527	EUR	
25/01/2011 00:00	7.38	7.38	7.28	7.29	42325	EUR	
26/01/2011 00:00	7.31	7.35	7.31	7.34	13252	EUR	
27/01/2011 00:00	7.38	7.38	7.32	7.35	34003	EUR	
28/01/2011 00:00	7.35	7.37	7.33	7.37	27797	EUR	
31/01/2011 00:00	7.37	7.38	7.33	7.36	20550	EUR	
01/02/2011 00:00	7.33	7.37	7.33	7.35	13711	EUR	
02/02/2011 00:00	7.35	7.37	7.33	7.33	19628	EUR	
03/02/2011 00:00	7.32	7.35	7.31	7.33	22911	EUR	
04/02/2011 00:00	7.37	7.37	7.33	7.33	16053	EUR	
07/02/2011 00:00	7.38	7.42	7.35	7.42	59943	EUR	
08/02/2011 00:00	7.42	7.43	7.38	7.38	16568	EUR	
09/02/2011 00:00	7.37	7.44	7.35	7.38	24342	EUR	
10/02/2011 00:00	7.38	7.44	7.37	7.37	22427	EUR	
11/02/2011 00:00	7.36	7.44	7.35	7.38	35736	EUR	
14/02/2011 00:00	7.47	7.56	7.47	7.54	134115	EUR	
15/02/2011 00:00	7.58	7.62	7.58	7.62	58066	EUR	
16/02/2011 00:00	7.62	7.72	7.61	7.69	49964	EUR	
17/02/2011 00:00	7.7	7.8	7.69	7.73	65728	EUR	
18/02/2011 00:00	7.72	7.75	7.68	7.69	55910	EUR	
21/02/2011 00:00	7.69	7.69	7.61	7.62	53943	EUR	
22/02/2011 00:00	7.6	7.61	7.47	7.52	63967	EUR	
23/02/2011 00:00	7.5	7.57	7.47	7.54	20568	EUR	
24/02/2011 00:00	7.55	7.6	7.54	7.54	25038	EUR	
25/02/2011 00:00	7.6	7.65	7.55	7.61	35119	EUR	
28/02/2011 00:00	7.65	7.65	7.59	7.62	37658	EUR	
01/03/2011 00:00	7.65	7.69	7.61	7.69	32004	EUR	
02/03/2011 00:00	7.7	7.7	7.62	7.65	16832	EUR	
03/03/2011 00:00	7.7	7.72	7.67	7.66	25597	EUR	
04/03/2011 00:00	7.68	7.68	7.65	7.66	22995	EUR	
07/03/2011 00:00	7.64	7.68	7.62	7.64	22216	EUR	
08/03/2011 00:00	7.67	7.68	7.62	7.63	20714	EUR	
09/03/2011 00:00	7.69	7.69	7.61	7.61	24204	EUR	
10/03/2011 00:00	7.6	7.6	7.46	7.47	84254	EUR	
