date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	30.599	31.267	30.341	31.121	1930311	EUR	
10/11/2010 00:00	30.892	31.364	30.165	30.273	1219695	EUR	
11/11/2010 00:00	30.36	30.575	30.014	30.209	1076282	EUR	
12/11/2010 00:00	29.97	31.252	29.736	30.838	1250174	EUR	
15/11/2010 00:00	30.711	30.818	30.399	30.701	816556	EUR	
16/11/2010 00:00	30.56	30.633	30.146	30.146	833570	EUR	
17/11/2010 00:00	30.019	30.238	29.883	30.068	1004927	EUR	
18/11/2010 00:00	30.268	31.34	30.204	31.301	955838	EUR	
19/11/2010 00:00	31.413	31.423	30.935	31.199	468234	EUR	
22/11/2010 00:00	31.384	31.569	31.204	31.282	560527	EUR	
23/11/2010 00:00	31.135	31.832	30.848	30.882	926106	EUR	
24/11/2010 00:00	30.931	32.12	30.755	32.042	933568	EUR	
25/11/2010 00:00	31.988	32.832	31.574	32.773	1120773	EUR	
26/11/2010 00:00	32.578	32.929	32.247	32.817	894035	EUR	
29/11/2010 00:00	32.832	33.022	31.984	32.091	960449	EUR	
30/11/2010 00:00	32.052	32.403	31.642	31.75	824127	EUR	
01/12/2010 00:00	32.086	32.408	31.608	32.198	996707	EUR	
02/12/2010 00:00	32.193	32.632	32.101	32.461	926732	EUR	
03/12/2010 00:00	32.471	32.793	32.174	32.403	828762	EUR	
06/12/2010 00:00	32.403	33.017	32.403	32.759	923595	EUR	
07/12/2010 00:00	32.807	33.173	32.783	32.915	962767	EUR	
08/12/2010 00:00	32.754	32.944	32.583	32.656	557320	EUR	
09/12/2010 00:00	32.905	33.129	32.052	32.281	880228	EUR	
10/12/2010 00:00	32.339	32.617	32.213	32.296	554656	EUR	
13/12/2010 00:00	32.344	32.515	32.032	32.159	765866	EUR	
14/12/2010 00:00	32.174	32.174	31.906	32.042	607209	EUR	
15/12/2010 00:00	31.808	31.998	31.54	31.876	578071	EUR	
16/12/2010 00:00	31.691	32.198	31.447	32.198	839496	EUR	
17/12/2010 00:00	32.193	32.452	31.915	32.135	858724	EUR	
20/12/2010 00:00	32.135	32.466	31.988	32.13	380969	EUR	
21/12/2010 00:00	32.144	32.642	31.837	32.534	533635	EUR	
22/12/2010 00:00	32.447	33.032	32.417	32.807	514683	EUR	
23/12/2010 00:00	32.807	32.988	32.534	32.778	357490	EUR	
24/12/2010 00:00	32.851	33.032	32.354	32.759	95317	EUR	
27/12/2010 00:00	32.291	32.759	31.828	32.725	194584	EUR	
28/12/2010 00:00	32.686	32.807	32.378	32.544	174994	EUR	
29/12/2010 00:00	32.564	32.905	32.534	32.866	233868	EUR	
30/12/2010 00:00	32.773	32.905	32.515	32.534	166736	EUR	
31/12/2010 00:00	32.471	32.686	32.213	32.466	75757	EUR	
03/01/2011 00:00	32.544	33.095	32.378	32.954	395141	EUR	
04/01/2011 00:00	32.895	33.056	32.715	33.041	590461	EUR	
05/01/2011 00:00	32.929	33.051	32.452	32.656	714461	EUR	
06/01/2011 00:00	32.729	33.349	32.661	33.09	965728	EUR	
07/01/2011 00:00	33.09	33.29	32.564	33.212	1039418	EUR	
10/01/2011 00:00	33.149	33.197	32.325	32.998	843986	EUR	
11/01/2011 00:00	33.11	34.353	32.968	34.241	1138052	EUR	
12/01/2011 00:00	34.421	35.294	34.309	34.904	1258695	EUR	
13/01/2011 00:00	34.899	34.933	34.172	34.226	1108383	EUR	
14/01/2011 00:00	34.284	34.991	34.284	34.806	1111797	EUR	
17/01/2011 00:00	34.801	34.904	34.211	34.221	700374	EUR	
18/01/2011 00:00	34.245	34.572	33.87	34.104	847101	EUR	
19/01/2011 00:00	34.236	34.431	33.792	33.802	937171	EUR	
20/01/2011 00:00	33.212	33.636	31.676	31.701	3061327	EUR	
21/01/2011 00:00	32.042	32.105	31.623	31.793	1268017	EUR	
24/01/2011 00:00	32.037	32.198	31.647	31.871	1118911	EUR	
25/01/2011 00:00	32.023	32.456	31.686	31.832	1510472	EUR	
26/01/2011 00:00	31.949	33.183	31.949	33.173	1591045	EUR	
27/01/2011 00:00	33.241	33.373	32.734	32.734	1365405	EUR	
28/01/2011 00:00	32.832	33.412	32.583	32.661	1088299	EUR	
31/01/2011 00:00	32.549	32.739	32.237	32.564	910727	EUR	
01/02/2011 00:00	32.598	33.217	32.432	33.188	1151250	EUR	
02/02/2011 00:00	33.251	33.519	32.013	32.076	1295425	EUR	
03/02/2011 00:00	32.076	32.276	31.706	32.174	1052019	EUR	
04/02/2011 00:00	32.661	32.885	32.125	32.861	1165667	EUR	
07/02/2011 00:00	32.949	33.232	32.837	33.144	697966	EUR	
