date	ouv	haut	bas	clot	vol	devise	
21/02/2012 00:00	15.3	15.36	14.8	15.14	18622	EUR	
22/02/2012 00:00	15	15.14	14.8	15.1	10751	EUR	
23/02/2012 00:00	15.1	15.1	14.7	15	18353	EUR	
24/02/2012 00:00	14.99	15.11	14.7	15.08	15846	EUR	
27/02/2012 00:00	15.15	15.27	14.9	15.27	6904	EUR	
28/02/2012 00:00	15.48	15.75	15.2	15.5	16623	EUR	
29/02/2012 00:00	15.5	15.6	15.38	15.5	4195	EUR	
01/03/2012 00:00	15.58	15.72	15.31	15.67	7492	EUR	
02/03/2012 00:00	15.69	15.8	15.51	15.8	21899	EUR	
05/03/2012 00:00	15.83	15.83	15.5	15.59	8462	EUR	
06/03/2012 00:00	15.6	15.6	15.12	15.48	10150	EUR	
07/03/2012 00:00	15.12	15.49	15.11	15.38	5279	EUR	
08/03/2012 00:00	15.46	15.5	15.25	15.49	4636	EUR	
09/03/2012 00:00	15.49	15.5	15.27	15.5	7051	EUR	
12/03/2012 00:00	15.5	15.58	15.32	15.58	3754	EUR	
13/03/2012 00:00	15.6	15.6	15.32	15.5	4073	EUR	
14/03/2012 00:00	15.49	15.49	15	15.02	23753	EUR	
15/03/2012 00:00	15.01	15.25	14.95	15.08	3440	EUR	
16/03/2012 00:00	15.08	15.1	14.9	14.9	3374	EUR	
19/03/2012 00:00	15	15.2	14.94	15.17	2795	EUR	
20/03/2012 00:00	15.18	15.18	15	15.18	1854	EUR	
21/03/2012 00:00	14.97	15.18	14.96	15.17	1662	EUR	
22/03/2012 00:00	15.17	15.17	14.97	15	922	EUR	
23/03/2012 00:00	14.99	15	14.94	15	1248	EUR	
26/03/2012 00:00	15	15	14.71	14.9	4260	EUR	
27/03/2012 00:00	14.89	14.9	14.72	14.9	1833	EUR	
28/03/2012 00:00	14.89	14.89	14.73	14.89	848	EUR	
29/03/2012 00:00	14.88	15	14.72	14.86	2450	EUR	
30/03/2012 00:00	14.78	14.86	14.75	14.85	2596	EUR	
02/04/2012 00:00	14.61	14.86	14.54	14.85	1196	EUR	
03/04/2012 00:00	14.7	14.86	14.54	14.85	1032	EUR	
04/04/2012 00:00	14.83	14.84	14.54	14.54	2638	EUR	
05/04/2012 00:00	14.55	14.79	14.4	14.64	3566	EUR	
10/04/2012 00:00	14.2	14.64	14.1	14.55	1991	EUR	
11/04/2012 00:00	14.53	14.55	13.9	14	3320	EUR	
12/04/2012 00:00	14	14	13	13.8	21377	EUR	
13/04/2012 00:00	13.79	14.24	13.48	13.87	2199	EUR	
16/04/2012 00:00	13.8	14	13.25	13.62	4964	EUR	
17/04/2012 00:00	13.17	13.8	13.12	13.75	4321	EUR	
18/04/2012 00:00	13.77	13.77	13.08	13.7	6527	EUR	
19/04/2012 00:00	13.22	13.77	12.92	13.15	6934	EUR	
20/04/2012 00:00	12.91	13.1	12.46	13	5593	EUR	
23/04/2012 00:00	13	13	11.78	12.25	6324	EUR	
24/04/2012 00:00	12.5	12.78	11.95	12.28	1657	EUR	
25/04/2012 00:00	12.28	12.28	11.47	11.8	6600	EUR	
26/04/2012 00:00	11.55	12	11.41	11.48	4149	EUR	
27/04/2012 00:00	11.5	11.69	11.08	11.08	4273	EUR	
30/04/2012 00:00	11.06	11.48	11.06	11.47	1286	EUR	
02/05/2012 00:00	11.45	11.45	11	11.1	4542	EUR	
03/05/2012 00:00	11.21	11.25	10.75	11	1253	EUR	
04/05/2012 00:00	10.99	10.99	10.13	10.13	4319	EUR	
07/05/2012 00:00	10	10.44	10	10.24	574	EUR	
08/05/2012 00:00	10.24	10.25	9.28	9.54	3164	EUR	
09/05/2012 00:00	9.49	9.75	9.19	9.75	5541	EUR	
10/05/2012 00:00	9.74	9.75	9.2	9.26	2481	EUR	
11/05/2012 00:00	9.25	9.6	9.06	9.06	1430	EUR	
14/05/2012 00:00	9.03	9.4	9.03	9.4	1681	EUR	
15/05/2012 00:00	9.4	9.4	9.15	9.4	442	EUR	
16/05/2012 00:00	9.14	9.8	9.14	9.3	425	EUR	
17/05/2012 00:00	9.28	9.3	9.15	9.3	286	EUR	
18/05/2012 00:00	9.29	9.3	8.51	8.75	2735	EUR	
21/05/2012 00:00	8.51	8.99	8.12	8.59	6128	EUR	
22/05/2012 00:00	8.59	8.84	7.75	8.2	3381	EUR	
23/05/2012 00:00	8.3	8.75	8.2	8.75	2155	EUR	
24/05/2012 00:00	8.79	9.3	8.79	9.2	6775	EUR	
25/05/2012 00:00	9.2	9.62	9.1	9.62	3870	EUR	
28/05/2012 00:00	9.62	9.62	9.49	9.62	626	EUR	
29/05/2012 00:00	9.61	9.98	9.59	9.88	841	EUR	
30/05/2012 00:00	9.88	9.98	9.79	9.85	1042	EUR	
31/05/2012 00:00	9.86	10.8	9.86	10	3727	EUR	
01/06/2012 00:00	10	10.57	9.76	10.1	3082	EUR	
04/06/2012 00:00	9.76	10.37	9.76	10.3	618	EUR	
05/06/2012 00:00	10.3	10.57	10.09	10.5	1431	EUR	
06/06/2012 00:00	10.49	10.54	10.2	10.49	719	EUR	
07/06/2012 00:00	10.42	10.55	10.42	10.42	538	EUR	
08/06/2012 00:00	10.45	10.74	10.41	10.64	1715	EUR	
11/06/2012 00:00	10.8	10.8	10.34	10.79	361	EUR	
12/06/2012 00:00	10.73	10.75	10.22	10.75	775	EUR	
13/06/2012 00:00	10.28	10.73	10.01	10.4	3869	EUR	
14/06/2012 00:00	10.34	10.4	9.87	10.34	1596	EUR	
15/06/2012 00:00	10.34	10.34	10.05	10.15	262	EUR	
18/06/2012 00:00	10.11	10.11	9.63	10	553	EUR	
19/06/2012 00:00	9.99	10	9.92	10	666	EUR	
20/06/2012 00:00	9.92	9.99	9.71	9.99	141	EUR	
21/06/2012 00:00	10	10	10	10	32	EUR	
22/06/2012 00:00	9.98	10	9.98	10	57	EUR	
25/06/2012 00:00	9.93	10	9.92	9.92	268	EUR	
26/06/2012 00:00	9.92	10	9.89	10	276	EUR	
27/06/2012 00:00	9.99	10	9.55	9.55	1120	EUR	
28/06/2012 00:00	9.6	9.85	9.17	9.17	3205	EUR	
29/06/2012 00:00	9.62	9.85	9.1	9.84	1002	EUR	
