date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	3.343	3.383	3.303	3.353	124171	EUR	
10/11/2010 00:00	3.343	3.373	3.283	3.303	80192	EUR	
11/11/2010 00:00	3.333	3.383	3.293	3.353	109457	EUR	
12/11/2010 00:00	3.343	3.373	3.303	3.323	48909	EUR	
15/11/2010 00:00	3.343	3.482	3.313	3.413	188820	EUR	
16/11/2010 00:00	3.432	3.432	3.293	3.313	136322	EUR	
17/11/2010 00:00	3.293	3.333	3.283	3.313	45185	EUR	
18/11/2010 00:00	3.333	3.403	3.303	3.343	101903	EUR	
19/11/2010 00:00	3.333	3.363	3.313	3.343	56115	EUR	
22/11/2010 00:00	3.343	3.363	3.293	3.323	70348	EUR	
23/11/2010 00:00	3.303	3.303	3.253	3.214	164652	EUR	
24/11/2010 00:00	3.134	3.194	3.015	3.134	155892	EUR	
25/11/2010 00:00	3.184	3.253	3.174	3.224	76031	EUR	
26/11/2010 00:00	3.224	3.303	3.174	3.293	106320	EUR	
29/11/2010 00:00	3.293	3.313	3.114	3.184	64664	EUR	
30/11/2010 00:00	3.164	3.164	3.074	3.104	59507	EUR	
01/12/2010 00:00	3.084	3.224	3.054	3.194	98465	EUR	
02/12/2010 00:00	3.194	3.263	3.144	3.263	112501	EUR	
03/12/2010 00:00	3.303	3.313	3.174	3.273	107783	EUR	
06/12/2010 00:00	3.233	3.263	3.214	3.233	31042	EUR	
07/12/2010 00:00	3.233	3.283	3.214	3.253	41551	EUR	
08/12/2010 00:00	3.243	3.253	3.214	3.243	28088	EUR	
09/12/2010 00:00	3.243	3.263	3.214	3.243	48472	EUR	
10/12/2010 00:00	3.233	3.263	3.204	3.263	100606	EUR	
13/12/2010 00:00	3.233	3.343	3.233	3.333	366723	EUR	
14/12/2010 00:00	3.323	3.333	3.273	3.283	108100	EUR	
15/12/2010 00:00	3.263	3.472	3.243	3.413	349204	EUR	
16/12/2010 00:00	3.532	3.751	3.452	3.532	830540	EUR	
17/12/2010 00:00	3.542	3.661	3.492	3.651	210620	EUR	
20/12/2010 00:00	3.681	3.691	3.592	3.622	186588	EUR	
21/12/2010 00:00	3.612	3.661	3.542	3.582	137468	EUR	
22/12/2010 00:00	3.582	3.622	3.562	3.592	122377	EUR	
23/12/2010 00:00	3.572	3.582	3.462	3.492	288400	EUR	
24/12/2010 00:00	3.482	3.502	3.452	3.472	38038	EUR	
27/12/2010 00:00	3.442	3.462	3.393	3.423	117582	EUR	
28/12/2010 00:00	3.403	3.482	3.403	3.403	61271	EUR	
29/12/2010 00:00	3.442	3.482	3.413	3.442	77056	EUR	
30/12/2010 00:00	3.522	3.552	3.472	3.522	149636	EUR	
31/12/2010 00:00	3.532	3.542	3.462	3.482	46587	EUR	
03/01/2011 00:00	3.512	3.532	3.452	3.472	52888	EUR	
04/01/2011 00:00	3.482	3.502	3.442	3.462	174828	EUR	
05/01/2011 00:00	3.472	3.532	3.452	3.492	270640	EUR	
