date	ouv	haut	bas	clot	vol	devise	
06/12/2017 00:00	14.05	14.19	13.9	14	7400	EUR	
07/12/2017 00:00	14	14.04	13.83	14.04	5804	EUR	
08/12/2017 00:00	14.03	14.04	13.88	14.04	1530	EUR	
11/12/2017 00:00	14.05	14.05	13.95	14.04	1709	EUR	
12/12/2017 00:00	14.03	14.04	13.95	14.03	1401	EUR	
13/12/2017 00:00	14.03	14.03	13.92	13.95	851	EUR	
14/12/2017 00:00	13.9	14.02	13.83	14.02	2235	EUR	
15/12/2017 00:00	14.02	14.02	13.98	14	331	EUR	
18/12/2017 00:00	13.98	13.98	13.86	13.93	2479	EUR	
19/12/2017 00:00	13.93	13.93	13.75	13.93	1084	EUR	
20/12/2017 00:00	13.88	13.93	13.79	13.9	1709	EUR	
21/12/2017 00:00	13.93	14.01	13.85	14.01	2214	EUR	
22/12/2017 00:00	14.01	14.01	13.98	14.01	419	EUR	
27/12/2017 00:00	14	14	13.9	13.94	1799	EUR	
28/12/2017 00:00	13.94	13.94	13.91	13.93	598	EUR	
29/12/2017 00:00	13.93	14.02	13.91	13.95	8636	EUR	
02/01/2018 00:00	13.98	14.05	13.98	14.01	7187	EUR	
03/01/2018 00:00	14.018	14.068	14.01	14.02	2260	EUR	
04/01/2018 00:00	14.05	14.05	14	14	5114	EUR	
05/01/2018 00:00	14.05	14.05	14	14	3867	EUR	
08/01/2018 00:00	14.018	14.05	13.992	13.992	13583	EUR	
09/01/2018 00:00	13.994	14	13.97	14	4113	EUR	
10/01/2018 00:00	14	14	13.98	13.98	1563	EUR	
11/01/2018 00:00	13.98	13.98	13.7	13.7	3988	EUR	
12/01/2018 00:00	13.7	13.7	13.692	13.7	1372	EUR	
15/01/2018 00:00	13.702	13.702	13.694	13.698	3174	EUR	
16/01/2018 00:00	13.698	13.78	13.696	13.78	2542	EUR	
17/01/2018 00:00	13.77	13.77	13.69	13.69	2131	EUR	
18/01/2018 00:00	13.69	13.692	13.68	13.686	1844	EUR	
19/01/2018 00:00	13.688	13.688	13.62	13.63	2973	EUR	
22/01/2018 00:00	13.63	13.63	13.63	13.63	301	EUR	
23/01/2018 00:00	13.63	13.63	13.57	13.58	1427	EUR	
24/01/2018 00:00	13.582	13.582	13.52	13.52	809	EUR	
25/01/2018 00:00	13.552	13.552	13.52	13.52	283	EUR	
26/01/2018 00:00	13.522	13.522	13.42	13.42	1366	EUR	
29/01/2018 00:00	13.422	13.428	13.42	13.428	3073	EUR	
30/01/2018 00:00	13.43	13.43	13.19	13.19	2753	EUR	
31/01/2018 00:00	13.19	13.2	13.18	13.188	1133	EUR	
01/02/2018 00:00	13.188	14	13.186	13.948	23263	EUR	
02/02/2018 00:00	13.978	14	13.95	13.97	3139	EUR	
05/02/2018 00:00	13.96	13.96	13.81	13.85	2049	EUR	
06/02/2018 00:00	13.72	13.72	13.48	13.598	3121	EUR	
07/02/2018 00:00	13.598	13.7	13.598	13.64	526	EUR	
08/02/2018 00:00	13.748	13.79	13.702	13.702	2217	EUR	
09/02/2018 00:00	13.702	13.706	13.55	13.55	2325	EUR	
12/02/2018 00:00	13.552	13.558	13.54	13.54	442	EUR	
13/02/2018 00:00	13.542	13.542	13.3	13.3	2582	EUR	
14/02/2018 00:00	13.32	13.32	13.314	13.32	232	EUR	
15/02/2018 00:00	13.322	13.322	13.15	13.246	2573	EUR	
16/02/2018 00:00	13.244	13.246	13.244	13.246	877	EUR	
19/02/2018 00:00	13.248	13.25	13.246	13.25	403	EUR	
20/02/2018 00:00	13.25	13.252	13.25	13.25	401	EUR	
21/02/2018 00:00	13.25	13.25	13.25	13.25	451	EUR	
22/02/2018 00:00	13.25	13.25	13.2	13.206	881	EUR	
23/02/2018 00:00	13.22	13.22	13.2	13.2	931	EUR	
26/02/2018 00:00	13.2	13.202	13.198	13.202	225	EUR	
27/02/2018 00:00	13.202	13.204	13.202	13.204	255	EUR	
28/02/2018 00:00	13.206	13.206	13.206	13.206	106	EUR	
01/03/2018 00:00	13.206	13.208	13.206	13.208	7	EUR	
02/03/2018 00:00	13.208	13.212	13.208	13.212	846	EUR	
05/03/2018 00:00	13.214	13.214	13.2	13.204	60438	EUR	
06/03/2018 00:00	13.206	13.206	13.206	13.206	113	EUR	
07/03/2018 00:00	13.206	13.206	13.206	13.206	51	EUR	
08/03/2018 00:00	13.206	13.208	13.206	13.208	101	EUR	
09/03/2018 00:00	13.206	13.256	13.206	13.256	1024	EUR	
12/03/2018 00:00	13.258	13.258	13.256	13.258	456	EUR	
13/03/2018 00:00	13.258	13.258	13.258	13.258	107	EUR	
14/03/2018 00:00	13.258	13.26	13.258	13.26	19	EUR	
15/03/2018 00:00	13.26	13.26	13.26	13.26	101	EUR	
16/03/2018 00:00	13.26	13.26	13.26	13.26	161	EUR	
19/03/2018 00:00	13.262	13.262	13.256	13.256	547	EUR	
20/03/2018 00:00	13.256	13.258	13.256	13.258	1003	EUR	
21/03/2018 00:00	13.258	13.26	13.258	13.26	65	EUR	
22/03/2018 00:00	13.26	13.26	13.254	13.254	889	EUR	
23/03/2018 00:00	13.254	13.254	13.248	13.248	639	EUR	
26/03/2018 00:00	13.248	13.248	13.2	13.2	1475	EUR	
27/03/2018 00:00	13.202	13.202	13.194	13.194	321	EUR	
28/03/2018 00:00	13.194	13.194	13.18	13.18	728	EUR	
29/03/2018 00:00	13.18	13.18	13.174	13.174	786	EUR	
03/04/2018 00:00	13.176	13.176	13.154	13.154	1158	EUR	
04/04/2018 00:00	13.154	13.154	13.146	13.15	396	EUR	
05/04/2018 00:00	13.15	13.15	13.13	13.13	253	EUR	
06/04/2018 00:00	13.13	13.13	13.118	13.118	320	EUR	
09/04/2018 00:00	13.118	13.118	13.08	13.09	546	EUR	
10/04/2018 00:00	13.102	13.102	13.08	13.08	52	EUR	
11/04/2018 00:00	13.092	13.112	13.092	13.11	4509	EUR	
12/04/2018 00:00	13.11	13.11	13.09	13.09	336	EUR	
13/04/2018 00:00	13.05	13.102	13.05	13.052	547	EUR	
16/04/2018 00:00	13.052	13.052	13	13.052	201	EUR	
17/04/2018 00:00	13.018	13.05	13.018	13.05	253	EUR	
18/04/2018 00:00	13.052	13.052	13.042	13.042	199	EUR	
19/04/2018 00:00	13.042	13.042	13.04	13.04	286	EUR	
20/04/2018 00:00	13.04	13.04	13	13	114	EUR	
23/04/2018 00:00	12.88	12.88	12.402	12.6	1600	EUR	
24/04/2018 00:00	12.62	12.62	12.26	12.26	844	EUR	
25/04/2018 00:00	12	12	11.3	11.55	4981	EUR	
26/04/2018 00:00	11.55	11.576	11.54	11.576	1372	EUR	
27/04/2018 00:00	11.576	11.576	11.572	11.574	331	EUR	
30/04/2018 00:00	11.574	11.578	11.574	11.578	360	EUR	
02/05/2018 00:00	11.58	11.58	11.576	11.576	632	EUR	
03/05/2018 00:00	11.58	11.58	11.57	11.57	1517	EUR	
04/05/2018 00:00	11.576	11.82	11.576	11.64	6202	EUR	
07/05/2018 00:00	11.642	11.642	11.63	11.63	2345	EUR	
08/05/2018 00:00	11.632	11.632	11.616	11.616	1476	EUR	
09/05/2018 00:00	11.616	11.618	11.616	11.618	154	EUR	
10/05/2018 00:00	11.618	11.62	11.618	11.618	55	EUR	
11/05/2018 00:00	11.62	11.62	11.62	11.62	101	EUR	
14/05/2018 00:00	11.624	11.652	11.62	11.65	4001	EUR	
15/05/2018 00:00	11.652	11.666	11.648	11.65	3277	EUR	
16/05/2018 00:00	11.652	11.98	11.65	11.98	7631	EUR	
17/05/2018 00:00	11.98	11.98	11.98	11.98	111	EUR	
18/05/2018 00:00	11.982	12.248	11.98	12.12	1959	EUR	
21/05/2018 00:00	12.12	12.12	12.1	12.1	1206	EUR	
22/05/2018 00:00	12.12	12.12	12.022	12.022	792	EUR	
23/05/2018 00:00	12.022	12.04	12.02	12.04	146	EUR	
24/05/2018 00:00	12.04	12.042	12.04	12.042	289	EUR	
25/05/2018 00:00	12.042	12.25	12.042	12.124	2234	EUR	
28/05/2018 00:00	12.124	12.124	12.094	12.094	2673	EUR	
29/05/2018 00:00	12.094	12.094	12.078	12.086	1836	EUR	
30/05/2018 00:00	12.086	12.086	12.068	12.068	2066	EUR	
31/05/2018 00:00	12.066	12.066	12.066	12.066	501	EUR	
01/06/2018 00:00	12.066	12.066	12.066	12.066	37	EUR	
04/06/2018 00:00	12.068	12.068	12.066	12.068	269	EUR	
05/06/2018 00:00	12.068	12.068	12.066	12.066	451	EUR	
06/06/2018 00:00	12.066	12.066	12.066	12.066	11	EUR	
07/06/2018 00:00	12.066	12.068	12.066	12.068	81	EUR	
08/06/2018 00:00	12.068	12.07	12.064	12.07	232	EUR	
11/06/2018 00:00	12.07	12.07	12.07	12.07	25	EUR	
12/06/2018 00:00	12.07	12.072	12.07	12.072	39	EUR	
13/06/2018 00:00	12.072	12.072	12.07	12.072	223	EUR	
14/06/2018 00:00	12.072	12.072	12.072	12.072	76	EUR	
15/06/2018 00:00	12.072	12.072	12.066	12.066	594	EUR	
18/06/2018 00:00	12.066	12.066	12.066	12.066	1	EUR	
19/06/2018 00:00	12.066	12.066	12.058	12.058	671	EUR	
20/06/2018 00:00	12.066	12.066	12.058	12.066	389	EUR	
21/06/2018 00:00	12.064	12.066	12.064	12.066	126	EUR	
22/06/2018 00:00	12.066	12.066	12.066	12.066	1	EUR	
25/06/2018 00:00	12.066	12.068	12.066	12.066	121	EUR	
26/06/2018 00:00	12.066	12.066	12.066	12.066	1	EUR	
27/06/2018 00:00	12.066	12.066	12.066	12.066	1	EUR	
28/06/2018 00:00	12.066	12.066	12.066	12.066	29	EUR	
29/06/2018 00:00	12.066	12.07	12.064	12.07	266	EUR	
02/07/2018 00:00	12.07	12.07	12.066	12.066	481	EUR	
03/07/2018 00:00	12.2	12.65	12.15	12.25	5013	EUR	
04/07/2018 00:00	12.252	12.44	12.252	12.4	2158	EUR	
05/07/2018 00:00	12.43	12.45	12.054	12.22	4339	EUR	
06/07/2018 00:00	12.22	12.22	11.994	11.994	2410	EUR	
09/07/2018 00:00	11.994	11.994	11.7	11.8	2264	EUR	
10/07/2018 00:00	11.8	11.9	11.8	11.88	886	EUR	
11/07/2018 00:00	11.9	11.92	11.82	11.84	749	EUR	
12/07/2018 00:00	11.85	11.85	11.83	11.83	283	EUR	
13/07/2018 00:00	11.82	11.83	11.77	11.77	1186	EUR	
16/07/2018 00:00	11.77	11.77	11.65	11.65	1952	EUR	
17/07/2018 00:00	11.65	11.78	11.57	11.7	2986	EUR	
18/07/2018 00:00	11.702	11.71	11.702	11.71	39	EUR	
19/07/2018 00:00	11.71	11.71	11.702	11.71	501	EUR	
20/07/2018 00:00	11.71	11.712	11.708	11.712	105	EUR	
23/07/2018 00:00	11.714	11.714	11.71	11.71	471	EUR	
24/07/2018 00:00	11.71	11.71	11.71	11.71	101	EUR	
25/07/2018 00:00	11.71	11.716	11.71	11.716	251	EUR	
