date	ouv	haut	bas	clot	vol	devise	
16/06/2017 00:00	14.3	14.56	14.3	14.3	7492884	EUR	
19/06/2017 00:00	14.39	14.39	14.29	14.31	2694260	EUR	
20/06/2017 00:00	14.32	14.38	14.1	14.1	3996557	EUR	
21/06/2017 00:00	14.11	14.15	13.23	13.7	3517655	EUR	
22/06/2017 00:00	13.67	13.89	13.53	13.87	796318	EUR	
23/06/2017 00:00	13.88	14.04	13.7	13.71	530751	EUR	
26/06/2017 00:00	13.78	13.87	13.51	13.7	446772	EUR	
27/06/2017 00:00	13.7	13.74	13.34	13.55	387445	EUR	
28/06/2017 00:00	13.51	13.66	13.42	13.5	117947	EUR	
29/06/2017 00:00	13.59	13.86	13.47	13.7	510996	EUR	
30/06/2017 00:00	13.85	13.97	13.57	13.75	219519	EUR	
03/07/2017 00:00	13.94	14.3	13.82	14.2	232394	EUR	
04/07/2017 00:00	14.32	14.32	14.1	14.17	489305	EUR	
05/07/2017 00:00	14.15	14.26	14.095	14.2	178029	EUR	
06/07/2017 00:00	14.22	14.775	14.15	14.775	203249	EUR	
07/07/2017 00:00	14.68	15.04	14.5	15	494191	EUR	
10/07/2017 00:00	15.09	15.26	15.05	15.21	244639	EUR	
11/07/2017 00:00	15.26	16.39	15.2	15.75	386030	EUR	
12/07/2017 00:00	15.75	15.75	15.28	15.54	76423	EUR	
13/07/2017 00:00	15.54	15.88	15.21	15.65	136308	EUR	
14/07/2017 00:00	15.72	15.74	15.41	15.5	47847	EUR	
17/07/2017 00:00	15.52	15.69	15.5	15.625	72320	EUR	
18/07/2017 00:00	15.605	15.625	15.45	15.6	76855	EUR	
19/07/2017 00:00	15.6	15.6	15.42	15.62	78091	EUR	
20/07/2017 00:00	15.65	15.95	15.56	15.885	256341	EUR	
21/07/2017 00:00	15.9	15.96	15.66	15.85	82286	EUR	
24/07/2017 00:00	15.875	15.975	15.785	15.93	67395	EUR	
25/07/2017 00:00	15.93	15.975	15.685	15.7	62293	EUR	
26/07/2017 00:00	15.83	15.83	15.02	15.22	454053	EUR	
27/07/2017 00:00	15.04	15.18	14.66	15	185281	EUR	
28/07/2017 00:00	14.9	15	14.75	14.865	207272	EUR	
31/07/2017 00:00	15.005	15.21	14.78	14.86	57100	EUR	
01/08/2017 00:00	15	15.17	14.93	15.15	114980	EUR	
02/08/2017 00:00	15.2	15.5	15.165	15.445	68837	EUR	
03/08/2017 00:00	15.5	15.5	15.04	15.25	163915	EUR	
04/08/2017 00:00	15.3	15.3	14.26	14.3	474307	EUR	
07/08/2017 00:00	14.32	14.43	13.825	13.825	178523	EUR	
08/08/2017 00:00	13.92	14.03	13.225	13.665	241575	EUR	
09/08/2017 00:00	13.645	14.11	13.54	14.015	91682	EUR	
10/08/2017 00:00	14.125	14.295	14.03	14.105	144740	EUR	
11/08/2017 00:00	14.2	14.235	13.73	13.765	147119	EUR	
14/08/2017 00:00	13.855	13.9	13.655	13.71	49299	EUR	
15/08/2017 00:00	13.75	13.83	13.62	13.62	71336	EUR	
16/08/2017 00:00	13.75	13.75	13.65	13.68	78349	EUR	
17/08/2017 00:00	13.7	13.87	13.455	13.465	74274	EUR	
18/08/2017 00:00	13.46	13.59	13.45	13.47	69631	EUR	
21/08/2017 00:00	13.59	13.6	13.455	13.57	40833	EUR	
22/08/2017 00:00	13.6	13.72	13.2	13.2	171722	EUR	
23/08/2017 00:00	13.225	13.45	13.01	13.03	142276	EUR	
24/08/2017 00:00	13.015	13.29	13.01	13.195	137282	EUR	
25/08/2017 00:00	13.25	13.475	13.22	13.265	135754	EUR	
