date	ouv	haut	bas	clot	vol	devise	
12/11/2015 00:00	45	47.65	44.9	46.6	8731362	EUR	
13/11/2015 00:00	46.8	46.84	46.13	46.6	812437	EUR	
16/11/2015 00:00	46	47.1	45.9	47.1	160482	EUR	
17/11/2015 00:00	47.17	48.2	46.58	47.6	176488	EUR	
18/11/2015 00:00	47.65	47.75	46.75	47.2	162542	EUR	
19/11/2015 00:00	47.6	47.89	47.27	47.6	87316	EUR	
20/11/2015 00:00	47.89	47.89	47.31	47.7	69342	EUR	
23/11/2015 00:00	47.88	48	47.3	47.9	100629	EUR	
24/11/2015 00:00	47.77	47.96	47.24	47.29	40371	EUR	
25/11/2015 00:00	47.2	47.73	47.1	47.2	55358	EUR	
26/11/2015 00:00	47.69	48.3	47.33	48.3	141195	EUR	
27/11/2015 00:00	48.3	48.3	47.63	47.9	24346	EUR	
30/11/2015 00:00	48.19	48.2	47.56	47.68	28378	EUR	
01/12/2015 00:00	47.89	47.99	47.39	47.99	32110	EUR	
02/12/2015 00:00	48.45	48.45	46.82	47.35	37652	EUR	
03/12/2015 00:00	47.04	47.25	44.04	46.9	149608	EUR	
04/12/2015 00:00	46.9	47	46.13	46.2	56196	EUR	
07/12/2015 00:00	46.01	46.07	44.81	45	104796	EUR	
08/12/2015 00:00	45	45.78	44.8	45.15	89700	EUR	
09/12/2015 00:00	45.49	45.49	44.58	45.39	40636	EUR	
10/12/2015 00:00	45.71	45.71	45.06	45.2	37519	EUR	
11/12/2015 00:00	45.2	45.33	43.86	44.4	142167	EUR	
14/12/2015 00:00	44.6	44.63	42.24	42.5	110048	EUR	
15/12/2015 00:00	43.04	43.85	42.3	42.86	60278	EUR	
16/12/2015 00:00	43.01	43.96	42.41	43.96	64104	EUR	
17/12/2015 00:00	44.03	44.97	44.03	44.7	47568	EUR	
18/12/2015 00:00	44.5	44.9	44.17	44.9	57457	EUR	
21/12/2015 00:00	44.57	44.66	44	44.04	26878	EUR	
22/12/2015 00:00	44.71	44.79	43.28	43.28	73167	EUR	
23/12/2015 00:00	42.86	43.55	42.84	42.99	9224	EUR	
24/12/2015 00:00	42.83	43.15	42.59	42.59	3503	EUR	
28/12/2015 00:00	42.51	42.61	42.02	42.25	17218	EUR	
29/12/2015 00:00	42.07	42.88	42.07	42.57	50218	EUR	
30/12/2015 00:00	42.675	43.69	42.675	42.935	39947	EUR	
31/12/2015 00:00	43	44.04	42.68	43.18	6090	EUR	
04/01/2016 00:00	44.64	44.7	41.53	42.1	68833	EUR	
05/01/2016 00:00	42.6	42.6	41.655	41.75	47136	EUR	
06/01/2016 00:00	42	42.01	41.03	41.32	27261	EUR	
07/01/2016 00:00	40.995	41.35	39.055	40.1	84463	EUR	
08/01/2016 00:00	40.55	41.535	40.2	40.67	50277	EUR	
11/01/2016 00:00	40.81	40.885	40.1	40.28	16562	EUR	
12/01/2016 00:00	40.105	41.475	40.1	41.305	70722	EUR	
13/01/2016 00:00	41.1	42.55	40.905	41.17	65792	EUR	
14/01/2016 00:00	40.93	41.115	39.995	40.8	67851	EUR	
15/01/2016 00:00	41.41	41.41	38.5	38.905	31564	EUR	
18/01/2016 00:00	38.735	39.295	38	39.05	55231	EUR	
19/01/2016 00:00	39.69	40.46	38.925	39.56	78705	EUR	
20/01/2016 00:00	38.62	38.94	36.02	37.3	112693	EUR	
21/01/2016 00:00	37.11	37.9	36.365	37.485	69143	EUR	
22/01/2016 00:00	38.01	40.5	38.01	39.95	156002	EUR	
25/01/2016 00:00	40.59	40.915	39.72	39.8	32845	EUR	
26/01/2016 00:00	38.485	39.47	38.32	39.465	51701	EUR	
27/01/2016 00:00	39.605	40	39.24	39.805	46966	EUR	
28/01/2016 00:00	39.305	39.78	38.595	38.595	31788	EUR	
29/01/2016 00:00	39.19	39.19	38	38.435	100582	EUR	
01/02/2016 00:00	38.5	38.78	38.115	38.545	34276	EUR	
02/02/2016 00:00	38.205	38.29	37.405	37.7	31534	EUR	
03/02/2016 00:00	37.7	37.86	36.52	37	51216	EUR	
04/02/2016 00:00	37.715	38.8	37.055	37.88	93362	EUR	
05/02/2016 00:00	37.9	38.49	38.2	38.2	65481	EUR	
08/02/2016 00:00	38.45	38.45	36.515	36.515	155388	EUR	
09/02/2016 00:00	36.5	36.57	34.25	34.25	82099	EUR	
10/02/2016 00:00	34.315	35.48	34.25	35.2	93652	EUR	
11/02/2016 00:00	35	35	33.65	33.75	140211	EUR	
12/02/2016 00:00	34.62	35.11	33.775	34.64	118158	EUR	
15/02/2016 00:00	35.6	37.7	35.38	37.12	162387	EUR	
16/02/2016 00:00	37.605	37.9	36.9	37.155	69965	EUR	
17/02/2016 00:00	37.4	38.5	37.305	38.39	48987	EUR	
18/02/2016 00:00	38.36	38.36	37.88	37.88	27334	EUR	
19/02/2016 00:00	37.86	38.13	37.8	37.88	41826	EUR	
22/02/2016 00:00	38.195	38.3	37.8	38.065	21082	EUR	
23/02/2016 00:00	38	38.505	38	38.28	23011	EUR	
24/02/2016 00:00	38.22	38.355	37.6	37.87	22445	EUR	
25/02/2016 00:00	37.97	38.3	37.7	37.9	19567	EUR	
26/02/2016 00:00	38.2	38.4	37.95	38.08	25620	EUR	
29/02/2016 00:00	38.25	38.52	38	38.3	47267	EUR	
