date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	21.65	21.8	21.45	21.5	32196	EUR	
10/11/2010 00:00	21.45	21.55	21.1	21.1	8046	EUR	
11/11/2010 00:00	21.08	21.48	21.05	21.25	3241	EUR	
12/11/2010 00:00	21.055	21.7	21	21.66	10435	EUR	
15/11/2010 00:00	21.925	21.925	21.305	21.6	2481	EUR	
16/11/2010 00:00	21.6	21.6	21.185	21.185	5563	EUR	
17/11/2010 00:00	21.05	21.5	21.05	21.395	8762	EUR	
18/11/2010 00:00	21.35	21.44	21.02	21.02	18287	EUR	
19/11/2010 00:00	21	21.02	20.5	20.7	12335	EUR	
22/11/2010 00:00	20.93	21	19.58	19.7	73735	EUR	
23/11/2010 00:00	19.85	20	19.65	19.88	47832	EUR	
24/11/2010 00:00	19.7	19.8	19.65	19.68	30415	EUR	
25/11/2010 00:00	19.81	19.81	19.53	19.53	18420	EUR	
26/11/2010 00:00	19.65	19.65	18.9	18.9	37902	EUR	
29/11/2010 00:00	19.1	19.275	19	19.275	10560	EUR	
30/11/2010 00:00	19.3	19.945	19.135	19.755	38235	EUR	
01/12/2010 00:00	19.95	20.05	19.4	19.4	41093	EUR	
02/12/2010 00:00	19.6	20.44	19.525	20.095	49444	EUR	
03/12/2010 00:00	20.08	20.08	19.85	20	66573	EUR	
06/12/2010 00:00	19.85	19.99	19.715	19.86	13726	EUR	
07/12/2010 00:00	19.9	20.5	19.9	20.5	48133	EUR	
08/12/2010 00:00	20.59	21.1	20.365	20.365	103055	EUR	
09/12/2010 00:00	20.37	20.99	20.2	20.99	77874	EUR	
10/12/2010 00:00	21	21.48	20.01	20.37	82569	EUR	
13/12/2010 00:00	20.335	20.505	20.23	20.4	49760	EUR	
14/12/2010 00:00	20.645	20.645	20.36	20.45	46042	EUR	
15/12/2010 00:00	20.395	20.48	20.25	20.48	28053	EUR	
16/12/2010 00:00	20.5	20.7	20.46	20.7	32533	EUR	
17/12/2010 00:00	20.4	20.645	20.4	20.635	12904	EUR	
20/12/2010 00:00	20.46	20.75	20.25	20.75	47540	EUR	
21/12/2010 00:00	20.605	21.29	20.43	20.8	92254	EUR	
22/12/2010 00:00	20.75	21.36	20.625	21.36	29618	EUR	
23/12/2010 00:00	21.01	21.24	20.625	20.75	46963	EUR	
24/12/2010 00:00	20.62	20.755	20.5	20.75	9099	EUR	
27/12/2010 00:00	20.75	20.85	20.5	20.705	7138	EUR	
28/12/2010 00:00	20.85	20.85	20.535	20.61	18314	EUR	
29/12/2010 00:00	20.745	20.75	20.7	20.75	2930	EUR	
30/12/2010 00:00	20.75	21.195	20.705	21.195	4030	EUR	
31/12/2010 00:00	21.2	21.2	21.05	21.135	1624	EUR	
03/01/2011 00:00	21.125	21.33	20.8	21.06	9177	EUR	
04/01/2011 00:00	21.3	21.445	21.105	21.3	50062	EUR	
05/01/2011 00:00	21.45	21.5	21.225	21.5	44256	EUR	
06/01/2011 00:00	21.36	21.7	21.36	21.61	24682	EUR	
07/01/2011 00:00	21.795	21.8	21.61	21.75	39560	EUR	
10/01/2011 00:00	21.8	21.8	21.09	21.09	19999	EUR	
11/01/2011 00:00	21.25	21.46	20.9	21.46	9738	EUR	
12/01/2011 00:00	21.115	21.46	21.115	21.33	17658	EUR	
13/01/2011 00:00	21.16	21.5	21.16	21.3	33916	EUR	
14/01/2011 00:00	21.475	21.48	21.19	21.3	14421	EUR	
17/01/2011 00:00	21.49	21.49	21.35	21.45	45781	EUR	
18/01/2011 00:00	21.64	21.65	21.45	21.58	91159	EUR	
19/01/2011 00:00	21.6	23.095	21.6	22.7	139458	EUR	
20/01/2011 00:00	22.84	23.4	22.52	23	81630	EUR	
21/01/2011 00:00	23.32	23.99	23.32	23.87	82594	EUR	
24/01/2011 00:00	23.8	24	23.15	23.5	48495	EUR	
25/01/2011 00:00	22.9	22.95	22.51	22.72	205706	EUR	
26/01/2011 00:00	22.9	23.55	22.85	23.3	38871	EUR	
27/01/2011 00:00	23.5	23.5	23.01	23.27	59601	EUR	
28/01/2011 00:00	23.43	23.5	23.1	23.48	74116	EUR	
31/01/2011 00:00	23.225	23.375	23.06	23.28	15449	EUR	
01/02/2011 00:00	23.245	23.99	23.245	23.99	54671	EUR	
02/02/2011 00:00	23.95	24	23.655	23.92	24295	EUR	
03/02/2011 00:00	23.9	23.99	23.52	23.645	24741	EUR	
04/02/2011 00:00	23.81	23.99	23.57	23.6	31226	EUR	
07/02/2011 00:00	23.53	23.85	23.5	23.515	54531	EUR	
08/02/2011 00:00	23.5	23.79	23.4	23.4	30882	EUR	
09/02/2011 00:00	23.4	23.6	23.3	23.4	28446	EUR	
10/02/2011 00:00	23.37	23.7	22.715	22.92	13472	EUR	
11/02/2011 00:00	22.92	23.07	22.66	22.66	13336	EUR	
14/02/2011 00:00	22.665	22.91	22.52	22.6	21286	EUR	
15/02/2011 00:00	22.605	22.92	22.55	22.88	35298	EUR	
16/02/2011 00:00	23.01	23.48	22.65	23.37	16667	EUR	
17/02/2011 00:00	23.4	23.4	22.76	23.215	15488	EUR	
18/02/2011 00:00	23.255	23.395	23.03	23.03	18144	EUR	
21/02/2011 00:00	22.94	23.08	22.515	22.53	29819	EUR	
22/02/2011 00:00	22.4	22.4	21.8	21.96	32569	EUR	
23/02/2011 00:00	22.15	22.35	22.08	22.205	38278	EUR	
24/02/2011 00:00	22.035	22.47	21.76	22.455	23714	EUR	
25/02/2011 00:00	22.44	22.9	22.405	22.82	21856	EUR	
28/02/2011 00:00	23	23	22.51	22.9	39441	EUR	
01/03/2011 00:00	22.67	22.745	22.17	22.385	85310	EUR	
02/03/2011 00:00	22.205	22.205	21.66	22.095	27331	EUR	
03/03/2011 00:00	22.18	22.26	22.15	22.15	25222	EUR	
04/03/2011 00:00	22.15	22.325	22.1	22.245	22724	EUR	
07/03/2011 00:00	22.125	22.345	22.12	22.33	30496	EUR	
08/03/2011 00:00	22.37	22.5	22.325	22.41	69171	EUR	
09/03/2011 00:00	22.48	22.63	21.81	22	49694	EUR	
10/03/2011 00:00	21.86	21.89	21.265	21.35	37134	EUR	
11/03/2011 00:00	21.85	21.85	20.86	20.89	47036	EUR	
14/03/2011 00:00	20.6	20.77	20.5	20.52	25261	EUR	
15/03/2011 00:00	20.49	20.49	19.31	19.51	60965	EUR	
16/03/2011 00:00	19.6	19.89	19.02	19.03	110779	EUR	
17/03/2011 00:00	19.055	19.595	19.05	19.595	38635	EUR	
18/03/2011 00:00	20.05	20.25	19.8	20.1	56354	EUR	
21/03/2011 00:00	20.2	20.6	20	20.57	35748	EUR	
22/03/2011 00:00	20.63	20.98	20.4	20.945	41547	EUR	
23/03/2011 00:00	20.87	20.9	20.33	20.52	27017	EUR	
24/03/2011 00:00	20.68	20.68	20.405	20.5	34397	EUR	
25/03/2011 00:00	20.65	20.65	20.3	20.31	23967	EUR	
28/03/2011 00:00	20.4	20.59	20.22	20.22	22623	EUR	
29/03/2011 00:00	20.25	20.445	19.865	20	106930	EUR	
30/03/2011 00:00	19.965	20.05	19.9	19.92	51835	EUR	
31/03/2011 00:00	19.86	20	19.5	19.5	76875	EUR	
01/04/2011 00:00	19.65	19.83	19.1	19.65	79353	EUR	
04/04/2011 00:00	19.845	20.15	19.77	19.79	66307	EUR	
05/04/2011 00:00	19.9	20.2	19.9	19.96	43452	EUR	
06/04/2011 00:00	20	20.145	19.91	20.1	17218	EUR	
07/04/2011 00:00	20.1	20.385	20.1	20.365	36219	EUR	
08/04/2011 00:00	20.49	20.85	20.49	20.83	35706	EUR	
11/04/2011 00:00	20.88	21	20.805	21	28792	EUR	
12/04/2011 00:00	21	21.29	21	21.045	45834	EUR	
13/04/2011 00:00	21.05	21.39	21	21.305	28335	EUR	
14/04/2011 00:00	21.32	21.375	21.26	21.3	32902	EUR	
15/04/2011 00:00	21.29	21.32	21.05	21.25	31119	EUR	
18/04/2011 00:00	21.35	21.35	20.895	21.215	31415	EUR	
19/04/2011 00:00	21.03	21.6	21	21.6	22879	EUR	
20/04/2011 00:00	21.59	21.59	21.39	21.59	17726	EUR	
21/04/2011 00:00	21.6	21.65	21.305	21.56	58630	EUR	
26/04/2011 00:00	21.4	21.81	21.4	21.81	20150	EUR	
27/04/2011 00:00	21.52	21.8	21.485	21.53	50097	EUR	
28/04/2011 00:00	21.6	21.78	21.5	21.76	105065	EUR	
29/04/2011 00:00	21.79	21.9	21.665	21.74	500664	EUR	
02/05/2011 00:00	21.785	21.96	21.35	21.45	422356	EUR	
03/05/2011 00:00	21.655	21.655	21.38	21.4	38487	EUR	
04/05/2011 00:00	21.35	21.4	21.2	21.2	13514	EUR	
05/05/2011 00:00	21.24	21.295	20.85	20.965	13309	EUR	
06/05/2011 00:00	21.1	21.1	20.915	20.98	9992	EUR	
09/05/2011 00:00	20.95	21.1	20.85	20.995	71263	EUR	
10/05/2011 00:00	20.99	21.15	20.95	20.98	73415	EUR	
11/05/2011 00:00	21.15	21.15	20.82	20.85	43984	EUR	
12/05/2011 00:00	20.745	20.995	20.745	20.95	22240	EUR	
13/05/2011 00:00	20.995	21.045	20.865	20.9	20283	EUR	
16/05/2011 00:00	20.815	20.815	20.395	20.55	38600	EUR	
17/05/2011 00:00	20.5	20.505	20.3	20.3	43302	EUR	
18/05/2011 00:00	20.365	20.39	19.95	19.975	64982	EUR	
19/05/2011 00:00	20.1	20.1	19.9	19.9	19016	EUR	
20/05/2011 00:00	19.94	20.115	19.905	19.995	46141	EUR	
23/05/2011 00:00	19.91	19.92	19.32	19.325	44623	EUR	
24/05/2011 00:00	19.325	19.48	19.325	19.395	27405	EUR	
25/05/2011 00:00	19.4	19.78	19.4	19.67	60541	EUR	
26/05/2011 00:00	19.75	20.095	19.705	19.915	22880	EUR	
27/05/2011 00:00	20	20.03	19.81	20.015	61407	EUR	
30/05/2011 00:00	20.015	20.13	19.87	19.9	10542	EUR	
31/05/2011 00:00	19.995	20.38	19.995	20.38	31218	EUR	
01/06/2011 00:00	20.25	20.39	20.2	20.3	18194	EUR	
02/06/2011 00:00	20.19	20.3	20	20.28	17036	EUR	
03/06/2011 00:00	20.3	20.415	20.2	20.415	12228	EUR	
06/06/2011 00:00	20.375	20.395	20.215	20.32	15351	EUR	
07/06/2011 00:00	20.2	20.5	20.2	20.47	12761	EUR	
08/06/2011 00:00	20.405	20.47	20.25	20.34	7927	EUR	
09/06/2011 00:00	20.36	20.48	20.3	20.44	23528	EUR	
10/06/2011 00:00	20.4	20.5	20.25	20.4	22060	EUR	
13/06/2011 00:00	20.3	20.44	20.3	20.42	8004	EUR	
14/06/2011 00:00	20.38	20.61	20.375	20.58	12784	EUR	
15/06/2011 00:00	20.58	20.62	20.32	20.35	20728	EUR	
16/06/2011 00:00	20.3	20.3	19.92	20.1	40637	EUR	
17/06/2011 00:00	20.15	20.36	19.945	20.215	21593	EUR	
20/06/2011 00:00	20.05	20.29	20.05	20.17	7086	EUR	
21/06/2011 00:00	20.25	20.65	20.16	20.555	14491	EUR	
22/06/2011 00:00	20.525	20.565	20.3	20.41	14204	EUR	
23/06/2011 00:00	20.25	20.38	20	20.05	21035	EUR	
24/06/2011 00:00	20.105	20.19	19.5	19.61	23288	EUR	
27/06/2011 00:00	19.5	19.6	18.895	19.07	59664	EUR	
28/06/2011 00:00	19.005	19.25	18.985	19.11	39059	EUR	
29/06/2011 00:00	19.15	19.285	19.035	19.2	19670	EUR	
30/06/2011 00:00	19.285	19.555	19.27	19.39	24293	EUR	
01/07/2011 00:00	19.515	19.65	19.3	19.4	28044	EUR	
04/07/2011 00:00	19.2	19.34	19.125	19.22	19462	EUR	
05/07/2011 00:00	19.19	19.25	19	19.09	21498	EUR	
06/07/2011 00:00	19.05	19.09	18.54	18.56	29486	EUR	
07/07/2011 00:00	18.59	18.7	18.055	18.2	132041	EUR	
08/07/2011 00:00	18.2	18.4	17.8	17.89	42531	EUR	
11/07/2011 00:00	17.82	17.98	17.32	17.43	134488	EUR	
