date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	4.39	4.7	4.39	4.7	21370	EUR	
10/11/2010 00:00	4.7	4.7	4.55	4.57	14237	EUR	
11/11/2010 00:00	4.51	4.59	4.47	4.59	2344	EUR	
12/11/2010 00:00	4.45	4.68	4.43	4.68	7451	EUR	
15/11/2010 00:00	4.69	4.9	4.68	4.78	43463	EUR	
16/11/2010 00:00	4.88	4.95	4.81	4.81	25323	EUR	
17/11/2010 00:00	4.81	4.85	4.75	4.84	10256	EUR	
18/11/2010 00:00	4.84	4.9	4.76	4.85	20375	EUR	
19/11/2010 00:00	4.82	4.82	4.7	4.8	9075	EUR	
22/11/2010 00:00	4.88	4.92	4.8	4.87	33637	EUR	
23/11/2010 00:00	4.89	4.9	4.75	4.8	3605	EUR	
24/11/2010 00:00	4.77	4.86	4.73	4.78	9201	EUR	
25/11/2010 00:00	4.84	4.99	4.8	4.88	33899	EUR	
26/11/2010 00:00	4.89	4.89	4.72	4.72	18988	EUR	
29/11/2010 00:00	4.72	4.72	4.66	4.69	15965	EUR	
30/11/2010 00:00	4.69	4.69	4.51	4.6	9090	EUR	
01/12/2010 00:00	4.61	4.8	4.61	4.75	11594	EUR	
02/12/2010 00:00	4.73	4.78	4.73	4.78	1350	EUR	
03/12/2010 00:00	4.78	4.78	4.7	4.7	6260	EUR	
06/12/2010 00:00	4.7	4.7	4.64	4.64	1309	EUR	
07/12/2010 00:00	4.65	4.74	4.65	4.74	8752	EUR	
08/12/2010 00:00	4.68	4.74	4.65	4.7	1594	EUR	
09/12/2010 00:00	4.7	4.74	4.69	4.69	5876	EUR	
10/12/2010 00:00	4.7	4.7	4.69	4.69	2766	EUR	
13/12/2010 00:00	4.7	4.7	4.67	4.67	7801	EUR	
14/12/2010 00:00	4.66	4.7	4.65	4.65	3300	EUR	
15/12/2010 00:00	4.65	4.65	4.6	4.65	5890	EUR	
16/12/2010 00:00	4.64	4.64	4.55	4.6	8823	EUR	
17/12/2010 00:00	4.6	4.6	4.54	4.55	6367	EUR	
20/12/2010 00:00	4.7	4.7	4.54	4.7	105571	EUR	
21/12/2010 00:00	4.7	4.88	4.7	4.82	51179	EUR	
22/12/2010 00:00	4.82	4.85	4.77	4.77	10785	EUR	
23/12/2010 00:00	4.84	4.87	4.76	4.76	4216	EUR	
24/12/2010 00:00	4.75	4.81	4.75	4.81	2578	EUR	
27/12/2010 00:00	4.8	4.8	4.75	4.76	1163	EUR	
28/12/2010 00:00	4.8	4.81	4.75	4.8	5234	EUR	
29/12/2010 00:00	4.81	4.81	4.75	4.79	5160	EUR	
30/12/2010 00:00	4.79	4.8	4.75	4.75	4252	EUR	
31/12/2010 00:00	4.75	4.79	4.75	4.79	2541	EUR	
03/01/2011 00:00	4.79	4.8	4.73	4.73	10050	EUR	
04/01/2011 00:00	4.76	4.8	4.76	4.8	3159	EUR	
05/01/2011 00:00	4.8	4.8	4.77	4.78	6994	EUR	
06/01/2011 00:00	4.78	4.8	4.77	4.79	2840	EUR	
07/01/2011 00:00	4.8	4.82	4.8	4.82	25219	EUR	
10/01/2011 00:00	4.78	4.82	4.78	4.82	3425	EUR	
11/01/2011 00:00	4.82	4.82	4.65	4.7	7585	EUR	
12/01/2011 00:00	4.7	4.72	4.65	4.65	11480	EUR	
13/01/2011 00:00	4.63	4.7	4.61	4.7	2925	EUR	
14/01/2011 00:00	4.79	4.85	4.71	4.75	17333	EUR	
17/01/2011 00:00	4.75	4.8	4.63	4.8	8654	EUR	
18/01/2011 00:00	4.79	4.85	4.72	4.85	9834	EUR	
19/01/2011 00:00	4.87	4.87	4.75	4.86	2590	EUR	
20/01/2011 00:00	4.75	4.75	4.72	4.72	1488	EUR	
21/01/2011 00:00	4.81	4.84	4.75	4.83	2275	EUR	
24/01/2011 00:00	4.85	4.85	4.72	4.79	1773	EUR	
25/01/2011 00:00	4.75	4.8	4.68	4.73	10573	EUR	
26/01/2011 00:00	4.74	4.8	4.72	4.8	5539	EUR	
27/01/2011 00:00	4.8	4.84	4.75	4.84	4613	EUR	
28/01/2011 00:00	4.82	4.82	4.79	4.82	3525	EUR	
31/01/2011 00:00	5	5.2	4.92	5.2	92767	EUR	
01/02/2011 00:00	5.2	5.2	4.71	4.98	32225	EUR	
02/02/2011 00:00	4.98	4.99	4.86	4.99	1680	EUR	
03/02/2011 00:00	5	5	4.88	4.9	10219	EUR	
04/02/2011 00:00	4.89	4.9	4.88	4.88	5262	EUR	
07/02/2011 00:00	5.01	5.1	4.98	4.98	8641	EUR	
08/02/2011 00:00	5.09	5.09	5.02	5.02	2550	EUR	
09/02/2011 00:00	5.08	5.09	4.98	4.98	3739	EUR	
10/02/2011 00:00	5	5.08	5	5.08	3749	EUR	
11/02/2011 00:00	5.08	5.1	5.01	5.1	2933	EUR	
14/02/2011 00:00	5.01	5.02	4.95	5	11687	EUR	
15/02/2011 00:00	5	5	4.95	5	3337	EUR	
16/02/2011 00:00	5	5	4.95	4.96	1261	EUR	
17/02/2011 00:00	4.95	5	4.91	4.97	10358	EUR	
18/02/2011 00:00	4.97	4.99	4.97	4.97	2676	EUR	
21/02/2011 00:00	4.95	5	4.84	4.87	12557	EUR	
22/02/2011 00:00	4.84	4.84	4.75	4.76	16670	EUR	
23/02/2011 00:00	4.76	4.93	4.76	4.82	3700	EUR	
24/02/2011 00:00	4.8	4.86	4.74	4.75	9508	EUR	
25/02/2011 00:00	4.77	4.88	4.67	4.68	29730	EUR	
28/02/2011 00:00	4.7	4.78	4.68	4.7	4365	EUR	
01/03/2011 00:00	4.75	4.8	4.72	4.8	1982	EUR	
02/03/2011 00:00	4.8	4.8	4.72	4.78	2849	EUR	
03/03/2011 00:00	4.77	4.82	4.77	4.82	4377	EUR	
04/03/2011 00:00	4.8	4.88	4.75	4.86	16095	EUR	
07/03/2011 00:00	4.72	4.84	4.71	4.8	4400	EUR	
08/03/2011 00:00	4.82	4.83	4.71	4.71	1310	EUR	
09/03/2011 00:00	4.78	4.79	4.72	4.76	1060	EUR	
10/03/2011 00:00	4.77	4.79	4.7	4.7	7108	EUR	
11/03/2011 00:00	4.79	4.79	4.51	4.63	10705	EUR	
14/03/2011 00:00	4.48	4.63	4.48	4.63	4009	EUR	
15/03/2011 00:00	4.47	4.47	4.19	4.3	27060	EUR	
16/03/2011 00:00	4.35	4.35	4.32	4.32	2324	EUR	
17/03/2011 00:00	4.32	4.5	4.32	4.5	9854	EUR	
18/03/2011 00:00	4.62	4.62	4.54	4.55	2090	EUR	
21/03/2011 00:00	4.59	4.6	4.54	4.59	2808	EUR	
22/03/2011 00:00	4.6	4.6	4.59	4.59	300	EUR	
23/03/2011 00:00	4.6	4.6	4.52	4.58	3587	EUR	
24/03/2011 00:00	4.58	4.6	4.58	4.6	4076	EUR	
25/03/2011 00:00	4.62	4.63	4.52	4.55	11413	EUR	
28/03/2011 00:00	4.6	4.6	4.53	4.55	1544	EUR	
29/03/2011 00:00	4.55	4.55	4.52	4.52	280	EUR	
30/03/2011 00:00	4.52	4.58	4.5	4.55	2896	EUR	
31/03/2011 00:00	4.55	4.65	4.55	4.65	1740	EUR	
01/04/2011 00:00	4.52	4.7	4.45	4.61	15114	EUR	
04/04/2011 00:00	4.69	4.69	4.56	4.58	5514	EUR	
05/04/2011 00:00	4.58	4.58	4.51	4.57	3453	EUR	
06/04/2011 00:00	4.55	4.6	4.41	4.43	24025	EUR	
07/04/2011 00:00	4.55	4.78	4.55	4.7	9266	EUR	
08/04/2011 00:00	4.86	4.89	4.77	4.82	14541	EUR	
11/04/2011 00:00	4.78	4.86	4.78	4.86	9928	EUR	
12/04/2011 00:00	4.83	4.83	4.78	4.82	5546	EUR	
13/04/2011 00:00	4.84	4.86	4.77	4.77	8419	EUR	
14/04/2011 00:00	4.77	4.77	4.6	4.6	3555	EUR	
15/04/2011 00:00	4.57	4.69	4.57	4.6	5872	EUR	
18/04/2011 00:00	4.61	4.61	4.53	4.54	4526	EUR	
19/04/2011 00:00	4.63	4.84	4.56	4.84	18829	EUR	
20/04/2011 00:00	4.82	4.82	4.66	4.74	1840	EUR	
21/04/2011 00:00	4.7	4.7	4.68	4.68	560	EUR	
26/04/2011 00:00	4.7	4.7	4.7	4.7	5000	EUR	
27/04/2011 00:00	4.75	4.85	4.75	4.76	8195	EUR	
28/04/2011 00:00	4.74	4.9	4.74	4.9	28176	EUR	
29/04/2011 00:00	4.89	4.89	4.76	4.84	3154	EUR	
02/05/2011 00:00	4.6	4.65	4.4	4.63	22331	EUR	
03/05/2011 00:00	4.53	4.79	4.5	4.75	16394	EUR	
04/05/2011 00:00	4.63	4.79	4.63	4.79	2046	EUR	
05/05/2011 00:00	4.79	4.79	4.61	4.61	5783	EUR	
06/05/2011 00:00	4.62	4.62	4.53	4.53	4083	EUR	
09/05/2011 00:00	4.53	4.6	4.5	4.6	4639	EUR	
10/05/2011 00:00	4.6	4.6	4.5	4.56	3583	EUR	
11/05/2011 00:00	4.52	4.56	4.52	4.56	700	EUR	
12/05/2011 00:00	4.59	4.59	4.47	4.47	2659	EUR	
13/05/2011 00:00	4.48	4.58	4.44	4.44	4800	EUR	
16/05/2011 00:00	4.43	4.55	4.43	4.5	899	EUR	
17/05/2011 00:00	4.43	4.43	4.41	4.41	500	EUR	
18/05/2011 00:00	4.42	4.5	4.4	4.41	2271	EUR	
19/05/2011 00:00	4.56	4.69	4.56	4.67	5629	EUR	
20/05/2011 00:00	4.67	4.69	4.67	4.69	10762	EUR	
23/05/2011 00:00	4.7	4.79	4.64	4.77	13363	EUR	
24/05/2011 00:00	4.79	4.8	4.79	4.8	1876	EUR	
25/05/2011 00:00	4.8	4.81	4.75	4.75	3153	EUR	
26/05/2011 00:00	4.8	4.8	4.68	4.79	1797	EUR	
27/05/2011 00:00	4.8	4.8	4.6	4.65	11622	EUR	
30/05/2011 00:00	4.67	4.77	4.64	4.64	3306	EUR	
31/05/2011 00:00	4.67	4.67	4.66	4.66	150	EUR	
01/06/2011 00:00	4.66	4.66	4.66	4.66	100	EUR	
02/06/2011 00:00	4.64	4.64	4.53	4.58	1410	EUR	
03/06/2011 00:00	4.54	4.56	4.54	4.54	311	EUR	
06/06/2011 00:00	4.54	4.54	4.51	4.51	5736	EUR	
07/06/2011 00:00	4.59	4.59	4.44	4.45	4792	EUR	
08/06/2011 00:00	4.45	4.53	4.45	4.53	1050	EUR	
09/06/2011 00:00	4.45	4.47	4.45	4.46	735	EUR	
10/06/2011 00:00	4.49	4.49	4.27	4.35	7254	EUR	
13/06/2011 00:00	4.33	4.48	4.33	4.4	1364	EUR	
14/06/2011 00:00	4.41	4.47	4.4	4.47	4185	EUR	
15/06/2011 00:00	4.5	4.5	4.38	4.38	20412	EUR	
16/06/2011 00:00	4.4	4.4	4.25	4.3	4165	EUR	
17/06/2011 00:00	4.21	4.21	3.94	4.11	23188	EUR	
20/06/2011 00:00	4.09	4.18	4.06	4.18	4248	EUR	
21/06/2011 00:00	4.26	4.27	4.22	4.25	40311	EUR	
22/06/2011 00:00	4.25	4.27	4.2	4.26	4073	EUR	
23/06/2011 00:00	4.24	4.24	4.15	4.15	16409	EUR	
24/06/2011 00:00	4.13	4.22	4.12	4.12	4954	EUR	
27/06/2011 00:00	4.13	4.13	4.11	4.11	1472	EUR	
28/06/2011 00:00	4.15	4.15	3.85	4	2983	EUR	
29/06/2011 00:00	3.99	4	3.85	3.93	2342	EUR	
30/06/2011 00:00	3.95	4.19	3.9	4.19	6915	EUR	
01/07/2011 00:00	4.35	4.73	4.3	4.39	59059	EUR	
04/07/2011 00:00	4.5	4.5	4.35	4.4	4761	EUR	
05/07/2011 00:00	4.38	4.39	4.3	4.3	5248	EUR	
06/07/2011 00:00	4.29	4.31	4.25	4.25	5716	EUR	
07/07/2011 00:00	4.25	4.3	4.16	4.25	5832	EUR	
08/07/2011 00:00	4.24	4.24	4.05	4.08	12333	EUR	
11/07/2011 00:00	4.08	4.19	4.01	4.01	6992	EUR	
12/07/2011 00:00	4	4.24	3.95	4.24	11439	EUR	
13/07/2011 00:00	4.23	4.23	4.23	4.23	250	EUR	
14/07/2011 00:00	4.18	4.18	3.98	4.12	1191	EUR	
15/07/2011 00:00	4.13	4.14	4.13	4.14	1000	EUR	
18/07/2011 00:00	4.08	4.08	3.95	4.07	6921	EUR	
19/07/2011 00:00	4.09	4.13	3.98	4.13	1926	EUR	
20/07/2011 00:00	4.14	4.2	4.05	4.05	2813	EUR	
21/07/2011 00:00	4.05	4.2	4.05	4.19	2750	EUR	
22/07/2011 00:00	4.19	4.19	4.11	4.11	1507	EUR	
25/07/2011 00:00	4.19	4.19	4.11	4.11	1220	EUR	
26/07/2011 00:00	4.1	4.1	4.02	4.02	4683	EUR	
27/07/2011 00:00	4.02	4.02	4.01	4.01	1345	EUR	
28/07/2011 00:00	4.01	4.06	4.01	4.05	630	EUR	
29/07/2011 00:00	4.01	4.19	3.98	4	16865	EUR	
01/08/2011 00:00	3.92	4.08	3.9	3.99	17176	EUR	
02/08/2011 00:00	3.91	3.99	3.9	3.9	1811	EUR	
03/08/2011 00:00	3.88	3.88	3.42	3.66	13563	EUR	
04/08/2011 00:00	3.73	3.75	3.61	3.75	15382	EUR	
05/08/2011 00:00	3.32	3.6	3.01	3.5	16183	EUR	
08/08/2011 00:00	3.22	3.38	3.13	3.15	9852	EUR	
09/08/2011 00:00	3.13	3.31	3.1	3.31	10747	EUR	
10/08/2011 00:00	3.8	3.8	3.5	3.63	8592	EUR	
11/08/2011 00:00	3.67	3.68	3.22	3.33	6240	EUR	
12/08/2011 00:00	3.56	3.57	3.35	3.35	5330	EUR	
15/08/2011 00:00	3.36	3.56	3.36	3.54	5080	EUR	
16/08/2011 00:00	3.52	3.52	3.35	3.42	2470	EUR	
17/08/2011 00:00	3.47	3.49	3.42	3.42	2989	EUR	
18/08/2011 00:00	3.36	3.36	3.27	3.28	4045	EUR	
19/08/2011 00:00	3.28	3.29	3.2	3.2	2853	EUR	
22/08/2011 00:00	3.12	3.19	3.12	3.19	1230	EUR	
23/08/2011 00:00	3.18	3.2	3.18	3.19	2981	EUR	
24/08/2011 00:00	3.21	3.21	3.21	3.21	635	EUR	
25/08/2011 00:00	3.13	3.29	3.13	3.29	272	EUR	
26/08/2011 00:00	3.19	3.23	3.19	3.19	1286	EUR	
29/08/2011 00:00	3.15	3.25	3.1	3.1	9214	EUR	
30/08/2011 00:00	3.21	3.32	3.15	3.25	16535	EUR	
31/08/2011 00:00	3.23	3.23	3.14	3.14	10846	EUR	
01/09/2011 00:00	3.15	3.16	2.98	3.16	8424	EUR	
02/09/2011 00:00	3.16	3.16	2.98	2.99	5522	EUR	
05/09/2011 00:00	3.13	3.13	2.91	2.91	6783	EUR	
06/09/2011 00:00	2.91	2.91	2.61	2.61	4660	EUR	
07/09/2011 00:00	2.66	2.91	2.66	2.66	1035	EUR	
08/09/2011 00:00	2.71	2.85	2.71	2.77	5360	EUR	
09/09/2011 00:00	2.73	2.81	2.73	2.81	1370	EUR	
