date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	23.679	23.992	23.612	23.899	444370	EUR	
10/11/2010 00:00	23.899	24.075	23.753	23.821	284675	EUR	
11/11/2010 00:00	23.824	23.929	23.455	23.511	304986	EUR	
12/11/2010 00:00	23.32	23.709	22.973	23.298	391623	EUR	
15/11/2010 00:00	23.253	23.977	23.208	23.75	407840	EUR	
16/11/2010 00:00	23.996	24.22	23.324	23.432	534909	EUR	
17/11/2010 00:00	23.496	23.496	23.223	23.44	190421	EUR	
18/11/2010 00:00	23.6	23.824	23.361	23.757	268590	EUR	
19/11/2010 00:00	23.836	23.836	23.35	23.451	265881	EUR	
22/11/2010 00:00	23.578	23.895	23.455	23.645	497385	EUR	
23/11/2010 00:00	23.604	23.668	23.317	23.444	339077	EUR	
24/11/2010 00:00	23.57	23.783	22.995	23.597	428737	EUR	
25/11/2010 00:00	23.563	23.847	23.537	23.776	282551	EUR	
26/11/2010 00:00	23.686	23.858	23.186	23.29	326443	EUR	
29/11/2010 00:00	23.388	23.742	22.816	22.943	360979	EUR	
30/11/2010 00:00	23.253	23.791	23.126	23.485	566113	EUR	
01/12/2010 00:00	23.742	24.224	23.171	24.194	510621	EUR	
02/12/2010 00:00	24.243	24.709	24.067	24.392	427163	EUR	
03/12/2010 00:00	24.463	25	24.369	24.653	275405	EUR	
06/12/2010 00:00	24.642	24.706	24.287	24.496	199931	EUR	
07/12/2010 00:00	24.489	25.019	24.317	25.015	347331	EUR	
08/12/2010 00:00	25.015	25.725	24.579	25.553	384082	EUR	
09/12/2010 00:00	25.687	25.687	25.277	25.434	203719	EUR	
10/12/2010 00:00	25.531	25.538	25.094	25.142	429365	EUR	
13/12/2010 00:00	25.277	25.307	25.116	25.262	121065	EUR	
14/12/2010 00:00	25.385	25.501	25.18	25.239	156425	EUR	
15/12/2010 00:00	26.972	28.824	26.733	28.645	2953710	EUR	
16/12/2010 00:00	28.652	28.801	27.663	28.742	1224736	EUR	
17/12/2010 00:00	28.671	29.794	28.566	29.682	1707463	EUR	
20/12/2010 00:00	29.72	30.201	29.421	29.944	613223	EUR	
21/12/2010 00:00	30.056	30.179	29.783	30.074	636036	EUR	
22/12/2010 00:00	29.899	30.153	29.824	30.153	422043	EUR	
23/12/2010 00:00	29.817	30.082	29.496	29.541	354267	EUR	
24/12/2010 00:00	29.421	29.72	29.421	29.612	25770	EUR	
27/12/2010 00:00	29.324	29.563	29.201	29.451	115444	EUR	
28/12/2010 00:00	29.492	29.768	29.145	29.425	148492	EUR	
29/12/2010 00:00	29.38	30.381	29.376	30.276	429714	EUR	
30/12/2010 00:00	30.19	30.407	30.007	30.13	177967	EUR	
31/12/2010 00:00	29.985	30.127	29.75	29.75	53610	EUR	
03/01/2011 00:00	30.089	30.392	30.018	30.269	263380	EUR	
04/01/2011 00:00	30.175	30.53	29.727	29.832	526881	EUR	
05/01/2011 00:00	29.821	30.138	29.567	30.071	341869	EUR	
06/01/2011 00:00	30.134	30.989	29.899	30.097	449019	EUR	
07/01/2011 00:00	30.078	30.228	29.328	29.447	368287	EUR	
10/01/2011 00:00	29.481	29.481	28.988	29.033	326788	EUR	
11/01/2011 00:00	29.205	30.045	29.07	30.045	352063	EUR	
12/01/2011 00:00	30.063	30.459	29.933	30.437	422609	EUR	
13/01/2011 00:00	30.313	30.534	29.817	30.355	367575	EUR	
14/01/2011 00:00	30.388	30.765	30.243	30.295	453576	EUR	
17/01/2011 00:00	30.384	30.392	29.959	30.011	281574	EUR	
18/01/2011 00:00	29.906	30.201	29.776	30.164	400384	EUR	
19/01/2011 00:00	30.541	30.601	29.828	29.828	409514	EUR	
20/01/2011 00:00	29.828	29.888	29.163	29.163	352613	EUR	
21/01/2011 00:00	29.455	30.13	29.186	29.772	386456	EUR	
24/01/2011 00:00	29.66	29.72	29.249	29.444	182476	EUR	
25/01/2011 00:00	29.589	29.944	29.197	29.824	372242	EUR	
26/01/2011 00:00	30.067	30.575	29.88	30.433	363625	EUR	
27/01/2011 00:00	30.508	30.556	30.041	30.213	268937	EUR	
28/01/2011 00:00	30.172	30.388	29.869	29.869	223525	EUR	
31/01/2011 00:00	29.869	30.425	29.563	30.366	303938	EUR	
01/02/2011 00:00	30.552	30.832	30.299	30.638	423801	EUR	
02/02/2011 00:00	30.758	31.501	30.616	31.501	590023	EUR	
03/02/2011 00:00	31.437	31.699	30.989	31.21	403343	EUR	
04/02/2011 00:00	31.053	31.665	30.993	31.661	637885	EUR	
07/02/2011 00:00	31.691	32.221	31.553	31.781	633620	EUR	
08/02/2011 00:00	31.893	31.941	31.43	31.616	252407	EUR	
09/02/2011 00:00	31.512	31.751	31.109	31.15	349668	EUR	
10/02/2011 00:00	31.213	31.213	30.459	30.855	230804	EUR	
11/02/2011 00:00	30.769	31.183	30.429	30.911	233820	EUR	
14/02/2011 00:00	30.892	31.284	30.892	31.049	191844	EUR	
15/02/2011 00:00	31.21	31.21	30.5	30.881	475748	EUR	
16/02/2011 00:00	31.168	31.863	30.761	30.888	848403	EUR	
17/02/2011 00:00	30.974	31.986	30.918	31.796	678087	EUR	
18/02/2011 00:00	31.885	31.975	31.254	31.392	489854	EUR	
21/02/2011 00:00	31.363	31.37	30.646	30.649	338053	EUR	
22/02/2011 00:00	30.467	30.668	30.13	30.534	297664	EUR	
23/02/2011 00:00	30.429	30.627	30.018	30.018	462940	EUR	
24/02/2011 00:00	29.869	29.888	29.249	29.514	528040	EUR	
25/02/2011 00:00	29.619	31.154	29.619	30.817	471573	EUR	
28/02/2011 00:00	31.161	31.422	30.844	31.322	424170	EUR	
01/03/2011 00:00	31.363	31.859	31.064	31.183	332383	EUR	
02/03/2011 00:00	30.993	31.236	30.649	31.053	273010	EUR	
03/03/2011 00:00	31.34	31.628	30.877	31.587	295339	EUR	
04/03/2011 00:00	31.587	31.728	30.952	31.154	250685	EUR	
07/03/2011 00:00	31.105	32.102	30.941	31.911	416230	EUR	
08/03/2011 00:00	31.919	31.949	31.351	31.516	300890	EUR	
09/03/2011 00:00	31.609	31.841	31.363	31.497	331803	EUR	
10/03/2011 00:00	31.363	31.437	30.817	30.974	282868	EUR	
11/03/2011 00:00	30.765	30.997	30.265	30.485	397971	EUR	
14/03/2011 00:00	30.429	30.485	29.992	30.153	189730	EUR	
15/03/2011 00:00	29.641	29.824	28.152	28.992	1101162	EUR	
16/03/2011 00:00	29.122	29.69	28.469	28.51	410509	EUR	
17/03/2011 00:00	28.757	29.798	28.577	29.731	526935	EUR	
18/03/2011 00:00	29.862	30.179	29.585	29.731	436508	EUR	
21/03/2011 00:00	30.168	30.795	29.918	30.795	458611	EUR	
22/03/2011 00:00	30.844	31.027	30.399	30.459	401687	EUR	
23/03/2011 00:00	30.246	30.549	29.873	30.243	300553	EUR	
24/03/2011 00:00	30.239	31.714	30.149	31.684	788544	EUR	
25/03/2011 00:00	31.945	32.897	31.71	32.322	893978	EUR	
28/03/2011 00:00	32.24	32.315	31.546	31.863	476764	EUR	
29/03/2011 00:00	31.979	31.99	31.221	31.855	360157	EUR	
30/03/2011 00:00	32.109	32.233	31.587	31.635	344154	EUR	
31/03/2011 00:00	31.546	31.777	30.455	30.896	606311	EUR	
01/04/2011 00:00	31.172	31.878	30.791	31.665	640354	EUR	
04/04/2011 00:00	31.643	31.833	31.404	31.437	430159	EUR	
05/04/2011 00:00	31.527	32.505	31.46	32.483	535500	EUR	
06/04/2011 00:00	32.303	32.445	31.613	31.923	701094	EUR	
07/04/2011 00:00	31.923	32.229	31.74	31.967	535074	EUR	
08/04/2011 00:00	32.083	32.225	31.456	31.553	520314	EUR	
11/04/2011 00:00	31.445	31.504	30.765	31.161	463212	EUR	
12/04/2011 00:00	30.967	31.109	30.392	30.657	435843	EUR	
13/04/2011 00:00	30.821	31.135	30.56	30.903	336042	EUR	
14/04/2011 00:00	30.78	31.101	30.657	30.866	294169	EUR	
15/04/2011 00:00	30.761	31.247	30.481	31.041	369373	EUR	
18/04/2011 00:00	31.09	31.284	30.28	30.422	337075	EUR	
19/04/2011 00:00	30.62	30.62	30.287	30.437	279459	EUR	
20/04/2011 00:00	30.459	31.012	30.444	31.012	280681	EUR	
21/04/2011 00:00	31.254	31.254	30.683	31.012	315434	EUR	
26/04/2011 00:00	31.06	31.06	30.571	30.929	272828	EUR	
27/04/2011 00:00	30.967	31.844	30.84	31.463	329527	EUR	
28/04/2011 00:00	31.422	31.422	30.396	31.027	640215	EUR	
29/04/2011 00:00	31.049	31.116	30.832	31.068	143336	EUR	
02/05/2011 00:00	31.139	31.273	31.041	31.258	210542	EUR	
03/05/2011 00:00	31.213	31.355	30.765	30.944	369390	EUR	
04/05/2011 00:00	30.985	31.706	30.608	30.739	489989	EUR	
05/05/2011 00:00	31.004	31.407	30.903	31.187	420722	EUR	
06/05/2011 00:00	31.21	31.613	30.971	31.579	285117	EUR	
09/05/2011 00:00	31.49	32.427	31.49	31.587	523343	EUR	
10/05/2011 00:00	31.736	32.068	30.713	31.911	1093562	EUR	
11/05/2011 00:00	31.691	31.691	30.985	31.21	816028	EUR	
12/05/2011 00:00	30.967	31.407	30.765	31.407	418263	EUR	
13/05/2011 00:00	31.437	31.523	31.041	31.247	369460	EUR	
16/05/2011 00:00	31.079	31.34	30.735	30.87	210786	EUR	
17/05/2011 00:00	30.758	31.004	30.287	30.287	345530	EUR	
18/05/2011 00:00	30.452	30.59	30.153	30.313	240662	EUR	
19/05/2011 00:00	30.564	30.761	30.351	30.646	380772	EUR	
20/05/2011 00:00	30.646	30.989	30.552	30.679	362583	EUR	
23/05/2011 00:00	30.44	30.44	29.884	29.955	372713	EUR	
24/05/2011 00:00	29.981	30.377	29.948	30.018	249813	EUR	
25/05/2011 00:00	29.869	30.384	29.828	30.052	354771	EUR	
26/05/2011 00:00	30.239	30.362	29.895	29.948	256754	EUR	
27/05/2011 00:00	30.224	30.321	29.869	30.168	320869	EUR	
30/05/2011 00:00	30.243	30.511	30.168	30.34	78370	EUR	
31/05/2011 00:00	30.623	30.859	30.198	30.347	526362	EUR	
01/06/2011 00:00	30.422	30.586	30.149	30.571	220212	EUR	
02/06/2011 00:00	30.31	30.53	29.847	29.847	235420	EUR	
03/06/2011 00:00	30.018	30.157	29.697	29.865	342541	EUR	
06/06/2011 00:00	29.72	29.802	29.373	29.529	261506	EUR	
07/06/2011 00:00	29.47	29.828	29.455	29.529	294333	EUR	
08/06/2011 00:00	29.421	29.567	28.592	28.824	583170	EUR	
09/06/2011 00:00	28.749	28.835	28.196	28.286	826843	EUR	
10/06/2011 00:00	28.286	28.383	27.905	27.995	518685	EUR	
13/06/2011 00:00	27.651	27.674	27.409	27.409	289997	EUR	
14/06/2011 00:00	27.607	28.241	27.607	28.148	683657	EUR	
15/06/2011 00:00	28.148	28.185	27.614	27.633	290753	EUR	
16/06/2011 00:00	27.524	27.588	27.17	27.521	316751	EUR	
17/06/2011 00:00	27.472	27.726	27.08	27.375	313053	EUR	
20/06/2011 00:00	27.091	27.271	26.942	27.256	489159	EUR	
21/06/2011 00:00	27.442	28.518	27.345	28.092	443555	EUR	
22/06/2011 00:00	28.118	28.182	27.804	27.931	216111	EUR	
23/06/2011 00:00	27.812	27.887	27.218	27.439	362039	EUR	
24/06/2011 00:00	27.857	27.864	26.987	27.017	448199	EUR	
27/06/2011 00:00	26.994	27.203	26.845	27.061	216033	EUR	
28/06/2011 00:00	27.215	27.383	27.028	27.237	275273	EUR	
29/06/2011 00:00	27.401	28.327	27.256	28.01	480930	EUR	
30/06/2011 00:00	28.182	29.182	28.002	29.093	417753	EUR	
01/07/2011 00:00	28.981	29.119	28.592	28.865	314725	EUR	
04/07/2011 00:00	28.928	29.234	28.771	29.193	148687	EUR	
05/07/2011 00:00	29.19	29.365	28.936	29.275	236069	EUR	
06/07/2011 00:00	29.261	29.324	28.947	29.055	236686	EUR	
07/07/2011 00:00	29.182	29.399	28.898	29.399	292552	EUR	
08/07/2011 00:00	29.567	29.862	28.458	28.715	524390	EUR	
11/07/2011 00:00	28.45	28.525	27.465	27.569	362793	EUR	
12/07/2011 00:00	27.181	27.827	26.475	27.607	549013	EUR	
13/07/2011 00:00	27.36	27.905	27.36	27.812	179555	EUR	
14/07/2011 00:00	27.48	27.584	26.979	26.994	249163	EUR	
15/07/2011 00:00	26.964	26.979	26.49	26.524	337569	EUR	
18/07/2011 00:00	26.52	26.759	26.135	26.52	451718	EUR	
19/07/2011 00:00	26.539	27.341	26.539	27.233	420463	EUR	
20/07/2011 00:00	27.416	27.554	26.878	27.11	329834	EUR	
21/07/2011 00:00	27.114	27.685	26.617	27.588	345265	EUR	
22/07/2011 00:00	27.651	27.823	27.558	27.726	276851	EUR	
25/07/2011 00:00	27.506	27.7	27.327	27.42	190792	EUR	
26/07/2011 00:00	27.898	28.596	27.76	27.845	590069	EUR	
27/07/2011 00:00	28.066	29.496	28.002	29.201	1600745	EUR	
28/07/2011 00:00	29.38	29.738	29.029	29.141	599980	EUR	
29/07/2011 00:00	28.749	29.145	28.196	28.704	679178	EUR	
01/08/2011 00:00	29.145	29.197	27.872	28.066	420728	EUR	
02/08/2011 00:00	27.931	28.077	27.151	27.211	524021	EUR	
03/08/2011 00:00	26.878	27.271	26.356	26.505	326852	EUR	
04/08/2011 00:00	26.8	27.047	24.862	25.012	676862	EUR	
05/08/2011 00:00	24.052	25.056	23.615	24.679	1215277	EUR	
08/08/2011 00:00	24.388	24.788	22.999	22.999	895403	EUR	
09/08/2011 00:00	22.954	24.048	21.577	23.963	704084	EUR	
10/08/2011 00:00	24.608	25.269	23.134	23.164	682572	EUR	
11/08/2011 00:00	23.888	24.343	22.813	24.22	545978	EUR	
12/08/2011 00:00	24.44	25.445	23.671	25.351	361041	EUR	
15/08/2011 00:00	25.59	25.74	24.806	25	198339	EUR	
16/08/2011 00:00	24.918	24.926	24.116	24.571	349464	EUR	
17/08/2011 00:00	24.388	24.959	23.907	24.672	400416	EUR	
18/08/2011 00:00	24.28	24.511	22.775	22.928	788634	EUR	
19/08/2011 00:00	22.962	23.746	22.215	23.253	570356	EUR	
22/08/2011 00:00	23.025	24.067	22.775	23.679	304905	EUR	
23/08/2011 00:00	24.108	24.478	23.783	24.194	329526	EUR	
24/08/2011 00:00	24.481	24.612	24.082	24.265	384377	EUR	
25/08/2011 00:00	24.59	24.948	24.261	24.545	442907	EUR	
26/08/2011 00:00	24.448	24.481	23.75	24.437	275130	EUR	
29/08/2011 00:00	24.691	25.183	24.627	25.105	119398	EUR	
30/08/2011 00:00	25.28	25.486	24.765	24.881	252548	EUR	
31/08/2011 00:00	24.959	26.102	24.959	26.031	454719	EUR	
01/09/2011 00:00	26.132	26.132	25.445	25.949	247697	EUR	
02/09/2011 00:00	25.766	25.766	24.885	25.165	285378	EUR	
05/09/2011 00:00	25.486	25.538	24.119	24.287	407494	EUR	
06/09/2011 00:00	24.183	24.627	23.671	23.858	332792	EUR	
07/09/2011 00:00	24.209	24.877	24.015	24.829	497789	EUR	
08/09/2011 00:00	24.829	25.389	24.642	25.116	356475	EUR	
09/09/2011 00:00	24.896	24.903	23.843	23.899	466507	EUR	
12/09/2011 00:00	23.22	23.473	22.439	23.044	700034	EUR	
13/09/2011 00:00	23.436	23.47	22.211	22.585	703702	EUR	
14/09/2011 00:00	22.48	23.485	22.402	23.35	404950	EUR	
15/09/2011 00:00	23.612	23.929	23.354	23.746	475201	EUR	
16/09/2011 00:00	24.284	24.784	23.869	24.175	751817	EUR	
19/09/2011 00:00	23.63	23.966	23.279	23.522	235003	EUR	
20/09/2011 00:00	23.388	24.168	23.346	23.97	364004	EUR	
21/09/2011 00:00	24.205	24.62	23.895	23.955	578830	EUR	
22/09/2011 00:00	23.272	23.41	22.742	23.025	370928	EUR	
23/09/2011 00:00	23.066	23.175	22.193	23.044	404950	EUR	
26/09/2011 00:00	22.753	23.806	22.701	23.313	603392	EUR	
27/09/2011 00:00	23.888	24.836	23.78	24.836	374171	EUR	
28/09/2011 00:00	24.765	25.127	24.198	24.5	235004	EUR	
29/09/2011 00:00	24.317	24.989	24.198	24.814	382148	EUR	
30/09/2011 00:00	24.762	24.769	23.772	24.332	436264	EUR	
03/10/2011 00:00	23.776	23.899	23.473	23.716	236053	EUR	
04/10/2011 00:00	23.346	23.597	23.003	23.294	471937	EUR	
05/10/2011 00:00	23.436	24.123	23.365	23.921	405089	EUR	
06/10/2011 00:00	24.366	25.979	24.362	25.867	1012366	EUR	
07/10/2011 00:00	25.628	27.353	25.478	27.073	670137	EUR	
10/10/2011 00:00	27.36	27.509	26.628	27.08	280543	EUR	
11/10/2011 00:00	26.994	27.379	26.912	27.256	306692	EUR	
12/10/2011 00:00	27.05	27.86	26.819	27.816	363596	EUR	
13/10/2011 00:00	27.719	28.159	27.14	27.453	326569	EUR	
14/10/2011 00:00	27.607	28.301	27.259	28.01	407476	EUR	
17/10/2011 00:00	28.01	28.413	26.509	26.837	505498	EUR	
18/10/2011 00:00	26.135	26.808	25.814	26.673	396491	EUR	
19/10/2011 00:00	26.509	26.748	25.743	25.99	456908	EUR	
20/10/2011 00:00	25.463	25.99	25.415	25.583	276145	EUR	
21/10/2011 00:00	25.508	25.9	25.213	25.829	275078	EUR	
24/10/2011 00:00	25.732	27.121	25.635	26.942	442633	EUR	
25/10/2011 00:00	26.725	27.289	26.71	27.047	395139	EUR	
26/10/2011 00:00	26.509	27.61	26.438	27.259	298214	EUR	
27/10/2011 00:00	28.077	28.152	27.487	27.629	408853	EUR	
28/10/2011 00:00	27.439	27.592	26.546	26.643	474120	EUR	
31/10/2011 00:00	26.259	26.617	26.061	26.15	297388	EUR	
01/11/2011 00:00	25.389	25.65	24.709	25.015	431956	EUR	
02/11/2011 00:00	25.224	25.523	24.84	25.131	206027	EUR	
03/11/2011 00:00	24.65	26.195	24.642	26.143	293913	EUR	
04/11/2011 00:00	26.24	26.378	25.587	25.882	222456	EUR	
07/11/2011 00:00	25.613	25.964	25.463	25.561	160557	EUR	
08/11/2011 00:00	25.568	26.718	25.568	26.195	375420	EUR	
09/11/2011 00:00	26.285	26.337	25.542	25.691	251590	EUR	
10/11/2011 00:00	25.217	26.009	25.012	25.03	284049	EUR	
11/11/2011 00:00	25.023	26.012	24.948	25.99	260875	EUR	
14/11/2011 00:00	26.124	26.214	25.124	25.493	331129	EUR	
15/11/2011 00:00	25.348	25.49	24.918	25.154	248994	EUR	
16/11/2011 00:00	25.075	25.21	24.769	24.993	298471	EUR	
