date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	5.26	5.27	5.15	5.15	30706	EUR	
10/11/2010 00:00	5.33	5.45	5.3	5.37	18955	EUR	
11/11/2010 00:00	5.35	5.42	5.15	5.35	10880	EUR	
12/11/2010 00:00	5.35	5.35	5.18	5.34	1125	EUR	
15/11/2010 00:00	5.34	5.34	5.2	5.2	2106	EUR	
16/11/2010 00:00	5.2	5.2	5.12	5.12	5715	EUR	
17/11/2010 00:00	5.2	5.2	5.08	5.11	2421	EUR	
18/11/2010 00:00	5.11	5.2	5.11	5.2	1126	EUR	
19/11/2010 00:00	5.2	5.2	5.11	5.12	874	EUR	
22/11/2010 00:00	5.12	5.12	5	5.04	6557	EUR	
23/11/2010 00:00	5.1	5.1	4.96	4.99	5213	EUR	
24/11/2010 00:00	4.99	4.99	4.96	4.96	2757	EUR	
25/11/2010 00:00	5	5	4.91	4.95	2497	EUR	
26/11/2010 00:00	4.95	4.98	4.95	4.98	456	EUR	
29/11/2010 00:00	4.97	4.97	4.72	4.85	6297	EUR	
30/11/2010 00:00	4.85	4.92	4.75	4.78	5774	EUR	
01/12/2010 00:00	4.78	4.78	4.71	4.75	2752	EUR	
02/12/2010 00:00	4.75	4.9	4.75	4.88	1492	EUR	
03/12/2010 00:00	4.91	4.91	4.88	4.88	164	EUR	
06/12/2010 00:00	4.88	4.88	4.88	4.88	165	EUR	
07/12/2010 00:00	4.87	4.97	4.86	4.97	3248	EUR	
08/12/2010 00:00	4.97	4.98	4.95	4.98	2040	EUR	
09/12/2010 00:00	4.98	5	4.87	4.94	8171	EUR	
10/12/2010 00:00	4.95	5	4.93	5	2150	EUR	
13/12/2010 00:00	5	5.1	4.99	5	9068	EUR	
14/12/2010 00:00	5	5	4.95	4.98	2420	EUR	
15/12/2010 00:00	4.98	5.05	4.98	5	7727	EUR	
16/12/2010 00:00	5	5.06	4.98	5	1861	EUR	
17/12/2010 00:00	5	5.05	4.98	5.04	4794	EUR	
20/12/2010 00:00	4.96	5.04	4.92	5	4291	EUR	
21/12/2010 00:00	5	5.04	5	5	3848	EUR	
22/12/2010 00:00	5	5.06	4.94	4.94	2974	EUR	
23/12/2010 00:00	4.99	5.01	4.95	4.98	5341	EUR	
24/12/2010 00:00	4.98	5.03	4.93	5.03	2690	EUR	
27/12/2010 00:00	5.03	5.03	4.94	4.94	2849	EUR	
28/12/2010 00:00	4.94	5.04	4.94	5.04	9897	EUR	
29/12/2010 00:00	5.05	5.1	4.97	5.1	2550	EUR	
30/12/2010 00:00	5.1	5.1	5.01	5.09	1702	EUR	
31/12/2010 00:00	5.08	5.08	5.02	5.08	640	EUR	
03/01/2011 00:00	5.08	5.09	5.04	5.04	4009	EUR	
04/01/2011 00:00	5.04	5.15	5.03	5.06	12451	EUR	
05/01/2011 00:00	5.07	5.2	5.07	5.1	6811	EUR	
06/01/2011 00:00	5.2	5.34	5.2	5.23	21129	EUR	
07/01/2011 00:00	5.33	5.33	5.1	5.18	8353	EUR	
10/01/2011 00:00	5.18	5.18	5.1	5.1	4576	EUR	
11/01/2011 00:00	5.1	5.18	5.1	5.1	877	EUR	
12/01/2011 00:00	5.1	5.12	5.1	5.12	2374	EUR	
13/01/2011 00:00	5.05	5.14	5.04	5.14	5474	EUR	
14/01/2011 00:00	5.14	5.2	5.14	5.2	2016	EUR	
17/01/2011 00:00	5.11	5.19	5.09	5.18	1679	EUR	
18/01/2011 00:00	5.18	5.18	5.1	5.17	1588	EUR	
19/01/2011 00:00	5.18	5.18	5.13	5.13	1325	EUR	
20/01/2011 00:00	5.13	5.13	5.12	5.12	117	EUR	
21/01/2011 00:00	5.12	5.18	5.12	5.13	963	EUR	
24/01/2011 00:00	5.19	5.19	5.12	5.13	6480	EUR	
25/01/2011 00:00	5.13	5.2	5.13	5.2	1525	EUR	
26/01/2011 00:00	5.2	5.24	5.13	5.23	3075	EUR	
27/01/2011 00:00	5.24	5.39	5.24	5.3	16860	EUR	
