date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	7.319	7.319	7.073	7.168	9800	EUR	
10/11/2010 00:00	7.243	7.243	7.102	7.205	5501	EUR	
11/11/2010 00:00	7.215	7.215	7.121	7.121	3977	EUR	
12/11/2010 00:00	7.121	7.215	7.026	7.158	9072	EUR	
15/11/2010 00:00	7.215	7.215	7.139	7.177	9567	EUR	
16/11/2010 00:00	7.196	7.205	7.045	7.168	12111	EUR	
17/11/2010 00:00	7.036	7.121	7.017	7.054	8123	EUR	
18/11/2010 00:00	7.083	7.158	7.073	7.083	2455	EUR	
19/11/2010 00:00	7.168	7.243	7.054	7.054	7861	EUR	
22/11/2010 00:00	7.054	7.054	6.988	7.017	20178	EUR	
23/11/2010 00:00	7.017	7.045	6.913	6.913	20804	EUR	
24/11/2010 00:00	6.951	7.017	6.941	6.97	7753	EUR	
25/11/2010 00:00	6.97	7.007	6.951	6.97	6207	EUR	
26/11/2010 00:00	6.97	6.998	6.932	6.941	6682	EUR	
29/11/2010 00:00	6.932	7.045	6.885	6.885	8805	EUR	
30/11/2010 00:00	6.885	6.885	6.706	6.743	15287	EUR	
01/12/2010 00:00	6.687	6.838	6.687	6.772	12077	EUR	
02/12/2010 00:00	6.885	6.885	6.706	6.828	9868	EUR	
03/12/2010 00:00	6.79	6.828	6.734	6.828	10950	EUR	
06/12/2010 00:00	6.79	6.8	6.724	6.743	5183	EUR	
07/12/2010 00:00	6.753	6.772	6.649	6.658	34586	EUR	
08/12/2010 00:00	6.668	6.734	6.658	6.658	8450	EUR	
09/12/2010 00:00	6.696	6.743	6.658	6.696	10578	EUR	
10/12/2010 00:00	6.743	6.79	6.706	6.734	8312	EUR	
13/12/2010 00:00	6.762	6.79	6.687	6.706	17729	EUR	
14/12/2010 00:00	6.724	6.838	6.715	6.753	35221	EUR	
15/12/2010 00:00	6.819	6.819	6.696	6.724	12195	EUR	
16/12/2010 00:00	6.734	6.743	6.649	6.658	20876	EUR	
17/12/2010 00:00	6.658	6.743	6.658	6.696	6045	EUR	
20/12/2010 00:00	6.677	6.677	6.611	6.649	27212	EUR	
21/12/2010 00:00	6.658	6.677	6.592	6.592	13802	EUR	
22/12/2010 00:00	6.592	6.658	6.583	6.592	15612	EUR	
23/12/2010 00:00	6.696	6.696	6.611	6.611	10625	EUR	
24/12/2010 00:00	6.621	6.696	6.621	6.649	3191	EUR	
27/12/2010 00:00	6.649	6.687	6.621	6.63	7255	EUR	
28/12/2010 00:00	6.564	6.677	6.555	6.602	11512	EUR	
29/12/2010 00:00	6.602	6.677	6.602	6.63	6164	EUR	
30/12/2010 00:00	6.677	6.696	6.63	6.668	10007	EUR	
31/12/2010 00:00	6.64	6.696	6.64	6.677	11740	EUR	
03/01/2011 00:00	6.753	6.772	6.658	6.706	18929	EUR	
04/01/2011 00:00	6.715	6.866	6.715	6.8	31461	EUR	
05/01/2011 00:00	6.838	6.894	6.762	6.856	12261	EUR	
06/01/2011 00:00	6.856	6.932	6.856	6.932	11542	EUR	
07/01/2011 00:00	6.922	7.007	6.885	7.007	31582	EUR	
10/01/2011 00:00	6.988	6.988	6.772	6.913	11155	EUR	
