date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.8	2.8	2.8	2.8	0	EUR	
12/11/2010 00:00	2.7	2.7	2.7	2.7	2569	EUR	
16/11/2010 00:00	3.25	3.25	3.25	3.25	0	EUR	
29/11/2010 00:00	3.21	3.21	3.21	3.21	0	EUR	
08/12/2010 00:00	3.1	3.1	3.1	3.1	200	EUR	
09/12/2010 00:00	3.1	3.1	3.1	3.1	185	EUR	
10/12/2010 00:00	3.1	3.1	3.1	3.1	40	EUR	
29/12/2010 00:00	3	3	3	3	500	EUR	
30/12/2010 00:00	3.15	3.15	3.15	3.15	0	EUR	
03/01/2011 00:00	2.56	2.56	2.56	2.56	21431	EUR	
04/01/2011 00:00	2.57	2.57	2.57	2.57	1200	EUR	
05/01/2011 00:00	2.32	2.32	2.32	2.32	5657	EUR	
06/01/2011 00:00	2.54	2.54	2.54	2.54	150	EUR	
07/01/2011 00:00	2.5	2.5	2.5	2.5	875	EUR	
10/01/2011 00:00	2.4	2.4	2.4	2.4	200	EUR	
11/01/2011 00:00	2.41	2.41	2.41	2.41	100	EUR	
12/01/2011 00:00	2.56	2.56	2.56	2.56	300	EUR	
13/01/2011 00:00	2.5	2.5	2.5	2.5	0	EUR	
18/01/2011 00:00	2.31	2.31	2.31	2.31	0	EUR	
20/01/2011 00:00	2.3	2.3	2.3	2.3	0	EUR	
24/01/2011 00:00	2.3	2.3	2.3	2.3	300	EUR	
25/01/2011 00:00	2.3	2.3	2.3	2.3	20	EUR	
26/01/2011 00:00	2.3	2.3	2.3	2.3	0	EUR	
31/01/2011 00:00	2.3	2.3	2.3	2.3	100	EUR	
01/02/2011 00:00	2.3	2.3	2.3	2.3	0	EUR	
03/02/2011 00:00	2.5	2.5	2.5	2.5	0	EUR	
08/02/2011 00:00	2.49	2.49	2.49	2.49	220	EUR	
09/02/2011 00:00	2.5	2.5	2.5	2.5	330	EUR	
10/02/2011 00:00	2.4	2.4	2.4	2.4	100	EUR	
11/02/2011 00:00	2.4	2.4	2.4	2.4	500	EUR	
14/02/2011 00:00	2.64	2.64	2.64	2.64	100	EUR	
15/02/2011 00:00	2.9	2.9	2.9	2.9	100	EUR	
16/02/2011 00:00	2.85	2.85	2.85	2.85	300	EUR	
17/02/2011 00:00	2.89	2.89	2.89	2.89	10	EUR	
18/02/2011 00:00	2.61	2.61	2.61	2.61	735	EUR	
22/02/2011 00:00	2.88	2.88	2.88	2.88	500	EUR	
23/02/2011 00:00	2.95	2.95	2.95	2.95	1000	EUR	
24/02/2011 00:00	2.96	2.96	2.96	2.96	500	EUR	
25/02/2011 00:00	2.96	2.96	2.96	2.96	600	EUR	
01/03/2011 00:00	2.98	2.98	2.98	2.98	200	EUR	
02/03/2011 00:00	2.98	2.98	2.98	2.98	0	EUR	
04/03/2011 00:00	2.7	2.7	2.7	2.7	75	EUR	
22/03/2011 00:00	2.22	2.22	2.22	2.22	1125	EUR	
23/03/2011 00:00	2.2	2.2	2.2	2.2	0	EUR	
25/03/2011 00:00	2.64	2.64	2.64	2.64	2000	EUR	
05/04/2011 00:00	2.4	2.4	2.4	2.4	0	EUR	
08/04/2011 00:00	2.2	2.2	2.2	2.2	1838	EUR	
15/04/2011 00:00	2.25	2.25	2.25	2.25	50	EUR	
19/04/2011 00:00	2.48	2.48	2.48	2.48	0	EUR	
21/04/2011 00:00	2.59	2.59	2.59	2.59	100	EUR	
04/05/2011 00:00	2.66	2.66	2.66	2.66	0	EUR	
09/05/2011 00:00	2.5	2.5	2.5	2.5	0	EUR	
11/05/2011 00:00	2.5	2.5	2.5	2.5	296	EUR	
12/05/2011 00:00	2.31	2.31	2.31	2.31	0	EUR	
17/05/2011 00:00	2.33	2.33	2.33	2.33	0	EUR	
19/05/2011 00:00	2.36	2.36	2.36	2.36	700	EUR	
20/05/2011 00:00	2.54	2.54	2.54	2.54	200	EUR	
23/05/2011 00:00	2.35	2.35	2.35	2.35	1300	EUR	
24/05/2011 00:00	2.35	2.35	2.35	2.35	0	EUR	
27/05/2011 00:00	2.31	2.31	2.31	2.31	80	EUR	
30/05/2011 00:00	2.3	2.3	2.3	2.3	1000	EUR	
31/05/2011 00:00	2.52	2.52	2.52	2.52	0	EUR	
07/06/2011 00:00	2.99	2.99	2.99	2.99	0	EUR	
10/06/2011 00:00	3.09	3.09	3.09	3.09	100	EUR	
13/06/2011 00:00	3.34	3.34	3.34	3.34	0	EUR	
17/06/2011 00:00	2.98	2.98	2.98	2.98	3789	EUR	
20/06/2011 00:00	3.27	3.27	3.27	3.27	23400	EUR	
21/06/2011 00:00	3.3	3.3	3.3	3.3	0	EUR	
29/06/2011 00:00	3	3	3	3	1000	EUR	
30/06/2011 00:00	3	3	3	3	8000	EUR	
01/07/2011 00:00	3	3	3	3	13231	EUR	
04/07/2011 00:00	3.27	3.27	3.27	3.27	12304	EUR	
05/07/2011 00:00	3.27	3.27	3.27	3.27	15000	EUR	
06/07/2011 00:00	3.3	3.3	3.3	3.3	0	EUR	
08/07/2011 00:00	3	3	3	3	2298	EUR	
11/07/2011 00:00	2.98	2.98	2.98	2.98	2000	EUR	
12/07/2011 00:00	2.98	2.98	2.98	2.98	0	EUR	
