date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	5.41	5.54	5.41	5.54	5001	EUR	
10/11/2010 00:00	5.12	5.12	5.06	5.06	4876	EUR	
11/11/2010 00:00	5.17	5.17	5.17	5.17	301	EUR	
12/11/2010 00:00	5.03	5.15	5.03	5.15	1861	EUR	
15/11/2010 00:00	5.18	5.18	5.18	5.18	500	EUR	
16/11/2010 00:00	5.4	5.4	4.98	4.98	10100	EUR	
17/11/2010 00:00	4.98	5.1	4.98	5.1	1785	EUR	
18/11/2010 00:00	5.19	5.19	5.15	5.15	2740	EUR	
19/11/2010 00:00	5.1	5.1	5.1	5.1	3000	EUR	
22/11/2010 00:00	5.05	5.05	4.92	4.92	1662	EUR	
23/11/2010 00:00	4.82	4.82	4.7	4.7	2501	EUR	
24/11/2010 00:00	4.63	4.65	4.63	4.65	2824	EUR	
25/11/2010 00:00	4.72	4.72	4.66	4.66	1650	EUR	
26/11/2010 00:00	4.77	4.77	4.7	4.7	1310	EUR	
29/11/2010 00:00	4.81	4.81	4.81	4.81	2105	EUR	
30/11/2010 00:00	4.75	4.86	4.75	4.86	717	EUR	
01/12/2010 00:00	4.76	4.89	4.76	4.89	850	EUR	
02/12/2010 00:00	4.85	4.85	4.85	4.85	1	EUR	
03/12/2010 00:00	4.98	5.05	4.98	5.05	2189	EUR	
06/12/2010 00:00	5.05	5.1	5.05	5.1	1760	EUR	
07/12/2010 00:00	5.22	5.22	5.22	5.22	250	EUR	
08/12/2010 00:00	5.22	5.29	5.22	5.29	448	EUR	
09/12/2010 00:00	5.28	5.28	5.28	5.28	100	EUR	
10/12/2010 00:00	5.29	5.29	5.29	5.29	621	EUR	
13/12/2010 00:00	5.4	5.4	5.4	5.4	150	EUR	
14/12/2010 00:00	5.4	5.4	5.4	5.4	200	EUR	
15/12/2010 00:00	5.39	5.39	5.39	5.39	1	EUR	
16/12/2010 00:00	5.39	5.39	5.27	5.27	595	EUR	
17/12/2010 00:00	5.33	5.39	5.33	5.39	205	EUR	
20/12/2010 00:00	5.38	5.4	5.38	5.4	76	EUR	
21/12/2010 00:00	5.39	5.39	5.39	5.39	175	EUR	
22/12/2010 00:00	5.27	5.37	5.27	5.37	666	EUR	
23/12/2010 00:00	5.25	5.38	5.25	5.38	634	EUR	
24/12/2010 00:00	5.38	5.38	5.38	5.38	1	EUR	
27/12/2010 00:00	5.38	5.38	5.38	5.38	1	EUR	
28/12/2010 00:00	5.38	5.38	5.38	5.38	1	EUR	
29/12/2010 00:00	5.38	5.38	5.38	5.38	1	EUR	
30/12/2010 00:00	5.38	5.38	5.24	5.24	776	EUR	
31/12/2010 00:00	5.24	5.24	5.24	5.24	1	EUR	
03/01/2011 00:00	5.2	5.2	5	5	1924	EUR	
04/01/2011 00:00	5	5	5	5	70	EUR	
05/01/2011 00:00	5	5	5	5	600	EUR	
06/01/2011 00:00	4.99	5	4.99	5	401	EUR	
07/01/2011 00:00	5.08	5.1	5.08	5.1	682	EUR	
10/01/2011 00:00	5.1	5.1	5.1	5.1	1	EUR	
11/01/2011 00:00	5.05	5.05	5.05	5.05	200	EUR	
12/01/2011 00:00	4.99	4.99	4.9	4.9	7610	EUR	
13/01/2011 00:00	4.8	4.8	4.55	4.55	13856	EUR	
14/01/2011 00:00	4.9	5	4.9	5	5890	EUR	
17/01/2011 00:00	5.13	5.13	5.01	5.01	850	EUR	
18/01/2011 00:00	5.1	5.1	4.95	4.95	1244	EUR	
19/01/2011 00:00	5	5	5	5	2000	EUR	
20/01/2011 00:00	5.1	5.1	5.1	5.1	600	EUR	
21/01/2011 00:00	5.09	5.09	5.09	5.09	1	EUR	
24/01/2011 00:00	5.08	5.08	5.08	5.08	1	EUR	
25/01/2011 00:00	5.08	5.1	5.08	5.1	522	EUR	
26/01/2011 00:00	5.15	5.15	5.15	5.15	1951	EUR	
27/01/2011 00:00	5.03	5.03	5	5	845	EUR	
28/01/2011 00:00	4.88	4.89	4.88	4.89	2775	EUR	
31/01/2011 00:00	5.01	5.01	4.85	4.85	1721	EUR	
01/02/2011 00:00	4.8	4.92	4.8	4.92	2860	EUR	
02/02/2011 00:00	4.96	4.96	4.96	4.96	747	EUR	
03/02/2011 00:00	4.97	4.97	4.97	4.97	1	EUR	
04/02/2011 00:00	5	5	5	5	800	EUR	
07/02/2011 00:00	5	5	4.97	4.97	201	EUR	
08/02/2011 00:00	4.96	4.97	4.96	4.97	1051	EUR	
09/02/2011 00:00	4.96	4.97	4.96	4.97	41	EUR	
10/02/2011 00:00	4.96	4.96	4.96	4.96	1	EUR	
11/02/2011 00:00	5.09	5.09	5.09	5.09	600	EUR	
14/02/2011 00:00	5.09	5.09	4.97	4.97	2000	EUR	
15/02/2011 00:00	4.97	4.97	4.97	4.97	300	EUR	
16/02/2011 00:00	4.97	4.97	4.97	4.97	1	EUR	
17/02/2011 00:00	4.85	4.85	4.8	4.8	2100	EUR	
18/02/2011 00:00	4.68	5.03	4.68	5.03	2560	EUR	
21/02/2011 00:00	4.91	5.04	4.91	5.04	3076	EUR	
22/02/2011 00:00	5	5	4.95	4.95	210	EUR	
23/02/2011 00:00	4.95	4.95	4.95	4.95	1	EUR	
24/02/2011 00:00	4.9	5.03	4.9	5.03	1199	EUR	
25/02/2011 00:00	5.02	5.02	4.92	4.92	1885	EUR	
28/02/2011 00:00	4.99	4.99	4.99	4.99	511	EUR	
01/03/2011 00:00	5	5	5	5	700	EUR	
02/03/2011 00:00	5	5	4.91	4.91	4636	EUR	
03/03/2011 00:00	5	5	4.85	4.85	6055	EUR	
04/03/2011 00:00	4.75	4.75	4.74	4.74	3222	EUR	
07/03/2011 00:00	4.77	4.77	4.77	4.77	2784	EUR	
08/03/2011 00:00	4.81	4.81	4.81	4.81	251	EUR	
09/03/2011 00:00	4.94	4.95	4.94	4.95	801	EUR	
10/03/2011 00:00	4.94	4.94	4.94	4.94	1	EUR	
11/03/2011 00:00	4.94	4.94	4.94	4.94	10	EUR	
14/03/2011 00:00	4.95	4.95	4.95	4.95	1159	EUR	
15/03/2011 00:00	4.95	4.95	4.95	4.95	1	EUR	
16/03/2011 00:00	4.9	4.9	4.9	4.9	506	EUR	
17/03/2011 00:00	4.93	4.93	4.93	4.93	21	EUR	
18/03/2011 00:00	4.9	4.9	4.9	4.9	100	EUR	
21/03/2011 00:00	4.95	5	4.95	5	2980	EUR	
22/03/2011 00:00	4.99	5	4.99	5	1378	EUR	
23/03/2011 00:00	5	5	5	5	1500	EUR	
24/03/2011 00:00	4.88	4.9	4.88	4.9	1592	EUR	
25/03/2011 00:00	4.9	5	4.9	5	520	EUR	
28/03/2011 00:00	4.99	4.99	4.99	4.99	50	EUR	
29/03/2011 00:00	4.99	4.99	4.99	4.99	1	EUR	
30/03/2011 00:00	4.87	4.87	4.87	4.87	800	EUR	
31/03/2011 00:00	4.75	4.75	4.75	4.75	1005	EUR	
01/04/2011 00:00	4.75	4.75	4.73	4.73	11	EUR	
04/04/2011 00:00	4.62	4.63	4.62	4.63	5660	EUR	
05/04/2011 00:00	4.68	4.68	4.67	4.67	6500	EUR	
06/04/2011 00:00	4.65	4.66	4.65	4.66	3910	EUR	
07/04/2011 00:00	4.66	4.66	4.59	4.59	5250	EUR	
08/04/2011 00:00	4.6	4.6	4.6	4.6	1767	EUR	
11/04/2011 00:00	4.65	4.66	4.65	4.66	2725	EUR	
12/04/2011 00:00	4.66	4.79	4.66	4.79	851	EUR	
13/04/2011 00:00	4.92	4.96	4.92	4.96	1650	EUR	
14/04/2011 00:00	4.99	4.99	4.99	4.99	749	EUR	
15/04/2011 00:00	4.99	4.99	4.99	4.99	3381	EUR	
18/04/2011 00:00	4.95	4.95	4.83	4.83	600	EUR	
19/04/2011 00:00	4.75	4.88	4.75	4.88	1780	EUR	
20/04/2011 00:00	4.75	4.85	4.75	4.85	2600	EUR	
21/04/2011 00:00	4.84	4.84	4.84	4.84	600	EUR	
26/04/2011 00:00	4.62	4.75	4.62	4.75	4190	EUR	
27/04/2011 00:00	4.64	4.64	4.64	4.64	2600	EUR	
28/04/2011 00:00	4.7	4.7	4.7	4.7	725	EUR	
29/04/2011 00:00	4.67	4.67	4.67	4.67	145	EUR	
02/05/2011 00:00	4.8	4.8	4.79	4.79	2855	EUR	
03/05/2011 00:00	4.79	4.79	4.67	4.67	4001	EUR	
04/05/2011 00:00	4.6	4.75	4.6	4.75	13151	EUR	
05/05/2011 00:00	4.71	4.71	4.71	4.71	3700	EUR	
06/05/2011 00:00	4.71	4.71	4.71	4.71	2600	EUR	
09/05/2011 00:00	4.8	4.8	4.72	4.72	410	EUR	
10/05/2011 00:00	4.72	4.79	4.72	4.79	123	EUR	
11/05/2011 00:00	4.71	4.71	4.71	4.71	9595	EUR	
12/05/2011 00:00	4.71	4.71	4.71	4.71	42	EUR	
13/05/2011 00:00	4.78	4.78	4.78	4.78	250	EUR	
16/05/2011 00:00	4.79	4.79	4.79	4.79	610	EUR	
17/05/2011 00:00	4.6	4.73	4.6	4.73	3450	EUR	
18/05/2011 00:00	4.78	4.78	4.77	4.77	520	EUR	
19/05/2011 00:00	4.69	4.69	4.69	4.69	400	EUR	
20/05/2011 00:00	4.69	4.83	4.69	4.83	1540	EUR	
23/05/2011 00:00	4.88	4.95	4.88	4.95	1350	EUR	
24/05/2011 00:00	4.9	4.9	4.9	4.9	1170	EUR	
25/05/2011 00:00	4.91	4.92	4.91	4.92	501	EUR	
26/05/2011 00:00	4.9	4.9	4.9	4.9	790	EUR	
27/05/2011 00:00	4.9	4.9	4.9	4.9	310	EUR	
30/05/2011 00:00	4.9	4.9	4.9	4.9	1	EUR	
31/05/2011 00:00	4.62	4.62	4.6	4.6	8390	EUR	
01/06/2011 00:00	4.61	4.61	4.6	4.6	2365	EUR	
02/06/2011 00:00	4.6	4.6	4.6	4.6	250	EUR	
03/06/2011 00:00	4.7	4.7	4.7	4.7	950	EUR	
06/06/2011 00:00	4.79	4.8	4.79	4.8	2275	EUR	
07/06/2011 00:00	4.79	4.79	4.79	4.79	1	EUR	
08/06/2011 00:00	4.7	4.7	4.7	4.7	200	EUR	
09/06/2011 00:00	4.7	4.79	4.7	4.79	26	EUR	
10/06/2011 00:00	4.79	4.79	4.79	4.79	1	EUR	
13/06/2011 00:00	4.79	4.79	4.79	4.79	1	EUR	
14/06/2011 00:00	4.79	4.79	4.79	4.79	1	EUR	
15/06/2011 00:00	4.79	4.79	4.64	4.64	2001	EUR	
16/06/2011 00:00	4.6	4.6	4.6	4.6	1005	EUR	
17/06/2011 00:00	4.61	4.68	4.61	4.68	450	EUR	
20/06/2011 00:00	4.65	4.65	4.65	4.65	110	EUR	
21/06/2011 00:00	4.65	4.65	4.65	4.65	1	EUR	
22/06/2011 00:00	4.7	4.7	4.7	4.7	711	EUR	
23/06/2011 00:00	4.7	4.7	4.7	4.7	38	EUR	
24/06/2011 00:00	4.71	4.71	4.71	4.71	6	EUR	
27/06/2011 00:00	4.71	4.71	4.55	4.55	1533	EUR	
28/06/2011 00:00	4.56	4.56	4.52	4.52	2230	EUR	
29/06/2011 00:00	4.5	4.5	4.5	4.5	835	EUR	
30/06/2011 00:00	4.49	4.49	4.37	4.37	901	EUR	
01/07/2011 00:00	4.37	4.37	4.37	4.37	101	EUR	
04/07/2011 00:00	4.36	4.37	4.36	4.37	2871	EUR	
05/07/2011 00:00	4.35	4.35	4.2	4.2	2077	EUR	
06/07/2011 00:00	4.3	4.3	4.18	4.18	2251	EUR	
07/07/2011 00:00	4.22	4.36	4.22	4.36	1905	EUR	
