date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	10.24	10.24	9.9	9.95	6057	EUR	
10/11/2010 00:00	9.97	10.14	9.95	10.05	1402	EUR	
11/11/2010 00:00	10.06	10.06	9.92	9.92	1568	EUR	
12/11/2010 00:00	9.9	10.14	9.87	10.14	2695	EUR	
15/11/2010 00:00	10	10.2	9.95	10.2	3923	EUR	
16/11/2010 00:00	10.1	10.1	9.85	9.85	2895	EUR	
17/11/2010 00:00	9.85	9.93	9.8	9.84	2623	EUR	
18/11/2010 00:00	9.82	9.84	9.79	9.8	6379	EUR	
19/11/2010 00:00	9.75	9.75	9.55	9.6	7196	EUR	
22/11/2010 00:00	9.79	9.92	9.7	9.9	6725	EUR	
23/11/2010 00:00	9.85	9.9	9.7	9.8	2552	EUR	
24/11/2010 00:00	9.76	9.76	9.58	9.59	8257	EUR	
25/11/2010 00:00	9.6	9.6	9.5	9.5	3473	EUR	
26/11/2010 00:00	9.48	9.5	9.35	9.5	2786	EUR	
29/11/2010 00:00	9.5	9.54	9.3	9.3	3007	EUR	
30/11/2010 00:00	9.54	9.6	9.35	9.54	6411	EUR	
01/12/2010 00:00	9.55	9.6	9.5	9.54	5069	EUR	
02/12/2010 00:00	9.53	9.6	9.29	9.29	8376	EUR	
03/12/2010 00:00	9.22	9.37	9.2	9.26	4140	EUR	
06/12/2010 00:00	9.35	9.37	9.2	9.2	12015	EUR	
07/12/2010 00:00	9.19	9.25	9.11	9.11	7961	EUR	
08/12/2010 00:00	9.2	9.2	9.1	9.2	12704	EUR	
09/12/2010 00:00	9.19	9.23	9.03	9.1	23248	EUR	
10/12/2010 00:00	9.11	9.23	9.11	9.12	3576	EUR	
13/12/2010 00:00	9.16	9.23	9.16	9.16	3811	EUR	
14/12/2010 00:00	9.16	9.25	9.16	9.25	5098	EUR	
15/12/2010 00:00	9.25	9.25	9.25	9.25	414	EUR	
16/12/2010 00:00	9.27	9.35	9.27	9.35	1451	EUR	
17/12/2010 00:00	9.34	9.38	9.34	9.37	7429	EUR	
20/12/2010 00:00	9.25	9.4	9.25	9.35	6406	EUR	
21/12/2010 00:00	9.33	9.35	9.3	9.35	2042	EUR	
22/12/2010 00:00	9.31	9.38	9.2	9.38	7741	EUR	
23/12/2010 00:00	9.3	9.32	9.15	9.29	6611	EUR	
24/12/2010 00:00	9.29	9.3	9.04	9.29	2316	EUR	
27/12/2010 00:00	9.05	9.2	9.05	9.19	1827	EUR	
28/12/2010 00:00	9.15	9.15	9.06	9.14	2583	EUR	
29/12/2010 00:00	9.12	9.19	9.05	9.19	7387	EUR	
30/12/2010 00:00	9.1	9.15	9.05	9.05	1001	EUR	
31/12/2010 00:00	9.06	9.25	9.06	9.25	1191	EUR	
03/01/2011 00:00	9.24	9.43	9.24	9.36	3050	EUR	
04/01/2011 00:00	9.36	9.38	9.25	9.26	6308	EUR	
05/01/2011 00:00	9.26	9.27	9.26	9.26	4464	EUR	
06/01/2011 00:00	9.26	9.27	9.25	9.25	2953	EUR	
07/01/2011 00:00	9.25	9.27	9.25	9.26	5201	EUR	
10/01/2011 00:00	9.28	9.36	9.27	9.28	7135	EUR	
11/01/2011 00:00	9.36	9.36	9.29	9.36	2023	EUR	
