date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	22.66	23.636	22.583	23.596	403441	EUR	
10/11/2010 00:00	23.503	23.616	23.333	23.573	299973	EUR	
11/11/2010 00:00	23.573	23.923	23.573	23.783	231434	EUR	
12/11/2010 00:00	23.52	23.63	23.333	23.336	150164	EUR	
15/11/2010 00:00	23.33	23.416	23.173	23.316	181559	EUR	
16/11/2010 00:00	23.35	23.416	23.173	23.196	181043	EUR	
17/11/2010 00:00	23.166	23.5	23.05	23.486	228614	EUR	
18/11/2010 00:00	23.666	24.26	23.616	24.26	269232	EUR	
19/11/2010 00:00	24.293	24.746	24.286	24.69	334611	EUR	
22/11/2010 00:00	24.633	24.633	23.663	24.033	235631	EUR	
23/11/2010 00:00	23.86	24.083	23.64	23.65	124369	EUR	
24/11/2010 00:00	23.666	23.94	23.633	23.743	107938	EUR	
25/11/2010 00:00	23.766	23.936	23.73	23.783	109867	EUR	
26/11/2010 00:00	23.733	23.733	23.293	23.366	327597	EUR	
29/11/2010 00:00	23.433	23.5	23.236	23.236	179921	EUR	
30/11/2010 00:00	23.086	23.226	22.803	22.833	261774	EUR	
01/12/2010 00:00	22.79	22.963	22.53	22.916	175238	EUR	
02/12/2010 00:00	22.923	23	22.673	22.94	358009	EUR	
03/12/2010 00:00	22.833	23.466	22.833	23.366	114379	EUR	
06/12/2010 00:00	23.333	23.333	22.933	23.01	159635	EUR	
07/12/2010 00:00	23.003	23.566	23.003	23.553	190250	EUR	
08/12/2010 00:00	23.593	24.266	23.57	23.996	304044	EUR	
09/12/2010 00:00	24.036	24.423	24.036	24.423	187562	EUR	
10/12/2010 00:00	24.396	24.496	24.283	24.473	139618	EUR	
13/12/2010 00:00	24.496	25.033	24.496	25.02	230333	EUR	
14/12/2010 00:00	25.05	25.05	24.73	24.746	137566	EUR	
15/12/2010 00:00	24.746	24.746	24.596	24.6	176246	EUR	
16/12/2010 00:00	24.703	25.08	24.666	25.036	323106	EUR	
17/12/2010 00:00	25.083	25.1	24.78	25.013	234410	EUR	
20/12/2010 00:00	25.046	25.363	24.916	25.343	157556	EUR	
21/12/2010 00:00	25.496	25.523	25.22	25.413	84520	EUR	
22/12/2010 00:00	25.5	25.516	25.253	25.5	104497	EUR	
23/12/2010 00:00	25.416	25.6	25.383	25.383	94024	EUR	
24/12/2010 00:00	25.296	25.496	25.166	25.466	55480	EUR	
27/12/2010 00:00	25.416	25.416	25.22	25.24	51247	EUR	
28/12/2010 00:00	25.166	25.293	25.073	25.253	83374	EUR	
29/12/2010 00:00	25.246	25.57	25.216	25.423	75049	EUR	
30/12/2010 00:00	25.416	25.433	25.276	25.413	31980	EUR	
31/12/2010 00:00	25.166	25.166	24.606	24.606	41541	EUR	
03/01/2011 00:00	24.65	25.133	24.65	25.023	72670	EUR	
04/01/2011 00:00	25.123	25.383	25	25.383	116650	EUR	
05/01/2011 00:00	25.333	25.333	25.06	25.1	189476	EUR	
06/01/2011 00:00	25.21	25.276	24.98	24.98	119521	EUR	
07/01/2011 00:00	24.976	25.146	24.88	25.026	97255	EUR	
10/01/2011 00:00	25.053	25.14	24.9	24.963	102073	EUR	
11/01/2011 00:00	25.063	25.353	25.053	25.2	99301	EUR	
12/01/2011 00:00	25.316	25.353	25.106	25.333	133534	EUR	
13/01/2011 00:00	25.423	25.66	25.24	25.35	134773	EUR	
14/01/2011 00:00	25.39	25.533	25.043	25.103	99214	EUR	
17/01/2011 00:00	25.133	25.333	25.133	25.216	54040	EUR	
18/01/2011 00:00	25.256	25.333	24.943	25.016	191279	EUR	
19/01/2011 00:00	25	25.13	24.833	24.833	338844	EUR	
20/01/2011 00:00	25.666	27.126	25.5	26.766	740572	EUR	
21/01/2011 00:00	26.733	26.75	26.166	26.546	190310	EUR	
24/01/2011 00:00	26.59	26.666	25.5	25.95	237818	EUR	
25/01/2011 00:00	26	26.666	25.866	26.636	199049	EUR	
26/01/2011 00:00	26.5	26.813	26.366	26.57	263187	EUR	
27/01/2011 00:00	26.666	26.666	26.22	26.526	96376	EUR	
28/01/2011 00:00	26.4	26.666	26.363	26.58	128584	EUR	
31/01/2011 00:00	26.4	26.8	26.4	26.573	161780	EUR	
01/02/2011 00:00	26.666	26.9	26.466	26.77	220844	EUR	
02/02/2011 00:00	26.843	27.323	26.64	27.073	208214	EUR	
03/02/2011 00:00	27.106	27.106	26.45	26.533	216929	EUR	
04/02/2011 00:00	26.58	26.68	26.34	26.68	158813	EUR	
07/02/2011 00:00	26.76	27.1	26.63	27.066	154640	EUR	
08/02/2011 00:00	27.006	27.163	26.81	26.986	159239	EUR	
09/02/2011 00:00	26.993	27.24	26.943	27	100072	EUR	
10/02/2011 00:00	27	27.15	26.866	26.963	81064	EUR	
11/02/2011 00:00	27.033	27.106	26.38	27	123355	EUR	
14/02/2011 00:00	27.15	27.15	26.856	27.033	84412	EUR	
15/02/2011 00:00	27.066	27.2	27	27.2	121102	EUR	
16/02/2011 00:00	27.263	27.493	27.193	27.193	116431	EUR	
17/02/2011 00:00	27.193	27.333	26.836	26.95	78766	EUR	
18/02/2011 00:00	26.953	26.953	26.666	26.866	105760	EUR	
21/02/2011 00:00	26.8	26.973	26.35	26.35	104533	EUR	
22/02/2011 00:00	26.336	26.346	25.733	25.953	109129	EUR	
23/02/2011 00:00	25.876	25.963	25.566	25.566	151679	EUR	
24/02/2011 00:00	25.516	25.966	25.5	25.736	127144	EUR	
25/02/2011 00:00	25.84	26.126	25.613	26.126	63580	EUR	
28/02/2011 00:00	26.083	26.106	25.58	25.716	162410	EUR	
01/03/2011 00:00	25.666	26.123	25.646	26.123	209294	EUR	
02/03/2011 00:00	25.856	26.046	25.666	25.756	95599	EUR	
03/03/2011 00:00	25.673	25.943	25.35	25.416	200111	EUR	
04/03/2011 00:00	25.433	25.916	25.416	25.916	87727	EUR	
07/03/2011 00:00	25.866	26.126	25.633	26.123	133321	EUR	
08/03/2011 00:00	26.166	26.266	25.793	26	69052	EUR	
09/03/2011 00:00	25.933	25.933	25.216	25.673	275736	EUR	
10/03/2011 00:00	25.56	25.616	25.166	25.19	124165	EUR	
11/03/2011 00:00	25.15	25.206	24.75	24.75	158531	EUR	
