date	ouv	haut	bas	clot	vol	devise	
26/10/2016 00:00	130.04	130.04	130.04	130.04	4575271	USD	
29/03/2017 00:00	18.875	18.875	18.875	18.875	4575271	USD	
16/10/2017 00:00	11.65	11.74	11.35	11.35	0	USD	
17/10/2017 00:00	11.36	11.42	11.14	11.28	0	USD	
18/10/2017 00:00	11.28	11.35	11.24	11.27	0	USD	
19/10/2017 00:00	11.14	11.265	11.06	11.23	0	USD	
20/10/2017 00:00	11.19	11.25	11.07	11.11	0	USD	
23/10/2017 00:00	11.14	11.18	10.99	11.01	0	USD	
24/10/2017 00:00	11.01	11.1	10.97	11.015	0	USD	
25/10/2017 00:00	11.05	11.1	10.73	10.75	0	USD	
26/10/2017 00:00	10.77	10.8	10.67	10.73	0	USD	
27/10/2017 00:00	10.66	10.74	10.65	10.7	1084746	USD	
30/10/2017 00:00	10.66	11.09	10.65	11.085	0	USD	
31/10/2017 00:00	11.09	11.13	10.89	10.945	0	USD	
01/11/2017 00:00	10.96	11.04	10.77	10.78	0	USD	
02/11/2017 00:00	10.78	10.84	10.7	10.7	0	USD	
03/11/2017 00:00	10.96	11.115	10.65	10.96	0	USD	
06/11/2017 00:00	11.02	11.04	10.86	10.99	0	USD	
07/11/2017 00:00	10.92	10.99	10.765	10.84	0	USD	
08/11/2017 00:00	10.85	10.9	10.75	10.82	0	USD	
09/11/2017 00:00	10.76	10.84	10.69	10.76	0	USD	
10/11/2017 00:00	10.72	10.87	10.7	10.79	0	USD	
13/11/2017 00:00	10.71	10.76	10.64	10.69	0	USD	
14/11/2017 00:00	10.63	10.68	10.36	10.39	0	USD	
15/11/2017 00:00	10.3	10.37	10.06	10.335	0	USD	
16/11/2017 00:00	10.39	10.53	10.37	10.385	0	USD	
17/11/2017 00:00	10.39	10.39	10.2	10.295	0	USD	
20/11/2017 00:00	10.28	10.3	10.23	10.235	0	USD	
21/11/2017 00:00	10.26	10.67	10.26	10.54	0	USD	
22/11/2017 00:00	10.6	10.78	10.585	10.735	0	USD	
24/11/2017 00:00	10.72	10.8	10.7	10.79	498143	USD	
27/11/2017 00:00	10.74	10.93	10.72	10.88	0	USD	
28/11/2017 00:00	10.88	11.04	10.87	10.925	1536079	USD	
29/11/2017 00:00	10.9	10.935	10.554	10.65	0	USD	
30/11/2017 00:00	10.65	10.82	10.63	10.77	0	USD	
01/12/2017 00:00	10.85	10.85	10.6	10.78	0	USD	
04/12/2017 00:00	10.83	10.9	10.44	10.445	0	USD	
05/12/2017 00:00	10.46	10.61	10.34	10.345	0	USD	
06/12/2017 00:00	10.33	10.33	10.13	10.2	0	USD	
07/12/2017 00:00	10.34	10.36	10.23	10.285	1178172	USD	
08/12/2017 00:00	10.33	10.363	10.22	10.255	0	USD	
11/12/2017 00:00	10.33	10.58	10.29	10.57	0	USD	
12/12/2017 00:00	10.58	10.674	10.465	10.65	0	USD	
13/12/2017 00:00	10.68	10.789	10.65	10.66	0	USD	
14/12/2017 00:00	10.7	10.83	10.615	10.67	1469677	USD	
15/12/2017 00:00	10.75	10.93	10.7	10.84	0	USD	
18/12/2017 00:00	10.92	11.2	10.85	10.94	0	USD	
19/12/2017 00:00	10.99	11.07	10.81	10.87	0	USD	
20/12/2017 00:00	11.61	12.355	11.58	12.165	0	USD	
21/12/2017 00:00	12.27	12.3	11.79	11.8	0	USD	
22/12/2017 00:00	11.73	11.81	11.56	11.61	0	USD	
26/12/2017 00:00	11.56	11.63	11.27	11.29	2269563	USD	
27/12/2017 00:00	11.34	11.4	11.2	11.23	0	USD	
28/12/2017 00:00	11.34	11.39	11.25	11.35	0	USD	
29/12/2017 00:00	11.41	11.429	11.16	11.17	0	USD	
02/01/2018 00:00	11.25	12.02	11.25	12.005	0	USD	
03/01/2018 00:00	12.79	13.555	12.52	13.53	0	USD	
04/01/2018 00:00	13.79	13.96	13.13	13.36	0	USD	
05/01/2018 00:00	13.57	14.1	13.45	13.845	0	USD	
08/01/2018 00:00	14.04	14.13	13.58	14.12	0	USD	
09/01/2018 00:00	14.21	14.55	14.13	14.41	0	USD	
10/01/2018 00:00	14.28	14.3	13.62	13.675	0	USD	
11/01/2018 00:00	13.7	13.7	13.34	13.44	0	USD	
12/01/2018 00:00	13.47	13.73	13.46	13.65	0	USD	
16/01/2018 00:00	14.43	14.55	13.55	13.805	0	USD	
17/01/2018 00:00	13.91	13.98	13.57	13.67	0	USD	
18/01/2018 00:00	13.58	13.61	13.25	13.26	0	USD	
19/01/2018 00:00	13.33	13.37	13.15	13.3	2596580	USD	
22/01/2018 00:00	13.24	13.37	13.14	13.28	0	USD	
23/01/2018 00:00	13.23	13.55	13.2	13.525	0	USD	
24/01/2018 00:00	13.6	13.64	13.13	13.255	0	USD	
25/01/2018 00:00	13.3	13.37	13.01	13.04	0	USD	
26/01/2018 00:00	13.1	13.53	13.06	13.435	0	USD	
29/01/2018 00:00	13.4	13.43	12.97	13	0	USD	
30/01/2018 00:00	12.85	12.93	12.56	12.575	0	USD	
31/01/2018 00:00	12.67	12.87	12.52	12.67	0	USD	
01/02/2018 00:00	12.63	12.975	12.63	12.905	0	USD	
02/02/2018 00:00	12.72	12.99	12.321	12.42	0	USD	
05/02/2018 00:00	12.2	12.41	11.82	11.85	0	USD	
06/02/2018 00:00	11.49	12.06	11.28	12.005	0	USD	
07/02/2018 00:00	11.93	12.04	11.66	11.76	0	USD	
08/02/2018 00:00	11.84	11.96	11.4	11.405	0	USD	
09/02/2018 00:00	11.51	11.74	11.11	11.615	0	USD	
12/02/2018 00:00	11.72	11.927	11.69	11.735	0	USD	
13/02/2018 00:00	11.66	11.81	11.62	11.77	0	USD	
14/02/2018 00:00	11.64	12.17	11.57	12.11	0	USD	
15/02/2018 00:00	12.2	12.32	11.89	12.11	0	USD	
16/02/2018 00:00	12.03	12.13	11.91	12.05	0	USD	
20/02/2018 00:00	11.96	12.21	11.92	12.105	0	USD	
21/02/2018 00:00	12.16	12.42	12.12	12.205	0	USD	
22/02/2018 00:00	12.22	12.278	11.87	11.915	0	USD	
23/02/2018 00:00	11.98	12.64	11.96	12.56	0	USD	
26/02/2018 00:00	12.58	12.67	12.375	12.565	0	USD	
27/02/2018 00:00	12.52	12.64	12.305	12.35	0	USD	
28/02/2018 00:00	12.41	12.45	12.13	12.135	0	USD	
01/03/2018 00:00	12.16	12.29	11.93	12.11	0	USD	
02/03/2018 00:00	11.94	12.39	11.76	12.36	0	USD	
05/03/2018 00:00	12.22	12.44	12.2	12.38	0	USD	
06/03/2018 00:00	12.51	12.56	12.33	12.44	0	USD	
07/03/2018 00:00	12.3	12.5	12.25	12.5	0	USD	
08/03/2018 00:00	12.54	13.185	12.47	12.88	0	USD	
