date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	32.55	33.47	32.5	33.115	1797235	EUR	
10/11/2010 00:00	33.375	33.99	33.22	33.64	2681871	EUR	
11/11/2010 00:00	33.67	33.8	33	33.105	1483636	EUR	
12/11/2010 00:00	32.6	33.045	32.355	32.87	1884617	EUR	
15/11/2010 00:00	32.71	33.135	32.52	33.085	1314514	EUR	
16/11/2010 00:00	32.945	32.95	32.29	32.335	1561207	EUR	
17/11/2010 00:00	32.245	32.65	32.185	32.46	1061553	EUR	
18/11/2010 00:00	32.7	32.84	32.245	32.705	1506911	EUR	
19/11/2010 00:00	32.725	32.79	32.42	32.66	683016	EUR	
22/11/2010 00:00	32.845	33.06	32.25	32.4	1144600	EUR	
23/11/2010 00:00	32.215	32.35	31.83	31.83	1621179	EUR	
24/11/2010 00:00	31.75	32.05	31.5	31.94	1533271	EUR	
25/11/2010 00:00	31.885	31.94	31.565	31.825	844740	EUR	
26/11/2010 00:00	31.65	31.86	31.11	31.555	1457043	EUR	
29/11/2010 00:00	31.665	31.825	30.7	30.74	2163744	EUR	
30/11/2010 00:00	30.74	31.145	30.585	30.74	2064099	EUR	
01/12/2010 00:00	30.99	31.615	30.97	31.49	2422910	EUR	
02/12/2010 00:00	31.985	31.985	31.3	31.88	1724949	EUR	
03/12/2010 00:00	32.205	32.3	31.505	31.76	1550177	EUR	
06/12/2010 00:00	31.755	32.05	31	31.105	2228965	EUR	
07/12/2010 00:00	31.155	31.785	31.155	31.57	1993724	EUR	
08/12/2010 00:00	31.45	31.95	31.31	31.815	1628957	EUR	
09/12/2010 00:00	32.02	32.24	31.865	32.025	1379777	EUR	
10/12/2010 00:00	32.12	32.325	31.945	31.945	1301642	EUR	
13/12/2010 00:00	31.905	32.09	31.375	31.955	2089015	EUR	
14/12/2010 00:00	31.905	32.205	31.825	32.1	1488657	EUR	
15/12/2010 00:00	32.025	32.185	31.805	31.98	1573251	EUR	
16/12/2010 00:00	31.915	32.185	31.815	32.02	1077381	EUR	
17/12/2010 00:00	32.03	32.175	31.97	31.995	1920867	EUR	
20/12/2010 00:00	31.955	32.65	31.905	32.255	1588627	EUR	
21/12/2010 00:00	32.415	32.69	32.315	32.62	1144131	EUR	
22/12/2010 00:00	32.63	32.63	32.305	32.41	1197482	EUR	
23/12/2010 00:00	32.46	32.58	32.11	32.355	457084	EUR	
24/12/2010 00:00	32.32	32.46	32.265	32.32	110134	EUR	
27/12/2010 00:00	32.32	32.52	31.9	32.405	534390	EUR	
28/12/2010 00:00	32.45	32.695	32.33	32.35	375812	EUR	
29/12/2010 00:00	32.46	32.63	32.395	32.56	367100	EUR	
30/12/2010 00:00	32.515	32.56	32.24	32.37	523756	EUR	
31/12/2010 00:00	32.375	32.46	32.15	32.255	180740	EUR	
03/01/2011 00:00	32.5	32.96	32.305	32.94	1059566	EUR	
04/01/2011 00:00	32.89	33	32.525	32.64	1190166	EUR	
05/01/2011 00:00	32.465	32.895	32.25	32.895	1291601	EUR	
06/01/2011 00:00	32.945	33.115	32.62	32.76	899980	EUR	
07/01/2011 00:00	32.695	32.895	32.4	32.625	983552	EUR	
10/01/2011 00:00	32.575	32.575	31.835	31.96	1076620	EUR	
11/01/2011 00:00	32.075	32.33	31.94	32.245	1438425	EUR	
12/01/2011 00:00	32.27	33.035	32.27	32.865	1658923	EUR	
13/01/2011 00:00	32.75	33.15	32.625	33.145	2043087	EUR	
14/01/2011 00:00	33.005	33.44	33.005	33.245	1666553	EUR	
17/01/2011 00:00	33.375	33.4	32.85	32.88	982999	EUR	
18/01/2011 00:00	33.3	34.665	33.11	34.665	4134590	EUR	
19/01/2011 00:00	34.035	34.3	33.82	33.93	2662844	EUR	
20/01/2011 00:00	33.85	34.485	33.68	33.985	1782312	EUR	
21/01/2011 00:00	34.1	35	34.02	34.68	2396162	EUR	
24/01/2011 00:00	34.795	35.045	34.385	35	1163348	EUR	
25/01/2011 00:00	35	35	34.525	34.64	1175531	EUR	
26/01/2011 00:00	34.96	34.97	34.66	34.7	905308	EUR	
27/01/2011 00:00	34.625	34.92	34.28	34.57	1477305	EUR	
28/01/2011 00:00	34.27	34.66	34.185	34.185	1497606	EUR	
31/01/2011 00:00	34.03	34.27	33.65	34.01	1243064	EUR	
01/02/2011 00:00	34.06	34.235	33.705	33.835	1616225	EUR	
02/02/2011 00:00	33.965	34.035	33.6	33.805	1387296	EUR	
03/02/2011 00:00	33.8	33.9	33.185	33.46	1465941	EUR	
04/02/2011 00:00	33.475	33.81	33.475	33.81	1076374	EUR	
07/02/2011 00:00	33.865	34.495	33.85	34.425	1336958	EUR	
08/02/2011 00:00	34.28	34.46	34.01	34.185	1322659	EUR	
09/02/2011 00:00	34.085	34.315	33.915	34.06	858052	EUR	
10/02/2011 00:00	34.02	34.125	33.625	33.91	1240309	EUR	
11/02/2011 00:00	33.815	33.95	33.13	33.655	1569192	EUR	
14/02/2011 00:00	34	34.035	33.615	33.705	1090991	EUR	
15/02/2011 00:00	33.63	33.925	33.62	33.65	984417	EUR	
16/02/2011 00:00	33.76	34.01	33.555	33.7	1810148	EUR	
17/02/2011 00:00	33.87	33.885	33.47	33.5	1246621	EUR	
18/02/2011 00:00	33.98	34	33.52	33.89	2347626	EUR	
21/02/2011 00:00	33.92	33.925	33.295	33.295	1508655	EUR	
22/02/2011 00:00	33.17	33.8	32.815	33.465	2156336	EUR	
23/02/2011 00:00	33.345	33.51	33.05	33.175	1398841	EUR	
24/02/2011 00:00	32.9	33.05	32.7	32.78	1427612	EUR	
25/02/2011 00:00	32.845	33.16	32.715	33.1	1228804	EUR	
28/02/2011 00:00	33.055	33.735	32.805	33.505	1830444	EUR	
01/03/2011 00:00	33.64	33.87	33.16	33.2	1241755	EUR	
02/03/2011 00:00	33.645	34.45	33.255	34.21	3489364	EUR	
03/03/2011 00:00	34.43	34.52	33.855	34.275	2034152	EUR	
04/03/2011 00:00	34.385	34.57	33.81	33.98	1519242	EUR	
07/03/2011 00:00	33.985	34.6	33.765	34.225	1476064	EUR	
08/03/2011 00:00	34.305	34.9	34.225	34.605	1711976	EUR	
09/03/2011 00:00	34.57	34.775	34.25	34.31	1806000	EUR	
10/03/2011 00:00	34.05	34.27	33.665	33.98	1206161	EUR	
11/03/2011 00:00	33.66	33.915	33.53	33.55	1100059	EUR	
14/03/2011 00:00	33.43	33.575	33.05	33.17	1641247	EUR	
15/03/2011 00:00	32.64	32.77	31.75	32.47	2649735	EUR	
16/03/2011 00:00	32.52	32.59	31.56	31.735	2785733	EUR	
17/03/2011 00:00	31.84	32.565	31.735	32.55	2341253	EUR	
18/03/2011 00:00	32.675	32.77	32.05	32.315	2295411	EUR	
21/03/2011 00:00	32.805	33.135	32.715	33.1	1686862	EUR	
22/03/2011 00:00	33.1	33.2	32.895	33.015	1314971	EUR	
23/03/2011 00:00	32.83	33.41	32.815	33.37	1019970	EUR	
