date	ouv	haut	bas	clot	vol	devise	
22/04/2014 00:00	79.637	79.637	71.509	74.584	22904	EUR	
23/04/2014 00:00	74.877	77.587	74.548	76.086	13007	EUR	
24/04/2014 00:00	77.697	77.806	76.891	77.074	3781	EUR	
25/04/2014 00:00	77.44	77.44	75.793	76.525	5767	EUR	
28/04/2014 00:00	77.257	77.404	76.598	76.708	2073	EUR	
29/04/2014 00:00	76.891	77.147	76.342	76.342	1863	EUR	
30/04/2014 00:00	77.111	77.111	75.097	75.426	2575	EUR	
02/05/2014 00:00	75.426	76.891	74.475	74.877	3285	EUR	
05/05/2014 00:00	74.877	75.243	74.218	75.243	1039	EUR	
06/05/2014 00:00	75.426	75.426	74.731	75.134	4347	EUR	
07/05/2014 00:00	75.097	75.097	74.035	74.365	1738	EUR	
08/05/2014 00:00	74.365	74.438	73.779	73.962	617	EUR	
09/05/2014 00:00	74.218	74.584	73.962	73.962	697	EUR	
12/05/2014 00:00	74.108	74.108	72.863	73.23	6466	EUR	
13/05/2014 00:00	73.23	73.23	72.497	72.68	1266	EUR	
14/05/2014 00:00	73.413	73.742	72.534	73.23	5500	EUR	
15/05/2014 00:00	73.23	73.23	72.68	73.23	1544	EUR	
16/05/2014 00:00	73.047	73.193	70.483	72.314	5316	EUR	
19/05/2014 00:00	72.497	72.534	68.47	70.85	3460	EUR	
20/05/2014 00:00	69.568	70.41	68.323	69.568	10646	EUR	
21/05/2014 00:00	69.568	70.3	68.836	68.836	1162	EUR	
22/05/2014 00:00	68.47	69.568	68.47	68.689	4294	EUR	
23/05/2014 00:00	69.568	69.568	67.811	68.14	2539	EUR	
26/05/2014 00:00	69.165	69.568	68.689	69.056	2771	EUR	
27/05/2014 00:00	69.129	69.568	68.872	68.872	2088	EUR	
28/05/2014 00:00	69.568	71.252	69.165	69.202	8333	EUR	
29/05/2014 00:00	69.898	69.934	69.568	69.898	1934	EUR	
30/05/2014 00:00	70.3	72.827	70.3	72.68	1115	EUR	
02/06/2014 00:00	74.511	76.525	74.145	76.488	4960	EUR	
03/06/2014 00:00	76.525	76.745	74.328	76.159	3326	EUR	
04/06/2014 00:00	77.44	77.44	74.328	75.024	2730	EUR	
