date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	12.18	12.3	12.12	12.3	204	EUR	
10/11/2010 00:00	12.36	13.2	12.36	12.42	11028	EUR	
11/11/2010 00:00	12.42	12.78	12.42	12.78	1266	EUR	
12/11/2010 00:00	12.66	12.66	12.18	12.3	2400	EUR	
15/11/2010 00:00	12.3	12.3	11.94	12.06	2964	EUR	
16/11/2010 00:00	12.06	12.3	12.06	12.12	810	EUR	
17/11/2010 00:00	12.3	12.3	12	12	1506	EUR	
18/11/2010 00:00	12	12	11.94	12	1002	EUR	
19/11/2010 00:00	12	12	11.94	12	336	EUR	
22/11/2010 00:00	12	12.18	12	12	198	EUR	
23/11/2010 00:00	12.06	12.18	11.82	12.18	1200	EUR	
24/11/2010 00:00	12.12	12.18	11.82	11.82	906	EUR	
25/11/2010 00:00	11.88	12.12	11.88	12.12	0	EUR	
26/11/2010 00:00	12.12	12.12	11.94	12.12	294	EUR	
29/11/2010 00:00	11.94	11.94	11.82	11.88	918	EUR	
30/11/2010 00:00	11.88	12	11.82	12	798	EUR	
01/12/2010 00:00	11.94	12	11.94	12	1974	EUR	
02/12/2010 00:00	12.06	12.06	12.06	12.06	2502	EUR	
03/12/2010 00:00	12.06	12.06	11.76	11.76	888	EUR	
06/12/2010 00:00	11.82	11.82	11.76	11.76	534	EUR	
07/12/2010 00:00	11.76	12	11.7	11.94	570	EUR	
08/12/2010 00:00	11.94	11.94	11.7	11.94	546	EUR	
09/12/2010 00:00	11.94	12	11.64	12	660	EUR	
10/12/2010 00:00	11.88	11.94	11.64	11.94	204	EUR	
13/12/2010 00:00	11.88	12	11.7	11.94	534	EUR	
14/12/2010 00:00	11.82	11.94	11.82	11.94	366	EUR	
15/12/2010 00:00	11.88	11.94	11.88	11.94	186	EUR	
16/12/2010 00:00	11.88	11.94	11.88	11.94	120	EUR	
17/12/2010 00:00	11.88	11.88	11.88	11.88	138	EUR	
20/12/2010 00:00	11.82	11.82	11.7	11.7	348	EUR	
21/12/2010 00:00	11.76	11.82	11.58	11.58	1074	EUR	
22/12/2010 00:00	11.64	11.64	11.4	11.46	2718	EUR	
23/12/2010 00:00	11.46	11.52	11.1	11.52	5436	EUR	
24/12/2010 00:00	11.4	11.4	10.92	11.16	6438	EUR	
27/12/2010 00:00	11.58	11.58	10.92	11.1	2094	EUR	
28/12/2010 00:00	11.1	11.16	10.74	10.74	3024	EUR	
29/12/2010 00:00	10.74	11.34	10.74	11.28	2622	EUR	
30/12/2010 00:00	11.28	11.28	11.04	11.22	1632	EUR	
31/12/2010 00:00	11.22	11.46	11.22	11.46	150	EUR	
03/01/2011 00:00	11.46	11.64	11.46	11.64	108	EUR	
04/01/2011 00:00	11.58	11.64	11.22	11.58	786	EUR	
05/01/2011 00:00	11.58	11.7	11.4	11.7	510	EUR	
06/01/2011 00:00	11.64	12.78	11.64	12.18	16158	EUR	
07/01/2011 00:00	12.18	12.18	12.12	12.12	1050	EUR	
10/01/2011 00:00	12.12	12.18	12.06	12.06	726	EUR	
11/01/2011 00:00	12.06	12.24	11.82	12	2730	EUR	
12/01/2011 00:00	12.18	12.18	11.7	11.76	1206	EUR	
13/01/2011 00:00	11.76	11.76	11.7	11.7	468	EUR	
14/01/2011 00:00	11.64	11.76	11.64	11.76	318	EUR	
17/01/2011 00:00	11.64	11.88	11.64	11.88	28679	EUR	
18/01/2011 00:00	11.88	12.48	11.88	12.36	38279	EUR	
19/01/2011 00:00	12.3	12.42	12.12	12.3	42539	EUR	
20/01/2011 00:00	12.6	13.14	12.36	12.48	9474	EUR	
21/01/2011 00:00	12.42	12.42	12	12.36	2496	EUR	
24/01/2011 00:00	12.3	12.3	12.06	12.24	1464	EUR	
25/01/2011 00:00	12.24	12.24	12.12	12.24	1164	EUR	
26/01/2011 00:00	12.24	12.24	12.18	12.24	330	EUR	
27/01/2011 00:00	12.24	12.3	12.18	12.18	408	EUR	
28/01/2011 00:00	12.18	12.3	12.18	12.3	66	EUR	
31/01/2011 00:00	12.3	12.3	11.82	12.24	3966	EUR	
