date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	34.195	35	34.035	34.845	1837948	EUR	
10/11/2010 00:00	34.84	34.98	34.315	34.56	1303329	EUR	
11/11/2010 00:00	34.625	34.64	34.15	34.3	955620	EUR	
12/11/2010 00:00	34.015	34.235	33.83	34.09	1153386	EUR	
15/11/2010 00:00	34	34.62	33.8	34.48	760137	EUR	
16/11/2010 00:00	34.33	34.45	33.555	33.685	1129846	EUR	
17/11/2010 00:00	33.69	34.19	33.59	34.045	748388	EUR	
18/11/2010 00:00	34.27	34.77	33.99	34.695	1246504	EUR	
19/11/2010 00:00	34.985	35	33.04	33.595	3341717	EUR	
22/11/2010 00:00	33.9	34	33.595	33.765	1077106	EUR	
23/11/2010 00:00	33.75	34.035	33.56	33.81	1121794	EUR	
24/11/2010 00:00	33.74	34.08	33.525	33.96	941620	EUR	
25/11/2010 00:00	34.05	34.095	33.49	33.785	944758	EUR	
26/11/2010 00:00	33.615	33.875	33.3	33.485	789265	EUR	
29/11/2010 00:00	33.55	33.57	32.315	32.395	1624958	EUR	
30/11/2010 00:00	32.625	32.735	32.255	32.49	1385620	EUR	
01/12/2010 00:00	32.695	32.9	32.455	32.685	935901	EUR	
02/12/2010 00:00	32.535	32.845	32.32	32.8	1436191	EUR	
03/12/2010 00:00	32.86	33.845	32.8	33.52	1690318	EUR	
06/12/2010 00:00	33.595	33.595	33.09	33.375	820216	EUR	
07/12/2010 00:00	33.335	34.23	33.335	34	1435553	EUR	
08/12/2010 00:00	33.925	34.54	33.83	34.31	1120603	EUR	
09/12/2010 00:00	34.575	34.67	34.065	34.57	1041096	EUR	
10/12/2010 00:00	34.55	34.655	34.23	34.28	899151	EUR	
13/12/2010 00:00	34.25	34.395	34.01	34.215	1091095	EUR	
14/12/2010 00:00	34.105	34.41	34.1	34.205	859295	EUR	
15/12/2010 00:00	34.27	34.505	34.01	34.1	1115795	EUR	
16/12/2010 00:00	34.1	34.49	34.1	34.18	871926	EUR	
17/12/2010 00:00	34.655	35.13	34.44	34.8	2047136	EUR	
20/12/2010 00:00	34.88	35.14	34.78	34.95	675341	EUR	
21/12/2010 00:00	35.13	35.435	35.125	35.395	723046	EUR	
22/12/2010 00:00	35.265	35.75	35.115	35.42	841724	EUR	
23/12/2010 00:00	35.4	35.66	35.3	35.54	383995	EUR	
24/12/2010 00:00	35.5	35.65	35.3	35.42	72389	EUR	
27/12/2010 00:00	35.415	35.68	35.105	35.355	273258	EUR	
28/12/2010 00:00	35.495	35.6	35.4	35.52	332303	EUR	
29/12/2010 00:00	35.63	35.885	35.415	35.53	520435	EUR	
30/12/2010 00:00	35.545	35.855	35.53	35.63	364520	EUR	
31/12/2010 00:00	35.91	35.91	34.93	34.93	283169	EUR	
03/01/2011 00:00	35.05	35.93	35.05	35.895	556828	EUR	
04/01/2011 00:00	35.835	35.985	35.52	35.725	664680	EUR	
05/01/2011 00:00	35.64	35.95	35.455	35.93	829647	EUR	
06/01/2011 00:00	35.6	35.6	34.92	35.125	1439470	EUR	
07/01/2011 00:00	35.12	35.48	34.8	35.3	1354880	EUR	
10/01/2011 00:00	35.22	35.26	34.505	34.525	1132713	EUR	
11/01/2011 00:00	34.26	34.49	34.02	34.275	1883314	EUR	
12/01/2011 00:00	34.49	34.93	34.42	34.845	1554512	EUR	
13/01/2011 00:00	34.9	35.72	34.56	35.72	2277856	EUR	
14/01/2011 00:00	35.855	36.67	35.855	36.48	2399670	EUR	
17/01/2011 00:00	36.55	37.045	36.32	37.045	1433044	EUR	
18/01/2011 00:00	37.115	37.265	36.875	37.11	1195985	EUR	
19/01/2011 00:00	37.5	37.885	36.845	36.895	1684183	EUR	
20/01/2011 00:00	36.81	37.065	36.295	36.61	1046614	EUR	
21/01/2011 00:00	36.72	37.845	36.7	37.27	1274405	EUR	
24/01/2011 00:00	37.205	37.54	37	37.36	781184	EUR	
