date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	35.176	35.478	35.101	35.315	1765482	EUR	
10/11/2010 00:00	35.31	35.371	34.897	35.032	2308639	EUR	
11/11/2010 00:00	35.078	35.436	34.943	35.101	1859117	EUR	
12/11/2010 00:00	34.711	35.055	34.488	34.943	2273816	EUR	
15/11/2010 00:00	34.744	35.343	34.646	35.269	2579079	EUR	
16/11/2010 00:00	35.269	35.682	35.143	35.194	3057012	EUR	
17/11/2010 00:00	35.176	35.492	34.99	35.283	2053411	EUR	
18/11/2010 00:00	35.636	36.263	35.436	36.207	3338956	EUR	
19/11/2010 00:00	36.249	36.296	35.222	35.52	3825604	EUR	
22/11/2010 00:00	35.873	35.947	35.004	35.022	2630752	EUR	
23/11/2010 00:00	34.85	34.981	33.717	33.717	5106479	EUR	
24/11/2010 00:00	33.875	34.079	33.638	33.879	2831162	EUR	
25/11/2010 00:00	33.749	33.893	33.48	33.67	1593884	EUR	
26/11/2010 00:00	33.456	34.088	33.326	33.847	2308965	EUR	
29/11/2010 00:00	33.93	34.316	33.103	33.103	4082860	EUR	
30/11/2010 00:00	33.057	33.261	32.392	32.392	4191031	EUR	
01/12/2010 00:00	30.608	30.64	29.112	30.575	18136567	EUR	
02/12/2010 00:00	30.854	31.44	30.278	31.44	7054199	EUR	
03/12/2010 00:00	30.668	31.379	30.65	30.766	4770514	EUR	
06/12/2010 00:00	30.757	30.757	29.953	29.99	6495165	EUR	
07/12/2010 00:00	30.125	30.617	29.897	30.39	3438684	EUR	
08/12/2010 00:00	30.064	30.464	29.925	30.018	3887029	EUR	
09/12/2010 00:00	30.153	30.157	29.697	29.697	4866330	EUR	
10/12/2010 00:00	29.739	29.906	29.516	29.516	2973631	EUR	
13/12/2010 00:00	29.614	30.088	29.516	30.055	3215237	EUR	
14/12/2010 00:00	30.283	30.366	30.013	30.362	2343813	EUR	
15/12/2010 00:00	30.185	30.334	30.05	30.204	2477622	EUR	
16/12/2010 00:00	30.39	30.966	30.315	30.901	4146765	EUR	
17/12/2010 00:00	31.059	31.259	30.706	30.706	4175824	EUR	
20/12/2010 00:00	30.938	30.975	29.753	29.753	3478873	EUR	
21/12/2010 00:00	29.772	30.167	29.772	29.869	2750183	EUR	
22/12/2010 00:00	29.92	30.092	29.521	29.521	2645170	EUR	
23/12/2010 00:00	29.474	29.73	29.46	29.618	1638378	EUR	
24/12/2010 00:00	29.799	29.971	29.507	29.562	192397	EUR	
27/12/2010 00:00	29.739	29.851	29.181	29.553	1178968	EUR	
28/12/2010 00:00	29.832	30.036	29.516	29.516	919741	EUR	
29/12/2010 00:00	29.6	29.92	29.6	29.799	1310252	EUR	
