date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	68.84	68.84	68.25	68.55	162435	EUR	
10/11/2010 00:00	68.5	68.65	67.8	68.16	157179	EUR	
11/11/2010 00:00	68	68.13	67	67.24	154220	EUR	
12/11/2010 00:00	66.81	66.81	66.21	66.59	359596	EUR	
15/11/2010 00:00	66.59	68.01	66.1	67.99	240562	EUR	
16/11/2010 00:00	67.61	68.12	67.24	67.24	249788	EUR	
17/11/2010 00:00	67.2	68.08	67	67.97	194312	EUR	
18/11/2010 00:00	68.49	69.32	68.34	69.32	184966	EUR	
19/11/2010 00:00	69.2	69.8	69	69.23	256397	EUR	
22/11/2010 00:00	69.72	69.87	68.81	68.91	209482	EUR	
23/11/2010 00:00	68.78	68.92	68.31	68.85	333148	EUR	
24/11/2010 00:00	69.01	69.78	68.95	69.45	291295	EUR	
25/11/2010 00:00	69.61	69.89	69.16	69.7	181648	EUR	
26/11/2010 00:00	70	70.72	69.59	70.58	351894	EUR	
29/11/2010 00:00	70.54	70.9	69.21	69.21	219487	EUR	
30/11/2010 00:00	69.08	69.8	67.83	67.83	320136	EUR	
01/12/2010 00:00	68.01	68.59	66.81	67.45	498328	EUR	
02/12/2010 00:00	67.99	68.72	67	68.72	337952	EUR	
03/12/2010 00:00	69.34	69.34	68.05	68.76	163814	EUR	
06/12/2010 00:00	68.61	69.3	68.34	68.65	179935	EUR	
07/12/2010 00:00	68.76	71.44	68.76	71.28	485222	EUR	
08/12/2010 00:00	71.13	73.93	71	72.22	573962	EUR	
09/12/2010 00:00	72.72	72.72	71.65	72.27	223212	EUR	
10/12/2010 00:00	72	72.33	71.34	71.84	222286	EUR	
13/12/2010 00:00	71.62	72.24	71.62	72.24	155546	EUR	
14/12/2010 00:00	72	72.26	71.84	72.19	130842	EUR	
15/12/2010 00:00	72.11	72.33	71.49	71.71	177747	EUR	
16/12/2010 00:00	71.87	73.97	71.33	73.56	314652	EUR	
17/12/2010 00:00	73.56	73.88	73.14	73.51	252804	EUR	
20/12/2010 00:00	73.73	73.73	73.13	73.44	115192	EUR	
21/12/2010 00:00	73.79	75.1	73.75	74.51	239299	EUR	
22/12/2010 00:00	74.5	74.5	73.83	74.33	117580	EUR	
23/12/2010 00:00	74.45	74.68	73.73	74.07	162302	EUR	
24/12/2010 00:00	74.07	74.5	73.92	74.17	19505	EUR	
27/12/2010 00:00	73.8	73.89	73.2	73.49	65934	EUR	
28/12/2010 00:00	73.51	73.92	73.14	73.14	121377	EUR	
29/12/2010 00:00	73.17	74.09	73	74.09	98238	EUR	
30/12/2010 00:00	73.94	74.23	73.01	73.01	82514	EUR	
31/12/2010 00:00	72.57	73.01	72.57	72.95	69085	EUR	
03/01/2011 00:00	73.48	74.76	73.26	74.15	156348	EUR	
04/01/2011 00:00	74.61	75.74	73.74	73.95	247002	EUR	
05/01/2011 00:00	73.75	73.96	72.78	73.15	169161	EUR	
06/01/2011 00:00	73.48	73.48	72.7	72.89	115265	EUR	
07/01/2011 00:00	72.71	73.13	72.45	72.68	187283	EUR	
10/01/2011 00:00	73.2	73.3	71.76	72.23	233006	EUR	
11/01/2011 00:00	72.38	72.75	71.81	72.11	292624	EUR	
12/01/2011 00:00	72.27	72.44	71.52	71.8	229310	EUR	
13/01/2011 00:00	72.28	72.28	70.9	71.35	237879	EUR	
14/01/2011 00:00	71.47	71.82	70.33	70.75	227942	EUR	
17/01/2011 00:00	70.87	71.46	70.87	71.12	170485	EUR	
18/01/2011 00:00	73.01	73.37	72.39	72.7	361393	EUR	
19/01/2011 00:00	72.97	72.97	71.65	71.65	214603	EUR	
20/01/2011 00:00	71.51	71.94	70.75	71	186728	EUR	
21/01/2011 00:00	71	71	70.31	70.6	299628	EUR	
24/01/2011 00:00	70.4	71	70.33	71	207854	EUR	
25/01/2011 00:00	71.02	71.65	70.71	71.14	250874	EUR	
26/01/2011 00:00	71.48	71.64	70.77	71.3	226188	EUR	
27/01/2011 00:00	71.16	71.64	70.74	71.11	148982	EUR	
28/01/2011 00:00	71.75	72.45	71.25	71.37	209047	EUR	
31/01/2011 00:00	71.56	71.78	70.6	71.37	340484	EUR	
01/02/2011 00:00	71.83	71.87	70.92	71.4	209187	EUR	
02/02/2011 00:00	71.43	71.61	70.8	71.24	164550	EUR	
03/02/2011 00:00	71.13	71.47	70.26	70.68	212833	EUR	
04/02/2011 00:00	70.65	71.3	70.1	71.11	172457	EUR	
07/02/2011 00:00	71.29	71.46	71.19	71.41	179959	EUR	
08/02/2011 00:00	71.16	71.33	70.76	70.88	291396	EUR	
09/02/2011 00:00	71.05	71.26	70.8	71.26	257899	EUR	
10/02/2011 00:00	71.08	71.25	70.68	70.99	124905	EUR	
11/02/2011 00:00	70.99	71.25	70.53	71.04	156580	EUR	
14/02/2011 00:00	71.25	71.35	70.86	71.01	200563	EUR	
15/02/2011 00:00	71.19	71.2	70.6	70.91	198818	EUR	
16/02/2011 00:00	71.2	71.22	70.85	71.1	171010	EUR	
17/02/2011 00:00	71.02	72.21	71.01	72.21	279349	EUR	
18/02/2011 00:00	72.32	72.44	71.75	72.02	123639	EUR	
21/02/2011 00:00	72	72.3	71.85	72	160266	EUR	
22/02/2011 00:00	71.8	72.1	71.33	71.95	206434	EUR	
23/02/2011 00:00	71.71	71.75	71.02	71.02	160110	EUR	
24/02/2011 00:00	70.85	71.2	70.7	70.96	136063	EUR	
25/02/2011 00:00	71.04	71.67	70.69	71.44	106710	EUR	
