date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	14.75	14.75	14.5	14.65	2328	EUR	
10/11/2010 00:00	14.62	14.62	14.6	14.6	11116	EUR	
11/11/2010 00:00	14.6	14.6	14.6	14.6	1980	EUR	
12/11/2010 00:00	14.6	14.6	14.6	14.6	700	EUR	
15/11/2010 00:00	14.6	14.6	14.49	14.59	4100	EUR	
16/11/2010 00:00	14.59	14.59	14.5	14.5	716	EUR	
17/11/2010 00:00	14.5	14.55	14.44	14.55	2324	EUR	
18/11/2010 00:00	14.55	14.55	14.5	14.52	40748	EUR	
19/11/2010 00:00	14.54	14.54	14.54	14.54	888	EUR	
22/11/2010 00:00	14.55	14.55	14.54	14.54	1812	EUR	
23/11/2010 00:00	14.53	14.53	14.38	14.39	2632	EUR	
24/11/2010 00:00	14.44	14.52	14.38	14.52	2756	EUR	
25/11/2010 00:00	14.5	14.5	14.46	14.5	4252	EUR	
26/11/2010 00:00	14.52	14.52	14.52	14.52	764	EUR	
29/11/2010 00:00	14.52	14.52	14.39	14.5	988	EUR	
30/11/2010 00:00	14.5	14.5	14.34	14.5	1636	EUR	
01/12/2010 00:00	14.5	14.5	14.3	14.44	1468	EUR	
02/12/2010 00:00	14.44	14.44	14.25	14.36	12532	EUR	
03/12/2010 00:00	14.36	14.5	13.44	14.5	10968	EUR	
06/12/2010 00:00	14.5	14.5	14.12	14.12	11340	EUR	
07/12/2010 00:00	14.13	14.13	13.88	14.12	7288	EUR	
08/12/2010 00:00	14.12	14.2	13.98	14	4108	EUR	
09/12/2010 00:00	14.13	14.13	13.98	14	1184	EUR	
10/12/2010 00:00	14.06	14.06	13.88	14	1744	EUR	
13/12/2010 00:00	14.13	14.5	14.13	14.49	9856	EUR	
14/12/2010 00:00	14.49	14.5	14.26	14.39	592	EUR	
15/12/2010 00:00	14.39	14.39	14.26	14.38	1960	EUR	
16/12/2010 00:00	14.38	14.5	14.38	14.38	792	EUR	
