date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	109.95	110.4	109.35	110.15	147455	EUR	
10/11/2010 00:00	109.95	110.15	107.6	107.95	199884	EUR	
11/11/2010 00:00	107.95	108.5	106.35	107.75	177888	EUR	
12/11/2010 00:00	106.5	108.25	104.7	107.4	140074	EUR	
15/11/2010 00:00	107.25	108.2	106.25	108.15	77426	EUR	
16/11/2010 00:00	107.95	108.55	106.5	106.5	140748	EUR	
17/11/2010 00:00	106.7	107	105.85	106.35	92785	EUR	
18/11/2010 00:00	107	108.7	106.9	108.7	81472	EUR	
19/11/2010 00:00	108.95	109.25	108.1	109.05	106129	EUR	
22/11/2010 00:00	109.6	110.5	108.6	109.2	128321	EUR	
23/11/2010 00:00	109.15	109.55	107.35	107.45	216602	EUR	
24/11/2010 00:00	107.35	108.95	106.4	108.7	158870	EUR	
25/11/2010 00:00	108.75	110.5	108.6	110.45	91602	EUR	
26/11/2010 00:00	109.65	110.4	108.7	110	102392	EUR	
29/11/2010 00:00	109.25	110.2	106.75	107.25	219261	EUR	
30/11/2010 00:00	107.35	107.4	105.7	106.7	235986	EUR	
01/12/2010 00:00	107.95	109.2	107.1	109.2	175506	EUR	
02/12/2010 00:00	109.15	111.9	109.05	111.6	201908	EUR	
03/12/2010 00:00	110.6	112.65	110.2	111.25	111441	EUR	
06/12/2010 00:00	111.25	111.85	110.75	111.8	106198	EUR	
07/12/2010 00:00	111.5	114.9	111.5	112.8	179754	EUR	
08/12/2010 00:00	112.2	112.8	110.75	111.05	125986	EUR	
09/12/2010 00:00	112.2	112.5	108.7	109	149557	EUR	
10/12/2010 00:00	108.95	111	108.95	110	144043	EUR	
13/12/2010 00:00	109.85	111.2	109.75	111	125395	EUR	
14/12/2010 00:00	110.9	111.25	109.6	110.1	99478	EUR	
15/12/2010 00:00	109.4	109.45	107.25	107.95	180346	EUR	
16/12/2010 00:00	107.65	109.05	107.65	108.5	164807	EUR	
17/12/2010 00:00	108.35	109.15	108.1	108.2	172293	EUR	
20/12/2010 00:00	108.4	108.95	108.05	108.2	97130	EUR	
21/12/2010 00:00	108.5	109.85	108.3	109.5	107833	EUR	
22/12/2010 00:00	108.55	112.05	108.5	111.05	142956	EUR	
23/12/2010 00:00	110.4	111.5	110.25	110.7	104592	EUR	
24/12/2010 00:00	110.25	111	109.15	110.8	14490	EUR	
27/12/2010 00:00	110	110.6	108.2	108.35	34753	EUR	
28/12/2010 00:00	108.2	109	107.25	107.4	62988	EUR	
29/12/2010 00:00	107.75	109.1	107.4	108.7	62148	EUR	
30/12/2010 00:00	108.5	109.7	106.65	106.8	51233	EUR	
