date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	0.12	0.12	0.11	0.11	1336960	EUR	
10/11/2010 00:00	0.12	0.12	0.11	0.12	30079	EUR	
11/11/2010 00:00	0.12	0.13	0.12	0.12	375827	EUR	
12/11/2010 00:00	0.12	0.12	0.11	0.12	76417	EUR	
15/11/2010 00:00	0.11	0.12	0.11	0.12	235500	EUR	
16/11/2010 00:00	0.12	0.12	0.11	0.12	92001	EUR	
17/11/2010 00:00	0.11	0.12	0.11	0.12	13002	EUR	
18/11/2010 00:00	0.12	0.12	0.11	0.12	145731	EUR	
19/11/2010 00:00	0.11	0.12	0.11	0.12	501	EUR	
22/11/2010 00:00	0.11	0.12	0.11	0.12	16048	EUR	
23/11/2010 00:00	0.11	0.11	0.11	0.11	2127195	EUR	
24/11/2010 00:00	0.11	0.11	0.11	0.11	194126	EUR	
25/11/2010 00:00	0.11	0.11	0.1	0.11	298494	EUR	
26/11/2010 00:00	0.11	0.11	0.1	0.11	343624	EUR	
29/11/2010 00:00	0.1	0.11	0.1	0.11	246606	EUR	
30/11/2010 00:00	0.1	0.11	0.1	0.11	124978	EUR	
01/12/2010 00:00	0.11	0.11	0.09	0.11	1242185	EUR	
02/12/2010 00:00	0.1	0.11	0.1	0.11	6560	EUR	
03/12/2010 00:00	0.1	0.11	0.1	0.11	16476	EUR	
06/12/2010 00:00	0.1	0.11	0.1	0.11	25930	EUR	
07/12/2010 00:00	0.11	0.11	0.1	0.1	74040	EUR	
08/12/2010 00:00	0.11	0.11	0.1	0.11	2002	EUR	
09/12/2010 00:00	0.11	0.11	0.1	0.11	54601	EUR	
10/12/2010 00:00	0.1	0.11	0.1	0.11	27000	EUR	
13/12/2010 00:00	0.1	0.11	0.1	0.11	939	EUR	
14/12/2010 00:00	0.1	0.11	0.1	0.11	181700	EUR	
15/12/2010 00:00	0.1	0.11	0.1	0.11	188472	EUR	
16/12/2010 00:00	0.1	0.11	0.1	0.11	26641	EUR	
17/12/2010 00:00	0.11	0.11	0.1	0.11	25862	EUR	
20/12/2010 00:00	0.11	0.11	0.1	0.1	169959	EUR	
21/12/2010 00:00	0.1	0.11	0.1	0.11	88011	EUR	
22/12/2010 00:00	0.11	0.11	0.1	0.11	31941	EUR	
23/12/2010 00:00	0.1	0.11	0.1	0.11	111011	EUR	
24/12/2010 00:00	0.1	0.11	0.1	0.11	13741	EUR	
27/12/2010 00:00	0.1	0.11	0.1	0.11	144424	EUR	
28/12/2010 00:00	0.1	0.11	0.1	0.11	290943	EUR	
29/12/2010 00:00	0.1	0.11	0.1	0.11	38890	EUR	
30/12/2010 00:00	0.1	0.11	0.1	0.1	58985	EUR	
31/12/2010 00:00	0.11	0.11	0.09	0.1	2325966	EUR	
03/01/2011 00:00	0.1	0.11	0.1	0.11	656713	EUR	
04/01/2011 00:00	0.1	0.1	0.1	0.11	62920	EUR	
05/01/2011 00:00	0.11	0.11	0.1	0.11	31232	EUR	
06/01/2011 00:00	0.1	0.11	0.1	0.11	129200	EUR	
07/01/2011 00:00	0.1	0.11	0.1	0.11	1523271	EUR	
10/01/2011 00:00	0.11	0.11	0.11	0.11	67850	EUR	
11/01/2011 00:00	0.11	0.11	0.1	0.11	22901	EUR	
12/01/2011 00:00	0.11	0.11	0.1	0.11	26473	EUR	
13/01/2011 00:00	0.11	0.11	0.1	0.11	740180	EUR	
14/01/2011 00:00	0.11	0.13	0.11	0.13	4059449	EUR	
17/01/2011 00:00	0.13	0.13	0.11	0.13	2408404	EUR	
18/01/2011 00:00	0.13	0.13	0.12	0.12	346940	EUR	
19/01/2011 00:00	0.12	0.13	0.12	0.12	1297194	EUR	
20/01/2011 00:00	0.11	0.12	0.1	0.11	2485091	EUR	
21/01/2011 00:00	0.11	0.11	0.1	0.1	243938	EUR	
24/01/2011 00:00	0.1	0.11	0.1	0.11	100801	EUR	
25/01/2011 00:00	0.1	0.11	0.1	0.1	191219	EUR	
26/01/2011 00:00	0.1	0.11	0.1	0.1	387875	EUR	
27/01/2011 00:00	0.11	0.11	0.1	0.11	89720	EUR	
28/01/2011 00:00	0.11	0.11	0.1	0.11	61552	EUR	
31/01/2011 00:00	0.11	0.11	0.1	0.11	49151	EUR	
01/02/2011 00:00	0.1	0.11	0.1	0.11	53046	EUR	
02/02/2011 00:00	0.1	0.11	0.1	0.11	49800	EUR	
03/02/2011 00:00	0.11	0.11	0.1	0.11	14601	EUR	
04/02/2011 00:00	0.1	0.11	0.1	0.11	127516	EUR	
07/02/2011 00:00	0.11	0.11	0.1	0.1	117887	EUR	
08/02/2011 00:00	0.1	0.11	0.1	0.11	12405	EUR	
09/02/2011 00:00	0.11	0.11	0.1	0.11	2847675	EUR	
10/02/2011 00:00	0.1	0.11	0.1	0.11	95151	EUR	
11/02/2011 00:00	0.1	0.11	0.1	0.1	86072	EUR	
14/02/2011 00:00	0.1	0.11	0.1	0.11	66200	EUR	
15/02/2011 00:00	0.1	0.11	0.1	0.11	55867	EUR	
16/02/2011 00:00	0.1	0.11	0.1	0.11	74567	EUR	
17/02/2011 00:00	0.1	0.11	0.09	0.11	735876	EUR	
18/02/2011 00:00	0.1	0.11	0.1	0.11	70711	EUR	
21/02/2011 00:00	0.1	0.11	0.1	0.11	198640	EUR	
22/02/2011 00:00	0.1	0.11	0.09	0.11	393103	EUR	
23/02/2011 00:00	0.1	0.1	0.1	0.1	124620	EUR	
24/02/2011 00:00	0.1	0.1	0.1	0.1	143184	EUR	
25/02/2011 00:00	0.1	0.11	0.1	0.11	40947	EUR	
28/02/2011 00:00	0.1	0.11	0.1	0.11	77157	EUR	
01/03/2011 00:00	0.1	0.11	0.1	0.11	39763	EUR	
02/03/2011 00:00	0.11	0.11	0.1	0.11	41051	EUR	
03/03/2011 00:00	0.1	0.11	0.1	0.1	90000	EUR	
04/03/2011 00:00	0.1	0.11	0.1	0.1	70948	EUR	
07/03/2011 00:00	0.1	0.11	0.1	0.1	96150	EUR	
08/03/2011 00:00	0.1	0.11	0.1	0.1	61272	EUR	
09/03/2011 00:00	0.1	0.1	0.1	0.1	26200	EUR	
10/03/2011 00:00	0.1	0.1	0.1	0.1	55966	EUR	
11/03/2011 00:00	0.1	0.1	0.1	0.1	10000	EUR	
14/03/2011 00:00	0.1	0.1	0.1	0.1	196088	EUR	
15/03/2011 00:00	0.09	0.1	0.09	0.1	519446	EUR	
16/03/2011 00:00	0.09	0.1	0.09	0.1	117475	EUR	
17/03/2011 00:00	0.1	0.1	0.09	0.09	78934	EUR	
18/03/2011 00:00	0.1	0.1	0.09	0.1	207818	EUR	
21/03/2011 00:00	0.1	0.1	0.09	0.1	241685	EUR	
22/03/2011 00:00	0.1	0.11	0.1	0.1	1274090	EUR	
23/03/2011 00:00	0.1	0.1	0.09	0.1	301742	EUR	
24/03/2011 00:00	0.1	0.11	0.09	0.1	250253	EUR	
25/03/2011 00:00	0.1	0.1	0.09	0.1	60000	EUR	
28/03/2011 00:00	0.1	0.11	0.1	0.1	2271	EUR	
29/03/2011 00:00	0.1	0.1	0.1	0.1	10401	EUR	
30/03/2011 00:00	0.1	0.1	0.1	0.1	19250	EUR	
31/03/2011 00:00	0.1	0.11	0.1	0.1	99120	EUR	
01/04/2011 00:00	0.1	0.11	0.09	0.11	293335	EUR	
04/04/2011 00:00	0.1	0.11	0.1	0.11	2363811	EUR	
05/04/2011 00:00	0.11	0.11	0.1	0.1	443155	EUR	
06/04/2011 00:00	0.1	0.11	0.1	0.11	982798	EUR	
07/04/2011 00:00	0.11	0.12	0.1	0.11	559450	EUR	
08/04/2011 00:00	0.11	0.11	0.1	0.11	54600	EUR	
11/04/2011 00:00	0.11	0.12	0.11	0.11	484917	EUR	
12/04/2011 00:00	0.12	0.13	0.11	0.11	4390692	EUR	
13/04/2011 00:00	0.12	0.13	0.11	0.11	2183988	EUR	
14/04/2011 00:00	0.12	0.13	0.11	0.12	1734696	EUR	
15/04/2011 00:00	0.12	0.12	0.11	0.12	211542	EUR	
18/04/2011 00:00	0.12	0.12	0.11	0.12	358592	EUR	
19/04/2011 00:00	0.11	0.12	0.11	0.12	165001	EUR	
20/04/2011 00:00	0.12	0.13	0.11	0.12	1680737	EUR	
21/04/2011 00:00	0.13	0.15	0.12	0.13	9134015	EUR	
26/04/2011 00:00	0.13	0.13	0.12	0.13	2204147	EUR	
27/04/2011 00:00	0.13	0.13	0.12	0.13	1981819	EUR	
28/04/2011 00:00	0.12	0.13	0.12	0.13	703130	EUR	
29/04/2011 00:00	0.12	0.13	0.11	0.12	732521	EUR	
02/05/2011 00:00	0.12	0.13	0.11	0.12	639402	EUR	
03/05/2011 00:00	0.12	0.13	0.12	0.12	908613	EUR	
04/05/2011 00:00	0.15	0.17	0.13	0.14	18088140	EUR	
05/05/2011 00:00	0.14	0.14	0.13	0.14	2423511	EUR	
06/05/2011 00:00	0.13	0.14	0.12	0.14	1091599	EUR	
09/05/2011 00:00	0.13	0.14	0.12	0.13	733623	EUR	
10/05/2011 00:00	0.13	0.14	0.12	0.13	758050	EUR	
11/05/2011 00:00	0.13	0.14	0.12	0.14	604072	EUR	
12/05/2011 00:00	0.14	0.14	0.12	0.13	165363	EUR	
13/05/2011 00:00	0.13	0.13	0.12	0.13	421793	EUR	
16/05/2011 00:00	0.13	0.13	0.12	0.13	259283	EUR	
17/05/2011 00:00	0.13	0.13	0.12	0.13	668240	EUR	
