date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	75.842	75.981	73.999	74.706	119961	EUR	
10/11/2010 00:00	74.446	74.567	73.273	73.301	85820	EUR	
11/11/2010 00:00	73.431	73.776	72.696	72.613	111614	EUR	
12/11/2010 00:00	72.054	72.78	71.617	71.812	66827	EUR	
15/11/2010 00:00	71.701	73.292	71.403	72.882	85112	EUR	
16/11/2010 00:00	72.985	72.985	70.835	70.835	83945	EUR	
17/11/2010 00:00	70.537	71.552	70.128	70.426	63687	EUR	
18/11/2010 00:00	71.096	71.635	70.565	70.91	64147	EUR	
19/11/2010 00:00	71.189	71.356	70.723	70.956	189997	EUR	
22/11/2010 00:00	71.468	71.468	69.914	69.96	92018	EUR	
23/11/2010 00:00	69.877	70.63	68.518	68.518	87381	EUR	
24/11/2010 00:00	68.862	68.862	67.485	67.848	105895	EUR	
25/11/2010 00:00	68.109	68.676	67.792	68.676	72071	EUR	
26/11/2010 00:00	68.388	68.806	67.597	68.192	60640	EUR	
29/11/2010 00:00	68.471	69.048	66.592	66.713	87995	EUR	
30/11/2010 00:00	66.731	67.076	64.842	65.112	236883	EUR	
01/12/2010 00:00	65.205	65.689	65.047	65.401	118094	EUR	
02/12/2010 00:00	65.866	66.908	65.633	66.806	124898	EUR	
03/12/2010 00:00	67.001	67.42	66.201	66.945	85997	EUR	
06/12/2010 00:00	67.01	67.28	66.071	66.582	71516	EUR	
07/12/2010 00:00	66.536	67.383	66.48	67.159	96335	EUR	
08/12/2010 00:00	67.029	67.243	66.508	67.085	55305	EUR	
09/12/2010 00:00	67.373	67.439	65.736	66.182	114121	EUR	
10/12/2010 00:00	66.071	66.359	63.372	63.53	221315	EUR	
13/12/2010 00:00	63.753	65.577	63.595	65.326	146256	EUR	
14/12/2010 00:00	65.596	66.536	64.973	65.959	167434	EUR	
15/12/2010 00:00	65.884	65.978	64.907	65.177	114008	EUR	
16/12/2010 00:00	65.14	65.605	63.521	64.582	179138	EUR	
17/12/2010 00:00	64.628	64.796	63.549	64.088	777933	EUR	
20/12/2010 00:00	64.303	65.466	64.237	65.084	170445	EUR	
21/12/2010 00:00	65.494	67.01	64.675	66.461	199801	EUR	
22/12/2010 00:00	66.545	66.843	66.154	66.536	110766	EUR	
23/12/2010 00:00	67.001	67.932	66.964	67.485	134519	EUR	
24/12/2010 00:00	67.466	67.839	66.815	67.373	28106	EUR	
27/12/2010 00:00	67.373	67.373	66.35	66.722	52560	EUR	
28/12/2010 00:00	66.992	67.392	66.815	67.318	43753	EUR	
29/12/2010 00:00	67.327	67.969	67.234	67.969	81841	EUR	
30/12/2010 00:00	68.062	68.109	66.834	67.262	40973	EUR	
31/12/2010 00:00	67.234	67.466	66.741	67.373	56048	EUR	
03/01/2011 00:00	67.922	68.192	67.55	67.857	86121	EUR	
04/01/2011 00:00	68.388	68.583	67.811	68.518	147440	EUR	
05/01/2011 00:00	68.583	69.328	68.211	68.946	91996	EUR	
06/01/2011 00:00	69.123	69.235	68.006	68.239	55927	EUR	
07/01/2011 00:00	68.239	68.369	67.606	67.978	69139	EUR	
10/01/2011 00:00	67.746	68.109	66.554	66.862	185584	EUR	
11/01/2011 00:00	67.848	69.328	67.634	68.974	93950	EUR	
12/01/2011 00:00	69.235	70.165	69.002	69.793	91074	EUR	
13/01/2011 00:00	69.793	70.547	69.048	70.277	154200	EUR	
14/01/2011 00:00	70.723	71.468	69.793	70.072	102526	EUR	
17/01/2011 00:00	70.472	70.537	69.421	69.551	104628	EUR	
18/01/2011 00:00	69.886	70.044	69.616	69.858	54466	EUR	
19/01/2011 00:00	70.063	70.063	69.514	69.616	89532	EUR	
20/01/2011 00:00	69.439	69.7	68.518	68.518	146251	EUR	
21/01/2011 00:00	68.602	69.467	67.932	68.453	116540	EUR	
24/01/2011 00:00	68.862	69.309	68.239	69.141	72807	EUR	
25/01/2011 00:00	69.328	69.532	68.583	68.76	68839	EUR	
26/01/2011 00:00	69.179	69.383	68.704	68.723	48587	EUR	
27/01/2011 00:00	68.779	69.244	68.509	69.058	61209	EUR	
28/01/2011 00:00	69.048	69.653	68.304	68.388	46052	EUR	
31/01/2011 00:00	68.397	68.983	67.792	68.369	70671	EUR	
01/02/2011 00:00	68.704	69.235	67.95	68.602	49002	EUR	
02/02/2011 00:00	68.983	69.039	68.025	68.444	34464	EUR	
03/02/2011 00:00	68.695	69.141	68.397	69.141	50592	EUR	
04/02/2011 00:00	69.365	70.258	69.3	70.258	78906	EUR	
07/02/2011 00:00	70.258	73.115	70.258	72.25	155390	EUR	
08/02/2011 00:00	72.585	73.329	71.794	73.031	108960	EUR	
09/02/2011 00:00	72.92	74.176	72.724	73.031	305802	EUR	
10/02/2011 00:00	72.817	72.957	70.463	70.714	162885	EUR	
11/02/2011 00:00	70.593	71.626	70.258	71.133	88305	EUR	
14/02/2011 00:00	71.654	71.896	70.547	71.682	63791	EUR	
15/02/2011 00:00	72.082	72.743	71.393	71.756	76206	EUR	
16/02/2011 00:00	71.905	72.706	71.84	72.259	61882	EUR	
17/02/2011 00:00	72.538	72.585	71.654	72.417	40362	EUR	
18/02/2011 00:00	72.25	72.575	71.598	72.278	84258	EUR	
21/02/2011 00:00	72.045	72.398	71.021	71.328	55710	EUR	
22/02/2011 00:00	70.91	71.375	68.462	70.677	186183	EUR	
23/02/2011 00:00	70.351	70.482	69.123	69.262	74058	EUR	
24/02/2011 00:00	69.235	70.593	68.965	70.398	115304	EUR	
25/02/2011 00:00	70.537	71.831	70.426	71.626	65562	EUR	
28/02/2011 00:00	71.868	73.31	71.384	73.208	96049	EUR	
01/03/2011 00:00	72.585	73.199	71.598	72.278	147867	EUR	
02/03/2011 00:00	72.138	72.194	70.537	70.91	196538	EUR	
03/03/2011 00:00	70.919	72.585	70.519	72.408	132802	EUR	
04/03/2011 00:00	72.408	73.822	72.408	72.771	86506	EUR	
07/03/2011 00:00	72.873	72.957	72.073	72.073	66848	EUR	
08/03/2011 00:00	72.222	72.724	71.468	72.333	95000	EUR	
09/03/2011 00:00	72.492	73.031	72.212	72.659	66266	EUR	
10/03/2011 00:00	72.119	72.594	71.738	71.915	74905	EUR	
11/03/2011 00:00	71.282	71.933	70.826	71.412	91434	EUR	
14/03/2011 00:00	71.003	71.673	70.5	70.686	92601	EUR	
15/03/2011 00:00	69.839	70.258	68.127	69.095	137706	EUR	
16/03/2011 00:00	69.086	69.328	67.141	67.113	107477	EUR	
17/03/2011 00:00	67.513	68.667	67.057	68.583	113742	EUR	
18/03/2011 00:00	68.769	69.7	68.537	69.514	141743	EUR	
