date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	74.08	75.38	73.5	75	1138	EUR	
10/11/2010 00:00	74.1	74.64	73.7	74.64	470	EUR	
11/11/2010 00:00	74.64	74.64	74.1	74.64	31	EUR	
12/11/2010 00:00	74.64	74.64	73	74.29	1268	EUR	
15/11/2010 00:00	73.85	74.39	73.5	74.39	186	EUR	
16/11/2010 00:00	73.7	73.7	72.01	72.5	1299	EUR	
17/11/2010 00:00	72.4	73.89	72.4	73.89	209	EUR	
18/11/2010 00:00	73.78	73.98	72.5	73.89	806	EUR	
19/11/2010 00:00	72.15	72.9	72.05	72.9	155	EUR	
22/11/2010 00:00	72.05	73	72.05	72.7	1951	EUR	
23/11/2010 00:00	72.57	72.57	71.91	71.9	1517	EUR	
24/11/2010 00:00	71.67	72.09	71.05	71.97	1560	EUR	
25/11/2010 00:00	71.12	71.48	70.5	71.48	690	EUR	
26/11/2010 00:00	70.6	71.49	68	71.39	3923	EUR	
29/11/2010 00:00	71	71	69.11	70.48	2479	EUR	
30/11/2010 00:00	69.11	69.48	66.5	68.98	2774	EUR	
01/12/2010 00:00	67.51	69.78	67.01	69.78	2147	EUR	
02/12/2010 00:00	69.78	69.84	68.5	69.83	1062	EUR	
03/12/2010 00:00	69.76	69.8	69	69.8	2723	EUR	
06/12/2010 00:00	69.8	69.8	68.51	69.49	693	EUR	
07/12/2010 00:00	68.64	69.69	68.01	68.05	1613	EUR	
08/12/2010 00:00	68.52	69.8	68	69.8	2128	EUR	
09/12/2010 00:00	68.71	70	68.71	69.7	1724	EUR	
10/12/2010 00:00	69.8	70	69.26	69.99	681	EUR	
13/12/2010 00:00	69.25	69.26	68.77	69.25	351	EUR	
14/12/2010 00:00	68.81	68.81	68.05	68.78	1110	EUR	
15/12/2010 00:00	68.5	69.18	67.9	67.92	1394	EUR	
16/12/2010 00:00	67.91	68	67.7	68	483	EUR	
17/12/2010 00:00	67.65	68	67.5	68	1162	EUR	
20/12/2010 00:00	67.61	68.99	67.6	68.1	647	EUR	
21/12/2010 00:00	67.72	68.49	67.7	68	899	EUR	
22/12/2010 00:00	67.72	68.49	67.7	68.49	784	EUR	
23/12/2010 00:00	68.97	68.97	67.71	67.75	604	EUR	
24/12/2010 00:00	67.71	67.71	67.71	67.71	200	EUR	
27/12/2010 00:00	67.72	67.75	67.72	67.75	240	EUR	
28/12/2010 00:00	67.71	67.76	67.7	67.74	368	EUR	
29/12/2010 00:00	68	68	67.71	67.71	23	EUR	
30/12/2010 00:00	68	68.92	67.71	68.92	370	EUR	
31/12/2010 00:00	68.88	68.88	68.88	68.88	1	EUR	
03/01/2011 00:00	68.98	68.98	68.5	68.98	55	EUR	
04/01/2011 00:00	68.65	68.99	68.22	68.99	338	EUR	
05/01/2011 00:00	68.11	68.99	67.74	68.99	269	EUR	
06/01/2011 00:00	68.93	68.95	68.93	68.95	182	EUR	
07/01/2011 00:00	69	69	69	69	140	EUR	
10/01/2011 00:00	68.5	68.5	68.2	68.5	497	EUR	
11/01/2011 00:00	68.5	68.5	68	68	1236	EUR	
12/01/2011 00:00	68.45	69	68	69	105	EUR	
13/01/2011 00:00	69.49	69.85	68.33	69.16	336	EUR	
14/01/2011 00:00	68.61	69.54	68.61	69.54	279	EUR	
17/01/2011 00:00	69.69	69.69	68.66	68.66	58	EUR	
18/01/2011 00:00	69.09	70.4	69.03	70.4	495	EUR	
19/01/2011 00:00	69.8	70.4	69.8	70	378	EUR	
20/01/2011 00:00	70.5	70.5	70.5	70.5	20	EUR	
21/01/2011 00:00	70.1	72	69.1	71.02	1224	EUR	
24/01/2011 00:00	71.5	72.45	71.5	72.4	537	EUR	
25/01/2011 00:00	72.49	73.49	72	72.99	220	EUR	
26/01/2011 00:00	72.85	72.85	71.6	71.6	145	EUR	
27/01/2011 00:00	71.75	72.3	71.75	72.3	394	EUR	
28/01/2011 00:00	71.9	72.05	71.83	71.83	367	EUR	
31/01/2011 00:00	71.71	72.75	71.6	72.74	320	EUR	
01/02/2011 00:00	72.01	72.9	71.82	72.9	756	EUR	
02/02/2011 00:00	73	73.3	72.79	72.8	147	EUR	
03/02/2011 00:00	72.56	74.5	72.55	73.72	2204	EUR	
04/02/2011 00:00	73.81	74.49	73.6	74.49	3100	EUR	
07/02/2011 00:00	74.1	74.7	74.1	74.21	236	EUR	
08/02/2011 00:00	74.5	75.75	74.5	75.75	210	EUR	
09/02/2011 00:00	75.25	75.25	74.81	74.81	250	EUR	
10/02/2011 00:00	75.68	75.74	75.03	75.1	465	EUR	
11/02/2011 00:00	75.3	75.4	74.5	75.35	865	EUR	
14/02/2011 00:00	75.4	75.4	74.24	74.24	225	EUR	
15/02/2011 00:00	75.18	76.94	75.18	76.85	3725	EUR	
16/02/2011 00:00	77	78	76.51	77.95	940	EUR	
17/02/2011 00:00	77.98	77.98	76.61	77.91	424	EUR	
18/02/2011 00:00	77.06	77.85	76.5	77.8	524	EUR	
21/02/2011 00:00	76.82	78.49	76.82	78.42	708	EUR	
22/02/2011 00:00	77.01	78.1	76.55	78.08	626	EUR	
23/02/2011 00:00	78	78	75.82	75.82	783	EUR	
24/02/2011 00:00	76.1	76.2	75.65	75.7	736	EUR	
25/02/2011 00:00	76.45	77.77	76.02	77.44	911	EUR	
28/02/2011 00:00	77.5	78.5	77.44	78.5	1057	EUR	
01/03/2011 00:00	78.85	79	77.5	78.8	1857	EUR	
02/03/2011 00:00	78.1	78.81	78	78.5	589	EUR	
03/03/2011 00:00	77.6	79.1	77.11	78	771	EUR	
04/03/2011 00:00	78.13	78.94	77.65	77.65	672	EUR	
07/03/2011 00:00	78.05	78.25	78	78.03	770	EUR	
08/03/2011 00:00	77.93	78.25	77.88	78.25	457	EUR	
09/03/2011 00:00	78.11	78.11	78.05	78.07	147	EUR	
10/03/2011 00:00	78.47	78.99	78.11	78.8	919	EUR	
11/03/2011 00:00	78.1	78.7	78.01	78.7	1198	EUR	
14/03/2011 00:00	78.11	78.6	77.88	78.3	655	EUR	
15/03/2011 00:00	78.12	78.12	75.55	77	2160	EUR	
16/03/2011 00:00	77	78.18	77	77.5	656	EUR	
17/03/2011 00:00	77	77.5	77	77.01	628	EUR	
18/03/2011 00:00	77.01	77.9	77	77.9	504	EUR	
21/03/2011 00:00	77.06	77.11	77.01	77.11	144	EUR	
22/03/2011 00:00	77.5	77.5	77.03	77.5	1644	EUR	
23/03/2011 00:00	77.06	78.49	77.01	78.49	183	EUR	
24/03/2011 00:00	77.51	78.29	77.25	78.29	125	EUR	
25/03/2011 00:00	78.41	79	77.35	77.7	1808	EUR	
28/03/2011 00:00	77.5	79.34	77.1	79.34	378	EUR	
29/03/2011 00:00	79.33	79.33	77.16	79.12	295	EUR	
30/03/2011 00:00	79.33	79.33	78.09	79.17	958	EUR	
31/03/2011 00:00	78.39	78.39	78.03	78.39	354	EUR	
01/04/2011 00:00	77.79	79	77.61	79	796	EUR	
04/04/2011 00:00	79.33	79.33	78.11	79	752	EUR	
05/04/2011 00:00	79.24	80	79.14	79.2	707	EUR	
06/04/2011 00:00	78.66	79.49	78.66	78.7	316	EUR	
07/04/2011 00:00	79.48	79.48	78.92	78.93	196	EUR	
08/04/2011 00:00	78.53	80.5	78.53	80.5	589	EUR	
11/04/2011 00:00	80.52	80.52	80.06	80.06	207	EUR	
12/04/2011 00:00	80.1	80.1	79.61	79.65	463	EUR	
13/04/2011 00:00	79.66	79.71	79.57	79.62	220	EUR	
14/04/2011 00:00	79.83	79.83	79.83	79.83	87	EUR	
