date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	106.52	106.52	106.51	106.51	2915	EUR	
10/11/2010 00:00	106.51	106.51	106.3	106.3	1263	EUR	
11/11/2010 00:00	106.3	106.5	106.3	106.5	111	EUR	
12/11/2010 00:00	106.5	106.9	106.5	106.9	150	EUR	
15/11/2010 00:00	107	107	107	107	142	EUR	
16/11/2010 00:00	106.2	106.2	105.95	105.95	374	EUR	
17/11/2010 00:00	105.95	105.95	105.91	105.91	273	EUR	
18/11/2010 00:00	105.95	105.95	105.1	105.1	582	EUR	
19/11/2010 00:00	105.1	105.1	104.8	104.8	339	EUR	
22/11/2010 00:00	104.5	104.5	104.5	104.5	469	EUR	
23/11/2010 00:00	104	104	103.9	103.9	653	EUR	
24/11/2010 00:00	103.7	103.71	103.7	103.71	623	EUR	
25/11/2010 00:00	103.7	103.7	103.7	103.7	932	EUR	
26/11/2010 00:00	103.1	103.1	103.1	103.1	690	EUR	
29/11/2010 00:00	103.1	103.1	103.1	103.1	277	EUR	
30/11/2010 00:00	103.1	103.1	103.1	103.1	227	EUR	
01/12/2010 00:00	103.1	103.1	103	103	414	EUR	
02/12/2010 00:00	103	103	103	103	428	EUR	
03/12/2010 00:00	102.5	102.5	102.5	102.5	635	EUR	
06/12/2010 00:00	102.5	104.6	102.5	104.6	923	EUR	
07/12/2010 00:00	103.15	103.2	103.15	103.2	771	EUR	
08/12/2010 00:00	103	103	103	103	1508	EUR	
09/12/2010 00:00	103	103	102.4	102.4	1065	EUR	
10/12/2010 00:00	102.1	102.1	102.1	102.1	778	EUR	
13/12/2010 00:00	101.8	101.8	101.8	101.8	553	EUR	
14/12/2010 00:00	102.05	102.05	102.05	102.05	1513	EUR	
15/12/2010 00:00	102.05	102.05	102.05	102.05	1601	EUR	
16/12/2010 00:00	102.05	102.39	102.05	102.39	757	EUR	
17/12/2010 00:00	102.39	103.1	102.39	103.1	390	EUR	
20/12/2010 00:00	103.1	103.1	102.4	102.4	658	EUR	
21/12/2010 00:00	103.1	103.1	102.2	102.2	598	EUR	
22/12/2010 00:00	102.2	102.5	102.2	102.5	1195	EUR	
23/12/2010 00:00	102.5	102.5	102.5	102.5	422	EUR	
24/12/2010 00:00	102.2	102.2	102.2	102.2	823	EUR	
27/12/2010 00:00	102.21	102.21	102.21	102.21	596	EUR	
28/12/2010 00:00	102.21	102.21	102.21	102.21	409	EUR	
29/12/2010 00:00	102.21	102.31	102.21	102.31	511	EUR	
30/12/2010 00:00	103.7	103.7	103.7	103.7	112	EUR	
31/12/2010 00:00	103.8	103.8	103.8	103.8	1	EUR	
03/01/2011 00:00	104	104.3	104	104.3	70	EUR	
04/01/2011 00:00	104.3	104.3	104.3	104.3	351	EUR	
05/01/2011 00:00	104.3	104.6	104.3	104.6	81	EUR	
06/01/2011 00:00	104.6	106.1	104.6	106.1	272	EUR	
07/01/2011 00:00	106.1	106.1	106.1	106.1	200	EUR	
10/01/2011 00:00	106	106	106	106	370	EUR	
11/01/2011 00:00	106	106	105.1	105.1	283	EUR	
12/01/2011 00:00	105.1	105.1	105.1	105.1	55	EUR	
13/01/2011 00:00	105.15	105.15	105.15	105.15	174	EUR	
14/01/2011 00:00	106.41	107.3	106.41	107.3	381	EUR	
17/01/2011 00:00	107.3	107.6	107.3	107.6	142	EUR	
18/01/2011 00:00	107.9	108.2	107.9	108.2	191	EUR	
19/01/2011 00:00	108.2	108.2	107.1	107.1	460	EUR	
20/01/2011 00:00	108.2	108.2	108.2	108.2	125	EUR	
21/01/2011 00:00	108.2	108.2	108.2	108.2	63	EUR	
24/01/2011 00:00	108.55	108.8	108.55	108.8	140	EUR	
25/01/2011 00:00	108.8	109	108.8	109	118	EUR	
26/01/2011 00:00	108.2	109.1	108.2	109.1	350	EUR	
27/01/2011 00:00	108.2	108.2	108.2	108.2	153	EUR	
28/01/2011 00:00	108.2	109.1	108.2	109.1	388	EUR	
31/01/2011 00:00	109.5	109.5	109.5	109.5	303	EUR	
01/02/2011 00:00	109.7	109.7	108.8	108.8	348	EUR	
02/02/2011 00:00	109.7	109.7	109.7	109.7	75	EUR	
03/02/2011 00:00	109.7	110.04	109.7	110.04	297	EUR	
