date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	38.982	39.378	38.945	39.102	5461840	CHF	
10/11/2010 00:00	39.01	39.139	38.163	38.449	6487327	CHF	
11/11/2010 00:00	38.559	38.688	37.814	38.255	4922296	CHF	
12/11/2010 00:00	37.556	38.817	37.354	38.32	8108864	CHF	
15/11/2010 00:00	38.09	38.844	38.053	38.375	5809348	CHF	
16/11/2010 00:00	38.209	38.274	37.584	37.703	7610895	CHF	
17/11/2010 00:00	37.354	37.887	37.308	37.676	6328945	CHF	
18/11/2010 00:00	37.952	38.32	37.795	37.998	6127750	CHF	
19/11/2010 00:00	38.255	38.255	37.197	37.703	6275129	CHF	
22/11/2010 00:00	38.025	38.163	36.746	36.93	8600081	CHF	
23/11/2010 00:00	36.572	36.572	35.744	35.983	9977439	CHF	
24/11/2010 00:00	35.928	36.406	35.523	36.047	8521572	CHF	
25/11/2010 00:00	35.928	36.176	35.514	35.955	5111397	CHF	
26/11/2010 00:00	35.661	35.808	34.759	35.449	10086776	CHF	
29/11/2010 00:00	35.955	36.176	34.824	34.971	6700064	CHF	
30/11/2010 00:00	34.962	35.146	33.931	34.078	12672725	CHF	
01/12/2010 00:00	34.134	35.182	34.134	34.778	8342872	CHF	
02/12/2010 00:00	35.146	35.79	34.75	35.615	9506252	CHF	
03/12/2010 00:00	35.56	35.9	35.228	35.606	7110217	CHF	
06/12/2010 00:00	35.652	35.698	34.64	34.98	6372985	CHF	
07/12/2010 00:00	34.934	35.376	34.63	35.136	5765885	CHF	
08/12/2010 00:00	35.008	35.974	34.934	35.744	7816625	CHF	
09/12/2010 00:00	36.185	36.618	35.974	36.093	8588788	CHF	
10/12/2010 00:00	36.158	36.268	35.596	35.688	6795053	CHF	
13/12/2010 00:00	35.882	35.992	35.541	35.928	5048152	CHF	
14/12/2010 00:00	35.744	35.891	35.274	35.882	5747464	CHF	
15/12/2010 00:00	35.606	35.698	35.357	35.394	5806791	CHF	
16/12/2010 00:00	35.311	35.33	34.676	35.063	7367331	CHF	
17/12/2010 00:00	35.219	35.274	34.502	34.64	9163988	CHF	
20/12/2010 00:00	34.502	35.072	34.446	34.64	4682443	CHF	
21/12/2010 00:00	34.713	35.155	34.713	34.833	5248571	CHF	
22/12/2010 00:00	34.962	35.339	34.897	35.146	5116939	CHF	
23/12/2010 00:00	35.569	35.569	35.569	35.569	0	CHF	
27/12/2010 00:00	35.615	35.652	35.155	35.238	2282884	CHF	
28/12/2010 00:00	35.146	35.394	35.146	35.265	1395801	CHF	
29/12/2010 00:00	35.412	35.449	35.155	35.201	1683354	CHF	
30/12/2010 00:00	34.658	34.658	34.658	34.658	0	CHF	
03/01/2011 00:00	34.952	35.284	34.87	35.017	3041927	CHF	
04/01/2011 00:00	35.1	36.231	35.1	36.112	8258157	CHF	
05/01/2011 00:00	36.13	36.737	35.826	36.71	5908682	CHF	
06/01/2011 00:00	37.427	38.108	37.372	37.639	11501033	CHF	
07/01/2011 00:00	37.722	37.998	36.903	37.087	7498069	CHF	
10/01/2011 00:00	36.995	37.068	36.24	36.875	6962973	CHF	
11/01/2011 00:00	37.188	37.685	36.802	37.584	6359008	CHF	
12/01/2011 00:00	37.814	39.056	37.805	39.01	10066014	CHF	
13/01/2011 00:00	39.102	39.654	38.513	39.093	8398384	CHF	
14/01/2011 00:00	39.028	39.838	38.817	39.755	6316270	CHF	
17/01/2011 00:00	39.571	39.829	39.415	39.47	5972273	CHF	
18/01/2011 00:00	39.58	40.473	39.405	39.865	7881553	CHF	
19/01/2011 00:00	39.93	40.059	39.166	39.35	7544352	CHF	
20/01/2011 00:00	39.129	39.212	38.43	39.111	11371197	CHF	
21/01/2011 00:00	38.964	40.454	38.964	40.141	10121617	CHF	
24/01/2011 00:00	40.252	40.482	39.727	40.371	7082639	CHF	
25/01/2011 00:00	40.399	40.427	39.212	39.819	8791652	CHF	
26/01/2011 00:00	39.957	39.967	39.24	39.415	5457936	CHF	
27/01/2011 00:00	39.267	40.068	39.148	39.755	5532638	CHF	
28/01/2011 00:00	39.562	40.252	39.415	39.488	4831904	CHF	
31/01/2011 00:00	39.47	39.47	38.679	38.835	6955180	CHF	
01/02/2011 00:00	39.065	39.267	38.55	39.102	7514240	CHF	
02/02/2011 00:00	39.286	39.645	38.752	39.102	5762343	CHF	
03/02/2011 00:00	38.973	39.718	38.789	39.313	6682324	CHF	
04/02/2011 00:00	39.608	40.804	39.516	40.473	8722671	CHF	
07/02/2011 00:00	40.565	41.19	40.335	40.473	6532050	CHF	
08/02/2011 00:00	40.427	41.393	40.316	41.393	6746391	CHF	
09/02/2011 00:00	41.402	41.788	40.693	41.126	7674325	CHF	
10/02/2011 00:00	40.022	40.399	38.301	38.734	24891449	CHF	
11/02/2011 00:00	38.421	38.642	37.952	38.274	12636585	CHF	
14/02/2011 00:00	39.332	39.709	39.01	39.01	13957631	CHF	
15/02/2011 00:00	39.01	39.635	38.918	39.341	7946294	CHF	
16/02/2011 00:00	39.525	40.795	39.405	40.62	11182315	CHF	
17/02/2011 00:00	40.703	41.089	40.463	41.08	9899749	CHF	
18/02/2011 00:00	41.402	41.531	40.997	41.393	15487353	CHF	
21/02/2011 00:00	41.245	41.347	40.675	40.785	5601804	CHF	
22/02/2011 00:00	40.39	40.546	39.884	40.206	6987249	CHF	
23/02/2011 00:00	40.04	40.574	39.801	40.233	5499829	CHF	
24/02/2011 00:00	39.746	40.178	39.065	39.35	9635201	CHF	
25/02/2011 00:00	39.405	39.819	39.212	39.507	3537776	CHF	
28/02/2011 00:00	39.203	39.875	38.817	39.543	6207113	CHF	
01/03/2011 00:00	39.875	39.875	38.918	39.056	4558647	CHF	
02/03/2011 00:00	38.596	38.982	38.025	38.78	6356670	CHF	
03/03/2011 00:00	38.964	39.102	38.504	38.697	6223415	CHF	
04/03/2011 00:00	38.642	38.844	37.455	37.648	10866132	CHF	
07/03/2011 00:00	37.427	37.943	37.197	37.197	7846149	CHF	
08/03/2011 00:00	37.243	37.243	36.949	37.243	6757465	CHF	
09/03/2011 00:00	37.216	37.363	36.875	36.93	7662950	CHF	
10/03/2011 00:00	36.48	37.022	36.388	36.958	8761852	CHF	
11/03/2011 00:00	36.443	37.271	36.443	36.838	6506177	CHF	
14/03/2011 00:00	36.507	37.372	36.268	36.388	8572293	CHF	
15/03/2011 00:00	35.725	36.02	34.851	35.44	11567790	CHF	
16/03/2011 00:00	35.394	35.698	34.538	34.87	10243234	CHF	
17/03/2011 00:00	35.146	35.33	34.722	34.925	9314857	CHF	
18/03/2011 00:00	35.054	35.21	34.603	34.971	15632371	CHF	
21/03/2011 00:00	35.449	36.066	35.394	35.67	7570268	CHF	
22/03/2011 00:00	35.882	36.314	35.744	35.928	5925284	CHF	
23/03/2011 00:00	35.808	36.158	35.504	35.882	5193040	CHF	
24/03/2011 00:00	35.762	36.231	35.679	35.992	5191683	CHF	
25/03/2011 00:00	36.286	36.286	35.661	35.808	4788806	CHF	
28/03/2011 00:00	35.753	36.369	35.744	36.038	5979416	CHF	
29/03/2011 00:00	36.314	36.7	36.084	36.314	6414126	CHF	
30/03/2011 00:00	36.627	36.691	36.01	36.36	4585530	CHF	
31/03/2011 00:00	36.296	36.342	35.707	35.909	5404583	CHF	
01/04/2011 00:00	36.038	36.7	35.808	36.443	6444347	CHF	
04/04/2011 00:00	36.507	36.562	35.983	36.277	4068571	CHF	
05/04/2011 00:00	36.222	36.305	35.955	36.167	3738128	CHF	
06/04/2011 00:00	36.36	37.197	36.167	36.949	7172182	CHF	
07/04/2011 00:00	37.16	38.219	37.151	37.731	8255198	CHF	
08/04/2011 00:00	37.759	37.97	37.344	37.584	4083874	CHF	
11/04/2011 00:00	37.676	37.786	37.409	37.519	2817954	CHF	
12/04/2011 00:00	37.28	37.381	36.746	36.894	5724307	CHF	
13/04/2011 00:00	36.976	37.436	36.599	36.884	6074003	CHF	
14/04/2011 00:00	36.581	36.654	35.882	36.204	8675943	CHF	
15/04/2011 00:00	36.424	36.434	35.753	35.928	10697997	CHF	
18/04/2011 00:00	35.891	35.946	34.87	35.302	7335538	CHF	
19/04/2011 00:00	35.394	35.744	35.063	35.238	6031833	CHF	
20/04/2011 00:00	35.56	35.808	35.394	35.468	5128618	CHF	
21/04/2011 00:00	35.771	36.25	35.504	35.744	5262297	CHF	
26/04/2011 00:00	36.158	36.691	36.158	36.158	6052799	CHF	
27/04/2011 00:00	36.48	36.664	35.56	36.167	6314843	CHF	
28/04/2011 00:00	36.25	36.342	35.808	35.955	6722554	CHF	
29/04/2011 00:00	36.158	36.397	36.075	36.167	3268179	CHF	
02/05/2011 00:00	36.314	36.507	36.029	36.231	2710923	CHF	
03/05/2011 00:00	35.449	35.449	34.713	34.888	5563651	CHF	
04/05/2011 00:00	34.934	35.228	34.649	34.686	5946487	CHF	
05/05/2011 00:00	34.594	34.833	34.106	34.364	6335860	CHF	
06/05/2011 00:00	34.29	34.906	34.272	34.511	5635290	CHF	
09/05/2011 00:00	34.437	34.456	33.821	34.032	6534401	CHF	
10/05/2011 00:00	34.014	34.64	33.821	34.272	5512851	CHF	
11/05/2011 00:00	34.465	34.842	34.244	34.511	5110781	CHF	
12/05/2011 00:00	34.152	34.603	34.051	34.511	4840766	CHF	
13/05/2011 00:00	34.63	34.732	33.913	34.042	5417936	CHF	
16/05/2011 00:00	33.858	33.876	33.269	33.729	7073184	CHF	
17/05/2011 00:00	33.545	34.042	33.49	33.6	4771492	CHF	
18/05/2011 00:00	33.812	33.977	33.434	33.591	3732040	CHF	
19/05/2011 00:00	33.766	33.821	33.379	33.471	5082504	CHF	
20/05/2011 00:00	33.793	34.134	33.536	33.591	8589953	CHF	
23/05/2011 00:00	33.379	33.379	33.057	33.149	6275644	CHF	
