date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	45.06	46.706	45.001	45.931	3516663	EUR	
10/11/2010 00:00	45.771	45.926	45.055	45.371	2818353	EUR	
11/11/2010 00:00	45.269	45.673	45.079	45.391	1532919	EUR	
12/11/2010 00:00	44.709	45.05	44.553	44.928	2024261	EUR	
15/11/2010 00:00	44.475	45.474	44.417	45.249	1329098	EUR	
16/11/2010 00:00	45.06	45.537	44.811	45.025	2101487	EUR	
17/11/2010 00:00	44.85	45.079	44.85	44.933	1615301	EUR	
18/11/2010 00:00	45.259	45.586	45.108	45.444	2469835	EUR	
19/11/2010 00:00	45.308	45.839	45.196	45.761	2017683	EUR	
22/11/2010 00:00	45.985	46.243	45.532	45.625	2045998	EUR	
23/11/2010 00:00	45.269	45.454	44.689	44.689	1937262	EUR	
24/11/2010 00:00	44.889	45.181	44.777	44.948	1553239	EUR	
25/11/2010 00:00	44.836	45.186	44.733	45.05	1421464	EUR	
26/11/2010 00:00	44.616	44.899	44.222	44.587	1763513	EUR	
29/11/2010 00:00	44.84	45.172	44.008	44.008	2501127	EUR	
30/11/2010 00:00	43.915	44.275	43.715	43.954	2865008	EUR	
01/12/2010 00:00	43.988	44.611	43.876	44.592	2118259	EUR	
02/12/2010 00:00	44.811	45.775	44.573	45.741	2874862	EUR	
03/12/2010 00:00	45.698	45.819	45.04	45.181	1992932	EUR	
06/12/2010 00:00	45.103	45.517	45.021	45.274	1189852	EUR	
07/12/2010 00:00	45.298	46.077	45.215	45.897	1846448	EUR	
08/12/2010 00:00	45.688	46.034	45.376	45.888	1450575	EUR	
09/12/2010 00:00	45.922	46.029	45.41	45.795	1563797	EUR	
10/12/2010 00:00	45.824	45.965	45.586	45.775	963134	EUR	
13/12/2010 00:00	45.922	46.209	45.771	46.107	1766151	EUR	
14/12/2010 00:00	46.209	46.487	46.107	46.272	1528682	EUR	
15/12/2010 00:00	45.985	46.462	45.985	46.326	1632091	EUR	
16/12/2010 00:00	46.204	46.472	46.014	46.472	1317030	EUR	
17/12/2010 00:00	46.56	46.56	45.956	45.975	2319359	EUR	
20/12/2010 00:00	46.18	46.56	45.975	46.165	1012553	EUR	
21/12/2010 00:00	46.263	46.93	46.019	46.754	1485640	EUR	
22/12/2010 00:00	46.681	46.745	46.462	46.526	1386105	EUR	
23/12/2010 00:00	46.526	46.881	46.375	46.759	920996	EUR	
24/12/2010 00:00	46.935	47.047	46.788	46.905	196031	EUR	
27/12/2010 00:00	47.037	47.037	45.78	46.618	702905	EUR	
28/12/2010 00:00	46.852	46.852	46.472	46.506	760162	EUR	
29/12/2010 00:00	46.701	47.241	46.555	46.983	1140358	EUR	
30/12/2010 00:00	47.032	47.212	46.433	46.521	1092356	EUR	
31/12/2010 00:00	46.107	46.399	45.785	45.8	474243	EUR	
03/01/2011 00:00	46.336	46.72	45.985	46.686	1149219	EUR	
04/01/2011 00:00	46.706	46.823	46.209	46.243	1236215	EUR	
05/01/2011 00:00	45.834	45.975	44.87	45.542	2646454	EUR	
06/01/2011 00:00	45.6	45.722	45.045	45.235	1649390	EUR	
07/01/2011 00:00	45.172	45.586	44.86	44.972	2100216	EUR	
10/01/2011 00:00	44.767	45.157	44.607	44.743	1761449	EUR	
11/01/2011 00:00	44.709	45.05	44.47	44.821	2327590	EUR	
12/01/2011 00:00	44.801	45.191	44.616	44.801	2147985	EUR	
13/01/2011 00:00	45.293	45.537	43.964	44.504	3746118	EUR	
14/01/2011 00:00	44.329	44.451	43.482	44.081	3837366	EUR	
17/01/2011 00:00	44.086	44.499	43.93	44.441	1499120	EUR	
18/01/2011 00:00	44.227	44.417	43.686	43.93	3198047	EUR	
19/01/2011 00:00	43.959	44.266	43.54	43.56	2529617	EUR	
20/01/2011 00:00	43.491	44.095	42.995	43.131	2897070	EUR	
21/01/2011 00:00	43.185	44.178	43.131	43.647	3813318	EUR	
24/01/2011 00:00	43.647	43.959	43.292	43.793	1452754	EUR	
25/01/2011 00:00	43.832	44.037	43.54	43.574	1672264	EUR	
26/01/2011 00:00	43.905	43.905	43.306	43.521	2174551	EUR	
27/01/2011 00:00	43.511	43.642	42.702	43.243	3071902	EUR	
28/01/2011 00:00	42.951	43.311	42.722	42.805	2564699	EUR	
31/01/2011 00:00	42.858	43.116	42.644	42.848	1838476	EUR	
01/02/2011 00:00	43.131	43.691	42.96	43.686	3301330	EUR	
02/02/2011 00:00	43.73	44.081	43.598	44.017	2061687	EUR	
03/02/2011 00:00	44.28	44.407	43.555	43.832	2425884	EUR	
04/02/2011 00:00	43.832	44.017	43.423	43.803	1885472	EUR	
07/02/2011 00:00	43.813	44.149	43.681	44.056	1722323	EUR	
08/02/2011 00:00	43.832	44.095	43.647	43.779	2024003	EUR	
09/02/2011 00:00	43.545	43.749	43.092	43.253	2504850	EUR	
10/02/2011 00:00	43.038	43.321	42.634	42.956	3293265	EUR	
11/02/2011 00:00	42.693	42.844	41.923	42.454	3873458	EUR	
14/02/2011 00:00	42.678	42.926	42.571	42.81	2642726	EUR	
15/02/2011 00:00	44.319	44.504	43.579	44.236	5410498	EUR	
16/02/2011 00:00	44.568	44.699	44.31	44.324	3145219	EUR	
17/02/2011 00:00	44.504	44.787	44.037	44.383	2683893	EUR	
18/02/2011 00:00	44.621	44.758	44.436	44.646	2486442	EUR	
21/02/2011 00:00	44.616	44.797	44.29	44.475	1557845	EUR	
22/02/2011 00:00	44.266	44.465	43.973	44.047	1741813	EUR	
