date	ouv	haut	bas	clot	vol	devise	
29/03/2012 00:00	8.86	9.74	8.66	8.98	53218	EUR	
30/03/2012 00:00	8.91	8.98	8.76	8.86	15817	EUR	
02/04/2012 00:00	8.86	8.92	8.76	8.86	21345	EUR	
03/04/2012 00:00	8.89	8.89	8.76	8.86	7617	EUR	
04/04/2012 00:00	8.86	8.86	8.69	8.85	9065	EUR	
05/04/2012 00:00	8.83	8.86	8.6	8.86	16707	EUR	
10/04/2012 00:00	8.87	8.87	8.6	8.86	13786	EUR	
11/04/2012 00:00	8.84	8.88	8.7	8.8	14627	EUR	
12/04/2012 00:00	8.86	8.87	8.67	8.87	3454	EUR	
13/04/2012 00:00	8.86	8.88	8.76	8.84	3965	EUR	
16/04/2012 00:00	8.84	8.86	8.6	8.85	2122	EUR	
17/04/2012 00:00	8.86	8.86	8.6	8.86	4246	EUR	
18/04/2012 00:00	8.84	8.86	8.63	8.86	3513	EUR	
19/04/2012 00:00	8.6	8.84	8.6	8.84	1329	EUR	
20/04/2012 00:00	8.78	8.82	8.61	8.82	3576	EUR	
23/04/2012 00:00	8.7	8.86	7.97	8.85	11650	EUR	
24/04/2012 00:00	8.6	8.86	8.36	8.86	5129	EUR	
25/04/2012 00:00	8.85	8.85	8.61	8.84	2556	EUR	
26/04/2012 00:00	8.85	8.86	8.5	8.85	9070	EUR	
27/04/2012 00:00	8.85	8.85	8.48	8.73	3317	EUR	
30/04/2012 00:00	8.68	8.68	8.47	8.47	2625	EUR	
02/05/2012 00:00	8.41	8.42	8.41	8.42	705	EUR	
03/05/2012 00:00	8.4	8.4	8.3	8.4	716	EUR	
04/05/2012 00:00	8.4	8.4	8.22	8.22	745	EUR	
07/05/2012 00:00	8.2	8.2	7.9	8.2	1534	EUR	
08/05/2012 00:00	8.2	8.2	7.9	8.2	994	EUR	
09/05/2012 00:00	8.2	8.22	7.9	8	2185	EUR	
10/05/2012 00:00	8	8.1	8	8.1	433	EUR	
11/05/2012 00:00	8.1	8.1	7.9	8.09	814	EUR	
14/05/2012 00:00	8.05	8.05	8	8	343	EUR	
15/05/2012 00:00	8.05	8.05	7.8	7.8	2242	EUR	
16/05/2012 00:00	7.8	7.8	7.7	7.8	766	EUR	
