date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	28.05	28.05	27.5	27.63	10716	EUR	
10/11/2010 00:00	27.5	27.84	27.4	27.43	5907	EUR	
11/11/2010 00:00	27.43	27.43	26.21	26.8	15268	EUR	
12/11/2010 00:00	26.73	27.1	26.5	27	4907	EUR	
15/11/2010 00:00	27	27.19	26.95	27.19	4682	EUR	
16/11/2010 00:00	27.18	27.24	26.85	26.9	1494	EUR	
17/11/2010 00:00	26.9	27.19	26.9	27.15	4077	EUR	
18/11/2010 00:00	27.29	27.29	27	27.1	2341	EUR	
19/11/2010 00:00	27.1	27.1	26.9	26.95	2509	EUR	
22/11/2010 00:00	27	27	26.8	26.86	4059	EUR	
23/11/2010 00:00	26.86	26.86	26.46	26.46	7056	EUR	
24/11/2010 00:00	26.45	26.65	26.42	26.54	4903	EUR	
25/11/2010 00:00	26.89	26.89	26.54	26.54	1076	EUR	
26/11/2010 00:00	26.48	26.48	26.27	26.39	3110	EUR	
29/11/2010 00:00	26.38	26.45	25.01	25.7	13177	EUR	
30/11/2010 00:00	25.5	25.5	25.3	25.4	4423	EUR	
01/12/2010 00:00	25.4	26	25.35	25.8	5192	EUR	
02/12/2010 00:00	25.7	25.91	25.62	25.75	3530	EUR	
03/12/2010 00:00	25.77	25.87	25.5	25.72	5451	EUR	
06/12/2010 00:00	25.7	25.7	25.4	25.65	2669	EUR	
07/12/2010 00:00	25.65	25.7	25.5	25.55	3439	EUR	
08/12/2010 00:00	25.53	25.71	25.27	25.71	7652	EUR	
09/12/2010 00:00	25.61	25.82	25.55	25.7	4165	EUR	
10/12/2010 00:00	26.05	26.71	26	26.4	12633	EUR	
13/12/2010 00:00	26.48	26.65	26.4	26.41	4575	EUR	
14/12/2010 00:00	26.68	26.68	26.35	26.44	1622	EUR	
15/12/2010 00:00	26.37	26.4	26.03	26.3	5369	EUR	
16/12/2010 00:00	26.05	26.3	25.9	26	5606	EUR	
17/12/2010 00:00	25.96	25.98	25.82	25.94	4178	EUR	
20/12/2010 00:00	25.82	26	25.6	25.74	5551	EUR	
21/12/2010 00:00	25.74	26	25.65	25.99	4871	EUR	
22/12/2010 00:00	25.99	26.39	25.9	26.05	4573	EUR	
23/12/2010 00:00	26.05	26.32	25.99	26.22	3930	EUR	
24/12/2010 00:00	26.3	26.4	26	26	2427	EUR	
27/12/2010 00:00	26	26.4	26	26.26	3564	EUR	
28/12/2010 00:00	26.2	26.4	26.01	26.3	5258	EUR	
29/12/2010 00:00	26.3	28	26.3	26.94	17191	EUR	
30/12/2010 00:00	27.69	27.8	26.85	27	9718	EUR	
31/12/2010 00:00	27.19	27.95	27	27.38	9710	EUR	
03/01/2011 00:00	27.74	27.74	26.9	27.11	15150	EUR	
04/01/2011 00:00	26.74	27	26.35	26.8	40058	EUR	
05/01/2011 00:00	26.8	27.13	26.8	27.13	4951	EUR	
06/01/2011 00:00	27.13	27.2	26.9	27.01	2770	EUR	
07/01/2011 00:00	27.02	27.19	26.55	27	7118	EUR	
10/01/2011 00:00	26.62	27.32	26.62	26.9	6693	EUR	
11/01/2011 00:00	26.9	27	26.65	26.75	5092	EUR	
12/01/2011 00:00	26.98	27.38	26.76	26.98	5996	EUR	
13/01/2011 00:00	27.05	27.1	26.98	27	3570	EUR	
14/01/2011 00:00	27.04	27.29	27	27.29	2498	EUR	
17/01/2011 00:00	27.3	27.39	27.1	27.29	3697	EUR	
18/01/2011 00:00	27.3	27.5	27.3	27.38	2718	EUR	
19/01/2011 00:00	27.45	27.5	27.4	27.4	4812	EUR	
20/01/2011 00:00	27.48	27.6	27.4	27.51	6860	EUR	
21/01/2011 00:00	27.52	27.61	27.47	27.54	8691	EUR	
24/01/2011 00:00	27.54	27.57	27.52	27.54	4364	EUR	
25/01/2011 00:00	27.55	27.59	27.46	27.59	5983	EUR	
26/01/2011 00:00	27.56	27.75	27.45	27.75	3652	EUR	
27/01/2011 00:00	27.65	27.7	27.46	27.6	3316	EUR	
28/01/2011 00:00	27.7	27.7	27.5	27.56	4841	EUR	
31/01/2011 00:00	27.56	27.62	27.31	27.61	2234	EUR	
01/02/2011 00:00	27.65	28	27.6	27.85	4474	EUR	
02/02/2011 00:00	27.75	27.85	27.6	27.75	1369	EUR	
03/02/2011 00:00	27.5	27.5	26.8	27.34	15593	EUR	
04/02/2011 00:00	27.2	27.81	27.15	27.81	5836	EUR	
07/02/2011 00:00	27.92	27.95	27.55	27.9	15402	EUR	
08/02/2011 00:00	27.9	28	27.71	27.75	10194	EUR	
09/02/2011 00:00	27.7	28.05	27.7	27.97	13934	EUR	
10/02/2011 00:00	27.98	27.98	27.8	27.92	10610	EUR	
11/02/2011 00:00	27.94	27.94	27.8	27.85	5516	EUR	
14/02/2011 00:00	27.85	27.89	27.51	27.85	6929	EUR	
15/02/2011 00:00	27.85	27.85	27.6	27.7	1275	EUR	
16/02/2011 00:00	27.7	27.73	27.5	27.5	3081	EUR	
17/02/2011 00:00	27.55	27.75	27.5	27.62	4770	EUR	
18/02/2011 00:00	27.92	27.92	27.5	27.66	6621	EUR	
21/02/2011 00:00	27.71	27.82	27.6	27.8	3214	EUR	
22/02/2011 00:00	27.7	27.7	27.3	27.55	4629	EUR	
23/02/2011 00:00	27.56	27.75	27.4	27.55	5894	EUR	
24/02/2011 00:00	27.56	27.65	27.45	27.55	3075	EUR	
25/02/2011 00:00	27.7	27.79	27.63	27.75	4193	EUR	
28/02/2011 00:00	27.75	27.79	27.7	27.79	1978	EUR	
01/03/2011 00:00	27.8	27.99	27.75	27.99	5676	EUR	
02/03/2011 00:00	27.99	27.99	27.6	27.65	2637	EUR	
03/03/2011 00:00	27.65	27.75	27.6	27.72	1248	EUR	
04/03/2011 00:00	27.72	27.75	27.6	27.6	2658	EUR	
07/03/2011 00:00	27.6	27.75	27.5	27.75	2277	EUR	
08/03/2011 00:00	27.74	27.74	27.5	27.59	859	EUR	
09/03/2011 00:00	27.6	27.75	27.55	27.75	2302	EUR	
10/03/2011 00:00	27.75	27.88	27.51	27.88	2099	EUR	
11/03/2011 00:00	27.79	27.79	27.5	27.5	1044	EUR	
14/03/2011 00:00	27.5	27.52	27	27.2	3030	EUR	
15/03/2011 00:00	26.01	26.5	25.2	25.85	21565	EUR	
