date	ouv	haut	bas	clot	vol	devise	
23/05/2018 00:00	22	23.695	21.775	22.7	126796	EUR	
24/05/2018 00:00	23.1	25.265	23.02	23.5	46777	EUR	
25/05/2018 00:00	23.86	24.99	23.5	23.6	25780	EUR	
28/05/2018 00:00	24.39	24.545	23.1	23.11	17332	EUR	
29/05/2018 00:00	23.3	24	23.1	23.45	13971	EUR	
30/05/2018 00:00	23.55	24	23.4	24	10278	EUR	
31/05/2018 00:00	24	24.54	24	24.35	9323	EUR	
01/06/2018 00:00	24.6	24.76	23.96	24.2	8377	EUR	
04/06/2018 00:00	24.15	25.975	24.15	25.5	13472	EUR	
05/06/2018 00:00	25.5	25.5	23.5	24.5	33113	EUR	
06/06/2018 00:00	24.5	24.5	23.3	23.5	20400	EUR	
07/06/2018 00:00	23.255	23.5	22.31	22.55	20457	EUR	
08/06/2018 00:00	22.655	23.195	22.605	23	9909	EUR	
11/06/2018 00:00	24	25	23.4	24.35	20471	EUR	
12/06/2018 00:00	24.5	24.95	24.3	24.52	20275	EUR	
13/06/2018 00:00	24.52	24.98	24.3	24.9	3568	EUR	
14/06/2018 00:00	24.89	24.95	24.65	24.9	9208	EUR	
15/06/2018 00:00	25.35	25.55	25.135	25.52	6897	EUR	
18/06/2018 00:00	24.97	26	23.5	24.65	65047	EUR	
19/06/2018 00:00	23.8	24.44	23.6	24.32	13037	EUR	
20/06/2018 00:00	24.32	24.8	24.065	24.4	3791	EUR	
21/06/2018 00:00	24.4	24.6	24.255	24.4	6741	EUR	
22/06/2018 00:00	24.35	24.4	23.9	24.3	5019	EUR	
25/06/2018 00:00	24.405	24.6	24.105	24.6	5826	EUR	
26/06/2018 00:00	24.7	24.8	24.5	24.7	8254	EUR	
27/06/2018 00:00	24.6	24.7	24.22	24.6	2633	EUR	
28/06/2018 00:00	24.5	24.68	24.4	24.6	2917	EUR	
29/06/2018 00:00	24.5	24.5	24.2	24.3	2285	EUR	
02/07/2018 00:00	24.3	24.42	23.3	23.55	8446	EUR	
03/07/2018 00:00	23.2	23.4	22.9	23.17	8393	EUR	
04/07/2018 00:00	23.17	23.17	22.5	22.78	2062	EUR	
05/07/2018 00:00	22.775	22.775	22.1	22.11	2002	EUR	
06/07/2018 00:00	22.12	22.4	22.11	22.385	4439	EUR	
09/07/2018 00:00	23	23.995	22.86	23.12	5777	EUR	
10/07/2018 00:00	23.2	23.3	23.18	23.185	510	EUR	
11/07/2018 00:00	23.2	23.3	23.12	23.18	1403	EUR	
12/07/2018 00:00	23.18	23.3	23.12	23.13	1304	EUR	
13/07/2018 00:00	23.13	23.55	23.13	23.48	3414	EUR	
16/07/2018 00:00	23.55	24.44	23.55	23.85	3295	EUR	
17/07/2018 00:00	23.85	23.95	23.705	23.79	1298	EUR	
18/07/2018 00:00	23.79	24.25	23.79	24.25	3041	EUR	
19/07/2018 00:00	24.25	24.25	24.05	24.22	2328	EUR	
20/07/2018 00:00	24.22	24.24	24.1	24.18	378	EUR	
23/07/2018 00:00	24.2	24.35	24.18	24.3	2962	EUR	
24/07/2018 00:00	24.305	24.5	24.305	24.5	2425	EUR	
25/07/2018 00:00	24.5	24.7	24.46	24.48	6278	EUR	
26/07/2018 00:00	24.485	24.5	24.465	24.5	1627	EUR	
27/07/2018 00:00	24.5	24.505	24.475	24.485	662	EUR	
30/07/2018 00:00	24.49	24.5	24.48	24.485	1201	EUR	
31/07/2018 00:00	24.485	24.495	24.47	24.47	1130	EUR	
01/08/2018 00:00	24.55	25	24.55	24.9	4350	EUR	
02/08/2018 00:00	24.905	25.935	24.905	25.54	5994	EUR	
03/08/2018 00:00	25.54	25.96	25.54	25.89	8434	EUR	
06/08/2018 00:00	25.9	25.9	25.1	25.125	3331	EUR	
07/08/2018 00:00	25.13	25.595	25.13	25.59	2404	EUR	
08/08/2018 00:00	25.6	25.78	25.6	25.62	1087	EUR	
09/08/2018 00:00	25.7	26.5	25.7	26.36	14013	EUR	
10/08/2018 00:00	26.35	26.84	26.32	26.605	4744	EUR	
13/08/2018 00:00	26.8	28.6	26.61	28.195	8344	EUR	
14/08/2018 00:00	28	28.8	27.89	28.445	5026	EUR	
15/08/2018 00:00	28.45	28.5	28.3	28.3	2069	EUR	
16/08/2018 00:00	28.3	28.3	28.06	28.06	1481	EUR	
17/08/2018 00:00	28.22	31	28.22	30.5	14051	EUR	
20/08/2018 00:00	31	31.5	30.8	31	25088	EUR	
21/08/2018 00:00	31.2	31.9	31.2	31.31	14157	EUR	
22/08/2018 00:00	31.35	32.2	31.25	31.6	29585	EUR	
23/08/2018 00:00	31.7	33.2	31.7	32.3	9877	EUR	
24/08/2018 00:00	32.4	32.495	31.4	31.985	18701	EUR	
27/08/2018 00:00	32	32.055	31.605	31.635	5234	EUR	
28/08/2018 00:00	31.71	31.725	31.52	31.52	4561	EUR	
29/08/2018 00:00	31.6	31.63	29.405	30	10389	EUR	
30/08/2018 00:00	29.95	29.95	27.9	28.85	11721	EUR	
31/08/2018 00:00	28.9	28.98	28.8	28.95	816	EUR	
