date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	2.7	2.7	2.7	2.7	830	EUR	
10/11/2010 00:00	2.7	2.7	2.7	2.7	600	EUR	
11/11/2010 00:00	2.61	2.61	2.61	2.61	350	EUR	
12/11/2010 00:00	2.61	2.61	2.61	2.61	300	EUR	
15/11/2010 00:00	2.61	2.61	2.61	2.61	320	EUR	
16/11/2010 00:00	2.67	2.67	2.67	2.67	300	EUR	
17/11/2010 00:00	2.7	2.7	2.7	2.7	200	EUR	
18/11/2010 00:00	2.8	2.8	2.8	2.8	500	EUR	
19/11/2010 00:00	2.77	2.77	2.77	2.77	170	EUR	
22/11/2010 00:00	2.51	2.51	2.51	2.51	950	EUR	
23/11/2010 00:00	2.5	2.5	2.5	2.5	550	EUR	
24/11/2010 00:00	2.5	2.5	2.5	2.5	1	EUR	
25/11/2010 00:00	2.5	2.5	2.5	2.5	1	EUR	
26/11/2010 00:00	2.5	2.5	2.5	2.5	1	EUR	
29/11/2010 00:00	2.6	2.6	2.6	2.6	1500	EUR	
30/11/2010 00:00	2.6	2.6	2.6	2.6	1	EUR	
01/12/2010 00:00	2.6	2.6	2.6	2.6	1	EUR	
02/12/2010 00:00	2.55	2.55	2.55	2.55	161	EUR	
03/12/2010 00:00	2.5	2.5	2.5	2.5	189	EUR	
06/12/2010 00:00	2.6	2.6	2.6	2.6	590	EUR	
07/12/2010 00:00	2.6	2.6	2.6	2.6	1	EUR	
08/12/2010 00:00	2.59	2.59	2.59	2.59	67	EUR	
09/12/2010 00:00	2.65	2.65	2.65	2.65	600	EUR	
10/12/2010 00:00	2.53	2.53	2.53	2.53	1200	EUR	
13/12/2010 00:00	2.51	2.51	2.51	2.51	1390	EUR	
14/12/2010 00:00	2.49	2.49	2.49	2.49	310	EUR	
15/12/2010 00:00	2.57	2.57	2.57	2.57	404	EUR	
16/12/2010 00:00	2.06	2.06	2.06	2.06	3498	EUR	
17/12/2010 00:00	2.06	2.06	2.06	2.06	1	EUR	
20/12/2010 00:00	2.1	2.1	2.1	2.1	900	EUR	
21/12/2010 00:00	2.2	2.2	2.2	2.2	717	EUR	
22/12/2010 00:00	2.2	2.2	2.2	2.2	1333	EUR	
23/12/2010 00:00	2.58	2.58	2.58	2.58	2000	EUR	
24/12/2010 00:00	2.55	2.55	2.55	2.55	70	EUR	
27/12/2010 00:00	2.65	2.65	2.65	2.65	1000	EUR	
28/12/2010 00:00	2.65	2.65	2.65	2.65	630	EUR	
29/12/2010 00:00	2.64	2.64	2.64	2.64	1	EUR	
30/12/2010 00:00	2.64	2.64	2.64	2.64	1	EUR	
31/12/2010 00:00	2.62	2.62	2.62	2.62	250	EUR	
03/01/2011 00:00	2.62	2.62	2.62	2.62	1	EUR	
04/01/2011 00:00	2.62	2.62	2.62	2.62	1	EUR	
05/01/2011 00:00	2.6	2.6	2.6	2.6	937	EUR	
06/01/2011 00:00	2.5	2.5	2.5	2.5	533	EUR	
07/01/2011 00:00	2.5	2.5	2.5	2.5	50	EUR	
10/01/2011 00:00	2.4	2.4	2.4	2.4	550	EUR	
11/01/2011 00:00	2.31	2.31	2.31	2.31	480	EUR	
12/01/2011 00:00	2.35	2.35	2.35	2.35	490	EUR	
13/01/2011 00:00	2.35	2.35	2.35	2.35	1	EUR	
14/01/2011 00:00	2.35	2.35	2.35	2.35	1	EUR	
17/01/2011 00:00	2.35	2.35	2.35	2.35	1	EUR	
18/01/2011 00:00	2.35	2.35	2.35	2.35	1	EUR	
19/01/2011 00:00	2.45	2.45	2.45	2.45	823	EUR	
20/01/2011 00:00	2.46	2.46	2.46	2.46	1	EUR	
21/01/2011 00:00	2.46	2.46	2.46	2.46	1	EUR	
24/01/2011 00:00	2.45	2.45	2.45	2.45	80	EUR	
25/01/2011 00:00	2.46	2.46	2.46	2.46	1	EUR	
26/01/2011 00:00	2.46	2.46	2.46	2.46	1	EUR	
27/01/2011 00:00	2.31	2.31	2.31	2.31	1550	EUR	
28/01/2011 00:00	2.3	2.3	2.3	2.3	116	EUR	
31/01/2011 00:00	2.35	2.35	2.35	2.35	680	EUR	
01/02/2011 00:00	2.39	2.39	2.39	2.39	1	EUR	
02/02/2011 00:00	2.39	2.39	2.39	2.39	1	EUR	
03/02/2011 00:00	2.35	2.35	2.35	2.35	200	EUR	
04/02/2011 00:00	2.35	2.35	2.35	2.35	360	EUR	
07/02/2011 00:00	2.35	2.35	2.35	2.35	1	EUR	
08/02/2011 00:00	2.33	2.33	2.33	2.33	550	EUR	
09/02/2011 00:00	2.33	2.33	2.33	2.33	1	EUR	
