date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	15.929	16.237	15.881	16.184	508759	EUR	
10/11/2010 00:00	16.227	16.275	15.92	16.016	541436	EUR	
11/11/2010 00:00	15.92	16.328	15.852	16.169	324878	EUR	
12/11/2010 00:00	15.9	15.987	15.622	15.91	162154	EUR	
15/11/2010 00:00	15.723	16.14	15.617	16.035	244267	EUR	
16/11/2010 00:00	15.9	15.948	15.454	15.602	246136	EUR	
17/11/2010 00:00	15.449	15.876	15.218	15.468	324408	EUR	
18/11/2010 00:00	15.012	15.843	15.007	15.482	566516	EUR	
19/11/2010 00:00	15.598	15.718	15.372	15.655	143143	EUR	
22/11/2010 00:00	15.67	15.804	15.309	15.554	404392	EUR	
23/11/2010 00:00	15.545	15.545	15.18	15.252	250214	EUR	
24/11/2010 00:00	15.276	15.362	15.112	15.18	410956	EUR	
25/11/2010 00:00	15.093	15.833	14.997	15.756	357051	EUR	
26/11/2010 00:00	15.847	16.092	15.377	16.092	345594	EUR	
29/11/2010 00:00	16.136	16.14	15.852	15.924	332843	EUR	
30/11/2010 00:00	16.169	16.582	16.02	16.467	1743565	EUR	
01/12/2010 00:00	16.467	16.866	16.184	16.4	678571	EUR	
02/12/2010 00:00	16.611	18.264	16.472	17.231	924874	EUR	
03/12/2010 00:00	17.437	17.457	16.827	17.106	443320	EUR	
06/12/2010 00:00	17.101	18.206	16.928	17.74	792254	EUR	
07/12/2010 00:00	17.74	18.153	17.678	17.827	471841	EUR	
08/12/2010 00:00	17.625	17.678	17.413	17.437	346455	EUR	
09/12/2010 00:00	17.562	17.908	17.447	17.644	459201	EUR	
10/12/2010 00:00	17.582	17.745	17.197	17.634	259865	EUR	
13/12/2010 00:00	17.543	17.658	17.01	17.317	301038	EUR	
14/12/2010 00:00	17.293	17.442	16.928	17.149	292548	EUR	
15/12/2010 00:00	17.13	17.221	16.722	17.197	318350	EUR	
16/12/2010 00:00	17.192	17.577	17.192	17.394	303933	EUR	
17/12/2010 00:00	17.524	18.206	17.524	18.014	606619	EUR	
20/12/2010 00:00	18	18.249	17.923	18.072	293891	EUR	
21/12/2010 00:00	18.067	18.182	17.346	17.615	457158	EUR	
22/12/2010 00:00	17.5	17.774	17.332	17.668	197668	EUR	
23/12/2010 00:00	17.625	17.764	17.053	17.702	240907	EUR	
24/12/2010 00:00	17.678	17.706	17.409	17.61	30811	EUR	
27/12/2010 00:00	17.606	17.668	17.437	17.543	71604	EUR	
28/12/2010 00:00	17.582	17.582	17.437	17.495	171395	EUR	
29/12/2010 00:00	17.495	17.543	17.293	17.466	111525	EUR	
30/12/2010 00:00	17.327	17.327	17.024	17.269	152825	EUR	
31/12/2010 00:00	17.14	17.14	16.707	17.02	145890	EUR	
03/01/2011 00:00	17.092	17.25	17.034	17.197	191213	EUR	
04/01/2011 00:00	17.774	18.038	17.591	17.894	413198	EUR	
05/01/2011 00:00	17.86	18.456	17.634	18.096	538002	EUR	
06/01/2011 00:00	18.792	18.893	18.206	18.264	667394	EUR	
07/01/2011 00:00	18.317	18.413	18.177	18.288	369025	EUR	
10/01/2011 00:00	18.321	18.321	18.052	18.23	220379	EUR	
11/01/2011 00:00	18.278	19.138	18.254	18.965	840101	EUR	
12/01/2011 00:00	18.917	19.023	18.446	18.71	388609	EUR	
13/01/2011 00:00	18.725	18.734	17.812	17.966	617523	EUR	
14/01/2011 00:00	18.004	18.081	17.586	17.702	560088	EUR	
17/01/2011 00:00	17.961	18.148	17.923	18.067	351607	EUR	
18/01/2011 00:00	18.12	18.158	17.798	17.918	504895	EUR	
19/01/2011 00:00	17.966	17.966	17.255	17.534	892354	EUR	
20/01/2011 00:00	17.572	17.639	17.072	17.12	786255	EUR	
21/01/2011 00:00	17.245	17.846	17.245	17.428	738846	EUR	
24/01/2011 00:00	17.586	17.668	17.207	17.207	265938	EUR	
25/01/2011 00:00	17.236	17.62	17.236	17.265	372119	EUR	
26/01/2011 00:00	17.322	17.351	17.058	17.125	427802	EUR	
27/01/2011 00:00	17.192	17.423	16.986	17.024	243526	EUR	
28/01/2011 00:00	17.048	17.428	16.962	17.13	260939	EUR	
31/01/2011 00:00	17.034	17.053	16.717	16.779	313627	EUR	
01/02/2011 00:00	16.842	17.13	16.525	16.856	663196	EUR	
02/02/2011 00:00	16.938	17.02	16.15	16.53	579243	EUR	
03/02/2011 00:00	16.534	17.034	16.361	16.813	585447	EUR	
04/02/2011 00:00	16.76	16.962	16.563	16.909	282192	EUR	
07/02/2011 00:00	16.904	17.831	16.88	17.654	596629	EUR	
08/02/2011 00:00	17.553	17.62	17.217	17.298	484718	EUR	
09/02/2011 00:00	17.308	17.389	17.25	17.25	507299	EUR	
10/02/2011 00:00	17.293	17.361	17.197	17.245	304792	EUR	
11/02/2011 00:00	17.207	17.687	17.202	17.293	961008	EUR	
14/02/2011 00:00	17.457	17.562	17.389	17.543	213351	EUR	
15/02/2011 00:00	17.562	17.764	17.543	17.601	310443	EUR	
16/02/2011 00:00	17.577	17.596	17.394	17.471	177829	EUR	
17/02/2011 00:00	17.572	17.582	17.293	17.562	156325	EUR	
18/02/2011 00:00	17.582	17.687	17.49	17.687	223303	EUR	
21/02/2011 00:00	17.726	17.846	17.63	17.793	294438	EUR	
22/02/2011 00:00	17.774	18.792	17.433	18.254	905098	EUR	
23/02/2011 00:00	18.206	18.475	17.903	18.441	554670	EUR	
24/02/2011 00:00	18.254	18.485	17.894	18.105	513308	EUR	
25/02/2011 00:00	18.254	18.35	17.822	18.014	468492	EUR	
28/02/2011 00:00	18.057	18.629	17.817	18.345	643918	EUR	
01/03/2011 00:00	18.283	18.465	18.187	18.331	300406	EUR	
02/03/2011 00:00	18.283	18.35	17.822	18.096	407460	EUR	
03/03/2011 00:00	18.249	18.826	18.24	18.706	704624	EUR	
04/03/2011 00:00	18.696	18.792	18.269	18.514	676410	EUR	
07/03/2011 00:00	18.533	18.773	18.422	18.422	228405	EUR	
08/03/2011 00:00	18.432	18.72	18.365	18.571	360303	EUR	
09/03/2011 00:00	18.586	19.849	18.571	19.234	1098920	EUR	
10/03/2011 00:00	19.157	20.06	18.879	19.45	617868	EUR	
11/03/2011 00:00	19.253	19.59	19.013	19.215	696740	EUR	
14/03/2011 00:00	19.373	19.45	18.855	18.994	221318	EUR	
15/03/2011 00:00	18.581	18.754	17.966	18.662	648609	EUR	
16/03/2011 00:00	18.643	18.927	18.1	18.172	605054	EUR	
17/03/2011 00:00	18.168	18.547	17.875	18.163	595119	EUR	
18/03/2011 00:00	18.283	18.489	17.582	17.582	1176808	EUR	
21/03/2011 00:00	17.783	18.317	17.783	18.206	407600	EUR	
22/03/2011 00:00	18.273	19.176	18.115	18.84	499987	EUR	
23/03/2011 00:00	18.85	20.118	18.85	19.878	691701	EUR	
24/03/2011 00:00	19.897	21.751	19.897	20.44	2896726	EUR	
25/03/2011 00:00	20.742	21.136	20.464	20.574	667212	EUR	
28/03/2011 00:00	20.541	20.55	20.099	20.195	348111	EUR	
29/03/2011 00:00	20.286	21.377	20.281	20.589	724993	EUR	
30/03/2011 00:00	20.973	21.112	20.445	20.589	763995	EUR	
31/03/2011 00:00	20.521	20.771	20.416	20.459	429289	EUR	
01/04/2011 00:00	20.594	20.666	20.08	20.325	440634	EUR	
04/04/2011 00:00	20.353	21.175	20.349	20.805	458076	EUR	
05/04/2011 00:00	20.8	21.175	20.752	21.002	282496	EUR	
06/04/2011 00:00	21.064	21.156	20.992	21.088	282399	EUR	
07/04/2011 00:00	21.122	21.213	21.011	21.146	323067	EUR	
08/04/2011 00:00	20.944	21.3	20.32	20.656	847498	EUR	
11/04/2011 00:00	20.44	20.656	19.57	19.662	871926	EUR	
12/04/2011 00:00	19.599	19.835	19.263	19.657	688507	EUR	
13/04/2011 00:00	19.642	20.204	19.599	20.003	355351	EUR	
14/04/2011 00:00	19.878	20.185	19.835	20.031	286699	EUR	
