date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	26.382	26.845	26.314	26.778	1846552	EUR	
10/11/2010 00:00	26.867	27.52	26.719	27.339	3242068	EUR	
11/11/2010 00:00	27.532	27.537	27.322	27.423	2256855	EUR	
12/11/2010 00:00	27.166	27.68	27.056	27.44	2555905	EUR	
15/11/2010 00:00	27.709	27.789	27.36	27.549	1986193	EUR	
16/11/2010 00:00	27.545	27.823	27.398	27.478	2061084	EUR	
17/11/2010 00:00	27.414	28.101	27.398	28.08	2680526	EUR	
18/11/2010 00:00	28.118	28.32	28.013	28.278	2165243	EUR	
19/11/2010 00:00	28.32	28.46	28.156	28.375	1808560	EUR	
22/11/2010 00:00	28.531	28.603	27.945	27.966	1676648	EUR	
23/11/2010 00:00	27.827	27.907	27.524	27.6	2811808	EUR	
24/11/2010 00:00	27.482	27.671	27.393	27.44	1727577	EUR	
25/11/2010 00:00	27.604	27.802	27.461	27.663	1459919	EUR	
26/11/2010 00:00	27.52	27.646	27.414	27.457	1677197	EUR	
29/11/2010 00:00	27.393	27.659	26.904	26.938	3271407	EUR	
30/11/2010 00:00	26.934	27.25	26.934	27.081	2757835	EUR	
01/12/2010 00:00	27.427	27.427	26.816	26.913	2435912	EUR	
02/12/2010 00:00	26.972	26.972	25.927	26.382	5241091	EUR	
03/12/2010 00:00	26.365	26.761	26.158	26.652	2574354	EUR	
06/12/2010 00:00	26.593	27.006	26.437	26.812	2373558	EUR	
07/12/2010 00:00	27.056	27.183	26.702	26.765	2167207	EUR	
08/12/2010 00:00	26.618	26.888	26.466	26.791	1369780	EUR	
09/12/2010 00:00	26.888	27.035	26.736	27.022	1674754	EUR	
10/12/2010 00:00	27.077	27.183	26.904	26.926	1355154	EUR	
13/12/2010 00:00	26.972	27.018	26.504	26.824	2239218	EUR	
14/12/2010 00:00	26.487	26.761	26.424	26.652	1985811	EUR	
15/12/2010 00:00	26.588	26.711	26.441	26.622	1480149	EUR	
16/12/2010 00:00	26.597	26.972	26.597	26.812	2021182	EUR	
17/12/2010 00:00	26.867	27.056	26.685	26.791	2749755	EUR	
20/12/2010 00:00	26.803	26.972	26.791	26.82	1359900	EUR	
21/12/2010 00:00	26.845	26.985	26.829	26.854	1223216	EUR	
22/12/2010 00:00	26.845	26.93	26.702	26.791	1440743	EUR	
23/12/2010 00:00	26.786	26.93	26.597	26.597	1071720	EUR	
24/12/2010 00:00	26.559	26.652	26.47	26.55	171471	EUR	
27/12/2010 00:00	26.626	26.719	26.024	26.163	1117364	EUR	
28/12/2010 00:00	26.188	26.34	26.146	26.272	554204	EUR	
29/12/2010 00:00	26.302	26.428	26.26	26.399	601083	EUR	
30/12/2010 00:00	26.441	26.525	26.137	26.15	734805	EUR	
31/12/2010 00:00	26.357	26.357	25.872	25.872	554697	EUR	
03/01/2011 00:00	26.293	26.319	26.087	26.222	997851	EUR	
04/01/2011 00:00	26.336	26.904	26.188	26.892	2500802	EUR	
05/01/2011 00:00	26.833	26.871	26.567	26.77	1493065	EUR	
06/01/2011 00:00	26.778	26.833	26.432	26.491	1527831	EUR	
07/01/2011 00:00	26.5	26.668	26.213	26.323	1136001	EUR	
10/01/2011 00:00	26.298	26.441	25.918	25.986	1912426	EUR	
11/01/2011 00:00	25.665	25.834	25.488	25.674	2946791	EUR	
12/01/2011 00:00	25.695	26.074	25.674	25.927	2109591	EUR	
13/01/2011 00:00	25.927	26.39	25.762	26.213	2779293	EUR	
14/01/2011 00:00	26.213	26.466	26.18	26.336	2890228	EUR	
17/01/2011 00:00	26.314	26.799	26.302	26.711	2058172	EUR	
18/01/2011 00:00	26.888	27.499	26.816	27.431	3478285	EUR	
19/01/2011 00:00	27.406	27.6	27.183	27.183	2184587	EUR	
20/01/2011 00:00	27.065	27.435	27.031	27.208	1987835	EUR	
