date	ouv	haut	bas	clot	vol	devise	
01/06/2018 00:00	8.175	8.243	7.959	8.168	0	EUR	
04/06/2018 00:00	8.168	8.25	8.025	8.1	20233	EUR	
05/06/2018 00:00	8.1	8.273	8.025	8.25	23732	EUR	
06/06/2018 00:00	8.177	8.265	8.175	8.25	13560	EUR	
07/06/2018 00:00	8.25	8.265	8.249	8.25	13641	EUR	
08/06/2018 00:00	8.25	8.25	8.175	8.175	3765	EUR	
11/06/2018 00:00	8.213	8.265	8.213	8.265	10053	EUR	
12/06/2018 00:00	8.213	8.265	8.213	8.213	2148	EUR	
13/06/2018 00:00	8.213	8.258	8.213	8.258	4751	EUR	
14/06/2018 00:00	8.213	8.265	8.175	8.265	6569	EUR	
15/06/2018 00:00	8.213	8.265	8.175	8.25	3625	EUR	
18/06/2018 00:00	8.243	8.243	8.175	8.175	3100	EUR	
19/06/2018 00:00	8.175	8.175	8.138	8.138	2559	EUR	
20/06/2018 00:00	8.175	8.175	8.063	8.063	4143	EUR	
21/06/2018 00:00	8.063	8.175	8.063	8.1	2528	EUR	
22/06/2018 00:00	8.063	8.166	8.025	8.027	2599	EUR	
25/06/2018 00:00	8.063	8.175	8.025	8.138	1300	EUR	
26/06/2018 00:00	7.988	8.138	7.988	7.988	5353	EUR	
27/06/2018 00:00	7.988	8.063	7.877	8.063	4221	EUR	
28/06/2018 00:00	8.063	8.063	8.003	8.003	1036	EUR	
29/06/2018 00:00	7.95	7.988	7.95	7.95	1204	EUR	
02/07/2018 00:00	7.875	7.913	7.778	7.913	3724	EUR	
03/07/2018 00:00	7.911	7.911	7.874	7.874	600	EUR	
04/07/2018 00:00	7.836	7.836	7.71	7.8	476	EUR	
05/07/2018 00:00	7.785	7.785	7.68	7.725	1287	EUR	
06/07/2018 00:00	7.763	7.763	7.688	7.688	1795	EUR	
09/07/2018 00:00	7.643	7.785	7.643	7.725	1252	EUR	
10/07/2018 00:00	7.697	7.701	7.659	7.659	6336	EUR	
11/07/2018 00:00	7.725	7.763	7.643	7.643	3997	EUR	
12/07/2018 00:00	7.643	7.643	7.568	7.568	1128	EUR	
13/07/2018 00:00	7.568	7.568	7.163	7.5	4261	EUR	
16/07/2018 00:00	7.5	7.5	7.44	7.44	1317	EUR	
17/07/2018 00:00	7.44	7.44	7.155	7.155	2840	EUR	
18/07/2018 00:00	7.349	7.424	7.088	7.088	1115	EUR	
19/07/2018 00:00	7.087	7.125	7.08	7.125	581	EUR	
20/07/2018 00:00	7.126	7.126	7.125	7.125	1443	EUR	
23/07/2018 00:00	7.125	7.125	6.773	7.042	4783	EUR	
24/07/2018 00:00	6.638	7.05	6.638	7.05	928	EUR	
25/07/2018 00:00	7.049	7.049	6.75	6.975	1328	EUR	
26/07/2018 00:00	6.975	7.049	6.675	7.049	1455	EUR	
27/07/2018 00:00	7.042	7.042	6.9	6.9	344	EUR	
30/07/2018 00:00	6.9	7.05	6.893	7.05	541	EUR	
31/07/2018 00:00	7.05	7.05	6.975	7.05	191	EUR	
01/08/2018 00:00	7.05	7.125	6.975	7.125	683	EUR	
02/08/2018 00:00	7.087	7.312	6.901	7.312	1177	EUR	
03/08/2018 00:00	7.313	7.313	7.125	7.274	923	EUR	
06/08/2018 00:00	7.088	7.274	7.088	7.088	1339	EUR	
07/08/2018 00:00	7.087	7.088	7.035	7.05	631	EUR	
08/08/2018 00:00	7.051	7.125	7.05	7.05	441	EUR	
09/08/2018 00:00	7.051	7.051	7.013	7.013	355	EUR	
10/08/2018 00:00	7.013	7.088	7.013	7.088	308	EUR	
13/08/2018 00:00	7.088	7.125	6.975	7.125	800	EUR	
14/08/2018 00:00	7.124	7.124	7.124	7.124	1	EUR	
15/08/2018 00:00	6.968	7.124	6.968	7.124	283	EUR	
16/08/2018 00:00	6.953	7.124	6.953	7.124	276	EUR	
17/08/2018 00:00	7.05	7.05	7.013	7.013	468	EUR	
20/08/2018 00:00	7.013	7.013	6.75	7.004	2515	EUR	
21/08/2018 00:00	7.004	7.05	7.004	7.05	68	EUR	
22/08/2018 00:00	7.125	7.125	7.05	7.124	344	EUR	
23/08/2018 00:00	7.125	7.125	7.125	7.125	28	EUR	
24/08/2018 00:00	7.124	7.124	7.124	7.124	1	EUR	
27/08/2018 00:00	7.058	7.058	7.058	7.058	115	EUR	
28/08/2018 00:00	7.058	7.154	7.021	7.154	905	EUR	
29/08/2018 00:00	7.148	7.148	7.028	7.147	203	EUR	
30/08/2018 00:00	7.147	7.147	7.043	7.125	269	EUR	
31/08/2018 00:00	7.013	7.013	7.013	7.013	348	EUR	
03/09/2018 00:00	7.012	7.012	6.923	6.989	881	EUR	
04/09/2018 00:00	6.974	6.974	6.974	6.974	0	EUR	
11/09/2018 00:00	4.122	4.425	3.9	4.304	28604	EUR	
12/09/2018 00:00	4.298	4.335	3.84	3.975	15229	EUR	
13/09/2018 00:00	3.87	3.87	3.218	3.308	20029	EUR	
14/09/2018 00:00	3.263	3.293	3.225	3.285	14755	EUR	
17/09/2018 00:00	3.525	3.9	3.525	3.825	14320	EUR	
18/09/2018 00:00	3.9	3.9	3.818	3.818	529	EUR	
19/09/2018 00:00	3.9	3.9	3.826	3.826	1645	EUR	
20/09/2018 00:00	3.863	3.863	3.863	3.863	28	EUR	
21/09/2018 00:00	3.9	4.094	3.9	4.094	3732	EUR	
24/09/2018 00:00	4.035	4.05	4.02	4.05	1081	EUR	
25/09/2018 00:00	4.088	4.088	4.036	4.051	1391	EUR	
26/09/2018 00:00	4.05	4.118	4.05	4.117	1516	EUR	
27/09/2018 00:00	4.125	4.162	4.073	4.08	1705	EUR	
28/09/2018 00:00	4.17	4.268	4.125	4.125	3671	EUR	
01/10/2018 00:00	4.193	4.275	4.133	4.14	4091	EUR	
02/10/2018 00:00	4.148	4.199	4.148	4.148	2673	EUR	
03/10/2018 00:00	4.133	4.2	4.133	4.133	24069	EUR	
04/10/2018 00:00	4.163	4.199	4.155	4.155	58647	EUR	
05/10/2018 00:00	4.155	4.215	4.133	4.133	1729	EUR	
08/10/2018 00:00	4.163	4.222	4.163	4.222	1056	EUR	
09/10/2018 00:00	4.245	4.245	4.171	4.171	135	EUR	
10/10/2018 00:00	4.178	4.215	4.178	4.178	2788	EUR	
11/10/2018 00:00	4.268	4.268	4.178	4.178	1737	EUR	
12/10/2018 00:00	4.178	4.259	4.17	4.17	468	EUR	
15/10/2018 00:00	4.163	4.273	4.14	4.273	2041	EUR	
16/10/2018 00:00	4.244	4.244	4.244	4.244	648	EUR	
17/10/2018 00:00	4.244	4.244	4.2	4.2	681	EUR	
18/10/2018 00:00	4.199	4.229	4.141	4.229	399	EUR	
19/10/2018 00:00	4.229	4.229	4.2	4.2	961	EUR	
22/10/2018 00:00	4.2	4.258	4.2	4.2	2840	EUR	
23/10/2018 00:00	4.201	4.274	4.125	4.126	2801	EUR	
24/10/2018 00:00	4.155	4.155	4.125	4.125	3747	EUR	
25/10/2018 00:00	4.125	4.125	4.103	4.103	2255	EUR	
26/10/2018 00:00	4.111	4.198	4.111	4.125	895	EUR	
29/10/2018 00:00	4.125	4.2	4.125	4.2	135	EUR	
30/10/2018 00:00	4.199	4.199	4.111	4.198	895	EUR	
31/10/2018 00:00	4.198	4.205	4.125	4.205	361	EUR	
01/11/2018 00:00	4.205	4.205	4.118	4.118	68	EUR	
02/11/2018 00:00	4.118	4.125	4.118	4.125	88	EUR	
05/11/2018 00:00	4.125	4.125	4.073	4.073	288	EUR	
06/11/2018 00:00	4.073	4.117	4.073	4.117	141	EUR	
07/11/2018 00:00	4.117	4.123	4.036	4.123	1095	EUR	
08/11/2018 00:00	4.123	4.123	4.123	4.123	1	EUR	
09/11/2018 00:00	4.163	4.163	4.155	4.163	3817	EUR	
12/11/2018 00:00	4.23	4.253	4.23	4.23	1025	EUR	
13/11/2018 00:00	4.388	4.448	4.276	4.424	2663	EUR	
14/11/2018 00:00	4.455	4.455	4.382	4.382	775	EUR	
15/11/2018 00:00	5.7	5.7	5.101	5.2	3497	EUR	
16/11/2018 00:00	5.2	5.2	5.15	5.15	1864	EUR	
19/11/2018 00:00	5.171	5.259	5.17	5.259	292	EUR	
20/11/2018 00:00	5.249	5.249	5.11	5.159	3461	EUR	
21/11/2018 00:00	5.05	5.05	4.96	5.029	2142	EUR	
22/11/2018 00:00	5.019	5.019	4.85	4.99	2140	EUR	
23/11/2018 00:00	4.95	4.95	4.85	4.85	282	EUR	
26/11/2018 00:00	4.88	4.94	4.86	4.94	485	EUR	
27/11/2018 00:00	4.94	4.94	4.84	4.94	465	EUR	
28/11/2018 00:00	4.94	4.94	4.94	4.94	1	EUR	
29/11/2018 00:00	4.94	4.94	4.78	4.94	1822	EUR	
30/11/2018 00:00	4.93	4.93	4.77	4.77	1200	EUR	
03/12/2018 00:00	4.801	4.9	4.5	4.5	5354	EUR	
04/12/2018 00:00	4.42	4.5	4.4	4.5	2308	EUR	
05/12/2018 00:00	4.4	4.49	4.4	4.45	334	EUR	
06/12/2018 00:00	4.38	4.5	4.23	4.23	7374	EUR	
07/12/2018 00:00	4.23	4.23	4.1	4.1	2104	EUR	
10/12/2018 00:00	4.08	4.2	4.08	4.2	534	EUR	
11/12/2018 00:00	4.18	4.18	4.08	4.18	222	EUR	
12/12/2018 00:00	4.17	4.17	4.17	4.17	1	EUR	
13/12/2018 00:00	4.07	4.15	4.03	4.03	768	EUR	
14/12/2018 00:00	4.03	4.03	3.99	3.99	3849	EUR	
17/12/2018 00:00	3.96	3.961	3.87	3.87	3402	EUR	
18/12/2018 00:00	3.871	3.98	3.69	3.69	2869	EUR	
19/12/2018 00:00	3.65	3.7	3.51	3.6	3273	EUR	
20/12/2018 00:00	3.6	3.63	3.6	3.63	147	EUR	
21/12/2018 00:00	3.63	3.63	3.56	3.56	81	EUR	
24/12/2018 00:00	3.56	3.56	3.51	3.511	439	EUR	
27/12/2018 00:00	3.442	3.53	3.34	3.5	1015	EUR	
28/12/2018 00:00	3.46	3.5	3.37	3.42	1921	EUR	
31/12/2018 00:00	3.481	3.53	3.48	3.53	845	EUR	
02/01/2019 00:00	3.53	3.66	3.53	3.66	459	EUR	
03/01/2019 00:00	3.501	3.501	3.501	3.501	553	EUR	
04/01/2019 00:00	3.541	3.62	3.54	3.54	581	EUR	
07/01/2019 00:00	3.541	3.62	3.541	3.6	444	EUR	
08/01/2019 00:00	3.65	3.7	3.65	3.7	2191	EUR	
09/01/2019 00:00	3.701	3.701	3.65	3.65	461	EUR	
10/01/2019 00:00	3.64	3.64	3.61	3.61	297	EUR	
11/01/2019 00:00	3.61	3.61	3.53	3.531	972	EUR	
14/01/2019 00:00	3.531	3.61	3.48	3.48	2278	EUR	
15/01/2019 00:00	3.481	3.56	3.33	3.331	2922	EUR	
16/01/2019 00:00	3.361	3.44	3.35	3.35	1766	EUR	
17/01/2019 00:00	3.371	3.4	3.37	3.37	381	EUR	
18/01/2019 00:00	3.37	3.37	3.19	3.3	1686	EUR	
21/01/2019 00:00	3.38	3.38	3.141	3.141	1893	EUR	
22/01/2019 00:00	3.2	3.21	3.131	3.21	1082	EUR	
23/01/2019 00:00	3.21	3.21	3.2	3.2	40	EUR	
24/01/2019 00:00	3.2	3.21	2.97	2.97	3414	EUR	
25/01/2019 00:00	3.001	3.001	2.86	3	2581	EUR	
28/01/2019 00:00	3	3.05	3	3.05	2725	EUR	
29/01/2019 00:00	3	3.04	2.92	2.955	1649	EUR	
30/01/2019 00:00	2.955	3	2.955	3	3222	EUR	
31/01/2019 00:00	3	3.02	3	3.02	982	EUR	
01/02/2019 00:00	3.02	3.02	3.02	3.02	1	EUR	
04/02/2019 00:00	3.09	3.1	3.09	3.09	1425	EUR	
05/02/2019 00:00	3.09	3.09	3	3.011	1713	EUR	
06/02/2019 00:00	3.011	3.09	3.011	3.09	950	EUR	
07/02/2019 00:00	3.02	3.09	3.01	3.01	1590	EUR	
08/02/2019 00:00	3.01	3.03	3.01	3.03	59	EUR	
11/02/2019 00:00	2.911	3	2.82	2.92	3336	EUR	
12/02/2019 00:00	2.85	2.89	2.8	2.801	1655	EUR	
13/02/2019 00:00	2.81	2.81	2.72	2.72	2360	EUR	
14/02/2019 00:00	2.731	2.79	2.731	2.79	994	EUR	
15/02/2019 00:00	2.79	2.8	2.78	2.8	623	EUR	
18/02/2019 00:00	2.8	2.8	2.79	2.79	326	EUR	
19/02/2019 00:00	2.79	2.8	2.79	2.8	9	EUR	
20/02/2019 00:00	2.8	2.8	2.72	2.721	1177	EUR	
21/02/2019 00:00	2.79	2.79	2.72	2.72	764	EUR	
22/02/2019 00:00	2.73	2.73	2.73	2.73	110	EUR	
25/02/2019 00:00	2.79	2.79	2.79	2.79	224	EUR	
26/02/2019 00:00	2.79	2.79	2.79	2.79	708	EUR	
27/02/2019 00:00	2.79	2.79	2.73	2.77	635	EUR	
28/02/2019 00:00	2.72	2.78	2.72	2.721	873	EUR	
01/03/2019 00:00	2.78	2.78	2.68	2.68	2267	EUR	
04/03/2019 00:00	2.66	2.68	2.601	2.601	2025	EUR	
05/03/2019 00:00	2.68	2.68	2.68	2.68	616	EUR	
06/03/2019 00:00	2.67	2.67	2.611	2.611	480	EUR	
07/03/2019 00:00	2.611	2.67	2.611	2.67	416	EUR	
08/03/2019 00:00	2.67	2.67	2.67	2.67	426	EUR	
11/03/2019 00:00	2.68	2.68	2.621	2.68	682	EUR	
12/03/2019 00:00	2.67	2.67	2.67	2.67	118	EUR	
13/03/2019 00:00	2.67	2.67	2.54	2.54	1729	EUR	
