date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	21.6	21.6	21.3	21.3	501	EUR	
10/11/2010 00:00	21.31	21.35	21.3	21.35	116	EUR	
11/11/2010 00:00	21.35	21.35	21.34	21.34	21	EUR	
12/11/2010 00:00	21.35	21.5	21.34	21.34	274	EUR	
15/11/2010 00:00	21.34	21.34	21.34	21.34	8	EUR	
16/11/2010 00:00	21.35	21.35	21.34	21.34	51	EUR	
17/11/2010 00:00	21.34	21.34	21.34	21.34	181	EUR	
18/11/2010 00:00	21.35	21.35	21.35	21.35	1	EUR	
19/11/2010 00:00	21.35	21.4	21.35	21.4	256	EUR	
22/11/2010 00:00	22.7	24.47	22.7	23.83	17302	EUR	
23/11/2010 00:00	24	25.5	23.5	24.78	12679	EUR	
24/11/2010 00:00	23.8	24.28	23.56	24.1	1111	EUR	
25/11/2010 00:00	23.84	24	23.51	24	1528	EUR	
26/11/2010 00:00	23.8	24.25	23.4	23.4	737	EUR	
29/11/2010 00:00	23.41	23.5	23.37	23.4	2171	EUR	
30/11/2010 00:00	23.46	23.5	22.84	22.84	1808	EUR	
01/12/2010 00:00	22.85	23.3	22.84	23.2	523	EUR	
02/12/2010 00:00	23.2	23.3	23.2	23.25	471	EUR	
03/12/2010 00:00	23.23	23.23	22.84	23.25	682	EUR	
06/12/2010 00:00	23.25	23.25	23	23	251	EUR	
07/12/2010 00:00	23.01	23.01	23	23	11	EUR	
08/12/2010 00:00	23.01	23.18	23	23	321	EUR	
09/12/2010 00:00	23	23	22.94	22.94	386	EUR	
10/12/2010 00:00	22.95	23	22.4	22.4	1182	EUR	
13/12/2010 00:00	22.4	22.8	22.3	22.8	461	EUR	
14/12/2010 00:00	22.79	22.85	22.79	22.85	101	EUR	
15/12/2010 00:00	22.85	22.85	22.85	22.85	11	EUR	
16/12/2010 00:00	22.85	22.85	22.85	22.85	21	EUR	
17/12/2010 00:00	22.8	22.85	22.1	22.81	541	EUR	
20/12/2010 00:00	22.8	22.81	22.75	22.75	122	EUR	
21/12/2010 00:00	22.67	22.67	22.67	22.67	62	EUR	
22/12/2010 00:00	22.67	22.67	22.67	22.67	1	EUR	
23/12/2010 00:00	22.67	22.78	22.01	22.57	215	EUR	
24/12/2010 00:00	22.57	22.57	22.57	22.57	38	EUR	
27/12/2010 00:00	22.57	22.57	22.5	22.55	8086	EUR	
28/12/2010 00:00	22.52	22.52	21.35	21.95	1352	EUR	
29/12/2010 00:00	21.95	21.96	20.85	21.15	1282	EUR	
30/12/2010 00:00	21.27	21.27	20.85	21.27	297	EUR	
31/12/2010 00:00	21.1	21.29	20.92	21.29	184	EUR	
03/01/2011 00:00	21.28	21.28	20.38	20.5	1970	EUR	
04/01/2011 00:00	20.52	22.1	20.52	22.09	3093	EUR	
05/01/2011 00:00	22	22.08	22	22.08	1347	EUR	
06/01/2011 00:00	22.08	22.08	22	22	5808	EUR	
07/01/2011 00:00	22	22.2	22	22.2	1909	EUR	
10/01/2011 00:00	22.2	22.2	22.01	22.2	2217	EUR	
11/01/2011 00:00	22.2	22.2	22	22.2	1330	EUR	
12/01/2011 00:00	22.18	22.18	21.8	22.16	1721	EUR	
13/01/2011 00:00	22.16	22.16	22	22	392	EUR	
14/01/2011 00:00	22	22	22	22	721	EUR	
17/01/2011 00:00	22	22.16	22	22	512	EUR	
18/01/2011 00:00	22	22.2	22	22	169	EUR	
19/01/2011 00:00	22	22.2	22	22	144	EUR	
20/01/2011 00:00	22	22	22	22	184	EUR	
21/01/2011 00:00	22	22	22	22	253	EUR	
24/01/2011 00:00	22	22.2	22	22	172	EUR	
25/01/2011 00:00	22	22	22	22	151	EUR	
26/01/2011 00:00	22	22	22	22	172	EUR	
27/01/2011 00:00	22	22	22	22	285	EUR	
28/01/2011 00:00	22	22.05	22	22.05	307	EUR	
31/01/2011 00:00	22.05	22.05	22	22	118	EUR	
01/02/2011 00:00	22	22.05	22	22.05	185	EUR	
02/02/2011 00:00	22.05	22.05	21.96	21.97	285	EUR	
03/02/2011 00:00	21.98	22	21.98	22	85	EUR	
04/02/2011 00:00	22	22.1	22	22.1	231	EUR	
07/02/2011 00:00	22.1	22.1	22	22	174	EUR	
08/02/2011 00:00	22	22.2	21.97	21.97	178	EUR	
09/02/2011 00:00	21.97	21.97	21.77	21.83	375	EUR	
10/02/2011 00:00	21.83	21.84	21.45	21.84	189	EUR	
11/02/2011 00:00	21.84	21.97	21.45	21.85	832	EUR	
14/02/2011 00:00	21.85	21.85	21.85	21.85	42	EUR	
15/02/2011 00:00	21.9	22	21.9	22	428	EUR	
16/02/2011 00:00	22	22	21.96	22	164	EUR	
17/02/2011 00:00	22.01	22.02	22.01	22.02	106	EUR	
18/02/2011 00:00	22.02	22.02	22.02	22.02	21	EUR	
21/02/2011 00:00	22	22.02	22	22	154	EUR	
