date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	10.21	10.39	10.21	10.21	247	EUR	
10/11/2010 00:00	10.21	10.3	10.17	10.3	2486	EUR	
11/11/2010 00:00	10.3	10.39	10.3	10.39	396	EUR	
12/11/2010 00:00	10.29	10.29	10.16	10.16	381	EUR	
15/11/2010 00:00	10.21	10.5	10.2	10.5	2550	EUR	
16/11/2010 00:00	10.49	10.49	10.23	10.49	651	EUR	
17/11/2010 00:00	10.49	10.49	10.28	10.28	817	EUR	
18/11/2010 00:00	10.28	10.28	10.28	10.28	1	EUR	
19/11/2010 00:00	10.28	10.49	10.28	10.49	68231	EUR	
22/11/2010 00:00	10.49	10.49	10.44	10.45	601	EUR	
23/11/2010 00:00	10.45	10.45	10.31	10.32	915	EUR	
24/11/2010 00:00	10.32	10.33	10.32	10.33	485	EUR	
25/11/2010 00:00	10.33	10.33	10.31	10.31	457	EUR	
26/11/2010 00:00	10.31	10.31	10.3	10.3	201	EUR	
29/11/2010 00:00	10.31	10.31	10.31	10.31	1	EUR	
30/11/2010 00:00	10.31	10.31	10.2	10.2	1148	EUR	
01/12/2010 00:00	10.2	10.2	10.17	10.17	201	EUR	
02/12/2010 00:00	10.18	10.18	10.18	10.18	1	EUR	
03/12/2010 00:00	10.17	10.49	10.17	10.23	396	EUR	
06/12/2010 00:00	10.23	10.23	10.23	10.23	101	EUR	
07/12/2010 00:00	10.23	10.3	10.22	10.3	501	EUR	
08/12/2010 00:00	10.31	10.31	10.31	10.31	1	EUR	
09/12/2010 00:00	10.31	10.4	10.3	10.4	304	EUR	
10/12/2010 00:00	10.4	10.5	10.3	10.47	3534	EUR	
13/12/2010 00:00	10.48	10.6	10.4	10.59	3156	EUR	
14/12/2010 00:00	10.59	10.6	10.31	10.31	1235	EUR	
15/12/2010 00:00	10.47	10.6	10.47	10.59	88101	EUR	
16/12/2010 00:00	10.6	10.69	10.4	10.65	16892	EUR	
17/12/2010 00:00	10.65	10.65	10.35	10.54	10390	EUR	
20/12/2010 00:00	10.53	10.53	10.21	10.46	2588	EUR	
21/12/2010 00:00	10.43	10.44	10.08	10.29	2892	EUR	
22/12/2010 00:00	10.29	10.35	10.08	10.22	2541	EUR	
23/12/2010 00:00	10.22	10.3	10.1	10.3	9149	EUR	
24/12/2010 00:00	10.23	10.23	10.05	10.19	1687	EUR	
27/12/2010 00:00	10.09	10.44	10.09	10.44	1357	EUR	
28/12/2010 00:00	10.43	10.5	10.43	10.5	3377	EUR	
29/12/2010 00:00	10.5	10.6	10.4	10.4	1917	EUR	
30/12/2010 00:00	10.4	10.69	10.36	10.6	393	EUR	
31/12/2010 00:00	10.6	10.66	10.6	10.66	21	EUR	
03/01/2011 00:00	10.66	10.66	10.66	10.66	1	EUR	
04/01/2011 00:00	10.69	10.69	10.66	10.67	533	EUR	
05/01/2011 00:00	10.4	10.66	10.4	10.66	556	EUR	
06/01/2011 00:00	10.66	10.7	10.36	10.66	1131	EUR	
07/01/2011 00:00	10.66	10.66	10.05	10.54	6012	EUR	
10/01/2011 00:00	10.54	10.56	10.12	10.25	1211	EUR	
11/01/2011 00:00	10.25	10.59	10.14	10.15	444	EUR	
12/01/2011 00:00	10.16	10.6	10.16	10.6	2601	EUR	
13/01/2011 00:00	10.49	10.49	10.31	10.31	456	EUR	
14/01/2011 00:00	10.33	10.69	10.33	10.6	379	EUR	
17/01/2011 00:00	10.6	10.6	10.58	10.58	41	EUR	
18/01/2011 00:00	10.57	10.57	10.4	10.41	4822	EUR	
19/01/2011 00:00	10.4	10.47	10.4	10.46	1085	EUR	
20/01/2011 00:00	10.46	10.5	10.44	10.5	111	EUR	
21/01/2011 00:00	10.58	10.58	10.57	10.58	176	EUR	
24/01/2011 00:00	10.59	10.6	10.41	10.53	3767	EUR	
25/01/2011 00:00	10.53	10.55	10.53	10.55	256	EUR	
26/01/2011 00:00	10.54	10.69	10.48	10.69	7024	EUR	
27/01/2011 00:00	10.64	10.64	10.5	10.57	4244	EUR	
28/01/2011 00:00	10.57	10.57	10.48	10.5	3600	EUR	
31/01/2011 00:00	10.49	10.5	10.42	10.5	255	EUR	
01/02/2011 00:00	10.48	10.48	10.48	10.48	309	EUR	
02/02/2011 00:00	10.48	10.5	10.48	10.5	611	EUR	
03/02/2011 00:00	10.5	10.5	10.4	10.4	316	EUR	
04/02/2011 00:00	10.4	10.4	10.4	10.4	1	EUR	
07/02/2011 00:00	10.36	10.4	10.36	10.4	1125	EUR	
08/02/2011 00:00	10.38	10.38	10.21	10.21	1623	EUR	
09/02/2011 00:00	10.4	10.4	10.22	10.22	932	EUR	
10/02/2011 00:00	10.23	10.38	10.23	10.38	301	EUR	
11/02/2011 00:00	10.38	10.38	10.29	10.29	201	EUR	
14/02/2011 00:00	10.29	10.29	10.29	10.29	1	EUR	
15/02/2011 00:00	10.29	10.4	10.29	10.4	1298	EUR	
16/02/2011 00:00	10.39	10.48	10.39	10.48	8551	EUR	
17/02/2011 00:00	10.47	10.69	10.47	10.69	47339	EUR	
18/02/2011 00:00	10.69	10.75	10.69	10.75	1108	EUR	
21/02/2011 00:00	10.77	10.77	10.7	10.7	1526	EUR	
22/02/2011 00:00	10.65	10.65	10.57	10.57	1094	EUR	
23/02/2011 00:00	10.58	10.61	10.58	10.61	221	EUR	
24/02/2011 00:00	10.62	10.62	10.6	10.6	3881	EUR	
25/02/2011 00:00	10.59	10.78	10.59	10.78	2889	EUR	
28/02/2011 00:00	10.78	11	10.76	11	6353	EUR	
01/03/2011 00:00	10.85	11.11	10.85	11.11	1066	EUR	
02/03/2011 00:00	11.11	11.35	11.06	11.06	2820	EUR	
03/03/2011 00:00	11.21	11.5	11.2	11.2	1716	EUR	
04/03/2011 00:00	11.21	11.59	11.21	11.59	10266	EUR	
07/03/2011 00:00	11.58	11.75	11.45	11.75	1891	EUR	
08/03/2011 00:00	11.75	11.75	11.61	11.61	246	EUR	
09/03/2011 00:00	11.61	11.61	11.61	11.61	101	EUR	
10/03/2011 00:00	11.61	11.84	11.12	11.26	6049	EUR	
11/03/2011 00:00	11.25	11.6	11.25	11.6	1821	EUR	
14/03/2011 00:00	11.51	11.59	11.5	11.59	7886	EUR	
15/03/2011 00:00	11.54	11.6	11.21	11.6	5602	EUR	
16/03/2011 00:00	11.59	11.59	11.4	11.4	711	EUR	
17/03/2011 00:00	11.21	11.8	11.21	11.8	2713	EUR	
18/03/2011 00:00	11.8	11.84	11.8	11.84	70321	EUR	
21/03/2011 00:00	11.84	11.97	11.76	11.76	2975	EUR	
22/03/2011 00:00	11.76	12	11.76	12	654	EUR	
23/03/2011 00:00	11.99	12	11.99	12	601	EUR	
24/03/2011 00:00	11.99	11.99	11.81	11.85	618	EUR	
25/03/2011 00:00	11.7	12	11.7	11.92	3641	EUR	
28/03/2011 00:00	11.92	11.92	11.6	11.84	1478	EUR	
