date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	47.75	49.78	47.32	49.31	79402	EUR	
10/11/2010 00:00	49.1	50.87	48.545	50.06	33176	EUR	
11/11/2010 00:00	49.92	50.64	48.85	49.33	13668	EUR	
12/11/2010 00:00	49	49.635	48.5	49.37	14403	EUR	
15/11/2010 00:00	49.29	49.355	48.585	49.3	13072	EUR	
16/11/2010 00:00	48.93	49.2	48.655	48.99	10938	EUR	
17/11/2010 00:00	48.95	52.9	48.95	52.13	58022	EUR	
18/11/2010 00:00	52.09	52.2	50.94	51.45	18328	EUR	
19/11/2010 00:00	51.86	51.86	50.86	51.34	12475	EUR	
22/11/2010 00:00	50.88	51.49	50.88	51.2	16286	EUR	
23/11/2010 00:00	50.81	51.2	50.1	51	17821	EUR	
24/11/2010 00:00	51	52.5	50.67	52.3	30741	EUR	
25/11/2010 00:00	52.5	53.53	52.07	53.53	16987	EUR	
26/11/2010 00:00	53.49	53.49	50.46	51.33	14739	EUR	
29/11/2010 00:00	51.04	51.35	49.235	49.5	16128	EUR	
30/11/2010 00:00	49.5	52.34	49	51.52	16194	EUR	
01/12/2010 00:00	51.46	53.25	51.46	52.92	23825	EUR	
02/12/2010 00:00	52.92	56	52.92	55.95	42295	EUR	
03/12/2010 00:00	55.17	55.9	54.17	54.58	19544	EUR	
06/12/2010 00:00	54.2	55.89	53.13	55.77	16175	EUR	
07/12/2010 00:00	55.7	55.9	54.5	54.75	23675	EUR	
08/12/2010 00:00	54.4	55.26	54.06	55.26	7228	EUR	
09/12/2010 00:00	55.39	55.39	54.58	54.97	19374	EUR	
10/12/2010 00:00	55	55	54.13	54.57	14431	EUR	
13/12/2010 00:00	54.49	55	53.68	54.65	16924	EUR	
14/12/2010 00:00	54.75	55.48	53.45	55.48	19461	EUR	
15/12/2010 00:00	54.79	55.9	54.4	55.79	25154	EUR	
16/12/2010 00:00	55.5	55.8	54.08	54.5	14423	EUR	
17/12/2010 00:00	54.4	55.6	53.18	55.51	14593	EUR	
20/12/2010 00:00	55.08	55.19	53.35	53.94	15127	EUR	
21/12/2010 00:00	53.65	54	53.53	53.89	19229	EUR	
22/12/2010 00:00	53.6	53.65	52.63	53.56	18824	EUR	
23/12/2010 00:00	52.7	53.44	51.6	53.1	25083	EUR	
24/12/2010 00:00	52.58	54.15	52.15	53.9	8530	EUR	
27/12/2010 00:00	53.75	53.75	52.05	53.21	14021	EUR	
28/12/2010 00:00	53.09	54	53.09	53.72	4767	EUR	
29/12/2010 00:00	53.5	54.33	53.5	54.17	7968	EUR	
30/12/2010 00:00	54.29	54.3	53.25	53.8	4825	EUR	
31/12/2010 00:00	54	54	53.28	53.9	1319	EUR	
03/01/2011 00:00	53.85	54.37	53.5	54.23	5733	EUR	
04/01/2011 00:00	54.4	56	54.14	55.87	14268	EUR	
05/01/2011 00:00	55.9	57.8	55.9	57.26	27605	EUR	
06/01/2011 00:00	57.23	57.35	55.55	55.56	10633	EUR	
07/01/2011 00:00	55.71	55.71	54.85	55	11757	EUR	
10/01/2011 00:00	54.59	55.39	54.28	54.9	5546	EUR	
11/01/2011 00:00	54.95	55.34	54.6	55.32	8679	EUR	
12/01/2011 00:00	55.4	56.6	55.39	55.94	6995	EUR	
13/01/2011 00:00	56	56	54.8	55.03	3885	EUR	
14/01/2011 00:00	55	55.28	54.94	55.28	5052	EUR	
17/01/2011 00:00	55	55.71	54.78	55.45	5739	EUR	
18/01/2011 00:00	55.4	55.92	54.51	55.1	8590	EUR	
19/01/2011 00:00	55.4	55.53	54.73	55.42	8342	EUR	
20/01/2011 00:00	55.38	55.38	54.4	54.43	4513	EUR	
21/01/2011 00:00	54.94	54.94	54	54.04	7210	EUR	
24/01/2011 00:00	54.38	54.38	53.6	54.04	18879	EUR	
25/01/2011 00:00	54	54.14	53.5	53.57	9949	EUR	
26/01/2011 00:00	53.53	53.53	49.51	51.5	32848	EUR	
27/01/2011 00:00	51.92	51.93	51.2	51.82	4361	EUR	
28/01/2011 00:00	53	53	48.27	48.27	98173	EUR	
31/01/2011 00:00	48.9	49.53	47.18	48.9	44646	EUR	
01/02/2011 00:00	48.9	48.9	47.8	47.84	24541	EUR	
02/02/2011 00:00	48	48.275	46.85	46.85	32320	EUR	
03/02/2011 00:00	46.85	47.5	46.7	47	25817	EUR	
04/02/2011 00:00	47.01	47.585	47	47.155	22836	EUR	
07/02/2011 00:00	47.475	49.22	47.475	49.22	48638	EUR	
08/02/2011 00:00	49.46	49.46	48.505	49	28520	EUR	
09/02/2011 00:00	49	51.35	48.635	51	72232	EUR	
10/02/2011 00:00	50.24	50.95	48.8	50.9	30772	EUR	
11/02/2011 00:00	50.56	51	50.26	50.47	21164	EUR	
14/02/2011 00:00	50.47	51	50.09	50.31	20270	EUR	
15/02/2011 00:00	50.81	50.82	50	50.52	19026	EUR	
16/02/2011 00:00	50.77	50.77	49.925	50.22	19884	EUR	
17/02/2011 00:00	50.44	52.28	49.93	51.96	57700	EUR	
18/02/2011 00:00	52.29	52.74	51.6	52.64	31127	EUR	
21/02/2011 00:00	51.5	54.28	51.27	52.52	50497	EUR	
22/02/2011 00:00	52.01	54.65	51.6	54.1	32085	EUR	
23/02/2011 00:00	53.76	54	52.89	53.09	19679	EUR	
24/02/2011 00:00	53	55	53	53.53	23248	EUR	
25/02/2011 00:00	53.6	55.3	53.6	55.27	21392	EUR	
28/02/2011 00:00	56.45	60.22	56.4	59.7	84930	EUR	
01/03/2011 00:00	59.51	61.21	58.11	60.3	40835	EUR	
02/03/2011 00:00	59.11	61.66	59	59.97	55807	EUR	
03/03/2011 00:00	60	61.28	59.51	61.07	33256	EUR	
04/03/2011 00:00	61.15	62.36	60.81	61.02	22672	EUR	
07/03/2011 00:00	61.1	62	59.8	61.6	28454	EUR	
08/03/2011 00:00	61.9	61.9	60.61	61	16863	EUR	
09/03/2011 00:00	61.1	61.71	59.9	60.63	19286	EUR	
10/03/2011 00:00	59.6	60.53	58.7	60.37	20226	EUR	
11/03/2011 00:00	58.75	59.1	58.01	59.04	19852	EUR	
14/03/2011 00:00	58.34	58.89	57.62	58.3	13763	EUR	
15/03/2011 00:00	57.2	57.38	55.1	56	54975	EUR	
16/03/2011 00:00	56	58.74	55.76	57.6	34411	EUR	
17/03/2011 00:00	57.6	57.7	55.77	56.82	15975	EUR	
18/03/2011 00:00	57.26	58.57	56.78	57.96	20072	EUR	
21/03/2011 00:00	57.96	58.9	57.74	58.66	8239	EUR	
22/03/2011 00:00	58.7	59.22	58.36	59.22	7175	EUR	
23/03/2011 00:00	59	59.7	58.75	59.5	15679	EUR	
24/03/2011 00:00	59.74	59.74	58.02	58.47	11118	EUR	
25/03/2011 00:00	58.42	60.2	58.35	60.2	20500	EUR	
28/03/2011 00:00	60.43	61.97	59.59	61.59	33174	EUR	
29/03/2011 00:00	61.34	61.4	60.75	60.98	12897	EUR	
30/03/2011 00:00	60.35	61.3	60.32	61	30524	EUR	
31/03/2011 00:00	60.99	62.3	60.11	62.23	19953	EUR	
01/04/2011 00:00	62.3	64.79	62.29	63.9	42775	EUR	
04/04/2011 00:00	64.34	64.5	63.38	64.5	10637	EUR	
05/04/2011 00:00	64	64.5	62.96	63.26	10066	EUR	
06/04/2011 00:00	63.03	63.5	62.96	63.48	17219	EUR	
07/04/2011 00:00	64.19	64.89	63.3	63.59	45689	EUR	
08/04/2011 00:00	63.75	64.15	63.08	63.45	21667	EUR	
11/04/2011 00:00	63.45	64.15	63.04	63.45	21975	EUR	
12/04/2011 00:00	63.4	63.56	62.9	63.56	29237	EUR	
13/04/2011 00:00	63.45	66.33	63.02	66.15	28322	EUR	
14/04/2011 00:00	66.43	69.31	66.43	68.43	34928	EUR	
15/04/2011 00:00	68.52	71.8	68.43	69.95	62695	EUR	
18/04/2011 00:00	71.45	71.45	68.64	69.7	34510	EUR	
19/04/2011 00:00	69.5	69.5	68.77	69.3	16911	EUR	
20/04/2011 00:00	69.5	70	69.3	70	13381	EUR	
21/04/2011 00:00	70.05	71.2	69.51	71.2	27923	EUR	
26/04/2011 00:00	70.53	71.79	70.05	71.67	18259	EUR	
27/04/2011 00:00	71.56	71.91	71.11	71.78	26798	EUR	
28/04/2011 00:00	71.98	73.57	71.63	72.7	58833	EUR	
29/04/2011 00:00	72.7	73.65	72.25	72.76	21923	EUR	
02/05/2011 00:00	72.5	73.6	72.49	73.5	17999	EUR	
03/05/2011 00:00	73.04	73.59	72.54	72.54	10603	EUR	
04/05/2011 00:00	72.31	72.33	70.5	71.38	10679	EUR	
05/05/2011 00:00	71.11	71.99	70.81	71.33	4817	EUR	
06/05/2011 00:00	71.13	71.33	70.24	70.43	16697	EUR	
09/05/2011 00:00	72	73.04	70.42	73.04	29423	EUR	
10/05/2011 00:00	73.04	74	73	73.62	17414	EUR	
11/05/2011 00:00	73.89	76.9	69.3	70.5	42193	EUR	
12/05/2011 00:00	70.71	71.3	69.91	70.37	14701	EUR	
13/05/2011 00:00	69.98	70.37	69.15	69.74	24023	EUR	
16/05/2011 00:00	69.74	69.9	68.51	69.65	18031	EUR	
17/05/2011 00:00	69.17	69.66	67.25	67.3	11760	EUR	
18/05/2011 00:00	67.5	67.99	66.45	66.8	14839	EUR	
19/05/2011 00:00	66.79	66.79	65.76	66	24110	EUR	
20/05/2011 00:00	66.1	67.21	66.1	67.16	20058	EUR	
23/05/2011 00:00	67.19	67.2	65.59	66.43	14467	EUR	
24/05/2011 00:00	66.99	67	66.5	66.5	11612	EUR	
25/05/2011 00:00	66.4	66.4	64.55	64.64	13158	EUR	
26/05/2011 00:00	64.5	66.5	64.5	66.5	8426	EUR	
27/05/2011 00:00	66.5	67.67	66.32	67.2	17351	EUR	
30/05/2011 00:00	67.2	67.24	66.44	66.84	2016	EUR	
31/05/2011 00:00	66.5	67.7	66.4	67.05	13417	EUR	
01/06/2011 00:00	66.79	67.5	66.1	66.87	18470	EUR	
02/06/2011 00:00	66.45	66.51	65.79	66.15	3540	EUR	
03/06/2011 00:00	66.17	66.55	65.5	65.76	9929	EUR	
06/06/2011 00:00	65.65	65.8	65.21	65.6	8939	EUR	
07/06/2011 00:00	65.81	65.81	64.71	65.06	14761	EUR	
08/06/2011 00:00	65	65.51	64.61	64.74	6380	EUR	
09/06/2011 00:00	64.75	64.75	63.2	63.35	11545	EUR	
10/06/2011 00:00	63.3	63.4	62.11	62.18	7569	EUR	
13/06/2011 00:00	62.18	62.4	61.37	62	7146	EUR	
14/06/2011 00:00	61.5	62.59	60.9	61.62	21617	EUR	
15/06/2011 00:00	62.07	62.11	60.95	61.5	11435	EUR	
16/06/2011 00:00	61.5	61.57	60.72	60.83	14985	EUR	
17/06/2011 00:00	62	62	59.7	60.9	16705	EUR	
20/06/2011 00:00	61.1	64.51	61.07	62.92	34436	EUR	
21/06/2011 00:00	63.19	64.49	62.35	62.58	9975	EUR	
22/06/2011 00:00	62.68	63.42	62.6	63.02	7575	EUR	
23/06/2011 00:00	62.51	63.04	61.5	61.82	15526	EUR	
24/06/2011 00:00	62.28	62.48	60.5	61	14115	EUR	
27/06/2011 00:00	61.01	61.01	58.51	59.07	30012	EUR	
28/06/2011 00:00	59.11	59.7	57.9	58.92	16297	EUR	
29/06/2011 00:00	59	60.83	59	60.8	26426	EUR	
30/06/2011 00:00	61.1	64.33	61.05	63.52	34508	EUR	
01/07/2011 00:00	63.5	64.17	62.5	63.15	7034	EUR	
04/07/2011 00:00	63.3	65.48	63.3	64.68	10809	EUR	
05/07/2011 00:00	64.99	65.16	63.35	64.5	8099	EUR	
06/07/2011 00:00	64.27	64.27	63.51	63.76	2349	EUR	
07/07/2011 00:00	63.9	64.06	63	63.94	6335	EUR	
08/07/2011 00:00	64.05	64.05	62.77	62.77	5701	EUR	
11/07/2011 00:00	63.33	63.33	62.63	63.1	20403	EUR	
12/07/2011 00:00	63.71	63.71	59.94	62	18692	EUR	
13/07/2011 00:00	61.14	63.65	61.14	63.43	6422	EUR	
14/07/2011 00:00	63	63.57	62.6	63.57	9699	EUR	
15/07/2011 00:00	63.51	64.22	63.16	64.22	10136	EUR	
18/07/2011 00:00	63.99	64.25	62.1	62.32	9601	EUR	
19/07/2011 00:00	62.06	63.9	62.06	63.34	3541	EUR	
20/07/2011 00:00	63.64	64.09	62.95	63.98	7024	EUR	
21/07/2011 00:00	64.24	64.72	63.38	64.57	5211	EUR	
22/07/2011 00:00	64.73	65.5	64.59	65	5599	EUR	
25/07/2011 00:00	65	65.6	64.38	65.6	5496	EUR	
26/07/2011 00:00	65.1	68.99	65.1	68	18654	EUR	
27/07/2011 00:00	68.04	68.17	64.74	65.22	10367	EUR	
28/07/2011 00:00	64.75	64.75	62.83	63.39	13725	EUR	
29/07/2011 00:00	63	63.36	62	62.93	10538	EUR	
01/08/2011 00:00	63.6	64.84	62.39	62.39	7856	EUR	
02/08/2011 00:00	62.2	62.83	60.02	60.02	11645	EUR	
03/08/2011 00:00	59.99	59.99	55.56	56.26	29418	EUR	
04/08/2011 00:00	56.22	57.71	52.75	53.29	20396	EUR	
05/08/2011 00:00	51.3	56.77	48.53	52.08	28813	EUR	
08/08/2011 00:00	51.18	52	47.155	48	32373	EUR	
09/08/2011 00:00	48.1	50.78	46.55	50.74	30434	EUR	
10/08/2011 00:00	52	56	48.71	50.22	38105	EUR	
11/08/2011 00:00	51.61	52.54	49.15	51.85	20780	EUR	
12/08/2011 00:00	52.61	54.24	50.94	53.35	13183	EUR	
