date	ouv	haut	bas	clot	vol	devise	
20/06/2014 00:00	19.4	20.09	19.1	19.6	9071032	EUR	
23/06/2014 00:00	19.5	19.5	18.41	18.64	2330786	EUR	
24/06/2014 00:00	18.68	19.05	18.52	18.8	511019	EUR	
25/06/2014 00:00	18.8	18.8	18.25	18.31	596473	EUR	
26/06/2014 00:00	18.32	18.81	18.28	18.65	746540	EUR	
27/06/2014 00:00	18.68	18.88	18.54	18.65	87277	EUR	
30/06/2014 00:00	18.65	18.72	18.42	18.57	201411	EUR	
01/07/2014 00:00	18.68	18.97	18.61	18.89	199448	EUR	
02/07/2014 00:00	18.94	19	18.85	18.95	250815	EUR	
03/07/2014 00:00	18.97	18.99	18.8	18.99	90667	EUR	
04/07/2014 00:00	18.97	19.16	18.8	19.1	200568	EUR	
07/07/2014 00:00	19.06	19.13	18.85	19.08	89776	EUR	
08/07/2014 00:00	19.08	19.08	18.3	18.6	353391	EUR	
09/07/2014 00:00	18.5	18.84	18.11	18.3	208713	EUR	
10/07/2014 00:00	18.48	18.48	18	18.15	386904	EUR	
11/07/2014 00:00	18.36	18.4	18.13	18.3	52519	EUR	
14/07/2014 00:00	18.48	18.48	18	18.4	74723	EUR	
15/07/2014 00:00	18.4	18.5	18.04	18.5	128384	EUR	
16/07/2014 00:00	18.54	19	18.24	18.95	188506	EUR	
17/07/2014 00:00	18.95	18.95	18.7	18.95	268019	EUR	
18/07/2014 00:00	18.7	19.06	18.7	19.06	110877	EUR	
21/07/2014 00:00	19	19	18.45	18.66	26493	EUR	
22/07/2014 00:00	18.8	18.8	18.38	18.4	383639	EUR	
23/07/2014 00:00	18.75	18.75	18.21	18.21	64220	EUR	
24/07/2014 00:00	18.3	18.32	18.15	18.27	13707	EUR	
25/07/2014 00:00	18.19	18.24	18.15	18.21	14696	EUR	
28/07/2014 00:00	18.22	18.22	18.11	18.12	35961	EUR	
29/07/2014 00:00	18.15	18.37	18.14	18.28	294815	EUR	
30/07/2014 00:00	18.28	18.31	18.17	18.25	10440	EUR	
31/07/2014 00:00	18.3	18.37	18.11	18.37	69009	EUR	
01/08/2014 00:00	18.3	18.3	18.06	18.22	87061	EUR	
04/08/2014 00:00	18.29	18.37	18.06	18.14	64285	EUR	
05/08/2014 00:00	18.06	18.25	17.57	18	76717	EUR	
06/08/2014 00:00	18	18.09	17.11	17.32	352875	EUR	
07/08/2014 00:00	17.53	18.11	17.52	17.89	154072	EUR	
08/08/2014 00:00	17.93	18.32	17.81	18.15	641631	EUR	
11/08/2014 00:00	18.4	18.8	18.37	18.8	118629	EUR	
12/08/2014 00:00	18.83	19.22	18.76	19.2	241488	EUR	
13/08/2014 00:00	19.24	19.4	19.15	19.4	139800	EUR	
14/08/2014 00:00	19.38	19.5	19.2	19.23	70178	EUR	
15/08/2014 00:00	19.4	19.4	18.79	19.07	31451	EUR	
18/08/2014 00:00	19.14	19.29	18.96	19.25	35269	EUR	
19/08/2014 00:00	19.29	19.29	19.2	19.27	4822	EUR	
20/08/2014 00:00	19.27	19.28	19.1	19.25	38605	EUR	
21/08/2014 00:00	19.16	19.4	19.16	19.35	120975	EUR	
22/08/2014 00:00	19.35	19.66	19.35	19.6	133818	EUR	
25/08/2014 00:00	19.69	19.69	19.45	19.45	37779	EUR	
26/08/2014 00:00	19.51	19.67	19.46	19.67	39226	EUR	
27/08/2014 00:00	19.67	19.73	19.48	19.6	60119	EUR	
28/08/2014 00:00	19.5	19.6	19.45	19.45	97446	EUR	
29/08/2014 00:00	19.57	19.57	19.1	19.42	87868	EUR	
01/09/2014 00:00	19.58	19.6	19.42	19.6	75149	EUR	
02/09/2014 00:00	19.65	19.69	19.46	19.5	51839	EUR	
03/09/2014 00:00	19.6	19.89	19.5	19.89	101423	EUR	
04/09/2014 00:00	19.88	19.89	19.64	19.88	56161	EUR	
05/09/2014 00:00	19.7	19.9	19.67	19.79	36108	EUR	
08/09/2014 00:00	19.6	20.18	19.6	20.08	103269	EUR	
09/09/2014 00:00	20.02	20.19	19.54	19.54	159830	EUR	
10/09/2014 00:00	19.5	19.9	19.5	19.77	39070	EUR	
11/09/2014 00:00	19.75	19.84	19.55	19.55	61963	EUR	
12/09/2014 00:00	19.55	20	19.53	19.6	40198	EUR	
15/09/2014 00:00	19.98	20	19.52	19.86	50929	EUR	
16/09/2014 00:00	19.71	19.92	19.52	19.7	32466	EUR	
17/09/2014 00:00	19.64	19.75	19.35	19.56	65803	EUR	
18/09/2014 00:00	19.73	19.75	19.59	19.74	31611	EUR	
19/09/2014 00:00	19.75	19.83	19.6	19.78	67541	EUR	
22/09/2014 00:00	19.85	19.98	19.58	19.9	59330	EUR	
