date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	31.85	31.85	31.6	31.65	814	EUR	
11/11/2010 00:00	31.65	31.65	31.5	31.5	508	EUR	
12/11/2010 00:00	31.5	31.5	31.2	31.45	1908	EUR	
15/11/2010 00:00	31.45	31.5	31.23	31.5	614	EUR	
16/11/2010 00:00	31.5	31.5	30.7	30.99	1859	EUR	
17/11/2010 00:00	30.99	31.02	30.9	30.9	291	EUR	
18/11/2010 00:00	30.9	31.69	30.9	31.48	1038	EUR	
19/11/2010 00:00	31.48	32.19	31.47	32.19	583	EUR	
22/11/2010 00:00	32.19	32.5	31.8	32.18	8266	EUR	
23/11/2010 00:00	32.18	32.18	32	32	513	EUR	
24/11/2010 00:00	32	32.19	31.7	31.79	1453	EUR	
25/11/2010 00:00	31.79	31.95	31.5	31.73	1313	EUR	
26/11/2010 00:00	31.73	32	30.7	32	9841	EUR	
29/11/2010 00:00	32	32	31.55	31.99	929	EUR	
30/11/2010 00:00	31.91	32	31.79	31.9	6522	EUR	
01/12/2010 00:00	31.55	32.19	31.55	31.8	1713	EUR	
02/12/2010 00:00	31.6	32.09	31.6	31.8	210	EUR	
03/12/2010 00:00	31.8	32.4	31.8	32.4	1599	EUR	
06/12/2010 00:00	32.4	33	32.3	33	1314	EUR	
07/12/2010 00:00	32	32.69	32	32.2	3722	EUR	
08/12/2010 00:00	32.21	32.5	32.21	32.5	488	EUR	
09/12/2010 00:00	32.5	33.39	32.5	33.01	3343	EUR	
10/12/2010 00:00	33	33.49	32.75	33.4	1495	EUR	
13/12/2010 00:00	33.4	33.99	33.4	33.75	501	EUR	
14/12/2010 00:00	34.5	36.5	34.5	36.2	11428	EUR	
15/12/2010 00:00	36.94	37.5	36.6	37.5	7843	EUR	
16/12/2010 00:00	37.5	37.6	36.5	37.3	1320	EUR	
17/12/2010 00:00	37.3	38.1	37.3	38	2104	EUR	
20/12/2010 00:00	38.5	39.3	38.35	38.8	2373	EUR	
21/12/2010 00:00	38.75	38.89	38.55	38.55	1199	EUR	
22/12/2010 00:00	38.61	38.9	38.15	38.5	988	EUR	
23/12/2010 00:00	38.4	38.99	37.5	37.5	3167	EUR	
24/12/2010 00:00	38	38.15	37.51	37.52	651	EUR	
27/12/2010 00:00	37.52	39	37.52	38.5	374	EUR	
28/12/2010 00:00	38.8	38.85	38.52	38.7	1640	EUR	
29/12/2010 00:00	38.7	38.9	38.6	38.85	1097	EUR	
30/12/2010 00:00	38.85	38.95	38.8	38.85	1426	EUR	
31/12/2010 00:00	38.7	38.9	38.7	38.9	331	EUR	
03/01/2011 00:00	39.25	40.5	38.01	40.25	1979	EUR	
04/01/2011 00:00	40.24	40.38	40.24	40.38	505	EUR	
05/01/2011 00:00	40.45	40.98	39.5	40.41	1129	EUR	
06/01/2011 00:00	40.01	41.75	40.01	41.75	1242	EUR	
07/01/2011 00:00	41.49	42.78	41	42.11	1715	EUR	
10/01/2011 00:00	42.5	42.78	42	42	2692	EUR	
11/01/2011 00:00	42.2	42.2	40.81	41.54	11361	EUR	
