date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	51.99	51.99	50.11	50.11	11405	EUR	
11/11/2010 00:00	50.2	50.56	50	50	6107	EUR	
12/11/2010 00:00	49.88	50.73	48.69	50.59	20189	EUR	
15/11/2010 00:00	50.05	50.98	49.755	50.66	7267	EUR	
16/11/2010 00:00	49.75	50.17	48.51	48.51	22625	EUR	
17/11/2010 00:00	48.5	49.835	48.48	49.37	14875	EUR	
18/11/2010 00:00	49.35	52.24	49.35	51.93	16845	EUR	
19/11/2010 00:00	51.69	53.17	51.69	52.89	18729	EUR	
22/11/2010 00:00	53	54.5	53	53.45	12211	EUR	
23/11/2010 00:00	53	53.71	51.37	51.4	14166	EUR	
24/11/2010 00:00	50.9	51.44	49.59	50.75	18024	EUR	
25/11/2010 00:00	50.56	51.5	50.56	51.2	5530	EUR	
26/11/2010 00:00	51.23	51.35	50	50.57	14449	EUR	
29/11/2010 00:00	50.6	51.2	49.75	49.75	13318	EUR	
30/11/2010 00:00	49.8	49.965	48.015	48.7	15441	EUR	
01/12/2010 00:00	49.015	50.5	48.535	50.5	10639	EUR	
02/12/2010 00:00	50.75	52.31	50.75	52.25	11464	EUR	
03/12/2010 00:00	52.01	52.5	51.24	52.22	6491	EUR	
06/12/2010 00:00	52.22	52.55	51.67	52.55	8719	EUR	
07/12/2010 00:00	52.55	53.65	52.12	53.13	9929	EUR	
08/12/2010 00:00	53.13	53.74	52.88	53.38	12708	EUR	
09/12/2010 00:00	53	53.38	51.25	51.75	21122	EUR	
10/12/2010 00:00	51.5	51.84	51.26	51.84	7389	EUR	
13/12/2010 00:00	52	52.25	51.85	52	15460	EUR	
14/12/2010 00:00	52	52.24	52	52	7125	EUR	
15/12/2010 00:00	52	52.39	51.5	52.39	12376	EUR	
16/12/2010 00:00	52	52.35	51.5	51.71	4792	EUR	
17/12/2010 00:00	51.8	52.35	51.8	52.35	10278	EUR	
20/12/2010 00:00	52.63	53.21	52.11	52.6	17225	EUR	
21/12/2010 00:00	52.55	52.9	52.55	52.62	7663	EUR	
22/12/2010 00:00	52.62	53	52.61	52.98	6537	EUR	
23/12/2010 00:00	53	53.35	52.6	53	13372	EUR	
24/12/2010 00:00	52.9	52.9	52.5	52.55	1662	EUR	
27/12/2010 00:00	52.52	52.52	50.6	51.38	14296	EUR	
28/12/2010 00:00	51.5	51.51	50.44	50.79	18271	EUR	
29/12/2010 00:00	50.77	51.5	50.71	51.5	2235	EUR	
30/12/2010 00:00	51.6	51.6	50.6	51.31	2437	EUR	
31/12/2010 00:00	51.5	51.6	51.16	51.3	1712	EUR	
03/01/2011 00:00	51.75	52.75	51.3	52.5	7137	EUR	
04/01/2011 00:00	52.5	52.5	51.6	52.1	9433	EUR	
05/01/2011 00:00	51.75	52.37	51.4	52.37	12365	EUR	
06/01/2011 00:00	52.1	53.5	52.1	53	9291	EUR	
07/01/2011 00:00	53.01	54	52.71	53.4	15278	EUR	
10/01/2011 00:00	53.35	53.35	52.29	52.51	7584	EUR	
11/01/2011 00:00	52	53.47	50	53.4	79947	EUR	
12/01/2011 00:00	53.11	53.58	53.11	53.58	43846	EUR	
13/01/2011 00:00	53.4	53.58	52.66	53.3	16856	EUR	
14/01/2011 00:00	52.6	53.69	52.6	53.3	42333	EUR	
17/01/2011 00:00	53.6	54.69	53.5	54.14	67961	EUR	
18/01/2011 00:00	54.14	55.49	54.14	55.4	49624	EUR	
19/01/2011 00:00	55.4	55.45	54.79	54.95	17467	EUR	
20/01/2011 00:00	55.04	55.29	53.75	54.94	35889	EUR	
21/01/2011 00:00	54.55	55.6	54.5	54.96	24306	EUR	
24/01/2011 00:00	55	55.17	53.52	53.86	9105	EUR	
25/01/2011 00:00	53.7	54.45	53.51	53.51	8434	EUR	
26/01/2011 00:00	53.82	54.9	53.82	54.3	6499	EUR	
27/01/2011 00:00	54.5	55.17	54.25	54.68	9212	EUR	
28/01/2011 00:00	54.3	54.9	53.65	53.76	10071	EUR	
