date	ouv	haut	bas	clot	vol	devise	
17/11/2010 00:00	9.1	9.1	9.1	9.1	0	EUR	
30/11/2010 00:00	9.2	9.2	9.2	9.2	0	EUR	
03/12/2010 00:00	9.2	9.2	9.2	9.2	30	EUR	
07/12/2010 00:00	9.2	9.2	9.2	9.2	0	EUR	
10/12/2010 00:00	9.2	9.2	9.2	9.2	1993	EUR	
13/12/2010 00:00	9.2	9.2	9.2	9.2	0	EUR	
16/12/2010 00:00	9.2	9.2	9.2	9.2	0	EUR	
23/12/2010 00:00	9.2	9.2	9.2	9.2	0	EUR	
07/01/2011 00:00	9.2	9.2	9.2	9.2	60	EUR	
19/01/2011 00:00	16.04	16.04	16.04	16.04	0	EUR	
31/01/2011 00:00	16.15	16.15	16.15	16.15	0	EUR	
25/02/2011 00:00	15.6	15.6	15.6	15.6	6	EUR	
03/03/2011 00:00	15.6	15.6	15.6	15.6	0	EUR	
17/03/2011 00:00	15.59	15.59	15.59	15.59	0	EUR	
24/03/2011 00:00	10.22	10.22	10.22	10.22	0	EUR	
11/04/2011 00:00	9.2	9.2	9.2	9.2	0	EUR	
10/05/2011 00:00	9.2	9.2	9.2	9.2	0	EUR	
18/05/2011 00:00	9.1	9.1	9.1	9.1	0	EUR	
26/07/2011 00:00	16.06	16.06	16.06	16.06	100	EUR	
27/07/2011 00:00	14.01	14.01	14	14	1003	EUR	
28/07/2011 00:00	13.76	13.76	13.76	13.76	75	EUR	
29/07/2011 00:00	13.76	13.76	13.76	13.76	140	EUR	
01/08/2011 00:00	13.72	13.72	13.72	13.72	2158	EUR	
02/08/2011 00:00	13.72	13.72	13.72	13.72	63	EUR	
03/08/2011 00:00	13.72	13.72	13.72	13.72	5474	EUR	
04/08/2011 00:00	13.72	13.72	13.72	13.72	0	EUR	
11/08/2011 00:00	10.12	10.12	10.12	10.12	0	EUR	
19/08/2011 00:00	9.12	9.12	9.12	9.12	113	EUR	
08/09/2011 00:00	9.8	9.8	9.8	9.8	0	EUR	
12/09/2011 00:00	9.17	9.17	9.17	9.17	5	EUR	
13/09/2011 00:00	9.17	9.17	9.17	9.17	0	EUR	
20/09/2011 00:00	17	17	17	17	0	EUR	
26/09/2011 00:00	13.72	13.72	13.72	13.72	0	EUR	
28/09/2011 00:00	13.72	13.72	13.72	13.72	0	EUR	
11/10/2011 00:00	0.74	0.74	0.74	0.74	2507	EUR	
12/10/2011 00:00	0.74	0.74	0.74	0.74	0	EUR	
21/10/2011 00:00	0.65	0.65	0.65	0.65	24	EUR	
31/10/2011 00:00	0.8	0.8	0.8	0.8	0	EUR	
02/11/2011 00:00	0.8	0.8	0.8	0.8	0	EUR	
08/11/2011 00:00	0.8	0.8	0.8	0.8	1000	EUR	
09/11/2011 00:00	0.78	0.78	0.78	0.78	1	EUR	
10/11/2011 00:00	0.77	0.77	0.77	0.77	1	EUR	
