date	ouv	haut	bas	clot	vol	devise	
16/02/2015 00:00	11.502	13.788	12.693	12.912	297068	EUR	
17/02/2015 00:00	12.845	12.864	12.483	12.864	40145	EUR	
18/02/2015 00:00	12.883	12.883	12.559	12.693	22444	EUR	
19/02/2015 00:00	12.712	12.712	12.178	12.197	22249	EUR	
20/02/2015 00:00	12.054	12.111	11.34	12.054	28278	EUR	
23/02/2015 00:00	12.064	12.483	12.054	12.292	11638	EUR	
24/02/2015 00:00	12.388	12.531	12.321	12.502	4497	EUR	
25/02/2015 00:00	12.512	12.683	12.502	12.607	9548	EUR	
26/02/2015 00:00	12.607	12.674	12.607	12.626	5000	EUR	
27/02/2015 00:00	12.635	12.817	12.635	12.769	8338	EUR	
02/03/2015 00:00	12.845	12.921	12.817	12.893	5645	EUR	
03/03/2015 00:00	12.893	12.94	12.864	12.874	6337	EUR	
04/03/2015 00:00	12.893	13.15	12.893	13.083	6052	EUR	
05/03/2015 00:00	13.15	13.331	13.121	13.331	28784	EUR	
06/03/2015 00:00	13.322	13.436	13.207	13.379	9761	EUR	
09/03/2015 00:00	13.388	13.626	13.388	13.626	19099	EUR	
10/03/2015 00:00	13.674	13.712	13.56	13.56	7388	EUR	
11/03/2015 00:00	13.56	13.903	13.445	13.903	12194	EUR	
12/03/2015 00:00	13.903	13.912	13.722	13.836	4840	EUR	
13/03/2015 00:00	13.836	14.008	13.769	14.008	4243	EUR	
16/03/2015 00:00	14.008	14.055	13.827	13.827	2392	EUR	
17/03/2015 00:00	13.817	13.817	13.474	13.531	4508	EUR	
18/03/2015 00:00	13.788	13.96	13.75	13.75	30273	EUR	
19/03/2015 00:00	13.769	13.808	13.703	13.722	32069	EUR	
20/03/2015 00:00	13.712	13.712	13.426	13.426	6175	EUR	
23/03/2015 00:00	13.541	13.541	13.36	13.36	13431	EUR	
24/03/2015 00:00	13.398	13.398	13.341	13.35	6121	EUR	
25/03/2015 00:00	13.35	13.445	13.35	13.398	2596	EUR	
26/03/2015 00:00	13.398	13.398	12.959	13.064	9912	EUR	
27/03/2015 00:00	13.045	13.045	12.664	12.693	8730	EUR	
30/03/2015 00:00	12.693	12.693	12.292	12.454	3947	EUR	
31/03/2015 00:00	12.454	12.635	12.454	12.493	9879	EUR	
01/04/2015 00:00	12.493	12.493	12.464	12.493	4431	EUR	
02/04/2015 00:00	12.493	12.493	12.473	12.493	1783	EUR	
07/04/2015 00:00	12.502	12.531	12.493	12.502	943	EUR	
08/04/2015 00:00	12.502	12.512	12.493	12.502	1083	EUR	
09/04/2015 00:00	12.578	12.626	12.502	12.502	2027	EUR	
10/04/2015 00:00	12.512	12.817	12.502	12.578	1562	EUR	
13/04/2015 00:00	12.626	12.826	12.626	12.826	704	EUR	
14/04/2015 00:00	12.836	12.836	12.721	12.74	831	EUR	
15/04/2015 00:00	12.75	13.626	12.75	13.35	9718	EUR	
16/04/2015 00:00	13.36	13.36	13.341	13.35	751	EUR	
17/04/2015 00:00	13.579	13.626	13.293	13.341	3853	EUR	
20/04/2015 00:00	13.341	13.341	13.15	13.341	3184	EUR	
21/04/2015 00:00	13.341	13.341	13.245	13.341	1705	EUR	
22/04/2015 00:00	13.588	13.617	13.198	13.341	2571	EUR	
