date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	46.02	46.02	46.02	46.02	77	EUR	
11/11/2010 00:00	46.2	46.2	46.2	46.2	30	EUR	
12/11/2010 00:00	46.2	46.2	46.02	46.02	51	EUR	
15/11/2010 00:00	46.02	46.02	46.01	46.01	175	EUR	
16/11/2010 00:00	46.04	46.99	46.04	46.99	200	EUR	
17/11/2010 00:00	47	47	47	47	100	EUR	
18/11/2010 00:00	47	47	47	47	66	EUR	
19/11/2010 00:00	47	47	47	47	37	EUR	
22/11/2010 00:00	47	47	47	47	1111	EUR	
23/11/2010 00:00	47	47	47	47	5	EUR	
24/11/2010 00:00	46.99	46.99	46.98	46.98	10	EUR	
25/11/2010 00:00	46.98	46.98	46.98	46.98	1	EUR	
26/11/2010 00:00	46.97	46.97	45	45	200	EUR	
29/11/2010 00:00	46.99	46.99	46.99	46.99	50	EUR	
30/11/2010 00:00	46.82	46.82	46.75	46.75	65	EUR	
01/12/2010 00:00	46.75	46.75	45	45	30	EUR	
02/12/2010 00:00	46.8	46.8	46.8	46.8	75	EUR	
03/12/2010 00:00	47	47	47	47	5	EUR	
06/12/2010 00:00	47	47	47	47	125	EUR	
07/12/2010 00:00	47	47	47	47	5	EUR	
08/12/2010 00:00	47	47	47	47	765	EUR	
09/12/2010 00:00	45.56	47	45.56	47	170	EUR	
10/12/2010 00:00	47	47	47	47	292	EUR	
13/12/2010 00:00	47	47	47	47	2109	EUR	
14/12/2010 00:00	47	47	47	47	184	EUR	
15/12/2010 00:00	46.51	46.51	46.51	46.51	100	EUR	
16/12/2010 00:00	46.52	47	46.52	47	434	EUR	
17/12/2010 00:00	47	47	47	47	1180	EUR	
20/12/2010 00:00	47	47	46.5	46.5	447	EUR	
21/12/2010 00:00	46.5	47	46.5	47	359	EUR	
22/12/2010 00:00	47	47	47	47	2415	EUR	
23/12/2010 00:00	47	47	47	47	440	EUR	
24/12/2010 00:00	47	47	47	47	1418	EUR	
27/12/2010 00:00	47	47	47	47	2011	EUR	
28/12/2010 00:00	47	47	47	47	885	EUR	
29/12/2010 00:00	46.89	47	46.89	47	1035	EUR	
30/12/2010 00:00	47	47	47	47	175	EUR	
31/12/2010 00:00	47	47	47	47	889	EUR	
03/01/2011 00:00	47	47	47	47	221	EUR	
04/01/2011 00:00	47	47	47	47	1025	EUR	
05/01/2011 00:00	47	47	46.52	46.52	382	EUR	
06/01/2011 00:00	47	47	47	47	600	EUR	
07/01/2011 00:00	46.3	46.3	46.3	46.3	100	EUR	
10/01/2011 00:00	46.34	46.34	46.34	46.34	10	EUR	
11/01/2011 00:00	47	47	47	47	162	EUR	
12/01/2011 00:00	47	49.1	47	49.1	512	EUR	
13/01/2011 00:00	49	49	49	49	21	EUR	
14/01/2011 00:00	49	49	49	49	118	EUR	
17/01/2011 00:00	48.99	49	48.99	49	51	EUR	
18/01/2011 00:00	49	49	49	49	2182	EUR	
19/01/2011 00:00	49	49	49	49	820	EUR	
20/01/2011 00:00	49	49	49	49	349	EUR	
21/01/2011 00:00	49	49	49	49	266	EUR	
24/01/2011 00:00	49.35	49.35	49	49	922	EUR	
25/01/2011 00:00	49	49.02	49	49.02	118	EUR	
26/01/2011 00:00	49.3	49.35	49.3	49.35	490	EUR	
27/01/2011 00:00	49.35	49.35	49.35	49.35	232	EUR	
28/01/2011 00:00	49.35	49.35	49.35	49.35	261	EUR	
31/01/2011 00:00	49.34	49.34	49.02	49.02	259	EUR	
01/02/2011 00:00	49.01	49.33	49.01	49.33	329	EUR	
02/02/2011 00:00	49.33	49.33	49.33	49.33	1	EUR	
03/02/2011 00:00	49.33	49.33	49.33	49.33	85	EUR	
04/02/2011 00:00	49.33	49.33	49.33	49.33	5	EUR	
07/02/2011 00:00	49.34	49.7	49.34	49.7	92	EUR	
08/02/2011 00:00	49.71	49.8	49.71	49.8	114	EUR	
09/02/2011 00:00	49.81	50	49.81	50	30	EUR	
10/02/2011 00:00	49.9	49.9	49.9	49.9	1102	EUR	
11/02/2011 00:00	49.9	49.9	49.7	49.7	266	EUR	
14/02/2011 00:00	49.9	49.9	49.9	49.9	185	EUR	
15/02/2011 00:00	49.9	49.9	49.9	49.9	110	EUR	
16/02/2011 00:00	49.9	49.9	49.9	49.9	131	EUR	
17/02/2011 00:00	49.9	49.9	49.9	49.9	134	EUR	
18/02/2011 00:00	49.9	49.9	49.9	49.9	308	EUR	
21/02/2011 00:00	49.9	49.9	49.9	49.9	220	EUR	
22/02/2011 00:00	49.01	49.05	49.01	49.05	289	EUR	
23/02/2011 00:00	48.55	48.55	48.55	48.55	247	EUR	
24/02/2011 00:00	48.56	48.56	48.56	48.56	10	EUR	
25/02/2011 00:00	48.56	48.56	48.56	48.56	5	EUR	
28/02/2011 00:00	49.9	49.9	49.9	49.9	210	EUR	
01/03/2011 00:00	49.9	49.9	49.89	49.89	79	EUR	
02/03/2011 00:00	49	49	49	49	114	EUR	
03/03/2011 00:00	49.9	49.9	49.9	49.9	2	EUR	
04/03/2011 00:00	49.1	49.1	49.1	49.1	184	EUR	
07/03/2011 00:00	49.1	49.1	49.1	49.1	5	EUR	
08/03/2011 00:00	49.09	49.09	49.09	49.09	100	EUR	
09/03/2011 00:00	49.09	49.09	49.09	49.09	1	EUR	
10/03/2011 00:00	49.09	49.09	49.09	49.09	1	EUR	
11/03/2011 00:00	49.09	49.09	48.02	48.02	54	EUR	
14/03/2011 00:00	49.85	49.85	49.85	49.85	15	EUR	
15/03/2011 00:00	46.03	49.74	46.03	49.74	110	EUR	
16/03/2011 00:00	49.45	49.45	49.45	49.45	500	EUR	
17/03/2011 00:00	49.24	49.24	49.24	49.24	1	EUR	
18/03/2011 00:00	49.19	49.19	49.19	49.19	2	EUR	
21/03/2011 00:00	49.19	49.19	49.19	49.19	1	EUR	
22/03/2011 00:00	49.18	49.18	47.5	47.5	174	EUR	
23/03/2011 00:00	48.5	48.5	48	48	371	EUR	
24/03/2011 00:00	48	48	48	48	1	EUR	
25/03/2011 00:00	48	48	47.55	47.55	21	EUR	
28/03/2011 00:00	48	48	48	48	165	EUR	
29/03/2011 00:00	48	48	48	48	1	EUR	
