date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	0.92	0.92	0.92	0.92	300	EUR	
11/11/2010 00:00	0.91	0.91	0.91	0.91	0	EUR	
17/11/2010 00:00	0.9	0.9	0.9	0.9	0	EUR	
23/11/2010 00:00	0.91	0.91	0.91	0.91	0	EUR	
26/11/2010 00:00	0.95	0.95	0.95	0.95	1753	EUR	
30/11/2010 00:00	1	1	1	1	0	EUR	
06/12/2010 00:00	1.01	1.01	1.01	1.01	1617	EUR	
07/12/2010 00:00	1.01	1.01	1.01	1.01	0	EUR	
13/12/2010 00:00	1.03	1.03	1.03	1.03	500	EUR	
14/12/2010 00:00	1.05	1.05	1.05	1.05	1359	EUR	
15/12/2010 00:00	1.08	1.08	1.08	1.08	1341	EUR	
16/12/2010 00:00	1.08	1.08	1.08	1.08	88	EUR	
17/12/2010 00:00	1.16	1.16	1.16	1.16	1100	EUR	
20/12/2010 00:00	1.16	1.16	1.16	1.16	0	EUR	
22/12/2010 00:00	1.05	1.05	1.05	1.05	750	EUR	
23/12/2010 00:00	1.05	1.05	1.05	1.05	360	EUR	
24/12/2010 00:00	1.06	1.06	1.06	1.06	1400	EUR	
27/12/2010 00:00	1.07	1.07	1.07	1.07	521	EUR	
28/12/2010 00:00	1.28	1.28	1.28	1.28	100	EUR	
29/12/2010 00:00	1.15	1.15	1.15	1.15	0	EUR	
06/01/2011 00:00	1.05	1.05	1.05	1.05	0	EUR	
10/01/2011 00:00	1.15	1.15	1.15	1.15	0	EUR	
12/01/2011 00:00	1.05	1.05	1.05	1.05	870	EUR	
13/01/2011 00:00	1.23	1.23	1.23	1.23	3480	EUR	
14/01/2011 00:00	1.05	1.05	1.05	1.05	10000	EUR	
17/01/2011 00:00	1.05	1.05	1.05	1.05	0	EUR	
21/01/2011 00:00	1.05	1.05	1.05	1.05	300	EUR	
25/01/2011 00:00	1.08	1.08	1.08	1.08	0	EUR	
31/01/2011 00:00	1.08	1.08	1.08	1.08	0	EUR	
02/02/2011 00:00	1.08	1.08	1.08	1.08	0	EUR	
08/02/2011 00:00	1.18	1.18	1.18	1.18	0	EUR	
11/02/2011 00:00	1.06	1.06	1.06	1.06	200	EUR	
14/02/2011 00:00	1.22	1.22	1.22	1.22	0	EUR	
16/02/2011 00:00	1.22	1.22	1.22	1.22	3000	EUR	
17/02/2011 00:00	1.22	1.22	1.22	1.22	3888	EUR	
18/02/2011 00:00	1.26	1.26	1.26	1.26	1059	EUR	
21/02/2011 00:00	1.32	1.32	1.32	1.32	0	EUR	
23/02/2011 00:00	1.23	1.23	1.23	1.23	0	EUR	
25/02/2011 00:00	1.23	1.23	1.23	1.23	500	EUR	
28/02/2011 00:00	1.23	1.23	1.23	1.23	0	EUR	
03/03/2011 00:00	1.47	1.47	1.47	1.47	0	EUR	
09/03/2011 00:00	1.25	1.25	1.25	1.25	1000	EUR	
10/03/2011 00:00	1.25	1.25	1.25	1.25	15	EUR	
11/03/2011 00:00	1.25	1.25	1.25	1.25	3985	EUR	
14/03/2011 00:00	1.25	1.25	1.25	1.25	0	EUR	
16/03/2011 00:00	1.15	1.15	1.15	1.15	1	EUR	
17/03/2011 00:00	1.07	1.07	1.07	1.07	13600	EUR	
18/03/2011 00:00	1.12	1.12	1.12	1.12	3250	EUR	
21/03/2011 00:00	1.24	1.24	1.24	1.24	0	EUR	
23/03/2011 00:00	1.25	1.25	1.25	1.25	0	EUR	
28/03/2011 00:00	1.26	1.26	1.26	1.26	0	EUR	
30/03/2011 00:00	1.35	1.35	1.35	1.35	1	EUR	
31/03/2011 00:00	1.26	1.26	1.26	1.26	31	EUR	
01/04/2011 00:00	1.26	1.26	1.26	1.26	101	EUR	
04/04/2011 00:00	1.26	1.26	1.26	1.26	0	EUR	
06/04/2011 00:00	1.35	1.35	1.35	1.35	0	EUR	
08/04/2011 00:00	1.41	1.41	1.41	1.41	4021	EUR	
11/04/2011 00:00	1.2	1.2	1.2	1.2	0	EUR	
13/04/2011 00:00	1.35	1.35	1.35	1.35	1	EUR	
14/04/2011 00:00	1.45	1.45	1.45	1.45	8651	EUR	
15/04/2011 00:00	1.51	1.51	1.51	1.51	5787	EUR	
18/04/2011 00:00	1.55	1.55	1.55	1.55	10	EUR	
19/04/2011 00:00	1.55	1.55	1.55	1.55	0	EUR	
21/04/2011 00:00	1.55	1.55	1.55	1.55	1837	EUR	
26/04/2011 00:00	1.4	1.4	1.4	1.4	3207	EUR	
27/04/2011 00:00	1.45	1.45	1.45	1.45	1200	EUR	
28/04/2011 00:00	1.47	1.47	1.47	1.47	784	EUR	
29/04/2011 00:00	1.6	1.6	1.6	1.6	3350	EUR	
02/05/2011 00:00	1.59	1.59	1.59	1.59	7975	EUR	
03/05/2011 00:00	1.35	1.35	1.35	1.35	2297	EUR	
04/05/2011 00:00	1.59	1.59	1.59	1.59	5000	EUR	
05/05/2011 00:00	1.6	1.6	1.6	1.6	2000	EUR	
06/05/2011 00:00	1.28	1.28	1.28	1.28	2800	EUR	
09/05/2011 00:00	1.36	1.36	1.36	1.36	5201	EUR	
10/05/2011 00:00	1.32	1.32	1.32	1.32	3270	EUR	
11/05/2011 00:00	1.31	1.31	1.31	1.31	4270	EUR	
12/05/2011 00:00	1.57	1.57	1.57	1.57	3600	EUR	
13/05/2011 00:00	1.57	1.57	1.57	1.57	2500	EUR	
18/05/2011 00:00	1.45	1.45	1.45	1.45	0	EUR	
20/05/2011 00:00	1.41	1.41	1.41	1.41	1300	EUR	
23/05/2011 00:00	1.56	1.56	1.56	1.56	10	EUR	
24/05/2011 00:00	1.46	1.46	1.46	1.46	0	EUR	
30/05/2011 00:00	1.32	1.32	1.32	1.32	1000	EUR	
31/05/2011 00:00	1.53	1.53	1.53	1.53	200	EUR	
01/06/2011 00:00	1.53	1.53	1.53	1.53	0	EUR	
03/06/2011 00:00	1.52	1.52	1.52	1.52	60	EUR	
06/06/2011 00:00	1.48	1.48	1.48	1.48	1200	EUR	
07/06/2011 00:00	1.35	1.35	1.35	1.35	786	EUR	
08/06/2011 00:00	1.56	1.56	1.56	1.56	0	EUR	
10/06/2011 00:00	1.37	1.37	1.37	1.37	1000	EUR	
