date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	1.61	1.63	1.57	1.63	4268	EUR	
11/11/2010 00:00	1.62	1.62	1.57	1.59	1550	EUR	
12/11/2010 00:00	1.58	1.58	1.56	1.57	5905	EUR	
15/11/2010 00:00	1.56	1.62	1.55	1.6	6383	EUR	
16/11/2010 00:00	1.62	1.62	1.56	1.56	2404	EUR	
17/11/2010 00:00	1.56	1.58	1.56	1.56	644	EUR	
18/11/2010 00:00	1.58	1.64	1.55	1.55	12094	EUR	
19/11/2010 00:00	1.55	1.55	1.51	1.55	5323	EUR	
22/11/2010 00:00	1.55	1.59	1.54	1.59	2451	EUR	
23/11/2010 00:00	1.59	1.59	1.55	1.55	1287	EUR	
24/11/2010 00:00	1.54	1.55	1.54	1.54	1583	EUR	
25/11/2010 00:00	1.54	1.54	1.52	1.54	5703	EUR	
26/11/2010 00:00	1.55	1.55	1.5	1.51	9188	EUR	
29/11/2010 00:00	1.54	1.54	1.54	1.54	877	EUR	
30/11/2010 00:00	1.54	1.54	1.41	1.41	4797	EUR	
01/12/2010 00:00	1.41	1.45	1.38	1.41	6789	EUR	
02/12/2010 00:00	1.41	1.42	1.41	1.41	5825	EUR	
03/12/2010 00:00	1.41	1.41	1.4	1.4	12575	EUR	
06/12/2010 00:00	1.4	1.53	1.4	1.53	4107	EUR	
07/12/2010 00:00	1.52	1.52	1.48	1.48	2955	EUR	
08/12/2010 00:00	1.51	1.52	1.49	1.49	7550	EUR	
09/12/2010 00:00	1.49	1.49	1.48	1.49	2908	EUR	
10/12/2010 00:00	1.49	1.49	1.47	1.47	329	EUR	
13/12/2010 00:00	1.45	1.45	1.4	1.44	8741	EUR	
14/12/2010 00:00	1.4	1.54	1.39	1.45	20887	EUR	
15/12/2010 00:00	1.45	1.58	1.42	1.46	13854	EUR	
16/12/2010 00:00	1.45	1.46	1.45	1.46	5771	EUR	
17/12/2010 00:00	1.45	1.45	1.44	1.45	32038	EUR	
20/12/2010 00:00	1.44	1.44	1.43	1.44	10215	EUR	
21/12/2010 00:00	1.44	1.45	1.4	1.41	11470	EUR	
22/12/2010 00:00	1.41	1.45	1.4	1.44	3718	EUR	
23/12/2010 00:00	1.43	1.43	1.4	1.4	3463	EUR	
24/12/2010 00:00	1.41	1.41	1.39	1.4	2148	EUR	
27/12/2010 00:00	1.4	1.4	1.38	1.38	6578	EUR	
28/12/2010 00:00	1.38	1.38	1.37	1.37	679	EUR	
29/12/2010 00:00	1.37	1.39	1.37	1.39	1857	EUR	
30/12/2010 00:00	1.37	1.38	1.37	1.37	6524	EUR	
31/12/2010 00:00	1.4	1.47	1.4	1.46	12095	EUR	
03/01/2011 00:00	1.5	1.53	1.49	1.51	38083	EUR	
04/01/2011 00:00	1.52	1.62	1.52	1.6	31979	EUR	
05/01/2011 00:00	1.59	1.77	1.59	1.77	70077	EUR	
06/01/2011 00:00	1.79	1.9	1.75	1.82	68522	EUR	
07/01/2011 00:00	1.8	1.81	1.67	1.76	19473	EUR	
10/01/2011 00:00	1.79	1.79	1.66	1.71	10043	EUR	
11/01/2011 00:00	1.7	1.71	1.68	1.68	5657	EUR	
12/01/2011 00:00	1.68	1.68	1.67	1.68	5272	EUR	
13/01/2011 00:00	1.73	1.73	1.73	1.73	6500	EUR	
14/01/2011 00:00	1.74	1.75	1.74	1.75	1930	EUR	
17/01/2011 00:00	1.76	1.8	1.75	1.75	11026	EUR	
18/01/2011 00:00	1.79	1.79	1.74	1.74	5780	EUR	
19/01/2011 00:00	1.74	1.82	1.74	1.82	7940	EUR	
