date	ouv	haut	bas	clot	vol	devise	
15/04/2016 00:00	13.72	13.72	12.03	12.23	11214	EUR	
18/04/2016 00:00	12	12.25	10.55	12.11	5015	EUR	
19/04/2016 00:00	12.08	12.5	12	12.1	1804	EUR	
20/04/2016 00:00	12.46	12.46	11.5	12.05	1814	EUR	
21/04/2016 00:00	12.1	12.1	11.5	11.99	452	EUR	
22/04/2016 00:00	12	12	11.3	11.5	2059	EUR	
25/04/2016 00:00	11.1	11.3	10.7	10.8	7753	EUR	
26/04/2016 00:00	10.81	11.1	10.81	10.9	961	EUR	
27/04/2016 00:00	11.09	11.09	10.8	10.8	1082	EUR	
28/04/2016 00:00	10.8	10.81	10.02	10.59	998	EUR	
29/04/2016 00:00	10.49	11	10.11	10.64	8191	EUR	
02/05/2016 00:00	10.11	11	10.06	11	3200	EUR	
03/05/2016 00:00	11.2	11.58	10.21	10.6	2341	EUR	
04/05/2016 00:00	10.41	10.89	10.4	10.4	1109	EUR	
05/05/2016 00:00	10.51	10.8	10.49	10.5	5171	EUR	
06/05/2016 00:00	10.5	10.76	10.49	10.6	3517	EUR	
09/05/2016 00:00	10.6	10.6	10.49	10.5	7705	EUR	
10/05/2016 00:00	10.5	10.5	10.48	10.48	754	EUR	
11/05/2016 00:00	10.48	10.49	10.44	10.44	2384	EUR	
12/05/2016 00:00	10.44	10.44	10.31	10.31	10531	EUR	
13/05/2016 00:00	10.31	10.32	9.65	9.99	9907	EUR	
16/05/2016 00:00	9.95	9.98	9.92	9.95	2710	EUR	
17/05/2016 00:00	9.95	9.95	9.9	9.9	6890	EUR	
18/05/2016 00:00	9.9	9.9	9.84	9.84	2287	EUR	
19/05/2016 00:00	9.84	9.84	9.71	9.71	8061	EUR	
20/05/2016 00:00	9.71	9.71	9.48	9.48	6145	EUR	
23/05/2016 00:00	9.49	9.49	9.4	9.44	14947	EUR	
24/05/2016 00:00	9.45	9.48	9.44	9.46	2333	EUR	
25/05/2016 00:00	9.46	9.47	9.45	9.46	2108	EUR	
26/05/2016 00:00	9.46	9.49	9.46	9.49	1572	EUR	
27/05/2016 00:00	9.49	9.49	9.49	9.49	48	EUR	
30/05/2016 00:00	9.49	9.49	9.49	9.49	201	EUR	
31/05/2016 00:00	9.49	9.5	9.49	9.49	569	EUR	
01/06/2016 00:00	9.55	9.9	9.55	9.64	7788	EUR	
02/06/2016 00:00	9.64	9.65	9.63	9.63	744	EUR	
03/06/2016 00:00	9.75	10.3	9.75	9.78	11043	EUR	
06/06/2016 00:00	9.78	9.85	9.78	9.8	6542	EUR	
07/06/2016 00:00	9.81	9.91	9.74	9.91	10979	EUR	
08/06/2016 00:00	9.98	10.35	9.98	10.23	15708	EUR	
09/06/2016 00:00	10.23	10.23	10.18	10.18	3803	EUR	
10/06/2016 00:00	10.2	10.21	10.17	10.18	2314	EUR	
13/06/2016 00:00	10.2	10.2	9.9	9.9	8712	EUR	
14/06/2016 00:00	9.9	9.91	9.5	9.5	5386	EUR	
15/06/2016 00:00	9.51	9.51	9.41	9.41	5903	EUR	
16/06/2016 00:00	9.41	9.42	9.35	9.35	4708	EUR	
17/06/2016 00:00	9.35	9.35	9.34	9.34	865	EUR	
20/06/2016 00:00	9.34	9.35	9.28	9.29	5496	EUR	
21/06/2016 00:00	9.29	9.3	9.29	9.3	779	EUR	
22/06/2016 00:00	9.3	9.3	9.28	9.28	3664	EUR	
23/06/2016 00:00	9.28	9.29	9.13	9.13	6091	EUR	
24/06/2016 00:00	8.91	8.91	8.49	8.54	7279	EUR	
27/06/2016 00:00	8.68	8.68	8.57	8.65	2398	EUR	
28/06/2016 00:00	8.65	8.79	8.65	8.72	2166	EUR	
29/06/2016 00:00	8.72	8.83	8.71	8.8	1512	EUR	
30/06/2016 00:00	8.8	8.81	8.8	8.8	361	EUR	
01/07/2016 00:00	8.8	8.81	8.79	8.8	1161	EUR	
04/07/2016 00:00	8.85	8.85	8.71	8.71	1643	EUR	
05/07/2016 00:00	8.71	9.06	8.71	9	3165	EUR	
06/07/2016 00:00	9.05	9.05	9	9	478	EUR	
07/07/2016 00:00	9	9.01	9	9	330	EUR	
08/07/2016 00:00	9	9	9	9	297	EUR	
11/07/2016 00:00	9.03	9.03	8.97	9	498	EUR	
12/07/2016 00:00	9	9	8.98	8.98	259	EUR	
13/07/2016 00:00	8.98	8.99	8.96	8.98	329	EUR	
14/07/2016 00:00	8.98	9	8.96	8.96	465	EUR	
15/07/2016 00:00	8.96	8.96	8.8	8.8	937	EUR	
18/07/2016 00:00	8.8	9	8.79	8.8	2019	EUR	
19/07/2016 00:00	8.79	8.79	8.53	8.54	3710	EUR	
20/07/2016 00:00	8.54	8.54	8.53	8.53	2344	EUR	
21/07/2016 00:00	8.54	8.57	8.53	8.53	1901	EUR	
22/07/2016 00:00	8.53	8.53	8.52	8.53	185	EUR	
25/07/2016 00:00	8.53	8.53	8.41	8.41	11611	EUR	
26/07/2016 00:00	8.42	8.42	8.41	8.41	388	EUR	
27/07/2016 00:00	8.41	8.41	8.38	8.38	547	EUR	
28/07/2016 00:00	8.38	8.39	8.38	8.38	475	EUR	
