date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	7.397	7.408	7.16	7.234	1201075	EUR	
11/11/2010 00:00	7.204	7.229	6.966	6.992	1297056	EUR	
12/11/2010 00:00	6.901	7.07	6.801	7	928978	EUR	
15/11/2010 00:00	6.941	7.118	6.941	7.038	889071	EUR	
16/11/2010 00:00	6.98	6.998	6.823	6.823	857026	EUR	
17/11/2010 00:00	6.825	6.864	6.73	6.736	953131	EUR	
18/11/2010 00:00	6.8	6.9	6.779	6.838	951704	EUR	
19/11/2010 00:00	6.861	6.94	6.75	6.774	691675	EUR	
22/11/2010 00:00	6.811	6.86	6.652	6.717	752762	EUR	
23/11/2010 00:00	6.65	6.689	6.57	6.57	688377	EUR	
24/11/2010 00:00	6.572	6.591	6.448	6.471	1199211	EUR	
25/11/2010 00:00	6.456	6.52	6.456	6.513	874360	EUR	
26/11/2010 00:00	6.496	6.556	6.368	6.531	1164981	EUR	
29/11/2010 00:00	6.541	6.6	6.46	6.48	933228	EUR	
30/11/2010 00:00	6.48	6.62	6.467	6.594	1544235	EUR	
01/12/2010 00:00	6.63	6.682	6.55	6.636	885673	EUR	
02/12/2010 00:00	6.651	6.885	6.639	6.881	1223053	EUR	
03/12/2010 00:00	6.86	6.96	6.841	6.91	1094056	EUR	
06/12/2010 00:00	6.911	6.981	6.89	6.976	779456	EUR	
07/12/2010 00:00	6.98	7.069	6.955	6.985	754178	EUR	
08/12/2010 00:00	6.929	7	6.92	6.94	796025	EUR	
09/12/2010 00:00	6.973	7	6.92	6.964	749842	EUR	
10/12/2010 00:00	6.961	6.961	6.832	6.841	625549	EUR	
13/12/2010 00:00	6.831	6.925	6.83	6.876	602375	EUR	
14/12/2010 00:00	6.865	6.879	6.801	6.837	665747	EUR	
15/12/2010 00:00	6.826	6.839	6.751	6.783	889166	EUR	
16/12/2010 00:00	6.799	6.855	6.772	6.855	622805	EUR	
17/12/2010 00:00	6.87	6.95	6.822	6.944	1314962	EUR	
20/12/2010 00:00	6.92	6.99	6.88	6.957	669068	EUR	
21/12/2010 00:00	6.967	6.99	6.931	6.99	774085	EUR	
22/12/2010 00:00	6.96	6.99	6.915	6.99	644511	EUR	
23/12/2010 00:00	6.98	6.98	6.786	6.801	797382	EUR	
24/12/2010 00:00	6.799	6.843	6.721	6.779	180740	EUR	
27/12/2010 00:00	6.71	6.73	6.621	6.626	371737	EUR	
28/12/2010 00:00	6.605	6.65	6.552	6.58	732016	EUR	
29/12/2010 00:00	6.6	6.7	6.6	6.632	439684	EUR	
30/12/2010 00:00	6.61	6.63	6.565	6.61	551963	EUR	
31/12/2010 00:00	6.6	6.64	6.58	6.58	255281	EUR	
03/01/2011 00:00	6.606	6.706	6.59	6.695	373792	EUR	
04/01/2011 00:00	6.726	6.895	6.696	6.894	854466	EUR	
05/01/2011 00:00	6.88	6.891	6.77	6.817	444045	EUR	
06/01/2011 00:00	6.811	6.875	6.701	6.701	626201	EUR	
07/01/2011 00:00	6.714	6.72	6.61	6.61	818504	EUR	
10/01/2011 00:00	6.61	6.68	6.592	6.654	939880	EUR	
11/01/2011 00:00	6.673	6.725	6.615	6.693	521383	EUR	
12/01/2011 00:00	6.7	6.767	6.676	6.687	868276	EUR	
13/01/2011 00:00	6.687	6.711	6.61	6.61	1111801	EUR	
14/01/2011 00:00	6.615	6.654	6.56	6.6	892941	EUR	
17/01/2011 00:00	6.605	6.65	6.601	6.613	628918	EUR	
18/01/2011 00:00	6.817	7	6.683	6.786	3101192	EUR	
19/01/2011 00:00	7	7.336	6.968	7.123	4311515	EUR	
20/01/2011 00:00	7.159	7.185	6.882	7.091	2610709	EUR	
21/01/2011 00:00	7.1	7.14	6.981	7.041	1167988	EUR	
24/01/2011 00:00	7.05	7.06	6.94	6.98	607190	EUR	
25/01/2011 00:00	6.98	7.05	6.95	6.96	794979	EUR	
26/01/2011 00:00	6.99	7.24	6.97	7.131	1982160	EUR	
27/01/2011 00:00	7.156	7.219	7.13	7.158	1242125	EUR	
28/01/2011 00:00	7.165	7.2	7.1	7.1	2942674	EUR	
31/01/2011 00:00	7.059	7.15	6.922	7.092	1625433	EUR	
01/02/2011 00:00	7.091	7.178	7.075	7.124	1313832	EUR	
02/02/2011 00:00	7.13	7.165	7.093	7.16	756299	EUR	
03/02/2011 00:00	7.159	7.183	7.13	7.144	856621	EUR	
04/02/2011 00:00	7.16	7.175	7.079	7.1	640331	EUR	
07/02/2011 00:00	7.1	7.37	7.1	7.3	1725346	EUR	
08/02/2011 00:00	7.27	7.39	7.26	7.39	1004285	EUR	
09/02/2011 00:00	7.39	7.429	7.305	7.33	880862	EUR	
10/02/2011 00:00	7.325	7.34	7.141	7.272	1106316	EUR	
11/02/2011 00:00	7.326	7.49	7.301	7.361	2599632	EUR	
14/02/2011 00:00	7.424	7.425	7.34	7.373	1095993	EUR	
15/02/2011 00:00	7.36	7.38	7.334	7.38	946305	EUR	
16/02/2011 00:00	7.399	7.46	7.371	7.418	1647565	EUR	
17/02/2011 00:00	7.444	7.468	7.39	7.426	777486	EUR	
18/02/2011 00:00	7.435	7.435	7.372	7.43	879250	EUR	
21/02/2011 00:00	7.41	7.428	7.302	7.317	807495	EUR	
22/02/2011 00:00	7.25	7.291	7.05	7.2	1686048	EUR	
23/02/2011 00:00	7.189	7.25	7.12	7.206	853291	EUR	
24/02/2011 00:00	7.175	7.199	7.051	7.108	709940	EUR	
25/02/2011 00:00	7.14	7.344	7.135	7.329	985900	EUR	
28/02/2011 00:00	7.34	7.4	7.299	7.299	3576335	EUR	
01/03/2011 00:00	7.34	7.424	7.206	7.249	1334136	EUR	
02/03/2011 00:00	7.19	7.26	7.105	7.246	1371278	EUR	
03/03/2011 00:00	7.29	7.35	7.202	7.322	1534674	EUR	
04/03/2011 00:00	7.34	7.349	7.121	7.289	1976536	EUR	
07/03/2011 00:00	7.245	7.38	7.221	7.303	889100	EUR	
08/03/2011 00:00	7.302	7.344	7.28	7.33	1040908	EUR	
09/03/2011 00:00	7.359	7.36	7.24	7.273	1106304	EUR	
10/03/2011 00:00	7.25	7.29	7.14	7.17	1043147	EUR	
11/03/2011 00:00	7.106	7.195	7.063	7.104	1121358	EUR	
14/03/2011 00:00	7.055	7.087	6.81	6.905	1925741	EUR	
15/03/2011 00:00	6.75	6.807	6.6	6.773	1735641	EUR	
16/03/2011 00:00	6.78	6.87	6.68	6.7	1259623	EUR	
17/03/2011 00:00	6.702	6.862	6.702	6.784	1217991	EUR	
18/03/2011 00:00	6.834	6.99	6.804	6.88	1451264	EUR	
21/03/2011 00:00	6.965	7.06	6.905	7.06	956677	EUR	
22/03/2011 00:00	7.082	7.1	6.977	7.012	1145234	EUR	
23/03/2011 00:00	6.961	7.038	6.95	7.038	550682	EUR	
24/03/2011 00:00	7.041	7.15	7	7.15	1121527	EUR	
25/03/2011 00:00	7.151	7.16	7.11	7.149	534749	EUR	
28/03/2011 00:00	7.15	7.22	7.12	7.185	1438498	EUR	
29/03/2011 00:00	7.33	7.5	7.31	7.486	4125242	EUR	
30/03/2011 00:00	7.528	7.64	7.404	7.543	1767438	EUR	
31/03/2011 00:00	7.531	7.56	7.412	7.507	1670914	EUR	
01/04/2011 00:00	7.524	7.57	7.46	7.556	773080	EUR	
04/04/2011 00:00	7.543	7.599	7.5	7.599	980100	EUR	
05/04/2011 00:00	7.51	7.59	7.424	7.514	1606173	EUR	
06/04/2011 00:00	7.511	7.547	7.441	7.537	753324	EUR	
07/04/2011 00:00	7.525	7.531	7.262	7.288	1199313	EUR	
08/04/2011 00:00	7.337	7.414	7.281	7.317	925154	EUR	
11/04/2011 00:00	7.3	7.339	7.226	7.226	811460	EUR	
12/04/2011 00:00	7.195	7.2	7.064	7.068	1203835	EUR	
13/04/2011 00:00	7.086	7.18	7.071	7.15	1208437	EUR	
14/04/2011 00:00	7.14	7.175	7.071	7.088	1752788	EUR	
15/04/2011 00:00	7.091	7.226	7.09	7.21	1418429	EUR	
18/04/2011 00:00	7.27	7.41	7.08	7.165	1515347	EUR	
19/04/2011 00:00	7.184	7.219	7.115	7.144	616210	EUR	
20/04/2011 00:00	7.21	7.3	7.21	7.299	621953	EUR	
21/04/2011 00:00	7.319	7.348	7.17	7.221	879110	EUR	
26/04/2011 00:00	7.237	7.249	7.09	7.197	969855	EUR	
27/04/2011 00:00	7.21	7.24	7.15	7.161	856741	EUR	
28/04/2011 00:00	7.196	7.289	7.15	7.232	964364	EUR	
29/04/2011 00:00	7.236	7.336	7.211	7.335	668279	EUR	
02/05/2011 00:00	7.354	7.38	7.306	7.356	485764	EUR	
03/05/2011 00:00	7.313	7.368	7.263	7.334	789119	EUR	
04/05/2011 00:00	7.337	7.344	7.17	7.181	3915099	EUR	
05/05/2011 00:00	7.195	7.211	7.106	7.182	525821	EUR	
06/05/2011 00:00	7.16	7.232	7.12	7.21	524367	EUR	
09/05/2011 00:00	7.216	7.307	7.185	7.21	810137	EUR	
10/05/2011 00:00	7.226	7.27	7.151	7.175	533927	EUR	
11/05/2011 00:00	7.195	7.294	7.175	7.293	731742	EUR	
12/05/2011 00:00	7.25	7.37	7.19	7.275	1072316	EUR	
13/05/2011 00:00	7.311	7.41	7.28	7.4	1251814	EUR	
16/05/2011 00:00	7.342	7.503	7.245	7.49	1377915	EUR	
17/05/2011 00:00	7.444	7.495	7.35	7.358	732009	EUR	
18/05/2011 00:00	7.39	7.424	7.32	7.387	520618	EUR	
19/05/2011 00:00	7.42	7.54	7.374	7.537	1332922	EUR	
20/05/2011 00:00	7.54	7.545	7.422	7.434	599569	EUR	
23/05/2011 00:00	7.375	7.398	7.285	7.314	614237	EUR	
24/05/2011 00:00	7.321	7.381	7.28	7.311	778518	EUR	
25/05/2011 00:00	7.283	7.395	7.255	7.377	612425	EUR	
26/05/2011 00:00	7.39	7.44	7.3	7.318	521111	EUR	
27/05/2011 00:00	7.363	7.41	7.311	7.341	591436	EUR	
30/05/2011 00:00	7.325	7.445	7.321	7.437	269889	EUR	
31/05/2011 00:00	7.459	7.566	7.45	7.566	1684273	EUR	
01/06/2011 00:00	7.56	7.57	7.456	7.5	714848	EUR	
02/06/2011 00:00	7.427	7.427	7.369	7.392	331781	EUR	
03/06/2011 00:00	7.4	7.439	7.35	7.394	432029	EUR	
06/06/2011 00:00	7.375	7.469	7.32	7.455	699613	EUR	
