date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	22.968	23.015	22.742	22.742	18958	EUR	
11/11/2010 00:00	22.695	22.705	22.507	22.563	5014	EUR	
12/11/2010 00:00	22.507	22.507	22.375	22.375	5266	EUR	
15/11/2010 00:00	22.507	22.789	22.422	22.789	4813	EUR	
16/11/2010 00:00	22.601	22.611	22.413	22.413	4033	EUR	
17/11/2010 00:00	22.403	22.601	22.403	22.582	5061	EUR	
18/11/2010 00:00	22.582	22.582	22.432	22.432	4232	EUR	
19/11/2010 00:00	22.432	22.554	22.319	22.554	4176	EUR	
22/11/2010 00:00	22.582	22.582	22.413	22.413	6220	EUR	
23/11/2010 00:00	22.554	22.554	22.319	22.337	4781	EUR	
24/11/2010 00:00	22.337	22.366	22.045	22.262	7658	EUR	
25/11/2010 00:00	22.356	22.356	21.904	22.036	5086	EUR	
26/11/2010 00:00	22.215	22.215	21.895	21.895	9599	EUR	
29/11/2010 00:00	21.857	22.111	21.848	21.857	1434	EUR	
30/11/2010 00:00	21.848	22.008	20.718	21.565	7828	EUR	
01/12/2010 00:00	21.565	22.008	21	21.961	11285	EUR	
02/12/2010 00:00	22.13	22.545	21.33	22.545	6031	EUR	
03/12/2010 00:00	22.554	22.554	22.253	22.507	2150	EUR	
06/12/2010 00:00	22.507	22.507	22.14	22.272	5366	EUR	
07/12/2010 00:00	22.224	22.46	21.857	22.253	6223	EUR	
08/12/2010 00:00	22.224	22.224	21.471	21.848	7674	EUR	
09/12/2010 00:00	21.669	21.923	21.612	21.754	10945	EUR	
10/12/2010 00:00	21.659	21.848	21.612	21.754	5644	EUR	
13/12/2010 00:00	21.754	21.801	21.641	21.754	16548	EUR	
14/12/2010 00:00	21.669	21.848	21.659	21.754	16026	EUR	
15/12/2010 00:00	21.801	21.801	21.716	21.801	2077	EUR	
16/12/2010 00:00	21.819	21.848	21.669	21.848	7767	EUR	
17/12/2010 00:00	21.838	21.895	21.754	21.801	5846	EUR	
20/12/2010 00:00	21.659	22.036	21.641	21.716	16766	EUR	
21/12/2010 00:00	21.942	21.942	21.678	21.942	4552	EUR	
22/12/2010 00:00	21.932	22.469	21.754	22.319	42515	EUR	
23/12/2010 00:00	22.319	23.26	22.319	22.968	30923	EUR	
24/12/2010 00:00	23.072	23.072	22.658	23.072	5285	EUR	
27/12/2010 00:00	23.072	23.26	22.742	23.147	6752	EUR	
28/12/2010 00:00	23.147	23.402	22.912	23.402	12009	EUR	
29/12/2010 00:00	23.543	24.268	23.543	24.268	25271	EUR	
30/12/2010 00:00	24.202	24.202	23.223	23.806	6783	EUR	
31/12/2010 00:00	23.806	24.202	23.741	24.108	2182	EUR	
03/01/2011 00:00	24.155	24.39	24.042	24.353	11444	EUR	
04/01/2011 00:00	24.381	24.39	24.155	24.155	11848	EUR	
05/01/2011 00:00	24.108	24.249	24.108	24.202	6821	EUR	
06/01/2011 00:00	24.183	24.296	24.061	24.249	4739	EUR	
07/01/2011 00:00	24.334	24.381	24.014	24.014	5036	EUR	
10/01/2011 00:00	24.202	24.39	23.825	23.825	21552	EUR	
11/01/2011 00:00	23.759	23.92	23.449	23.825	7852	EUR	
12/01/2011 00:00	23.543	23.693	23.354	23.543	50072	EUR	
13/01/2011 00:00	23.543	23.543	22.601	23.354	17445	EUR	
14/01/2011 00:00	23.354	23.449	23.176	23.354	7052	EUR	
17/01/2011 00:00	23.449	23.449	23.223	23.364	2204	EUR	
18/01/2011 00:00	23.354	23.449	23.26	23.439	4920	EUR	
19/01/2011 00:00	23.43	23.439	23.26	23.26	23173	EUR	
20/01/2011 00:00	23.194	23.354	23.194	23.354	3502	EUR	
21/01/2011 00:00	23.354	23.402	23.194	23.354	6178	EUR	
24/01/2011 00:00	23.402	23.402	23.194	23.354	5808	EUR	
25/01/2011 00:00	23.402	23.439	23.26	23.364	6559	EUR	
26/01/2011 00:00	23.496	23.731	23.373	23.449	14492	EUR	
27/01/2011 00:00	23.307	23.354	23.27	23.298	12256	EUR	
28/01/2011 00:00	23.354	23.354	23.232	23.26	9381	EUR	
31/01/2011 00:00	23.43	23.43	23.213	23.307	8908	EUR	
01/02/2011 00:00	23.402	23.449	23.289	23.42	15308	EUR	
02/02/2011 00:00	24.485	24.786	23.825	23.882	39867	EUR	
03/02/2011 00:00	24.108	24.108	23.872	23.872	14309	EUR	
04/02/2011 00:00	24.108	24.108	23.872	23.882	6017	EUR	
07/02/2011 00:00	24.061	24.39	23.92	23.948	8302	EUR	
08/02/2011 00:00	23.92	24.268	23.92	23.995	5560	EUR	
09/02/2011 00:00	24.249	24.249	23.92	23.967	9013	EUR	
10/02/2011 00:00	24.061	24.061	23.92	23.938	8430	EUR	
11/02/2011 00:00	23.929	24.108	23.91	23.92	10919	EUR	
14/02/2011 00:00	23.882	24.108	23.872	23.901	10547	EUR	
15/02/2011 00:00	24.061	24.07	23.901	23.967	5840	EUR	
16/02/2011 00:00	23.872	24.061	23.872	23.92	8773	EUR	
17/02/2011 00:00	23.92	23.92	23.806	23.806	6086	EUR	
18/02/2011 00:00	23.882	23.882	23.646	23.646	3494	EUR	
21/02/2011 00:00	23.778	23.778	23.543	23.543	6139	EUR	
22/02/2011 00:00	23.543	23.543	23.072	23.289	16669	EUR	
23/02/2011 00:00	23.166	23.176	22.987	22.997	8072	EUR	
24/02/2011 00:00	22.997	23.015	22.837	22.865	8548	EUR	
25/02/2011 00:00	22.968	22.978	22.855	22.921	7052	EUR	
28/02/2011 00:00	23.524	23.543	23.053	23.11	14654	EUR	
01/03/2011 00:00	23.251	23.571	23.119	23.166	10088	EUR	
02/03/2011 00:00	23.072	23.402	23.034	23.044	16819	EUR	
03/03/2011 00:00	23.307	23.307	22.884	22.978	24637	EUR	
04/03/2011 00:00	23.157	23.317	22.987	23.223	9504	EUR	
