date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	0.93	0.952	0.93	0.936	112834	EUR	
11/11/2010 00:00	0.948	0.948	0.932	0.932	31717	EUR	
12/11/2010 00:00	0.932	0.932	0.913	0.913	30648	EUR	
15/11/2010 00:00	0.932	0.946	0.922	0.946	45922	EUR	
16/11/2010 00:00	0.944	0.946	0.932	0.946	75824	EUR	
17/11/2010 00:00	0.946	0.946	0.93	0.932	45504	EUR	
18/11/2010 00:00	0.92	0.94	0.917	0.932	75320	EUR	
19/11/2010 00:00	0.928	0.93	0.922	0.93	122406	EUR	
22/11/2010 00:00	0.924	0.932	0.922	0.922	38013	EUR	
23/11/2010 00:00	0.922	0.926	0.905	0.905	108484	EUR	
24/11/2010 00:00	0.909	0.922	0.903	0.903	25350	EUR	
25/11/2010 00:00	0.93	0.93	0.893	0.893	54249	EUR	
26/11/2010 00:00	0.93	0.93	0.879	0.913	113222	EUR	
29/11/2010 00:00	0.924	0.932	0.917	0.917	127296	EUR	
30/11/2010 00:00	0.917	0.922	0.913	0.913	44425	EUR	
01/12/2010 00:00	0.917	0.942	0.915	0.928	137025	EUR	
02/12/2010 00:00	0.924	0.932	0.915	0.93	220451	EUR	
03/12/2010 00:00	0.93	0.932	0.922	0.924	41113	EUR	
06/12/2010 00:00	0.924	0.924	0.919	0.919	263111	EUR	
07/12/2010 00:00	0.915	0.922	0.913	0.913	60813	EUR	
08/12/2010 00:00	0.915	0.932	0.913	0.919	14603	EUR	
09/12/2010 00:00	0.919	0.922	0.919	0.92	9341	EUR	
10/12/2010 00:00	0.936	0.936	0.92	0.92	18026	EUR	
13/12/2010 00:00	0.92	0.93	0.919	0.92	14326	EUR	
14/12/2010 00:00	0.93	0.93	0.913	0.913	18485	EUR	
15/12/2010 00:00	0.911	0.913	0.893	0.913	52142	EUR	
16/12/2010 00:00	0.913	0.913	0.903	0.913	30230	EUR	
17/12/2010 00:00	0.903	0.922	0.903	0.915	46734	EUR	
20/12/2010 00:00	0.928	0.936	0.917	0.922	190856	EUR	
21/12/2010 00:00	0.94	0.962	0.926	0.938	68626	EUR	
22/12/2010 00:00	0.944	0.944	0.93	0.93	76238	EUR	
23/12/2010 00:00	0.926	0.942	0.924	0.932	9431	EUR	
24/12/2010 00:00	0.942	0.942	0.922	0.922	17996	EUR	
27/12/2010 00:00	0.942	0.942	0.922	0.94	19674	EUR	
28/12/2010 00:00	0.94	0.954	0.94	0.946	84197	EUR	
