date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	15.8	15.88	15.8	15.88	332	EUR	
11/11/2010 00:00	15.88	15.89	15.88	15.89	185	EUR	
12/11/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
15/11/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
16/11/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
17/11/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
18/11/2010 00:00	15.89	15.89	15.89	15.89	63	EUR	
19/11/2010 00:00	15.89	15.9	15.89	15.9	101	EUR	
22/11/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
23/11/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
24/11/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
25/11/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
26/11/2010 00:00	15.89	15.9	15.89	15.9	91	EUR	
29/11/2010 00:00	15.9	15.9	15.9	15.9	201	EUR	
30/11/2010 00:00	15.9	15.9	15.88	15.88	47	EUR	
01/12/2010 00:00	15.9	15.9	15.9	15.9	51	EUR	
02/12/2010 00:00	15.9	15.9	15.9	15.9	6	EUR	
03/12/2010 00:00	15.9	15.9	15.9	15.9	251	EUR	
06/12/2010 00:00	15.9	15.9	15.9	15.9	1	EUR	
07/12/2010 00:00	15.9	15.9	15.9	15.9	21	EUR	
08/12/2010 00:00	15.9	15.9	15.9	15.9	1	EUR	
09/12/2010 00:00	15.9	15.9	15.88	15.88	16	EUR	
10/12/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
13/12/2010 00:00	15.89	15.89	15.89	15.89	1	EUR	
14/12/2010 00:00	15.89	15.89	15.88	15.88	21	EUR	
15/12/2010 00:00	15.88	15.88	15.88	15.88	1723	EUR	
16/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
17/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
20/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
21/12/2010 00:00	15.88	15.88	15.88	15.88	56	EUR	
22/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
23/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
24/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
27/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
28/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
29/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
30/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
31/12/2010 00:00	15.88	15.88	15.88	15.88	1	EUR	
03/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
04/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
05/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
06/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
07/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
10/01/2011 00:00	15.89	15.89	15.89	15.89	127	EUR	
11/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
12/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
13/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
14/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
17/01/2011 00:00	15.89	15.89	15.89	15.89	1	EUR	
18/01/2011 00:00	15.89	15.89	15.89	15.89	63	EUR	
19/01/2011 00:00	15.89	15.91	15.89	15.91	125	EUR	
20/01/2011 00:00	15.9	15.91	15.9	15.91	260	EUR	
21/01/2011 00:00	15.91	15.91	15.91	15.91	1	EUR	
24/01/2011 00:00	15.91	15.95	15.91	15.95	126	EUR	
25/01/2011 00:00	15.95	15.96	15.95	15.96	63	EUR	
26/01/2011 00:00	15.96	15.96	15.96	15.96	1	EUR	
27/01/2011 00:00	15.97	16.05	15.97	16.05	177	EUR	
28/01/2011 00:00	16.05	16.05	16.05	16.05	1	EUR	
31/01/2011 00:00	16.05	16.05	16.05	16.05	1	EUR	
