date	ouv	haut	bas	clot	vol	devise	
09/12/2015 00:00	6.88	6.88	6.88	6.88	0	EUR	
11/12/2015 00:00	5.5	5.5	5.5	5.5	1364	EUR	
14/12/2015 00:00	5.5	5.5	5	5	659	EUR	
15/12/2015 00:00	4.05	4.05	4.05	4.05	500	EUR	
16/12/2015 00:00	4.05	4.05	3.75	3.75	411	EUR	
17/12/2015 00:00	3.75	3.75	3.6	3.6	196	EUR	
18/12/2015 00:00	3.6	3.6	3.6	3.6	15	EUR	
21/12/2015 00:00	3.6	3.8	3.6	3.8	431	EUR	
22/12/2015 00:00	3.6	3.6	3.6	3.6	500	EUR	
23/12/2015 00:00	3.49	3.5	3.49	3.5	101	EUR	
24/12/2015 00:00	3.42	3.42	3.42	3.42	956	EUR	
28/12/2015 00:00	3.43	3.43	3.4	3.4	151	EUR	
29/12/2015 00:00	3.3	3.5	3.3	3.5	9887	EUR	
30/12/2015 00:00	3.49	3.5	3.49	3.5	198	EUR	
31/12/2015 00:00	3.6	3.6	3.6	3.6	120	EUR	
04/01/2016 00:00	3.57	3.57	3.57	3.57	1	EUR	
05/01/2016 00:00	3.56	3.56	3.56	3.56	6	EUR	
06/01/2016 00:00	3.54	3.54	3.54	3.54	1	EUR	
07/01/2016 00:00	3.53	3.54	3.53	3.54	11	EUR	
08/01/2016 00:00	3.53	3.53	3.53	3.53	1	EUR	
11/01/2016 00:00	3.52	3.52	3.52	3.52	1	EUR	
12/01/2016 00:00	3.52	3.52	3.52	3.52	1	EUR	
13/01/2016 00:00	3.52	3.52	3.52	3.52	676	EUR	
14/01/2016 00:00	3.52	3.52	3.52	3.52	1	EUR	
15/01/2016 00:00	3.53	3.53	3.4	3.4	151	EUR	
18/01/2016 00:00	3.2	3.2	3.2	3.2	235	EUR	
19/01/2016 00:00	3.2	3.2	3.2	3.2	1	EUR	
20/01/2016 00:00	3.2	3.2	3.2	3.2	1	EUR	
21/01/2016 00:00	3.2	3.35	3.2	3.35	11	EUR	
22/01/2016 00:00	3.34	3.34	3.34	3.34	1	EUR	
25/01/2016 00:00	3.35	3.35	3.35	3.35	31	EUR	
26/01/2016 00:00	3.34	3.34	3.34	3.34	1	EUR	
27/01/2016 00:00	3.34	3.34	3.34	3.34	1	EUR	
28/01/2016 00:00	3.34	3.34	3.34	3.34	1	EUR	
29/01/2016 00:00	3.16	3.3	3.16	3.3	3713	EUR	
01/02/2016 00:00	3.21	3.21	3.1	3.1	664	EUR	
02/02/2016 00:00	3.12	3.12	3.12	3.12	1	EUR	
03/02/2016 00:00	3.12	3.12	3.12	3.12	1	EUR	
04/02/2016 00:00	3.12	3.12	3.12	3.12	1	EUR	
05/02/2016 00:00	3.12	3.12	3.12	3.12	1	EUR	
08/02/2016 00:00	3	3	3	3	1001	EUR	
09/02/2016 00:00	3	3	3	3	60	EUR	
10/02/2016 00:00	3	3	3	3	11	EUR	
11/02/2016 00:00	3	3	3	3	11	EUR	
12/02/2016 00:00	3	3	3	3	6	EUR	
15/02/2016 00:00	2.8	2.8	2.8	2.8	4	EUR	
16/02/2016 00:00	2.81	2.95	2.81	2.95	11	EUR	
17/02/2016 00:00	2.94	2.95	2.94	2.95	11	EUR	
18/02/2016 00:00	2.95	2.95	2.95	2.95	11	EUR	
19/02/2016 00:00	2.94	2.94	2.94	2.94	1	EUR	
22/02/2016 00:00	2.94	2.94	2.8	2.8	201	EUR	
23/02/2016 00:00	2.95	2.95	2.95	2.95	2001	EUR	
24/02/2016 00:00	2.94	2.94	2.94	2.94	1	EUR	
25/02/2016 00:00	2.8	2.8	2.8	2.8	848	EUR	
26/02/2016 00:00	2.9	2.9	2.9	2.9	76	EUR	
29/02/2016 00:00	2.9	2.9	2.9	2.9	301	EUR	
01/03/2016 00:00	2.89	2.89	2.89	2.89	1	EUR	
02/03/2016 00:00	2.89	2.89	2.89	2.89	1	EUR	
03/03/2016 00:00	2.89	2.89	2.89	2.89	1	EUR	
04/03/2016 00:00	2.89	2.89	2.89	2.89	1	EUR	
07/03/2016 00:00	2.8	2.8	2.8	2.8	317	EUR	
08/03/2016 00:00	2.8	2.8	2.8	2.8	11	EUR	
09/03/2016 00:00	2.8	2.8	2.75	2.75	6	EUR	
