date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	8.84	9	8.65	8.65	11544	EUR	
11/11/2010 00:00	8.66	8.79	8.65	8.79	5306	EUR	
12/11/2010 00:00	8.68	8.86	8.67	8.81	5005	EUR	
15/11/2010 00:00	8.7	9.06	8.7	9.05	20485	EUR	
16/11/2010 00:00	8.9	9.07	8.9	9	28124	EUR	
17/11/2010 00:00	8.95	9.32	8.95	9.2	35329	EUR	
18/11/2010 00:00	9.31	9.47	9.26	9.41	22434	EUR	
19/11/2010 00:00	9.4	9.56	9.4	9.48	20663	EUR	
22/11/2010 00:00	9.49	9.49	9.2	9.39	20654	EUR	
23/11/2010 00:00	9.33	9.41	9.26	9.31	16951	EUR	
24/11/2010 00:00	9.31	9.35	9.3	9.3	11050	EUR	
25/11/2010 00:00	9.31	9.4	9.31	9.4	5124	EUR	
26/11/2010 00:00	9.25	9.4	9.25	9.38	6374	EUR	
29/11/2010 00:00	9.22	9.41	9	9.3	11511	EUR	
30/11/2010 00:00	9.31	9.38	9.09	9.25	55814	EUR	
01/12/2010 00:00	9.22	9.36	9.21	9.34	13388	EUR	
02/12/2010 00:00	9.04	9.5	9.04	9.5	16174	EUR	
03/12/2010 00:00	9.56	10.1	9.39	9.8	54361	EUR	
06/12/2010 00:00	9.99	10.15	9.65	9.82	31087	EUR	
07/12/2010 00:00	9.82	10.45	9.82	10.31	38989	EUR	
08/12/2010 00:00	10.2	11.5	10.2	11.2	130111	EUR	
09/12/2010 00:00	11.5	11.67	11.04	11.4	118240	EUR	
10/12/2010 00:00	11.08	11.18	10.62	10.77	69486	EUR	
13/12/2010 00:00	10.55	10.78	10.19	10.5	43628	EUR	
14/12/2010 00:00	10.5	11.2	10.35	10.69	25230	EUR	
15/12/2010 00:00	10.62	10.9	10.25	10.84	35926	EUR	
16/12/2010 00:00	11.1	11.1	10.74	10.95	22712	EUR	
17/12/2010 00:00	10.95	11.08	10.7	11	30959	EUR	
20/12/2010 00:00	10.7	11.04	10.7	11	27289	EUR	
21/12/2010 00:00	10.9	11.03	10.9	10.9	12296	EUR	
22/12/2010 00:00	10.9	11	10.59	10.8	31588	EUR	
23/12/2010 00:00	10.78	11.07	10.78	10.95	65910	EUR	
24/12/2010 00:00	11.08	11.08	10.95	10.95	6188	EUR	
27/12/2010 00:00	11	11.24	10.89	11.11	34641	EUR	
28/12/2010 00:00	11	11.23	10.92	11.2	30987	EUR	
29/12/2010 00:00	11.02	11.9	11.02	11.9	75570	EUR	
30/12/2010 00:00	11.74	11.8	11.4	11.6	31665	EUR	
31/12/2010 00:00	11.46	11.6	11.46	11.59	6059	EUR	
03/01/2011 00:00	11.59	11.6	11.4	11.48	14568	EUR	
04/01/2011 00:00	11.51	11.6	11.49	11.59	16378	EUR	
05/01/2011 00:00	11.59	11.59	11.2	11.56	23883	EUR	
06/01/2011 00:00	11.32	11.59	11.32	11.5	29304	EUR	
07/01/2011 00:00	11.49	11.5	11.11	11.2	36674	EUR	
10/01/2011 00:00	11.09	11.35	10.7	10.96	44240	EUR	
11/01/2011 00:00	10.85	11.09	10.69	10.92	11423	EUR	
12/01/2011 00:00	11.04	11.33	10.86	11.25	27330	EUR	
13/01/2011 00:00	11.18	11.36	11.16	11.36	12828	EUR	
14/01/2011 00:00	11.36	11.36	11.11	11.25	6266	EUR	
17/01/2011 00:00	11.15	11.38	11.15	11.22	9846	EUR	
18/01/2011 00:00	11.22	11.6	11.22	11.55	28780	EUR	
19/01/2011 00:00	11.49	11.49	11.15	11.24	31682	EUR	
20/01/2011 00:00	11.22	11.48	11.15	11.48	6438	EUR	
21/01/2011 00:00	11.4	11.4	11.01	11.18	18947	EUR	
24/01/2011 00:00	11.03	11.31	10.98	11.31	40218	EUR	
25/01/2011 00:00	11.32	11.38	11.05	11.11	20924	EUR	
26/01/2011 00:00	11.36	11.36	11.21	11.3	6781	EUR	
27/01/2011 00:00	11.32	11.49	11.07	11.25	28804	EUR	
28/01/2011 00:00	11.49	11.49	11.16	11.25	43987	EUR	
31/01/2011 00:00	11.05	11.55	10.97	11.43	36921	EUR	
01/02/2011 00:00	11.6	12.56	11.49	12.55	134248	EUR	
02/02/2011 00:00	12.55	12.84	12.31	12.38	85051	EUR	
03/02/2011 00:00	12.75	12.84	12.05	12.4	155582	EUR	
04/02/2011 00:00	12.37	13.05	12.37	13	56019	EUR	
07/02/2011 00:00	13.6	14.15	13.57	13.9	196374	EUR	
08/02/2011 00:00	14	14.2	13.32	13.55	98337	EUR	
09/02/2011 00:00	13.48	13.8	13.45	13.49	35178	EUR	
10/02/2011 00:00	13.5	14.62	13.32	14.39	70229	EUR	
11/02/2011 00:00	14.59	14.95	14.37	14.37	79552	EUR	
14/02/2011 00:00	14.35	15	14.3	14.64	76045	EUR	
15/02/2011 00:00	14.86	14.99	14.32	14.59	47794	EUR	
16/02/2011 00:00	14.98	15.55	14.5	14.93	158733	EUR	
17/02/2011 00:00	14.99	14.99	14.53	14.61	38009	EUR	
18/02/2011 00:00	14.56	14.68	14.16	14.34	56861	EUR	
21/02/2011 00:00	14.5	14.61	14.31	14.4	35651	EUR	
22/02/2011 00:00	14.15	14.19	13.57	13.95	69180	EUR	
23/02/2011 00:00	13.94	14.3	13.88	14.15	34932	EUR	
24/02/2011 00:00	14.11	14.16	13.88	13.97	26134	EUR	
25/02/2011 00:00	14.01	14.37	13.98	14.3	39337	EUR	
28/02/2011 00:00	14.23	15.5	13.85	15	84741	EUR	
01/03/2011 00:00	15	15.19	14.77	14.98	43313	EUR	
02/03/2011 00:00	14.95	14.95	14.01	14.69	38182	EUR	
03/03/2011 00:00	14.96	14.96	14.46	14.46	16796	EUR	
04/03/2011 00:00	14.6	14.79	14.11	14.27	42037	EUR	
