date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	46	46.3	45.74	46.25	397	EUR	
11/11/2010 00:00	46.25	46.25	45.86	45.86	136	EUR	
12/11/2010 00:00	45.86	46.5	45.81	45.81	254	EUR	
15/11/2010 00:00	45.6	45.7	45.6	45.7	90	EUR	
16/11/2010 00:00	45.7	45.9	45.5	45.9	417	EUR	
17/11/2010 00:00	45.5	45.7	45.5	45.7	275	EUR	
18/11/2010 00:00	45.69	45.69	45.52	45.65	32	EUR	
19/11/2010 00:00	45.7	45.95	45.66	45.95	649	EUR	
22/11/2010 00:00	45.71	45.71	44.96	44.96	2637	EUR	
23/11/2010 00:00	44.51	44.51	43.8	43.8	900	EUR	
24/11/2010 00:00	44	44	43.1	43.1	858	EUR	
25/11/2010 00:00	43.12	43.12	41.8	42.3	1313	EUR	
26/11/2010 00:00	42.31	42.7	41	41	880	EUR	
29/11/2010 00:00	41	41.01	40.8	40.9	1580	EUR	
30/11/2010 00:00	41.2	41.2	40.7	40.7	911	EUR	
01/12/2010 00:00	40.6	41.44	40.6	41.44	339	EUR	
02/12/2010 00:00	41.55	41.78	41.2	41.2	579	EUR	
03/12/2010 00:00	41.54	41.54	41.2	41.2	300	EUR	
06/12/2010 00:00	40.66	40.66	40.6	40.61	218	EUR	
07/12/2010 00:00	40.6	41.4	40.55	41	1607	EUR	
08/12/2010 00:00	41.05	41.05	40.71	40.76	164	EUR	
09/12/2010 00:00	40.8	43.79	40.8	42.49	2240	EUR	
10/12/2010 00:00	42.9	43.5	42.9	43.01	600	EUR	
13/12/2010 00:00	42.49	43.75	42.48	42.48	2256	EUR	
14/12/2010 00:00	42.48	42.5	42.13	42.13	262	EUR	
15/12/2010 00:00	42.12	42.12	42.1	42.1	499	EUR	
16/12/2010 00:00	42.1	42.5	42	42	1191	EUR	
17/12/2010 00:00	42	42.49	42	42.48	718	EUR	
20/12/2010 00:00	42	43.3	42	43	1103	EUR	
21/12/2010 00:00	43	43	42.99	42.99	108	EUR	
22/12/2010 00:00	42.95	42.99	41.65	42.55	842	EUR	
23/12/2010 00:00	42.25	42.25	41.65	41.65	426	EUR	
24/12/2010 00:00	41.7	41.95	41.08	41.95	531	EUR	
27/12/2010 00:00	41.95	42	41.7	42	12	EUR	
28/12/2010 00:00	42.01	42.01	41.1	41.11	1136	EUR	
29/12/2010 00:00	41.1	41.3	41.06	41.06	2657	EUR	
30/12/2010 00:00	41.06	41.4	40.8	40.96	695	EUR	
31/12/2010 00:00	40.9	41.2	40.9	41.2	96	EUR	
03/01/2011 00:00	41.15	41.5	41.01	41.5	225	EUR	
04/01/2011 00:00	41.5	42.3	41.07	42	2565	EUR	
05/01/2011 00:00	42	42.2	42	42.19	386	EUR	
06/01/2011 00:00	42.18	42.2	42	42	245	EUR	
07/01/2011 00:00	42.19	42.19	42.19	42.19	95	EUR	
10/01/2011 00:00	42.79	42.98	42.55	42.98	178	EUR	
11/01/2011 00:00	42.5	42.51	42.5	42.51	137	EUR	
12/01/2011 00:00	42.5	42.6	42.5	42.51	132	EUR	
13/01/2011 00:00	42.51	43.14	42.51	43	827	EUR	
14/01/2011 00:00	43.19	43.2	43.1	43.1	401	EUR	
17/01/2011 00:00	42.86	42.91	42.77	42.8	515	EUR	
18/01/2011 00:00	42.91	43.09	42.61	43.09	311	EUR	
19/01/2011 00:00	42.9	43.39	42.6	42.76	316	EUR	
20/01/2011 00:00	42.77	43.57	42.77	43.57	234	EUR	
21/01/2011 00:00	43.78	43.78	42.71	43.69	538	EUR	
24/01/2011 00:00	43.69	43.69	43.25	43.65	364	EUR	
25/01/2011 00:00	43.26	43.4	43	43	453	EUR	
26/01/2011 00:00	43.64	43.64	42.84	42.84	184	EUR	
27/01/2011 00:00	43	43	42.66	42.66	117	EUR	
28/01/2011 00:00	43	43	42.8	42.8	1027	EUR	
31/01/2011 00:00	42.8	42.8	42.8	42.8	275	EUR	
01/02/2011 00:00	42.8	42.9	42.8	42.8	158	EUR	
02/02/2011 00:00	42.9	42.9	42.81	42.81	163	EUR	
03/02/2011 00:00	42.85	43.2	42.8	42.8	648	EUR	
04/02/2011 00:00	42.8	42.9	42.8	42.8	647	EUR	
07/02/2011 00:00	42.7	42.96	42.7	42.95	732	EUR	
08/02/2011 00:00	43	43.4	43	43.2	154	EUR	
09/02/2011 00:00	43	43.25	43	43.2	365	EUR	
10/02/2011 00:00	43.5	45.25	43.5	44.5	4407	EUR	
11/02/2011 00:00	44.84	44.9	43.85	43.85	1119	EUR	
14/02/2011 00:00	43.78	44.01	43.78	43.88	650	EUR	
15/02/2011 00:00	44.47	44.5	44	44.47	757	EUR	
16/02/2011 00:00	44.15	44.48	44	44	2728	EUR	
17/02/2011 00:00	44.11	44.54	43.9	44	2844	EUR	
18/02/2011 00:00	44.48	44.48	43.92	44.14	183	EUR	
21/02/2011 00:00	44	44	43.92	44	665	EUR	
22/02/2011 00:00	43.92	43.92	43.9	43.9	650	EUR	
23/02/2011 00:00	43.77	44.25	43.7	44.25	1182	EUR	
24/02/2011 00:00	44	44.25	44	44.25	785	EUR	
25/02/2011 00:00	44.25	44.8	44.25	44.75	5100	EUR	
28/02/2011 00:00	45	45.15	44.75	45.15	1268	EUR	
01/03/2011 00:00	45.18	46.35	45.17	46.29	1325	EUR	
02/03/2011 00:00	46.32	46.7	46.32	46.64	1242	EUR	
03/03/2011 00:00	46.94	46.94	45.61	45.9	1580	EUR	
04/03/2011 00:00	45.99	46	45.64	46	281	EUR	
07/03/2011 00:00	46	46	45.7	45.7	599	EUR	
08/03/2011 00:00	45.7	45.7	45.6	45.6	747	EUR	
09/03/2011 00:00	45.7	46	45.7	45.9	2067	EUR	
10/03/2011 00:00	45.86	46.37	45.85	45.85	835	EUR	
11/03/2011 00:00	45.85	46.5	45.51	45.51	644	EUR	
14/03/2011 00:00	46.43	46.43	45.51	46.38	634	EUR	
15/03/2011 00:00	46.2	46.2	44	44.99	1484	EUR	
16/03/2011 00:00	44.99	45.4	44.95	45.4	361	EUR	
17/03/2011 00:00	44.95	45	44.95	45	120	EUR	
18/03/2011 00:00	45.25	45.44	44.85	44.85	501	EUR	
21/03/2011 00:00	44.85	45.5	44.42	45	719	EUR	
22/03/2011 00:00	44.6	44.99	44.1	44.85	1248	EUR	
23/03/2011 00:00	44.01	44.22	42.01	43.12	1530	EUR	
24/03/2011 00:00	43.3	43.3	42.2	42.29	773	EUR	
25/03/2011 00:00	43	44	42.41	42.41	1689	EUR	
28/03/2011 00:00	43	45	43	43.21	8460	EUR	
29/03/2011 00:00	43.5	43.78	43.21	43.21	192	EUR	
30/03/2011 00:00	43.21	43.98	43.21	43.26	252	EUR	
31/03/2011 00:00	43.3	44	43.3	44	261	EUR	
01/04/2011 00:00	44	44	43.65	43.65	21	EUR	
04/04/2011 00:00	43.95	44.2	43.65	44.2	295	EUR	
05/04/2011 00:00	44.2	44.45	44.2	44.45	2082	EUR	
06/04/2011 00:00	44.45	44.8	44.45	44.7	4232	EUR	
07/04/2011 00:00	44.6	45.19	44.6	44.61	1565	EUR	
08/04/2011 00:00	44.6	45.3	44.6	45	991	EUR	
11/04/2011 00:00	44.81	45.01	44.81	45	3491	EUR	
12/04/2011 00:00	44.86	45.6	44.36	44.36	995	EUR	
13/04/2011 00:00	44.36	44.99	44.36	44.8	188	EUR	
14/04/2011 00:00	44.8	45.86	44.45	45.5	780	EUR	
15/04/2011 00:00	45.5	45.5	44.6	44.6	816	EUR	
18/04/2011 00:00	44	44.9	42.52	42.52	862	EUR	
19/04/2011 00:00	42.45	44.02	42.45	43.3	662	EUR	
20/04/2011 00:00	43.35	44	43.35	43.5	109	EUR	
21/04/2011 00:00	43.5	44	43.25	44	198	EUR	
26/04/2011 00:00	44.35	45.1	44.35	44.51	820	EUR	
27/04/2011 00:00	44.5	45.9	44.5	45.3	1645	EUR	
28/04/2011 00:00	45.3	45.3	44.7	45	164	EUR	
29/04/2011 00:00	44.52	44.95	44.52	44.95	152	EUR	
02/05/2011 00:00	45	45.19	45	45.15	345	EUR	
03/05/2011 00:00	45.2	46	45.15	46	475	EUR	
04/05/2011 00:00	46.29	46.98	46.01	46.98	1199	EUR	
05/05/2011 00:00	46.55	46.75	45.96	46.75	492	EUR	
06/05/2011 00:00	46.55	46.71	45.21	45.97	963	EUR	
09/05/2011 00:00	45.94	45.95	45.22	45.95	181	EUR	
10/05/2011 00:00	45.94	45.94	45.29	45.29	287	EUR	
11/05/2011 00:00	45.95	47	45.95	47	2403	EUR	
12/05/2011 00:00	47	47	45.51	45.78	1100	EUR	
13/05/2011 00:00	45.21	45.55	45.21	45.21	216	EUR	
16/05/2011 00:00	45.15	45.15	44.28	44.35	784	EUR	
17/05/2011 00:00	44.35	44.35	44.35	44.35	1	EUR	
18/05/2011 00:00	44.35	44.7	44.31	44.31	111	EUR	
19/05/2011 00:00	44.74	45.25	44.74	45.25	158	EUR	
20/05/2011 00:00	44.8	45.84	44.8	45.74	615	EUR	
23/05/2011 00:00	45.3	45.32	44.9	44.9	885	EUR	
24/05/2011 00:00	44.9	46.4	44.9	46	275	EUR	
25/05/2011 00:00	44.7	44.7	44.02	44.13	149	EUR	
26/05/2011 00:00	44.5	44.5	44.5	44.5	25	EUR	
27/05/2011 00:00	44.5	44.5	44.2	44.2	121	EUR	
30/05/2011 00:00	44.3	44.3	44.3	44.3	194	EUR	
31/05/2011 00:00	44.3	45.19	44.3	45.19	306	EUR	
01/06/2011 00:00	45.2	45.2	44.6	44.6	258	EUR	
02/06/2011 00:00	44.6	44.6	44.6	44.6	1	EUR	
03/06/2011 00:00	44.6	44.6	44.6	44.6	1	EUR	
06/06/2011 00:00	44.52	44.52	44.52	44.52	20	EUR	
07/06/2011 00:00	44.55	44.55	44.55	44.55	20	EUR	
08/06/2011 00:00	44.61	44.7	44.53	44.7	296	EUR	
09/06/2011 00:00	44.55	44.68	44.55	44.55	290	EUR	
10/06/2011 00:00	44.55	44.75	44.52	44.52	805	EUR	
13/06/2011 00:00	44.52	44.52	44.5	44.5	262	EUR	
14/06/2011 00:00	44.5	44.75	44.35	44.75	567	EUR	
15/06/2011 00:00	44.75	44.75	44.5	44.5	63	EUR	
16/06/2011 00:00	44.53	44.53	44.35	44.35	393	EUR	
17/06/2011 00:00	44.35	44.4	44.25	44.25	550	EUR	
20/06/2011 00:00	44.25	44.5	44.25	44.5	131	EUR	
21/06/2011 00:00	44.5	44.5	44.5	44.5	145	EUR	
22/06/2011 00:00	44.4	44.4	44.15	44.15	442	EUR	
23/06/2011 00:00	44.35	44.35	44.15	44.2	705	EUR	
24/06/2011 00:00	44.2	44.2	44.06	44.06	1634	EUR	
27/06/2011 00:00	44.06	44.15	44.06	44.06	592	EUR	
28/06/2011 00:00	44.06	44.06	44.01	44.01	138	EUR	
29/06/2011 00:00	44.05	44.05	44.05	44.05	260	EUR	
30/06/2011 00:00	44.05	44.1	44.05	44.05	191	EUR	
01/07/2011 00:00	44.05	44.05	44.05	44.05	142	EUR	
04/07/2011 00:00	44.05	44.35	43.93	43.93	617	EUR	
05/07/2011 00:00	43.92	44.25	43.92	44	285	EUR	
06/07/2011 00:00	44.2	44.2	43.92	43.92	106	EUR	
07/07/2011 00:00	44	44.6	44	44	124	EUR	
