date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	4.45	4.46	4.45	4.46	842	EUR	
11/11/2010 00:00	4.46	4.49	4.42	4.49	2224	EUR	
12/11/2010 00:00	4.49	4.49	4.38	4.44	1754	EUR	
15/11/2010 00:00	4.4	4.4	4.38	4.38	2644	EUR	
16/11/2010 00:00	4.38	4.38	4.32	4.34	7626	EUR	
17/11/2010 00:00	4.34	4.38	4.3	4.38	9832	EUR	
18/11/2010 00:00	4.37	4.42	4.35	4.35	1340	EUR	
19/11/2010 00:00	4.36	4.38	4.35	4.38	3342	EUR	
22/11/2010 00:00	4.35	4.42	4.35	4.39	1834	EUR	
23/11/2010 00:00	4.36	4.39	4.36	4.36	2728	EUR	
24/11/2010 00:00	4.36	4.36	4.36	4.36	1008	EUR	
25/11/2010 00:00	4.36	4.46	4.35	4.36	2968	EUR	
26/11/2010 00:00	4.36	4.36	4.36	4.36	872	EUR	
29/11/2010 00:00	4.4	4.4	4.4	4.4	1736	EUR	
30/11/2010 00:00	4.32	4.41	4.3	4.36	15924	EUR	
01/12/2010 00:00	4.36	4.4	4.32	4.35	6744	EUR	
02/12/2010 00:00	4.37	4.4	4.35	4.4	7394	EUR	
03/12/2010 00:00	4.4	4.42	4.35	4.36	2620	EUR	
06/12/2010 00:00	4.36	4.36	4.32	4.32	13582	EUR	
07/12/2010 00:00	4.32	4.38	4.32	4.38	2274	EUR	
08/12/2010 00:00	4.34	4.35	4.34	4.35	2970	EUR	
09/12/2010 00:00	4.35	4.39	4.32	4.39	25682	EUR	
10/12/2010 00:00	4.39	4.4	4.32	4.39	9710	EUR	
13/12/2010 00:00	4.3	4.34	4.3	4.32	4618	EUR	
14/12/2010 00:00	4.32	4.44	4.32	4.4	21064	EUR	
15/12/2010 00:00	4.42	4.44	4.41	4.41	30958	EUR	
16/12/2010 00:00	4.36	4.43	4.36	4.38	2346	EUR	
17/12/2010 00:00	4.38	4.38	4.35	4.35	1442	EUR	
20/12/2010 00:00	4.35	4.4	4.35	4.4	4786	EUR	
21/12/2010 00:00	4.39	4.4	4.36	4.4	2630	EUR	
22/12/2010 00:00	4.4	4.46	4.4	4.43	2216	EUR	
23/12/2010 00:00	4.44	4.44	4.44	4.44	1942	EUR	
24/12/2010 00:00	4.44	4.46	4.42	4.46	4594	EUR	
27/12/2010 00:00	4.46	4.54	4.46	4.53	9526	EUR	
28/12/2010 00:00	4.55	4.57	4.53	4.54	7486	EUR	
29/12/2010 00:00	4.54	4.54	4.51	4.54	3090	EUR	
30/12/2010 00:00	4.54	4.57	4.53	4.53	1850	EUR	
31/12/2010 00:00	4.53	4.55	4.53	4.53	1426	EUR	
03/01/2011 00:00	4.57	4.59	4.57	4.59	5564	EUR	
04/01/2011 00:00	4.59	4.6	4.58	4.58	8636	EUR	
05/01/2011 00:00	4.58	4.58	4.58	4.58	5390	EUR	
06/01/2011 00:00	4.58	4.58	4.57	4.58	4678	EUR	
07/01/2011 00:00	4.58	4.58	4.58	4.58	402	EUR	
10/01/2011 00:00	4.58	4.6	4.58	4.6	5742	EUR	
11/01/2011 00:00	4.6	4.62	4.6	4.6	4312	EUR	
12/01/2011 00:00	4.6	4.62	4.6	4.62	3164	EUR	
13/01/2011 00:00	4.62	4.62	4.62	4.62	1082	EUR	
14/01/2011 00:00	4.64	4.68	4.64	4.65	10442	EUR	
17/01/2011 00:00	4.63	4.72	4.63	4.66	5258	EUR	
18/01/2011 00:00	4.7	4.8	4.7	4.76	4786	EUR	
19/01/2011 00:00	4.76	4.84	4.76	4.83	3680	EUR	
20/01/2011 00:00	4.85	4.94	4.65	4.76	19306	EUR	
21/01/2011 00:00	4.76	4.81	4.76	4.81	4402	EUR	
24/01/2011 00:00	4.66	4.84	4.65	4.84	8612	EUR	
25/01/2011 00:00	4.78	4.84	4.78	4.84	948	EUR	
26/01/2011 00:00	4.92	4.92	4.89	4.9	10916	EUR	
27/01/2011 00:00	4.85	4.93	4.85	4.88	8746	EUR	
28/01/2011 00:00	4.88	4.88	4.8	4.87	13172	EUR	
31/01/2011 00:00	4.8	4.88	4.65	4.84	10332	EUR	
01/02/2011 00:00	4.84	4.86	4.84	4.84	5398	EUR	
02/02/2011 00:00	4.81	4.84	4.81	4.82	4870	EUR	
03/02/2011 00:00	4.82	4.9	4.82	4.85	13012	EUR	
04/02/2011 00:00	4.85	4.85	4.83	4.85	1780	EUR	
07/02/2011 00:00	4.85	4.85	4.82	4.85	2508	EUR	
08/02/2011 00:00	4.85	4.88	4.82	4.88	3172	EUR	
09/02/2011 00:00	4.89	4.89	4.8	4.8	3650	EUR	
10/02/2011 00:00	4.76	4.8	4.76	4.76	1568	EUR	
11/02/2011 00:00	4.76	4.76	4.76	4.76	852	EUR	
14/02/2011 00:00	4.76	4.76	4.76	4.76	592	EUR	
15/02/2011 00:00	4.76	4.76	4.65	4.68	5960	EUR	
16/02/2011 00:00	4.67	4.68	4.65	4.65	14076	EUR	
17/02/2011 00:00	4.68	4.68	4.66	4.67	7078	EUR	
18/02/2011 00:00	4.68	4.68	4.68	4.68	3110	EUR	
21/02/2011 00:00	4.66	4.66	4.66	4.66	1686	EUR	
22/02/2011 00:00	4.68	4.68	4.64	4.66	4784	EUR	
23/02/2011 00:00	4.65	4.68	4.65	4.65	17936	EUR	
24/02/2011 00:00	4.66	4.66	4.65	4.65	12992	EUR	
25/02/2011 00:00	4.66	4.67	4.66	4.66	25566	EUR	
28/02/2011 00:00	4.66	4.75	4.66	4.71	4876	EUR	
01/03/2011 00:00	4.66	4.72	4.66	4.72	2778	EUR	
02/03/2011 00:00	4.72	4.72	4.68	4.72	5348	EUR	
03/03/2011 00:00	4.72	4.72	4.69	4.7	18340	EUR	
04/03/2011 00:00	4.7	4.7	4.67	4.7	3236	EUR	
07/03/2011 00:00	4.72	4.72	4.69	4.7	4922	EUR	
08/03/2011 00:00	4.7	4.7	4.68	4.7	894	EUR	
09/03/2011 00:00	4.7	4.7	4.66	4.66	2466	EUR	
10/03/2011 00:00	4.67	4.67	4.65	4.65	5666	EUR	
11/03/2011 00:00	4.63	4.65	4.61	4.63	26086	EUR	
14/03/2011 00:00	4.65	4.66	4.64	4.65	28630	EUR	
15/03/2011 00:00	4.65	4.65	4.64	4.64	28972	EUR	
16/03/2011 00:00	4.64	4.64	4.63	4.63	1286	EUR	
17/03/2011 00:00	4.62	4.63	4.5	4.58	7724	EUR	
18/03/2011 00:00	4.58	4.6	4.58	4.58	1870	EUR	
21/03/2011 00:00	4.58	4.6	4.58	4.6	22044	EUR	
22/03/2011 00:00	4.6	4.6	4.56	4.56	14432	EUR	
23/03/2011 00:00	4.56	4.6	4.56	4.59	11892	EUR	
24/03/2011 00:00	4.59	4.62	4.59	4.62	1954	EUR	
25/03/2011 00:00	4.62	4.69	4.62	4.69	34794	EUR	
28/03/2011 00:00	4.69	4.69	4.68	4.69	9960	EUR	
29/03/2011 00:00	4.75	4.8	4.74	4.77	34846	EUR	
30/03/2011 00:00	4.8	4.8	4.75	4.78	9238	EUR	
