date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	6	6	5.81	5.95	7307	EUR	
11/11/2010 00:00	5.95	5.98	5.81	5.81	3526	EUR	
12/11/2010 00:00	5.82	5.85	5.75	5.85	3855	EUR	
15/11/2010 00:00	5.85	5.9	5.78	5.85	2370	EUR	
16/11/2010 00:00	5.85	5.85	5.62	5.82	1388	EUR	
17/11/2010 00:00	5.62	5.79	5.61	5.62	2489	EUR	
18/11/2010 00:00	5.6	5.72	5.6	5.7	5330	EUR	
19/11/2010 00:00	5.6	5.68	5.55	5.6	1057	EUR	
22/11/2010 00:00	5.6	5.7	5.31	5.31	7399	EUR	
23/11/2010 00:00	5.12	5.54	5.12	5.12	7041	EUR	
24/11/2010 00:00	5.16	5.4	5.16	5.2	2678	EUR	
25/11/2010 00:00	5.2	5.39	5.07	5.3	6675	EUR	
26/11/2010 00:00	5.23	5.28	5.07	5.28	2906	EUR	
29/11/2010 00:00	5.19	5.2	5.19	5.2	3234	EUR	
30/11/2010 00:00	5.15	5.15	5.1	5.2	1971	EUR	
01/12/2010 00:00	5.2	5.2	5.05	5.14	2503	EUR	
02/12/2010 00:00	5.17	5.2	5.09	5.09	2456	EUR	
03/12/2010 00:00	5.09	5.2	5.09	5.1	4418	EUR	
06/12/2010 00:00	5.1	5.15	5.08	5.12	2768	EUR	
07/12/2010 00:00	5.12	5.13	5.08	5.12	6655	EUR	
08/12/2010 00:00	5.12	5.18	5.12	5.18	2441	EUR	
09/12/2010 00:00	5.18	5.2	5.05	5.18	7337	EUR	
10/12/2010 00:00	5.18	5.18	5.08	5.15	585	EUR	
13/12/2010 00:00	5.15	5.24	5.11	5.12	1108	EUR	
14/12/2010 00:00	5.11	5.24	5.09	5.11	2046	EUR	
15/12/2010 00:00	5.11	5.11	5.04	5.05	2025	EUR	
16/12/2010 00:00	5.1	5.1	5.06	5.06	1550	EUR	
17/12/2010 00:00	5.08	5.1	5.03	5.1	6378	EUR	
20/12/2010 00:00	5.1	5.1	5.02	5.1	5591	EUR	
21/12/2010 00:00	5.05	5.05	4.91	4.99	11897	EUR	
22/12/2010 00:00	4.95	4.99	4.93	4.93	5267	EUR	
23/12/2010 00:00	4.9	4.91	4.8	4.87	13259	EUR	
24/12/2010 00:00	4.87	4.87	4.51	4.55	14266	EUR	
27/12/2010 00:00	4.56	4.68	4.5	4.53	9406	EUR	
28/12/2010 00:00	4.53	4.62	4.48	4.56	9391	EUR	
29/12/2010 00:00	4.56	4.56	4.41	4.44	3276	EUR	
30/12/2010 00:00	4.46	4.56	4.44	4.47	5538	EUR	
31/12/2010 00:00	4.47	4.57	4.47	4.5	2334	EUR	
03/01/2011 00:00	4.52	4.92	4.52	4.71	7397	EUR	
04/01/2011 00:00	4.89	4.9	4.62	4.7	9241	EUR	
05/01/2011 00:00	4.7	4.74	4.7	4.7	3218	EUR	
06/01/2011 00:00	4.7	4.7	4.5	4.65	8891	EUR	
07/01/2011 00:00	4.65	4.75	4.65	4.65	5399	EUR	
10/01/2011 00:00	4.69	4.69	4.56	4.59	2110	EUR	
11/01/2011 00:00	4.59	4.59	4.59	4.59	1680	EUR	
12/01/2011 00:00	4.68	4.79	4.59	4.64	2700	EUR	
13/01/2011 00:00	4.6	4.78	4.6	4.63	4045	EUR	
14/01/2011 00:00	4.64	4.89	4.64	4.83	4176	EUR	
17/01/2011 00:00	4.92	4.92	4.87	4.88	7125	EUR	
18/01/2011 00:00	4.88	5.15	4.88	5.11	9469	EUR	
19/01/2011 00:00	5.13	5.2	5.12	5.2	13787	EUR	
20/01/2011 00:00	5.2	5.2	5.1	5.19	1701	EUR	
21/01/2011 00:00	5.19	5.19	5.06	5.17	2994	EUR	
24/01/2011 00:00	5.11	5.19	5.11	5.17	1977	EUR	
25/01/2011 00:00	5.16	5.2	5.14	5.2	3394	EUR	
26/01/2011 00:00	5.21	5.21	5.14	5.2	871	EUR	
27/01/2011 00:00	5.19	5.2	5.14	5.18	5255	EUR	
28/01/2011 00:00	5.18	5.2	5.13	5.2	4698	EUR	
31/01/2011 00:00	5.19	5.28	5.1	5.28	9517	EUR	
01/02/2011 00:00	5.28	5.38	5.21	5.38	10192	EUR	
02/02/2011 00:00	5.37	5.37	5.27	5.3	4951	EUR	
03/02/2011 00:00	5.3	5.37	5.26	5.37	1528	EUR	
07/02/2011 00:00	5.29	5.38	5.28	5.36	7103	EUR	
08/02/2011 00:00	5.35	5.6	5.28	5.6	10791	EUR	
09/02/2011 00:00	5.51	5.74	5.4	5.74	14106	EUR	
10/02/2011 00:00	5.74	5.78	5.49	5.78	4775	EUR	
11/02/2011 00:00	5.77	5.8	5.61	5.8	9728	EUR	
14/02/2011 00:00	5.79	5.84	5.68	5.8	11045	EUR	
15/02/2011 00:00	5.67	5.79	5.67	5.77	2970	EUR	
16/02/2011 00:00	5.81	5.82	5.81	5.82	2041	EUR	
17/02/2011 00:00	5.82	5.82	5.69	5.77	1183	EUR	
18/02/2011 00:00	5.77	5.77	5.68	5.77	1652	EUR	
21/02/2011 00:00	5.82	5.82	5.69	5.79	2724	EUR	
22/02/2011 00:00	5.7	5.7	5.54	5.7	5686	EUR	
23/02/2011 00:00	5.72	5.83	5.71	5.81	14046	EUR	
24/02/2011 00:00	5.75	5.81	5.71	5.72	3952	EUR	
25/02/2011 00:00	5.72	5.79	5.7	5.78	1472	EUR	
28/02/2011 00:00	5.66	5.75	5.66	5.75	1552	EUR	
01/03/2011 00:00	5.66	5.66	5.31	5.5	10797	EUR	
02/03/2011 00:00	5.44	5.44	5.18	5.25	9288	EUR	
03/03/2011 00:00	5.25	5.47	5.2	5.43	4381	EUR	
04/03/2011 00:00	5.4	5.4	5.23	5.32	1740	EUR	
07/03/2011 00:00	5.18	5.33	5.18	5.18	2125	EUR	
08/03/2011 00:00	5.28	5.28	5.28	5.28	10	EUR	
09/03/2011 00:00	5.27	5.29	5.18	5.29	2328	EUR	
10/03/2011 00:00	5.18	5.24	5.16	5.23	1698	EUR	
11/03/2011 00:00	5.23	5.23	5.04	5.1	8228	EUR	
14/03/2011 00:00	5.05	5.05	4.98	5	1954	EUR	
15/03/2011 00:00	4.85	4.85	4.5	4.65	13566	EUR	
16/03/2011 00:00	4.67	4.83	4.66	4.8	3020	EUR	
17/03/2011 00:00	4.79	4.9	4.66	4.9	1627	EUR	
18/03/2011 00:00	4.9	4.95	4.89	4.95	211	EUR	
21/03/2011 00:00	5	5	4.81	4.94	265	EUR	
22/03/2011 00:00	4.94	4.94	4.83	4.94	1241	EUR	
23/03/2011 00:00	4.93	4.93	4.93	4.93	326	EUR	
24/03/2011 00:00	4.93	4.93	4.84	4.92	1708	EUR	
25/03/2011 00:00	4.92	4.93	4.85	4.92	2141	EUR	
28/03/2011 00:00	4.92	4.92	4.83	4.91	1145	EUR	
29/03/2011 00:00	4.9	4.91	4.83	4.91	272	EUR	
30/03/2011 00:00	4.87	4.91	4.81	4.85	2176	EUR	
31/03/2011 00:00	4.85	4.89	4.8	4.8	983	EUR	
01/04/2011 00:00	4.8	4.91	4.75	4.91	571	EUR	
04/04/2011 00:00	4.89	4.89	4.69	4.73	8137	EUR	
05/04/2011 00:00	4.75	4.79	4.75	4.77	5336	EUR	
06/04/2011 00:00	4.79	4.9	4.79	4.9	1588	EUR	
07/04/2011 00:00	4.8	5	4.8	4.91	4659	EUR	
08/04/2011 00:00	4.92	5	4.9	4.99	3858	EUR	
11/04/2011 00:00	4.99	5	4.9	4.99	9969	EUR	
12/04/2011 00:00	4.99	4.99	4.9	4.9	500	EUR	
13/04/2011 00:00	4.99	4.99	4.9	4.97	801	EUR	
14/04/2011 00:00	4.96	4.97	4.87	4.95	444	EUR	
15/04/2011 00:00	4.94	4.95	4.86	4.95	391	EUR	
18/04/2011 00:00	4.86	4.95	4.85	4.92	995	EUR	
19/04/2011 00:00	4.92	4.92	4.76	4.8	2155	EUR	
20/04/2011 00:00	4.81	4.91	4.81	4.91	2	EUR	
21/04/2011 00:00	4.86	4.91	4.8	4.91	811	EUR	
26/04/2011 00:00	4.85	4.9	4.8	4.9	1535	EUR	
27/04/2011 00:00	4.89	4.91	4.78	4.9	1739	EUR	
28/04/2011 00:00	4.89	4.89	4.8	4.85	977	EUR	
29/04/2011 00:00	4.88	4.88	4.85	4.85	2055	EUR	
02/05/2011 00:00	4.94	4.94	4.8	4.94	801	EUR	
03/05/2011 00:00	4.94	4.95	4.82	4.95	1617	EUR	
04/05/2011 00:00	4.95	4.95	4.8	4.8	2724	EUR	
05/05/2011 00:00	4.83	4.84	4.83	4.84	141	EUR	
06/05/2011 00:00	4.81	4.9	4.81	4.89	1390	EUR	
09/05/2011 00:00	4.89	4.9	4.78	4.9	6859	EUR	
10/05/2011 00:00	4.89	4.9	4.76	4.88	5495	EUR	
11/05/2011 00:00	4.87	4.99	4.87	4.99	4307	EUR	
12/05/2011 00:00	4.99	5	4.95	4.95	2030	EUR	
13/05/2011 00:00	4.95	4.95	4.88	4.93	2665	EUR	
16/05/2011 00:00	4.85	4.85	4.85	4.85	309	EUR	
17/05/2011 00:00	4.9	4.9	4.9	4.9	701	EUR	
18/05/2011 00:00	4.9	4.9	4.8	4.9	2126	EUR	
19/05/2011 00:00	4.89	4.89	4.81	4.83	570	EUR	
20/05/2011 00:00	4.84	4.88	4.8	4.88	962	EUR	
23/05/2011 00:00	4.82	4.88	4.8	4.88	2081	EUR	
24/05/2011 00:00	4.87	4.96	4.5	4.89	190039	EUR	
25/05/2011 00:00	4.63	5.08	4.63	4.86	68702	EUR	
26/05/2011 00:00	4.85	4.86	4.85	4.86	235	EUR	
27/05/2011 00:00	4.85	4.86	4.77	4.86	251	EUR	
30/05/2011 00:00	4.86	4.94	4.82	4.82	2346	EUR	
31/05/2011 00:00	4.89	4.91	4.72	4.85	1345	EUR	
01/06/2011 00:00	4.85	4.96	4.7	4.8	2502	EUR	
02/06/2011 00:00	4.8	4.89	4.8	4.82	679	EUR	
03/06/2011 00:00	4.82	4.84	4.81	4.84	419	EUR	
06/06/2011 00:00	4.8	4.89	4.73	4.81	4660	EUR	
07/06/2011 00:00	4.75	4.9	4.7	4.9	2508	EUR	
08/06/2011 00:00	4.8	4.8	4.75	4.75	954	EUR	
09/06/2011 00:00	4.75	4.92	4.71	4.92	1312	EUR	
10/06/2011 00:00	4.89	4.89	4.74	4.89	401	EUR	
13/06/2011 00:00	4.87	4.87	4.74	4.87	495	EUR	
14/06/2011 00:00	4.86	4.86	4.73	4.85	1193	EUR	
15/06/2011 00:00	4.84	4.85	4.84	4.85	46	EUR	
16/06/2011 00:00	4.7	4.81	4.66	4.79	7247	EUR	
17/06/2011 00:00	4.79	4.79	4.79	4.79	1344	EUR	
20/06/2011 00:00	4.8	4.8	4.78	4.78	1201	EUR	
21/06/2011 00:00	4.76	4.76	4.52	4.7	3547	EUR	
22/06/2011 00:00	4.67	4.68	4.67	4.68	641	EUR	
23/06/2011 00:00	4.67	4.67	4.5	4.66	2081	EUR	
24/06/2011 00:00	4.65	4.66	4.5	4.59	1643	EUR	
27/06/2011 00:00	4.59	4.59	4.44	4.55	2346	EUR	
28/06/2011 00:00	4.55	4.64	4.42	4.64	1290	EUR	
29/06/2011 00:00	4.64	4.64	4.55	4.64	866	EUR	
30/06/2011 00:00	4.63	4.64	4.6	4.64	441	EUR	
01/07/2011 00:00	4.64	4.66	4.64	4.65	1258	EUR	
04/07/2011 00:00	4.66	4.75	4.65	4.75	847	EUR	
05/07/2011 00:00	4.73	4.75	4.73	4.75	463	EUR	
06/07/2011 00:00	4.76	4.79	4.76	4.79	1331	EUR	
07/07/2011 00:00	4.78	4.78	4.65	4.7	979	EUR	
08/07/2011 00:00	4.69	4.69	4.5	4.6	3919	EUR	
11/07/2011 00:00	4.6	4.6	4.41	4.41	924	EUR	
12/07/2011 00:00	4.59	4.59	4	4.28	6436	EUR	
13/07/2011 00:00	4.28	4.28	4.2	4.27	1726	EUR	
14/07/2011 00:00	4.26	4.26	4.25	4.25	145	EUR	
15/07/2011 00:00	4.28	4.28	4.04	4.2	2383	EUR	
18/07/2011 00:00	4.04	4.1	4.04	4.1	3762	EUR	
19/07/2011 00:00	4.09	4.1	4	4.09	9076	EUR	
20/07/2011 00:00	4.08	4.09	3.91	4.08	3511	EUR	
21/07/2011 00:00	4.08	4.08	4.07	4.07	2500	EUR	
22/07/2011 00:00	4.07	4.08	3.97	4.03	121	EUR	
25/07/2011 00:00	4.03	4.1	3.98	4.1	2053	EUR	
26/07/2011 00:00	4.1	4.37	4.1	4.19	3170	EUR	
27/07/2011 00:00	4.19	4.19	4.14	4.14	1784	EUR	
28/07/2011 00:00	4.14	4.14	4.07	4.07	1111	EUR	
29/07/2011 00:00	3.97	4	3.96	3.99	1941	EUR	
01/08/2011 00:00	3.99	4.14	3.84	3.98	1401	EUR	
02/08/2011 00:00	3.96	3.96	3.85	3.86	2404	EUR	
03/08/2011 00:00	3.87	3.9	3.5	3.56	3368	EUR	
04/08/2011 00:00	3.7	3.7	3.28	3.5	1814	EUR	
05/08/2011 00:00	3.4	3.4	3.1	3.36	7578	EUR	
08/08/2011 00:00	3.17	3.28	3.05	3.28	4374	EUR	
