date	ouv	haut	bas	clot	vol	devise	
19/12/2014 00:00	4.65	6.5	4.65	6.5	1019	EUR	
22/12/2014 00:00	6.25	6.25	6.25	6.25	15	EUR	
23/12/2014 00:00	6.24	6.25	6.24	6.25	101	EUR	
24/12/2014 00:00	6	6	5.61	5.65	244	EUR	
29/12/2014 00:00	5.65	6.1	5.65	6.1	221	EUR	
30/12/2014 00:00	5.85	6.1	5.85	6.1	139	EUR	
31/12/2014 00:00	6.11	6.11	6.11	6.11	1	EUR	
02/01/2015 00:00	6.35	6.45	6.34	6.45	1363	EUR	
05/01/2015 00:00	6.28	6.55	6.2	6.55	501	EUR	
06/01/2015 00:00	6.41	6.41	6.41	6.41	1	EUR	
07/01/2015 00:00	6.36	6.36	6.36	6.36	1	EUR	
08/01/2015 00:00	6.36	6.7	6.36	6.7	2502	EUR	
09/01/2015 00:00	6.7	7	6.7	7	1341	EUR	
12/01/2015 00:00	7	7	6.99	6.99	639	EUR	
13/01/2015 00:00	7	7	7	7	855	EUR	
14/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
15/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
16/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
19/01/2015 00:00	7	7	7	7	61	EUR	
20/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
21/01/2015 00:00	6.99	6.99	6.87	6.87	81	EUR	
22/01/2015 00:00	6.87	6.99	6.87	6.99	31	EUR	
23/01/2015 00:00	6.99	7	6.99	7	31	EUR	
26/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
27/01/2015 00:00	6.99	7	6.99	7	201	EUR	
28/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
29/01/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
30/01/2015 00:00	6.99	7	6.99	7	31	EUR	
02/02/2015 00:00	6.99	7	6.99	7	31	EUR	
03/02/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
04/02/2015 00:00	7	7	7	7	121	EUR	
05/02/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
06/02/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
09/02/2015 00:00	7	7	7	7	851	EUR	
10/02/2015 00:00	6.99	7	6.99	7	586	EUR	
11/02/2015 00:00	6.99	7	6.84	7	1141	EUR	
12/02/2015 00:00	6.99	7	6.99	7	1001	EUR	
13/02/2015 00:00	6.99	7	6.99	7	1501	EUR	
16/02/2015 00:00	6.99	6.99	6.99	6.99	1	EUR	
17/02/2015 00:00	6.99	7	6.99	7	1451	EUR	
18/02/2015 00:00	6.99	7	6.99	7	231	EUR	
19/02/2015 00:00	6.99	7	6.94	6.94	631	EUR	
