date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	21.95	22.2	21.95	22.2	524	EUR	
11/11/2010 00:00	22.3	22.3	22.3	22.3	250	EUR	
12/11/2010 00:00	22.3	22.39	22.3	22.39	791	EUR	
15/11/2010 00:00	22.34	22.34	22.34	22.34	451	EUR	
16/11/2010 00:00	22.34	22.39	22.34	22.39	101	EUR	
17/11/2010 00:00	22.29	22.39	22.29	22.39	324	EUR	
18/11/2010 00:00	22.3	22.3	22.3	22.3	332	EUR	
19/11/2010 00:00	22.29	22.29	22.26	22.26	61	EUR	
22/11/2010 00:00	22.26	22.26	22.26	22.26	21	EUR	
23/11/2010 00:00	22.25	22.25	22	22	1001	EUR	
24/11/2010 00:00	21.96	21.96	21.88	21.88	61	EUR	
25/11/2010 00:00	21.8	21.8	21.8	21.8	220	EUR	
26/11/2010 00:00	21.5	21.5	21.5	21.5	301	EUR	
29/11/2010 00:00	21.5	21.5	21.5	21.5	76	EUR	
30/11/2010 00:00	21.5	21.5	21.5	21.5	111	EUR	
01/12/2010 00:00	21.49	21.49	21	21	501	EUR	
02/12/2010 00:00	21	21	21	21	1	EUR	
03/12/2010 00:00	22.05	22.3	22.05	22.3	582	EUR	
06/12/2010 00:00	22.3	22.3	22.3	22.3	1166	EUR	
07/12/2010 00:00	22.26	22.26	22.2	22.2	361	EUR	
08/12/2010 00:00	22.21	22.21	22.2	22.2	631	EUR	
09/12/2010 00:00	22.2	22.2	22.2	22.2	151	EUR	
10/12/2010 00:00	22.2	22.27	22.2	22.27	71	EUR	
13/12/2010 00:00	22.27	22.27	22.27	22.27	206	EUR	
14/12/2010 00:00	22.28	22.28	22.28	22.28	131	EUR	
15/12/2010 00:00	22.27	22.27	22.27	22.27	91	EUR	
16/12/2010 00:00	22.27	22.27	22.27	22.27	3	EUR	
17/12/2010 00:00	22.27	22.27	22.27	22.27	1	EUR	
20/12/2010 00:00	22.25	22.25	22.25	22.25	201	EUR	
21/12/2010 00:00	22.25	22.25	22.25	22.25	601	EUR	
22/12/2010 00:00	22.25	22.25	22.25	22.25	31	EUR	
23/12/2010 00:00	22.2	22.2	22.2	22.2	41	EUR	
24/12/2010 00:00	22.2	22.2	22.2	22.2	120	EUR	
27/12/2010 00:00	22.19	22.19	22.19	22.19	1	EUR	
28/12/2010 00:00	22.19	22.19	22.1	22.1	101	EUR	
29/12/2010 00:00	22.05	22.05	22.05	22.05	51	EUR	
30/12/2010 00:00	22.1	22.1	22.1	22.1	226	EUR	
31/12/2010 00:00	22.1	22.1	22.1	22.1	109	EUR	
03/01/2011 00:00	22.1	22.34	22.1	22.34	81	EUR	
04/01/2011 00:00	22.31	22.44	22.31	22.44	538	EUR	
05/01/2011 00:00	22.44	22.45	22.44	22.45	476	EUR	
06/01/2011 00:00	22.44	22.44	22.44	22.44	244	EUR	
07/01/2011 00:00	22.5	22.5	22.5	22.5	551	EUR	
10/01/2011 00:00	22.75	22.75	22.75	22.75	306	EUR	
11/01/2011 00:00	22.88	23	22.88	23	1768	EUR	
12/01/2011 00:00	23.2	23.24	23.2	23.24	261	EUR	
13/01/2011 00:00	23.5	23.5	23.5	23.5	161	EUR	
14/01/2011 00:00	23.5	23.5	23.5	23.5	101	EUR	
17/01/2011 00:00	22.88	23	22.88	23	885	EUR	
18/01/2011 00:00	23.01	23.01	23.01	23.01	101	EUR	
19/01/2011 00:00	23.18	23.18	23.18	23.18	201	EUR	
20/01/2011 00:00	23.17	23.17	23.17	23.17	1	EUR	
21/01/2011 00:00	23.17	23.2	23.17	23.2	22	EUR	
24/01/2011 00:00	23.26	23.26	23.26	23.26	101	EUR	
25/01/2011 00:00	23.49	23.49	23.49	23.49	21	EUR	
26/01/2011 00:00	23.49	23.49	22.88	22.88	1001	EUR	
27/01/2011 00:00	22.95	23.1	22.95	23.1	86	EUR	
28/01/2011 00:00	23.09	23.09	23.09	23.09	1	EUR	
31/01/2011 00:00	23	23	22.9	22.9	71	EUR	
01/02/2011 00:00	22.9	22.9	22.9	22.9	1	EUR	
02/02/2011 00:00	22.8	22.8	22.8	22.8	151	EUR	
03/02/2011 00:00	22.81	22.81	22.8	22.8	51	EUR	
04/02/2011 00:00	22.8	22.8	22.7	22.7	151	EUR	
07/02/2011 00:00	23	23.1	23	23.1	290	EUR	
08/02/2011 00:00	23.1	23.1	23.1	23.1	180	EUR	
09/02/2011 00:00	23.11	23.11	23.1	23.1	201	EUR	
