date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	80.26	80.26	78.99	79.3	78501	EUR	
11/11/2010 00:00	79.59	79.6	78.39	78.7	84905	EUR	
12/11/2010 00:00	78.3	79.13	77.5	78.94	103706	EUR	
15/11/2010 00:00	79	79	77.5	78.22	108938	EUR	
16/11/2010 00:00	77.5	79.39	76.23	79.01	247953	EUR	
17/11/2010 00:00	79.01	80.42	78.5	80.1	112075	EUR	
18/11/2010 00:00	80.42	81.6	80.23	80.45	127734	EUR	
19/11/2010 00:00	80.45	80.73	79.52	79.78	44199	EUR	
22/11/2010 00:00	80	81.34	79.79	80.78	105608	EUR	
23/11/2010 00:00	80.86	80.86	78.63	78.64	94831	EUR	
24/11/2010 00:00	78.97	79	78.23	78.26	47355	EUR	
25/11/2010 00:00	78.11	79.48	78.11	79.12	42715	EUR	
26/11/2010 00:00	79	79	78.06	79	59977	EUR	
29/11/2010 00:00	79.19	80.09	77.42	77.67	104625	EUR	
30/11/2010 00:00	77.7	78.15	77	77.2	87591	EUR	
01/12/2010 00:00	77.25	77.7	77	77.61	69338	EUR	
02/12/2010 00:00	77.42	79.25	77.21	79.25	63711	EUR	
03/12/2010 00:00	79.49	80.42	79.15	79.86	68856	EUR	
06/12/2010 00:00	79.85	79.95	78.36	78.49	84478	EUR	
07/12/2010 00:00	78.47	78.9	77.56	78.69	55146	EUR	
08/12/2010 00:00	78.41	78.7	77.8	78.24	108815	EUR	
09/12/2010 00:00	77.5	78.17	76.57	78.17	208109	EUR	
10/12/2010 00:00	78.25	79.36	78.23	79.21	90792	EUR	
13/12/2010 00:00	79.8	81.88	79.75	81.7	176507	EUR	
14/12/2010 00:00	81.99	84.15	81.7	84	302897	EUR	
15/12/2010 00:00	84.9	84.9	81.43	82.49	218561	EUR	
16/12/2010 00:00	82.48	82.57	81.2	81.55	102543	EUR	
17/12/2010 00:00	81.74	82.6	81.45	81.65	97205	EUR	
20/12/2010 00:00	81.4	82.2	81.4	81.89	65537	EUR	
21/12/2010 00:00	82.15	83.34	81.91	83.29	52620	EUR	
22/12/2010 00:00	83.18	83.35	82.31	82.58	52928	EUR	
23/12/2010 00:00	82.46	83.33	82.45	83.33	37836	EUR	
24/12/2010 00:00	83.3	83.3	82.32	82.5	9909	EUR	
27/12/2010 00:00	82.5	82.52	82.17	82.52	9612	EUR	
28/12/2010 00:00	82.52	82.75	82.2	82.2	31807	EUR	
29/12/2010 00:00	82.16	82.48	82.15	82.27	21451	EUR	
30/12/2010 00:00	82.11	82.25	81.4	81.42	30483	EUR	
31/12/2010 00:00	81.35	81.4	81	81.4	23125	EUR	
03/01/2011 00:00	81.5	82.42	81.4	81.75	45852	EUR	
04/01/2011 00:00	81.98	81.98	81.26	81.64	58744	EUR	
05/01/2011 00:00	81.5	81.59	80	80.64	115905	EUR	
06/01/2011 00:00	80.8	81.75	80.75	80.95	55685	EUR	
07/01/2011 00:00	81.34	81.5	79.7	79.7	79630	EUR	
10/01/2011 00:00	79.65	79.78	79	79.07	61949	EUR	
11/01/2011 00:00	79.27	79.79	77.88	79.62	86652	EUR	
12/01/2011 00:00	78.45	78.45	77.11	78	238268	EUR	
13/01/2011 00:00	78.01	78.17	76.24	77.2	171249	EUR	
14/01/2011 00:00	77.25	77.59	76.2	76.25	112492	EUR	
17/01/2011 00:00	76.5	76.82	76.44	76.31	77411	EUR	
18/01/2011 00:00	76.62	77	76.06	76.18	79869	EUR	
19/01/2011 00:00	76.56	76.64	75.92	75.95	104869	EUR	
20/01/2011 00:00	75.98	76.26	75	75.2	117299	EUR	
21/01/2011 00:00	75.6	77.19	75.22	76.33	165566	EUR	
24/01/2011 00:00	76.8	77.26	76.33	76.55	63808	EUR	
25/01/2011 00:00	76.88	77	75.84	76	71944	EUR	
26/01/2011 00:00	76.5	78.22	76.34	77.79	93302	EUR	
27/01/2011 00:00	79	79.25	78.29	79	272213	EUR	
28/01/2011 00:00	79.24	79.5	78	78.3	109248	EUR	
31/01/2011 00:00	78.19	78.19	77.35	77.55	89598	EUR	
01/02/2011 00:00	77.8	79.24	77.17	79.08	65075	EUR	
02/02/2011 00:00	79.35	79.35	78.51	78.8	60957	EUR	
03/02/2011 00:00	78.67	79.2	78	79.02	63665	EUR	
04/02/2011 00:00	79.09	79.25	78.65	78.95	41164	EUR	
07/02/2011 00:00	79.07	79.1	78.5	78.81	70929	EUR	
08/02/2011 00:00	78.6	79	78.5	78.99	31775	EUR	
09/02/2011 00:00	78.8	79.18	78	78.69	75009	EUR	
10/02/2011 00:00	78.77	78.8	77.91	78.01	54227	EUR	
11/02/2011 00:00	77.87	78.48	77.14	77.19	66776	EUR	
14/02/2011 00:00	77.35	78.2	77.3	77.95	65548	EUR	
15/02/2011 00:00	77.86	78.03	76.93	77.01	31626	EUR	
16/02/2011 00:00	77.12	78.39	76.93	78.25	76026	EUR	
17/02/2011 00:00	78.2	78.5	77	77.28	65904	EUR	
18/02/2011 00:00	77.5	77.5	77.01	77.45	39044	EUR	
21/02/2011 00:00	77.38	78.19	77.25	78.12	71267	EUR	
22/02/2011 00:00	77.93	78.65	77.55	78.65	100852	EUR	
23/02/2011 00:00	78.87	80.55	78.7	79.31	155121	EUR	
24/02/2011 00:00	79.3	79.55	78.02	79.35	100240	EUR	
25/02/2011 00:00	79.65	82	79.46	81.06	100243	EUR	
28/02/2011 00:00	81.06	81.6	80.66	81.16	76655	EUR	
01/03/2011 00:00	81.25	81.7	80.76	81.4	90043	EUR	
02/03/2011 00:00	81.25	81.3	79.68	80.74	58025	EUR	
03/03/2011 00:00	82.55	87.3	82.03	84.74	294344	EUR	
04/03/2011 00:00	84.95	85.23	84.49	84.96	99609	EUR	
07/03/2011 00:00	84.75	85.65	84.54	84.58	109022	EUR	
08/03/2011 00:00	84.5	85.45	84.21	85.45	99964	EUR	
