date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	47.9	47.9	46.505	46.835	70018	EUR	
11/11/2010 00:00	47.725	47.725	46.07	46.345	101264	EUR	
12/11/2010 00:00	45.82	46.1	45.31	45.98	90838	EUR	
15/11/2010 00:00	46.04	46.49	45.35	46.465	64902	EUR	
16/11/2010 00:00	46.43	46.8	44.955	45.01	67360	EUR	
17/11/2010 00:00	44.9	45.695	44.865	45.425	68330	EUR	
18/11/2010 00:00	46.48	46.58	45.81	46.335	77502	EUR	
19/11/2010 00:00	46.77	46.965	46.14	46.96	64100	EUR	
22/11/2010 00:00	47	47.495	46.255	46.48	75045	EUR	
23/11/2010 00:00	46.105	46.495	45.23	45.285	73554	EUR	
24/11/2010 00:00	45.73	46.12	45.095	45.85	65122	EUR	
25/11/2010 00:00	45.76	46.46	45.745	45.935	62306	EUR	
26/11/2010 00:00	45.81	45.815	44.755	45.54	70676	EUR	
29/11/2010 00:00	45.79	46.01	44.48	44.65	71981	EUR	
30/11/2010 00:00	44.6	44.67	43.81	44.115	93530	EUR	
01/12/2010 00:00	44.865	46.04	44.21	45.92	112668	EUR	
02/12/2010 00:00	46.46	47.46	45.91	47.26	87948	EUR	
03/12/2010 00:00	47.13	48.1	46.785	47.27	68685	EUR	
06/12/2010 00:00	47.81	47.81	47.11	47.52	52866	EUR	
07/12/2010 00:00	47.8	49.87	47.71	49.585	123757	EUR	
08/12/2010 00:00	49.18	49.77	48.94	49.19	90702	EUR	
09/12/2010 00:00	49.765	49.77	48.4	48.95	75875	EUR	
10/12/2010 00:00	48.95	49.3	48.6	49.1	37230	EUR	
13/12/2010 00:00	49.425	50.12	49.15	49.835	64488	EUR	
14/12/2010 00:00	49.665	50.17	49.41	50.17	63446	EUR	
15/12/2010 00:00	50.39	50.4	49.83	50.14	80522	EUR	
16/12/2010 00:00	50.31	50.56	49.775	50.26	69988	EUR	
17/12/2010 00:00	50.63	50.73	49.7	50.4	84937	EUR	
20/12/2010 00:00	50.19	50.92	50.19	50.42	45295	EUR	
21/12/2010 00:00	50.13	51	50.13	50.6	62493	EUR	
22/12/2010 00:00	50.71	50.88	50.23	50.68	39315	EUR	
23/12/2010 00:00	50.71	50.96	50.17	50.52	55385	EUR	
24/12/2010 00:00	50.14	50.55	50.14	50.25	4011	EUR	
27/12/2010 00:00	50.13	50.2	49.7	49.975	21824	EUR	
28/12/2010 00:00	49.75	50.39	49.75	50.24	17382	EUR	
29/12/2010 00:00	50.45	50.9	50.11	50.84	64111	EUR	
30/12/2010 00:00	50.9	51	50.26	50.49	35775	EUR	
31/12/2010 00:00	50.19	50.48	49.885	49.885	10793	EUR	
03/01/2011 00:00	50.12	50.88	50.1	50.68	45320	EUR	
04/01/2011 00:00	50.99	51.5	50.63	51.5	83511	EUR	
05/01/2011 00:00	51.36	51.5	50.52	51.5	114527	EUR	
06/01/2011 00:00	51.5	51.9	50.44	50.99	99181	EUR	
07/01/2011 00:00	51	51.34	50.65	50.9	75706	EUR	
10/01/2011 00:00	50.89	51.13	50.03	50.25	63873	EUR	
11/01/2011 00:00	50.45	52	50.45	51.89	62025	EUR	
12/01/2011 00:00	52	52.65	51.79	52.24	70141	EUR	
13/01/2011 00:00	52.37	52.65	51.06	51.64	71611	EUR	
14/01/2011 00:00	51.43	51.52	50.76	51.1	71921	EUR	
17/01/2011 00:00	51.15	51.25	50.85	51.1	28316	EUR	
18/01/2011 00:00	51.15	51.84	51	51.36	50523	EUR	
19/01/2011 00:00	51.57	51.65	49.835	50.1	73901	EUR	
20/01/2011 00:00	50.03	50.18	48.775	49.08	84322	EUR	
21/01/2011 00:00	49.425	50.94	49.1	49.905	119901	EUR	
24/01/2011 00:00	50.11	50.44	49.465	49.845	33850	EUR	
25/01/2011 00:00	50.23	50.59	49.41	49.41	53529	EUR	
26/01/2011 00:00	49.68	50.26	49.405	49.825	39250	EUR	
27/01/2011 00:00	49.99	50.34	49.6	49.77	39625	EUR	
28/01/2011 00:00	49.715	49.72	48.745	48.765	71350	EUR	
31/01/2011 00:00	48.67	49.005	47.61	48.1	93652	EUR	
01/02/2011 00:00	47.92	50.2	47.92	49.74	81995	EUR	
02/02/2011 00:00	49.975	50.49	49.15	49.155	47584	EUR	
03/02/2011 00:00	49.15	49.27	48.675	49.225	59362	EUR	
04/02/2011 00:00	49.5	50.37	49.42	49.615	59798	EUR	
07/02/2011 00:00	49.805	50.3	49.52	50.17	53432	EUR	
08/02/2011 00:00	50.63	50.87	50.22	50.87	78367	EUR	
09/02/2011 00:00	50.85	50.99	50.24	50.24	59865	EUR	
10/02/2011 00:00	50.05	50.5	49.695	50.23	44721	EUR	
11/02/2011 00:00	50.17	50.53	49.435	50.24	52874	EUR	
14/02/2011 00:00	50.55	52.59	50.55	52.5	104602	EUR	
15/02/2011 00:00	52.59	52.6	51.04	51.64	68452	EUR	
16/02/2011 00:00	51.51	51.99	50.59	51.52	84885	EUR	
17/02/2011 00:00	51.6	51.89	50.99	51.58	67128	EUR	
18/02/2011 00:00	51.99	52.05	51.03	51.5	62582	EUR	
21/02/2011 00:00	51.31	51.85	50.75	50.93	37361	EUR	
22/02/2011 00:00	50.43	50.8	49.36	49.86	115565	EUR	
23/02/2011 00:00	49.83	50.25	49.05	49.315	79199	EUR	
24/02/2011 00:00	49.11	49.99	48.85	49.495	72722	EUR	
25/02/2011 00:00	49.79	50.88	49.7	50.43	54107	EUR	
28/02/2011 00:00	50.82	51.58	50.21	50.85	60310	EUR	
01/03/2011 00:00	50.99	51.6	50.37	50.74	66422	EUR	
02/03/2011 00:00	50.32	50.88	49.1	50.74	83013	EUR	
03/03/2011 00:00	50.81	51.59	50.3	51.34	82836	EUR	
04/03/2011 00:00	51.5	51.84	50.58	50.76	54846	EUR	
07/03/2011 00:00	50.76	51.7	50.27	50.46	57965	EUR	
08/03/2011 00:00	50.51	51.92	49.745	51.16	74010	EUR	
09/03/2011 00:00	51.28	51.89	51.16	51.35	63366	EUR	
10/03/2011 00:00	51.1	51.15	48.47	49	146042	EUR	
11/03/2011 00:00	48.43	49.495	48.1	48.345	117922	EUR	
14/03/2011 00:00	48.05	48.22	47.33	47.45	110027	EUR	
15/03/2011 00:00	46.52	47.105	44.8	46.805	118744	EUR	
16/03/2011 00:00	46.965	47.45	46.205	46.34	89047	EUR	
17/03/2011 00:00	46.5	47.66	46.25	47.42	93714	EUR	
18/03/2011 00:00	47.45	48.375	47.24	47.99	106635	EUR	
21/03/2011 00:00	48.66	49.32	48.18	48.98	76006	EUR	
22/03/2011 00:00	50.6	51	48.42	48.92	117734	EUR	
23/03/2011 00:00	48.725	49.395	48.005	49.14	93232	EUR	
