date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	19.229	19.229	19.229	19.229	1	EUR	
11/11/2010 00:00	18.927	19.202	18.927	19.202	242	EUR	
12/11/2010 00:00	19.202	19.202	19.202	19.202	1	EUR	
15/11/2010 00:00	19.193	19.202	19.193	19.202	263	EUR	
16/11/2010 00:00	19.211	19.431	19.211	19.431	366	EUR	
17/11/2010 00:00	19.431	19.477	19.431	19.477	384	EUR	
18/11/2010 00:00	19.706	19.706	19.706	19.706	2431	EUR	
19/11/2010 00:00	19.706	19.706	19.706	19.706	452	EUR	
22/11/2010 00:00	18.331	18.331	18.331	18.331	110	EUR	
23/11/2010 00:00	18.331	18.331	18.331	18.331	1	EUR	
24/11/2010 00:00	18.56	18.79	18.56	18.79	159	EUR	
25/11/2010 00:00	18.56	18.56	18.515	18.515	4985	EUR	
26/11/2010 00:00	18.515	18.515	18.515	18.515	1	EUR	
29/11/2010 00:00	18.56	18.56	18.56	18.56	53	EUR	
30/11/2010 00:00	18.56	18.56	18.56	18.56	1	EUR	
01/12/2010 00:00	18.102	18.331	18.102	18.331	356	EUR	
02/12/2010 00:00	18.331	18.331	18.331	18.331	1	EUR	
03/12/2010 00:00	18.423	18.441	18.423	18.441	53	EUR	
06/12/2010 00:00	18.423	18.423	18.423	18.423	248	EUR	
07/12/2010 00:00	18.423	18.423	18.331	18.331	547	EUR	
08/12/2010 00:00	18.322	18.322	18.075	18.075	384	EUR	
09/12/2010 00:00	18.075	18.075	18.075	18.075	1	EUR	
10/12/2010 00:00	18.075	18.075	18.075	18.075	218	EUR	
13/12/2010 00:00	18.047	18.515	18.047	18.515	273	EUR	
14/12/2010 00:00	18.505	18.505	18.505	18.505	1	EUR	
15/12/2010 00:00	18.331	18.331	18.102	18.102	254	EUR	
16/12/2010 00:00	17.873	17.882	17.873	17.882	188	EUR	
17/12/2010 00:00	17.781	17.781	16.81	16.81	1646	EUR	
20/12/2010 00:00	16.966	17.094	16.966	17.094	3222	EUR	
21/12/2010 00:00	17.186	17.186	17.14	17.14	656	EUR	
22/12/2010 00:00	17.112	17.112	17.112	17.112	246	EUR	
23/12/2010 00:00	17.112	17.112	16.947	16.947	2455	EUR	
24/12/2010 00:00	16.956	16.956	16.956	16.956	1534	EUR	
27/12/2010 00:00	16.956	16.956	16.791	16.791	138	EUR	
28/12/2010 00:00	16.773	16.773	16.681	16.681	1414	EUR	
29/12/2010 00:00	16.636	16.645	16.636	16.645	815	EUR	
30/12/2010 00:00	16.718	16.718	16.636	16.636	1343	EUR	
31/12/2010 00:00	16.636	16.636	16.636	16.636	1	EUR	
